,close,high,low,open,time,volumefrom,volumeto
0,7.02e-06,9.36e-06,7.02e-06,7.02e-06,20150129,3209653.65,22.53
1,6.96e-06,9.27e-06,6.96e-06,6.96e-06,20150130,1185542.15,8.25
2,8.74e-06,8.74e-06,6.56e-06,6.56e-06,20150131,60594609.87,529.6
3,9.01e-06,9.01e-06,9.01e-06,9.01e-06,20150201,7293556.05,65.71
4,9.55e-06,9.55e-06,9.55e-06,9.55e-06,20150202,3647841.81,34.84
5,9.1e-06,1.137e-05,9.1e-06,9.1e-06,20150203,13811601.26,125.69
6,1.133e-05,1.359e-05,9.06e-06,9.06e-06,20150204,5970032.18,67.64
7,1.083e-05,1.299e-05,1.083e-05,1.083e-05,20150205,9640480.78,104.41
8,1.115e-05,1.338e-05,1.115e-05,1.115e-05,20150206,11313517.39,126.15
9,1.138e-05,1.366e-05,1.138e-05,1.138e-05,20150207,10681305.38,121.55
10,1.118e-05,1.118e-05,8.95e-06,1.118e-05,20150208,4506566.96,50.38
11,1.322e-05,1.322e-05,1.102e-05,1.102e-05,20150209,8066072.83,106.63
12,1.098e-05,1.318e-05,8.79e-06,1.318e-05,20150210,45229631.43,496.62
13,8.75e-06,1.094e-05,8.75e-06,1.094e-05,20150211,10245785.84,89.65
14,8.87e-06,8.87e-06,8.87e-06,8.87e-06,20150212,2890095.71,25.64
15,9.45e-06,9.45e-06,9.45e-06,9.45e-06,20150213,5275566.31,49.85
16,1.035e-05,1.293e-05,1.035e-05,1.035e-05,20150214,10097459.45,104.51
17,9.33e-06,9.33e-06,9.33e-06,9.33e-06,20150215,4840348.07,45.16
18,9.43e-06,1.179e-05,9.43e-06,9.43e-06,20150216,6449040.46,60.81
19,9.73e-06,1.216e-05,9.73e-06,9.73e-06,20150217,8630895.98,83.98
20,9.41e-06,1.176e-05,9.41e-06,9.41e-06,20150218,11531964.23,108.52
21,9.68e-06,1.21e-05,9.68e-06,9.68e-06,20150219,19838255.56,192.03
22,9.78e-06,1.223e-05,9.78e-06,9.78e-06,20150220,17129251.39,167.52
23,9.78e-06,1.222e-05,9.78e-06,9.78e-06,20150221,15475859.16,151.35
24,9.43e-06,1.179e-05,9.43e-06,9.43e-06,20150222,13134348.49,123.86
25,9.55e-06,1.194e-05,9.55e-06,9.55e-06,20150223,12590791.92,120.24
26,7.17e-06,1.194e-05,7.17e-06,9.56e-06,20150224,10064248.66,72.16
27,9.49e-06,1.187e-05,7.12e-06,7.12e-06,20150225,88661185.13,841.39
28,9.46e-06,1.183e-05,9.46e-06,9.46e-06,20150226,6260623.98,59.23
29,1.014e-05,1.014e-05,1.014e-05,1.014e-05,20150227,8047190.23,81.6
30,7.62e-06,1.016e-05,7.62e-06,1.016e-05,20150228,1131497.88,8.62
31,7.74e-06,1.032e-05,7.74e-06,7.74e-06,20150301,4397429.58,34.04
32,8.21e-06,1.095e-05,8.21e-06,8.21e-06,20150302,4595605.82,37.73
33,8.42e-06,8.42e-06,8.42e-06,8.42e-06,20150303,7554350.52,63.61
34,1.088e-05,1.36e-05,8.16e-06,8.16e-06,20150304,29569640.17,321.72
35,1.101e-05,1.376e-05,1.101e-05,1.101e-05,20150305,17695772.16,194.83
36,1.09e-05,1.363e-05,8.18e-06,1.09e-05,20150306,63604894.47,693.29
37,1.1e-05,1.375e-05,1.1e-05,1.1e-05,20150307,23947154.83,263.42
38,1.098e-05,1.098e-05,1.098e-05,1.098e-05,20150308,5623503.48,61.75
39,1.16e-05,1.16e-05,1.16e-05,1.16e-05,20150309,11300677.58,131.09
40,1.165e-05,1.457e-05,8.74e-06,1.165e-05,20150310,18932931.95,220.57
41,1.182e-05,1.182e-05,8.87e-06,1.182e-05,20150311,5374775.84,63.53
42,1.175e-05,1.469e-05,1.175e-05,1.175e-05,20150312,5000802.27,58.76
43,1.149e-05,1.436e-05,1.149e-05,1.149e-05,20150313,8730547.15,100.31
44,1.126e-05,1.408e-05,1.126e-05,1.126e-05,20150314,107606507.3,1211.65
45,1.14e-05,1.424e-05,1.14e-05,1.14e-05,20150315,17561255.15,200.2
46,1.162e-05,1.452e-05,1.162e-05,1.162e-05,20150316,5327481.26,61.91
47,1.142e-05,1.427e-05,1.142e-05,1.142e-05,20150317,25017626.12,285.7
48,1.024e-05,1.536e-05,1.024e-05,1.024e-05,20150318,124277202.11,1272.6
49,1.044e-05,1.305e-05,1.044e-05,1.044e-05,20150319,54436946.26,568.32
50,1.047e-05,1.309e-05,1.047e-05,1.047e-05,20150320,11856349.11,124.14
51,1.299e-05,1.299e-05,1.039e-05,1.039e-05,20150321,4989928.75,64.82
52,1.343e-05,1.611e-05,1.074e-05,1.343e-05,20150322,5241687.69,70.4
53,1.327e-05,1.327e-05,1.062e-05,1.327e-05,20150323,4106173.32,54.49
54,9.87e-06,1.48e-05,9.87e-06,1.234e-05,20150324,2121095.66,20.94
55,1.232e-05,1.232e-05,9.85e-06,9.85e-06,20150325,3219968.96,39.67
