,close,high,low,open,time,volumefrom,volumeto
0,1.9,1.9,1.79,1.79,20141202,0.0,0.0
1,1.88,1.88,1.77,1.88,20141203,0.0,0.0
2,1.66,2.03,1.66,1.84,20141204,0.0,0.0
3,1.7,1.77,1.7,1.7,20141205,0.0,0.0
4,1.58,1.76,1.51,1.69,20141206,0.0,0.0
5,1.84,1.84,1.51,1.58,20141207,0.0,0.0
6,1.62,1.82,1.5,1.78,20141208,0.0,0.0
7,1.71,1.71,1.44,1.57,20141209,0.0,0.0
8,1.43,1.69,1.43,1.69,20141210,0.0,0.0
9,1.41,1.43,1.41,1.43,20141211,0.0,0.0
10,1.47,1.64,1.43,1.43,20141212,0.0,0.0
11,1.45,1.56,1.45,1.45,20141213,0.0,0.0
12,1.37,1.45,1.37,1.45,20141214,0.0,0.0
13,1.35,1.54,1.35,1.35,20141215,0.0,0.0
14,1.29,1.29,1.29,1.29,20141216,0.0,0.0
15,1.38,1.41,1.01,1.25,20141217,0.0,0.0
16,1.34,1.34,0.9813,1.34,20141218,0.0,0.0
17,1.27,1.37,1.0,1.37,20141219,0.0,0.0
18,1.32,1.32,1.04,1.32,20141220,0.0,0.0
19,1.29,1.29,1.02,1.29,20141221,0.0,0.0
20,1.08,1.43,1.05,1.32,20141222,0.0,0.0
21,1.06,1.31,1.06,1.09,20141223,0.0,0.0
22,1.02,1.24,1.02,1.02,20141224,0.0,0.0
23,1.24,1.24,1.01,1.01,20141225,0.0,0.0
24,1.04,1.29,1.04,1.29,20141226,0.0,0.0
25,0.9971,1.23,0.9971,0.9971,20141227,0.0,0.0
26,1.06,1.23,1.0,1.0,20141228,0.0,0.0
27,1.09,1.09,0.9424,1.06,20141229,0.0,0.0
28,0.9556,1.18,0.9494,1.08,20141230,0.0,0.0
29,0.977,1.21,0.977,0.977,20141231,0.0,0.0
30,1.19,1.19,0.9667,0.9667,20150101,0.0,0.0
31,0.788,1.19,0.788,1.19,20150102,0.0,0.0
32,0.8614,0.8815,0.7178,0.7178,20150103,0.0,0.0
33,0.7439,0.8259,0.6618,0.7942,20150104,0.0,0.0
34,0.7696,0.9867,0.7421,0.7723,20150105,0.0,0.0
35,0.7904,1.01,0.7904,0.7904,20150106,0.0,0.0
36,0.8163,0.8536,0.8158,0.8158,20150107,0.0,0.0
37,0.7927,0.8532,0.7067,0.7921,20150108,0.0,0.0
38,0.8072,0.9791,0.8072,0.8075,20150109,0.0,0.0
39,0.9291,0.9291,0.5467,0.7662,20150110,0.0,0.0
40,0.7422,0.9,0.5295,0.9,20150111,0.0,0.0
41,0.7549,0.9155,0.5387,0.7549,20150112,0.0,0.0
42,0.6203,0.6203,0.4426,0.6203,20150113,0.0,0.0
43,0.5172,0.5172,0.3419,0.4623,20150114,0.0,0.0
44,0.5882,0.6629,0.5882,0.6579,20150115,0.0,0.0
45,0.5918,0.6539,0.4414,0.5802,20150116,0.0,0.0
46,0.5596,0.6307,0.5596,0.571,20150117,0.0,0.0
47,0.6689,0.6689,0.5904,0.5904,20150118,0.0,0.0
48,0.6055,0.6856,0.6055,0.6856,20150119,0.0,0.0
49,0.5975,0.639,0.5906,0.5906,20150120,0.0,0.0
50,0.7247,0.7247,0.6412,0.6475,20150121,0.0,0.0
51,0.569,0.7391,0.569,0.7391,20150122,0.0,0.0
52,0.6498,0.6508,0.5677,0.5677,20150123,0.0,0.0
53,0.8256,0.8256,0.6946,0.6946,20150124,0.0,0.0
