,close,high,low,open,time,volumefrom,volumeto
0,1.97,2.47,1.95,2.4,20141202,0.0,0.0
1,2.04,2.1,1.89,1.95,20141203,0.0,0.0
2,2.18,2.33,2.0,2.0,20141204,0.0,0.0
3,2.1,2.22,1.96,2.22,20141205,0.0,0.0
4,2.1,2.37,2.1,2.1,20141206,0.0,0.0
5,2.0,2.41,2.0,2.1,20141207,0.0,0.0
6,1.91,2.26,1.91,1.93,20141208,0.0,0.0
7,1.76,1.92,1.76,1.84,20141209,0.0,0.0
8,1.89,1.89,1.74,1.74,20141210,0.0,0.0
9,1.93,2.15,1.84,1.89,20141211,0.0,0.0
10,1.86,2.21,1.84,1.96,20141212,0.0,0.0
11,1.9,1.95,1.83,1.84,20141213,0.0,0.0
12,1.92,2.04,1.87,1.91,20141214,0.0,0.0
13,1.95,1.95,1.82,1.9,20141215,0.0,0.0
14,1.85,1.88,1.85,1.86,20141216,0.0,0.0
15,1.69,2.28,1.66,1.79,20141217,0.0,0.0
16,1.57,1.65,1.55,1.61,20141218,0.0,0.0
17,1.58,1.65,1.57,1.61,20141219,0.0,0.0
18,1.65,1.69,1.62,1.64,20141220,0.0,0.0
19,1.63,1.64,1.6,1.61,20141221,0.0,0.0
20,1.73,1.73,1.65,1.67,20141222,0.0,0.0
21,1.64,1.78,1.51,1.76,20141223,0.0,0.0
22,1.53,1.62,1.45,1.57,20141224,0.0,0.0
23,1.59,1.59,1.52,1.52,20141225,0.0,0.0
24,1.58,1.72,1.58,1.65,20141226,0.0,0.0
25,1.41,1.58,1.36,1.51,20141227,0.0,0.0
26,1.46,1.51,1.41,1.42,20141228,0.0,0.0
27,1.26,1.51,1.14,1.44,20141229,0.0,0.0
28,1.21,1.36,1.04,1.25,20141230,0.0,0.0
29,1.32,1.32,1.15,1.23,20141231,0.0,0.0
30,1.26,1.31,1.13,1.3,20150101,0.0,0.0
31,1.25,1.26,1.15,1.26,20150102,0.0,0.0
32,1.29,1.29,1.1,1.14,20150103,0.0,0.0
33,1.08,1.19,1.07,1.19,20150104,0.0,0.0
34,1.02,1.23,1.02,1.12,20150105,0.0,0.0
35,1.13,1.24,1.04,1.04,20150106,0.0,0.0
36,1.17,1.28,1.09,1.17,20150107,0.0,0.0
37,0.9332,1.14,0.7373,1.13,20150108,0.0,0.0
38,1.02,1.09,0.9506,0.9506,20150109,0.0,0.0
39,1.09,1.09,0.969,0.969,20150110,0.0,0.0
40,1.04,1.1,1.04,1.06,20150111,0.0,0.0
41,1.05,1.11,0.8198,1.06,20150112,0.0,0.0
42,0.9199,0.9407,0.7081,0.8628,20150113,0.0,0.0
43,0.6927,0.7026,0.643,0.6856,20150114,0.0,0.0
44,0.8597,0.8993,0.7867,0.8811,20150115,0.0,0.0
45,0.8391,0.8691,0.8072,0.848,20150116,0.0,0.0
46,0.7868,0.8186,0.7866,0.8096,20150117,0.0,0.0
47,0.8298,0.8614,0.8298,0.8301,20150118,0.0,0.0
48,0.9064,0.9064,0.8505,0.8505,20150119,0.0,0.0
49,0.8784,0.8917,0.7902,0.8841,20150120,0.0,0.0
50,0.8919,0.9519,0.8559,0.9519,20150121,0.0,0.0
51,0.8933,0.9401,0.8803,0.9096,20150122,0.0,0.0
52,0.9052,0.9224,0.8778,0.8913,20150123,0.0,0.0
53,0.9696,1.03,0.9676,0.9676,20150124,0.0,0.0
54,1.03,1.06,0.9849,0.9849,20150125,0.0,0.0
55,1.08,1.13,0.9459,1.1,20150126,1.75,1.89
56,0.9367,1.05,0.9241,1.05,20150127,325.77,305.15
57,0.829,0.8998,0.829,0.8403,20150128,306.32,253.94
58,0.9282,0.9282,0.7956,0.9055,20150129,399.2,370.54
59,0.8856,0.9197,0.8121,0.9197,20150130,126.8,112.29
60,0.9221,0.9632,0.7678,0.8347,20150131,308.94,284.87
61,1.0,1.0,0.9507,0.9507,20150201,1025.88,1025.88
62,1.16,1.28,1.03,1.06,20150202,1160.84,1346.57
63,0.959,1.04,0.9292,1.11,20150203,720.98,691.42
64,0.9775,1.0,0.7951,0.9555,20150204,4763.24,4656.07
65,0.8661,0.9728,0.8446,0.9341,20150205,6082.71,5268.24
66,0.8909,0.8963,0.8363,0.8918,20150206,2815.86,2508.65
67,0.9465,1.03,0.9091,0.9098,20150207,1098.05,1039.3
68,0.9618,0.9964,0.9403,0.9298,20150208,361.62,347.81
69,0.945,0.988,0.9386,0.9475,20150209,1326.44,1253.49
70,1.05,1.08,0.9424,0.9422,20150210,1766.91,1855.26
71,1.03,1.09,0.9639,1.04,20150211,1860.11,1915.91
72,0.9783,1.06,0.9519,1.04,20150212,595.96,583.03
73,1.07,1.14,0.97,1.04,20150213,358.98,384.11
74,1.16,1.21,1.09,1.17,20150214,636.22,738.02
75,0.9807,1.05,0.9807,1.04,20150215,623.12,611.09
76,1.05,1.08,0.9822,0.9914,20150216,469.88,493.37
77,0.9752,1.08,0.9752,1.08,20150217,2482.02,2420.47
78,0.9283,0.9836,0.8239,0.9432,20150218,8747.01,8119.85
79,0.9752,0.997,0.9464,0.9549,20150219,324.87,316.81
80,0.9607,1.05,0.881,0.9857,20150220,847.69,814.38
81,0.9185,0.9881,0.8799,0.9603,20150221,251.04,230.58
82,1.01,1.01,0.8856,0.8859,20150222,797.19,805.16
83,1.07,1.07,0.9314,1.03,20150223,1118.43,1196.72
84,1.05,1.1,0.9551,1.07,20150224,700.04,735.04
85,1.03,1.04,0.9493,1.04,20150225,567.43,584.45
86,0.94,1.03,0.9397,1.03,20150226,1140.39,1071.97
87,1.03,1.09,0.9269,1.01,20150227,2292.24,2361.01
88,0.9997,1.07,0.7655,1.03,20150228,5428.74,5427.11
89,1.02,1.02,0.9216,1.01,20150301,1499.14,1529.12
90,1.06,1.13,1.02,1.08,20150302,809.94,858.54
91,1.1,1.11,1.05,1.09,20150303,548.7,603.57
92,1.03,1.07,0.9762,1.07,20150304,767.91,790.95
93,0.8568,1.05,0.7662,1.04,20150305,6616.84,5669.31
94,0.954,1.05,0.891,0.8485,20150306,2146.7,2047.95
95,0.9924,1.04,0.9622,0.9622,20150307,730.03,724.48
96,0.9788,1.03,0.9555,0.9909,20150308,1207.79,1182.18
97,1.02,1.08,0.9997,1.03,20150309,610.05,622.25
98,0.9566,1.08,0.8928,1.02,20150310,2064.54,1974.94
99,1.01,1.05,0.9359,0.9705,20150311,723.46,730.69
100,0.9806,1.09,0.9436,1.01,20150312,624.32,612.21
101,1.05,1.06,0.9303,0.9584,20150313,813.1,853.76
102,1.11,1.13,0.9971,1.03,20150314,2227.3,2472.3
103,1.07,1.14,1.06,1.12,20150315,1271.86,1360.89
104,1.09,1.16,1.07,1.09,20150316,429.4,468.05
105,1.05,1.11,0.9323,1.07,20150317,1043.07,1095.22
106,0.9216,0.985,0.8967,0.9451,20150318,1455.71,1341.58
107,0.9487,1.04,0.9464,0.9396,20150319,1304.11,1237.21
108,0.9139,0.9636,0.889,0.9518,20150320,1158.99,1059.2
109,0.9495,0.9975,0.9035,0.9066,20150321,1766.62,1677.41
110,0.9891,0.9993,0.8959,0.9819,20150322,1339.69,1325.09
111,0.9379,1.04,0.9156,0.9777,20150323,646.99,606.81
112,0.8425,0.8961,0.8413,0.8717,20150324,866.94,730.4
