,close,high,low,open,time,volumefrom,volumeto
0,0.09992,0.111,0.09597,0.111,20150203,3579.86,357.7
1,0.09947,0.1103,0.09942,0.09956,20150204,2018.16,200.75
2,0.09189,0.1049,0.09137,0.09505,20150205,4014.69,368.91
3,0.08918,0.1071,0.08918,0.09462,20150206,1429.85,127.51
4,0.09931,0.1027,0.09107,0.09107,20150207,991.85,98.5
5,0.08723,0.09756,0.08171,0.09756,20150208,1541.12,134.43
6,0.08593,0.09353,0.08593,0.08593,20150209,4832.5,415.26
7,0.08567,0.09817,0.08567,0.08567,20150210,779.9,66.81
8,0.09416,0.0946,0.07112,0.08534,20150211,6322.37,595.31
9,0.06663,0.09544,0.06663,0.09544,20150212,1839.67,122.58
10,0.0944,0.1015,0.07085,0.07095,20150213,5190.69,490.0
11,0.09764,0.1034,0.05173,0.1034,20150214,18319.06,1788.67
12,0.08377,0.08806,0.07042,0.08806,20150215,2625.08,219.9
13,0.07084,0.08469,0.07084,0.08469,20150216,3202.24,226.85
14,0.07904,0.09458,0.06369,0.07306,20150217,2828.42,223.56
15,0.09408,0.09408,0.07526,0.07644,20150218,9201.02,865.63
16,0.09599,0.121,0.07744,0.09677,20150219,24399.31,2342.09
17,0.08213,0.09786,0.07827,0.09703,20150220,2504.06,205.66
18,0.08119,0.0821,0.07332,0.0821,20150221,4343.27,352.63
19,0.07817,0.07831,0.07081,0.07831,20150222,4418.98,345.43
20,0.07642,0.08359,0.07165,0.07919,20150223,5879.67,449.32
21,0.07363,0.07644,0.06694,0.07644,20150224,1047.91,77.16
22,0.07924,0.07924,0.05582,0.07315,20150225,19050.84,1509.59
23,0.05975,0.07898,0.05925,0.07898,20150226,2362.42,141.15
24,0.06489,0.08182,0.06337,0.06403,20150227,3268.99,212.12
25,0.06661,0.07624,0.06504,0.06504,20150228,1081.53,72.04
26,0.06763,0.06763,0.06474,0.06763,20150301,4496.35,304.09
27,0.08215,0.08215,0.07117,0.07178,20150302,20671.6,1698.17
28,0.08139,0.08422,0.07378,0.08422,20150303,4151.19,337.87
29,0.07355,0.07886,0.0707,0.07886,20150304,1569.87,115.46
30,0.07186,0.07445,0.0611,0.07445,20150305,7127.98,512.22
31,0.08147,0.08147,0.06599,0.07117,20150306,2802.07,228.28
32,0.07923,0.08217,0.06656,0.08217,20150307,798.24,63.24
33,0.08904,0.09481,0.06923,0.07911,20150308,20583.98,1832.8
34,0.08155,0.09408,0.07317,0.09408,20150309,3897.77,317.86
35,0.07535,0.08593,0.07057,0.08193,20150310,7435.37,560.26
36,0.07686,0.08185,0.07541,0.07644,20150311,2255.28,173.34
37,0.07434,0.07728,0.07434,0.0764,20150312,760.12,56.51
38,0.06534,0.07556,0.0652,0.07266,20150313,2721.0,177.79
39,0.0642,0.07372,0.06406,0.06406,20150314,6242.42,400.76
40,0.07524,0.07529,0.06467,0.06495,20150315,3468.79,260.99
41,0.07449,0.0767,0.06592,0.0767,20150316,893.36,66.55
42,0.08396,0.08419,0.0696,0.0732,20150317,26009.46,2183.75
43,0.06836,0.07529,0.06091,0.07529,20150318,20201.88,1381.0
44,0.06158,0.06964,0.06004,0.06969,20150319,5308.7,326.91
45,0.06021,0.06563,0.06021,0.06178,20150320,3333.82,200.73
46,0.05911,0.06472,0.05906,0.05973,20150321,1086.95,64.25
47,0.06564,0.06575,0.06113,0.06113,20150322,2974.48,195.24
48,0.07234,0.07263,0.05981,0.06488,20150323,6148.52,444.78
