,close,high,low,open,time,volumefrom,volumeto
0,0.001942,0.002816,0.001442,0.001442,20150201,7088.2,13.77
1,0.001999,0.002231,0.00199,0.002059,20150202,270.27,0.5403
2,0.001888,0.001903,0.001888,0.001903,20150203,132.67,0.2505
3,0.002832,0.002832,0.001881,0.001881,20150204,33176.57,93.96
4,0.002707,0.002707,0.002707,0.002707,20150205,0.0,0.0
5,0.001115,0.002787,0.0005574,0.002787,20150206,32412.27,36.14
6,0.001628,0.001726,0.001138,0.001138,20150207,208.59,0.3396
7,0.001454,0.001599,0.00123,0.001599,20150208,7522.55,10.94
8,0.001322,0.001432,0.001322,0.001432,20150209,118.42,0.1566
9,0.001333,0.001333,0.001318,0.001318,20150210,110.78,0.1477
10,0.001151,0.001328,0.0009847,0.001328,20150211,1182.53,1.36
11,0.001045,0.001167,0.001045,0.001167,20150212,110.78,0.1158
12,0.001412,0.001412,0.001112,0.001112,20150213,567.59,0.8014
13,0.00323,0.00323,0.001547,0.001547,20150214,9387.05,30.32
14,0.002645,0.005829,0.002645,0.002914,20150215,21354.3,56.48
15,0.005066,0.007073,0.002674,0.002674,20150216,20536.63,104.04
16,0.00608,0.00608,0.004434,0.005224,20150217,1252.77,7.62
17,0.006586,0.006586,0.005645,0.00588,20150218,7060.85,46.5
18,0.006532,0.006774,0.006036,0.006774,20150219,185.27,1.21
19,0.007859,0.022,0.006602,0.006602,20150220,4179.41,32.85
20,0.01034,0.01034,0.01033,0.007855,20150221,57.0,0.5894
21,0.00801,0.009969,0.005547,0.009969,20150222,181.74,1.46
22,0.008359,0.008359,0.006926,0.008115,20150223,252.57,2.11
23,0.01415,0.01415,0.008361,0.008361,20150224,314.82,4.45
24,0.005143,0.01406,0.005143,0.01406,20150225,300.09,1.54
25,0.01656,0.01656,0.008804,0.005126,20150226,172.0,2.85
26,0.01774,0.01774,0.01774,0.01774,20150227,0.0,0.0
27,0.008892,0.01778,0.008892,0.01778,20150228,37.0,0.329
28,0.006655,0.006655,0.006655,0.009028,20150301,22.32,0.1485
29,0.007254,0.007254,0.007063,0.007063,20150302,96.25,0.6982
30,0.003053,0.007437,0.003053,0.007437,20150303,1705.66,5.21
31,0.005302,0.005302,0.002958,0.002958,20150304,173.79,0.9214
32,0.005367,0.005367,0.005367,0.005367,20150305,16.21,0.087
33,0.005759,0.005759,0.005315,0.005315,20150306,3027.87,17.44
34,0.004245,0.005908,0.004245,0.005809,20150307,2603.76,11.05
35,0.007021,0.007274,0.004238,0.004238,20150308,72.0,0.5055
36,0.007419,0.007419,0.007419,0.007419,20150309,0.0,0.0
37,0.005198,0.007453,0.005198,0.007453,20150310,61.75,0.321
38,0.005274,0.005274,0.005274,0.005274,20150311,0.0,0.0
39,0.004411,0.008677,0.004114,0.005242,20150312,6593.0,29.08
40,0.002013,0.00473,0.002013,0.004311,20150313,2078.19,4.18
41,0.001943,0.001974,0.001943,0.001974,20150314,194.5,0.3779
42,0.001966,0.001966,0.001966,0.001966,20150315,0.0,0.0
43,0.003195,0.003195,0.003195,0.002004,20150316,593.32,1.9
44,0.003644,0.003644,0.003139,0.003139,20150317,507.59,1.85
45,0.003268,0.003268,0.003268,0.003268,20150318,0.0,0.0
46,0.006403,0.006403,0.003332,0.003332,20150319,826.77,5.29
47,0.006424,0.006424,0.006424,0.006424,20150320,0.0,0.0
48,0.00375,0.006233,0.003644,0.006373,20150321,190.59,0.7147
49,0.004918,0.004918,0.003005,0.003878,20150322,5746.57,28.26
50,0.004861,0.004861,0.004861,0.004861,20150323,0.0,0.0
51,0.003454,0.004517,0.003454,0.004517,20150324,2933.41,10.13
52,0.004792,0.01041,0.004385,0.003449,20150325,8741.84,41.89
53,0.004988,0.004988,0.004132,0.004824,20150326,652.09,3.25
54,0.004971,0.004971,0.004971,0.004971,20150327,0.0,0.0
55,0.004788,0.005068,0.003541,0.005068,20150328,141.7,0.6785
56,0.003389,0.01023,0.001816,0.0046,20150329,7725.92,26.18
57,0.004936,0.004936,0.003455,0.003455,20150330,310.87,1.53
58,0.007556,0.008545,0.004883,0.004883,20150331,1150.39,8.69
59,0.01041,0.01041,0.007621,0.007621,20150401,776.95,8.09
60,0.01067,0.01067,0.01067,0.01067,20150402,0.0,0.0
61,0.01118,0.01168,0.009708,0.01075,20150403,902.69,10.09
62,0.01163,0.01163,0.00784,0.01111,20150404,1239.62,14.42
63,0.008308,0.008308,0.008308,0.01194,20150405,123.53,1.03
64,0.0102,0.0102,0.007649,0.008159,20150406,500.0,5.1
65,0.01012,0.01012,0.01012,0.01012,20150407,0.0,0.0
66,0.006227,0.009783,0.006227,0.009783,20150408,34.4,0.2142
67,0.005297,0.009733,0.005297,0.006195,20150409,2403.53,12.73
68,0.01056,0.02065,0.00511,0.00511,20150410,39838.34,420.69
69,0.008277,0.01371,0.008277,0.01064,20150411,19722.16,163.24
70,0.007755,0.008255,0.007755,0.008255,20150412,51.19,0.397
71,0.007352,0.007352,0.007352,0.007352,20150413,0.0,0.0
72,0.007168,0.007168,0.007168,0.007168,20150414,0.0,0.0
73,0.007331,0.007331,0.007331,0.007331,20150415,0.0,0.0
74,0.007496,0.007496,0.007496,0.007496,20150416,0.0,0.0
75,0.007319,0.007319,0.007319,0.007319,20150417,0.0,0.0
76,0.007344,0.007344,0.007344,0.007344,20150418,0.0,0.0
77,0.008921,0.01271,0.008238,0.007333,20150419,109085.22,973.15
78,0.01015,0.01368,0.00897,0.00897,20150420,12848.46,130.41
79,0.01091,0.01221,0.01058,0.01058,20150421,4607.26,50.27
80,0.01091,0.01091,0.01091,0.01091,20150422,0.0,0.0
81,0.01099,0.01099,0.01099,0.01099,20150423,0.0,0.0
82,0.01079,0.01079,0.01079,0.01079,20150424,0.0,0.0
83,0.01056,0.01056,0.01056,0.01056,20150425,0.0,0.0
84,0.01021,0.01021,0.01021,0.01021,20150426,0.0,0.0
85,0.01069,0.01069,0.01069,0.01069,20150427,0.0,0.0
86,0.003627,0.003627,0.003627,0.01054,20150428,34.27,0.1243
87,0.00362,0.00362,0.00362,0.00362,20150429,0.0,0.0
88,0.003786,0.003786,0.003786,0.003786,20150430,0.0,0.0
89,0.003745,0.003745,0.003745,0.003745,20150501,0.0,0.0
90,0.002393,0.00382,0.002393,0.00378,20150502,22791.64,54.54
91,0.0006408,0.002772,0.0006408,0.002441,20150503,40090.5,25.69
92,0.0009176,0.001443,0.000638,0.000638,20150504,6462.88,5.93
93,0.0009126,0.001184,0.0009055,0.0009055,20150505,4597.26,4.2
94,0.0006901,0.002068,0.0006901,0.002066,20150506,0.0,0.0
95,0.001189,0.001189,0.0006823,0.00092,20150507,38338.02,45.58
96,0.001219,0.001219,0.001107,0.001219,20150508,20629.64,25.15
97,0.0009946,0.001207,0.0009946,0.001207,20150509,4830.74,4.8
98,0.001797,0.001797,0.001202,0.001212,20150510,0.0,0.0
99,0.0007037,0.0009963,0.0007037,0.0009963,20150511,3871.15,2.72
100,0.000703,0.000703,0.000703,0.000703,20150512,0.0,0.0
101,0.0007304,0.000747,0.0007304,0.000747,20150513,0.0,0.0
102,0.0006775,0.0007107,0.0006775,0.0006894,20150514,10158.3,6.88
103,0.001297,0.001297,0.001297,0.0006784,20150515,1250.9,1.62
104,0.0012,0.002334,0.0012,0.002003,20150516,0.0,0.0
105,0.002113,0.002113,0.001293,0.001293,20150517,806.43,1.7
106,0.00208,0.00208,0.00208,0.00208,20150518,0.0,0.0
107,0.001483,0.002775,0.001483,0.002775,20150519,0.0,0.0
108,0.002798,0.002798,0.001495,0.001495,20150520,0.0,0.0
109,0.002825,0.002825,0.002825,0.002825,20150521,0.0,0.0
110,0.001211,0.001211,0.001211,0.002149,20150522,500.0,0.6055
111,0.003539,0.003539,0.002865,0.002865,20150523,0.0,0.0
112,0.001928,0.003569,0.001928,0.003569,20150524,0.0,0.0
113,0.001899,0.001899,0.001899,0.001899,20150525,0.0,0.0
114,0.001643,0.002614,0.001598,0.002376,20150526,0.0,0.0
115,0.001801,0.002492,0.00164,0.00164,20150527,0.0,0.0
116,0.00215,0.003531,0.001801,0.001801,20150528,0.0,0.0
117,0.001875,0.003316,0.001842,0.002147,20150529,0.0,0.0
118,0.002335,0.002337,0.001698,0.001845,20150530,0.0,0.0
119,0.002234,0.00271,0.002234,0.002301,20150531,0.0,0.0
120,0.002231,0.002651,0.002169,0.002169,20150601,0.0,0.0
121,0.002196,0.002908,0.002194,0.002257,20150602,0.0,0.0
122,0.002078,0.002655,0.002078,0.002195,20150603,0.0,0.0
123,0.002626,0.002664,0.002074,0.002653,20150604,0.0,0.0
124,0.002902,0.002902,0.002638,0.002638,20150605,0.0,0.0
125,0.003029,0.003029,0.0026,0.002895,20150606,0.0,0.0
126,0.003021,0.003352,0.002481,0.003012,20150607,0.0,0.0
127,0.002974,0.003417,0.002971,0.00309,20150608,0.0,0.0
128,0.002844,0.002872,0.002844,0.002872,20150609,0.0,0.0
129,0.003057,0.003059,0.002629,0.002835,20150610,0.0,0.0
130,0.002616,0.003071,0.002565,0.003071,20150611,0.0,0.0
131,0.00141,0.003429,0.0006015,0.002623,20150612,0.0,0.0
132,0.002288,0.002288,0.001423,0.001423,20150613,0.0,0.0
133,0.001985,0.002333,0.001985,0.0023,20150614,0.0,0.0
134,0.002465,0.002467,0.001623,0.002012,20150615,0.0,0.0
135,0.002496,0.002598,0.001759,0.002598,20150616,0.0,0.0
136,0.002004,0.002471,0.001996,0.002471,20150617,0.0,0.0
137,0.002579,0.002579,0.002012,0.002012,20150618,0.0,0.0
138,0.002534,0.002534,0.002534,0.002534,20150619,0.0,0.0
139,0.001989,0.002447,0.001989,0.002445,20150620,0.0,0.0
140,0.001982,0.002439,0.001982,0.001982,20150621,0.0,0.0
