,close,high,low,open,time,volumefrom,volumeto
0,0.08336,0.1056,0.07578,0.07578,20180103,41576.08,3465.78
1,0.09123,0.09852,0.07696,0.0926,20180104,24164.59,2204.54
2,0.0846,0.169,0.0846,0.1019,20180105,99038.11,8378.62
3,0.103,0.103,0.085,0.08569,20180106,64106.85,6603.01
4,0.1493,0.1865,0.09737,0.09737,20180107,173775.98,25944.75
5,0.1378,0.152,0.09585,0.1408,20180108,71183.31,9809.06
6,0.1448,0.1547,0.1013,0.1331,20180109,56893.63,8238.2
7,0.1267,0.1596,0.1097,0.1493,20180110,77727.57,9848.08
8,0.1298,0.1389,0.09781,0.113,20180111,83839.78,10882.4
9,0.1239,0.1666,0.12,0.135,20180112,165195.87,20467.77
10,0.1154,0.1477,0.1026,0.1275,20180113,100753.94,11627.0
11,0.1101,0.1263,0.103,0.1105,20180114,51135.42,5630.01
12,0.09556,0.1101,0.09011,0.11,20180115,43167.71,4125.11
13,0.08428,0.09342,0.0686,0.07909,20180116,81574.5,6875.1
14,0.07423,0.08339,0.06988,0.08339,20180117,20889.03,1550.59
15,0.0913,0.1023,0.07432,0.07432,20180118,30895.55,2820.76
16,0.1072,0.1095,0.07938,0.09413,20180119,31768.61,3405.59
17,0.09882,0.1507,0.06775,0.1152,20180120,104691.52,10345.62
18,0.09517,0.1148,0.08362,0.08928,20180121,48401.62,4606.38
19,0.08619,0.1017,0.08587,0.0956,20180122,28414.88,2449.08
20,0.08274,0.09371,0.07851,0.08654,20180123,37453.45,3098.9
21,0.08937,0.08949,0.07475,0.08709,20180124,25542.51,2282.73
22,0.08818,0.08829,0.08438,0.08751,20180125,37180.74,3278.6
23,0.08328,0.09083,0.0774,0.08761,20180126,61618.14,5131.56
24,0.0856,0.0934,0.08022,0.08595,20180127,15767.09,1349.66
25,0.08967,0.09485,0.08237,0.08791,20180128,14672.52,1315.68
26,0.07864,0.08953,0.07864,0.0856,20180129,29916.36,2352.62
27,0.07035,0.07489,0.06721,0.07075,20180130,11784.02,829.01
28,0.07057,0.07261,0.0542,0.07118,20180131,24351.34,1718.47
29,0.05241,0.06198,0.04849,0.06189,20180201,10631.18,557.18
30,0.055,0.05961,0.04427,0.05047,20180202,29265.13,1609.58
31,0.05051,0.06013,0.04616,0.05736,20180203,40312.71,2036.19
32,0.04569,0.05358,0.04487,0.04487,20180204,4903.93,224.06
33,0.04037,0.04551,0.03857,0.03857,20180205,1193.1,48.17
34,0.04313,0.04705,0.04282,0.04482,20180206,10100.07,435.62
35,0.04282,0.04639,0.04199,0.04199,20180207,4229.78,181.12
36,0.04585,0.06419,0.04585,0.04659,20180208,16711.95,766.24
37,0.05044,1.73,0.04827,0.04827,20180209,12111.44,610.9
38,1.84,2.06,0.0479,1.56,20180210,69005.49,126970.1
39,1.62,1.78,0.04738,1.73,20180211,43161.51,69921.65
40,1.9,1.9,0.05766,1.78,20180212,42568.02,80879.24
41,1.64,1.88,0.04802,1.82,20180213,26610.6,43641.38
42,1.9,1.93,0.05739,1.82,20180214,23228.08,44133.35
43,1.78,2.01,0.0582,2.01,20180215,77219.44,137450.6
44,1.66,1.97,0.06022,1.9,20180216,33060.23,54879.98
45,1.78,1.89,0.06281,1.81,20180217,29635.43,52751.07
46,1.56,1.75,0.05261,1.67,20180218,45565.52,71082.21
47,1.73,1.94,0.05591,1.68,20180219,25839.75,44702.77
48,0.05279,1.88,0.05279,1.74,20180220,22728.79,1199.85
49,1.44,1.59,0.04706,1.49,20180221,107752.85,155164.1
50,1.31,1.38,0.04461,1.35,20180222,50777.48,66518.5
51,1.67,1.67,0.0461,1.35,20180223,38208.99,63809.01
52,1.55,1.6,0.04397,1.6,20180224,57130.0,88551.5
53,1.49,1.56,0.04353,1.54,20180225,13341.65,19879.06
54,1.53,1.61,0.04678,1.6,20180226,26510.53,40561.11
55,1.53,1.64,0.04799,1.57,20180227,14189.7,21710.24
56,1.28,1.49,0.04682,1.49,20180228,35980.96,46055.63
57,1.43,1.5,0.04951,1.36,20180301,16796.15,24018.49
58,1.57,1.75,0.05003,1.44,20180302,32167.63,50503.18
59,1.69,1.78,0.0493,1.63,20180303,11935.2,20170.49
60,0.04579,1.73,0.04406,0.05626,20180304,21753.13,996.08
61,0.04016,1.72,0.04016,0.04553,20180305,16038.4,644.1
62,1.67,1.67,0.02866,0.03768,20180306,155522.14,259721.97
63,1.51,1.68,0.03078,1.55,20180307,175061.51,264342.88
