,close,high,low,open,time,volumefrom,volumeto
0,0.04537,0.04594,0.04537,0.04594,20150201,145.8,6.61
1,0.08711,0.08711,0.04811,0.04811,20150202,9337.31,813.37
2,0.04855,0.1023,0.04855,0.08294,20150203,850.81,41.31
3,0.08979,0.09099,0.04837,0.04837,20150204,11.3,1.01
4,0.08375,0.08581,0.08375,0.08581,20150205,2.1,0.1759
5,0.06689,0.08624,0.05485,0.08624,20150206,283.86,18.99
6,0.08852,0.08993,0.0683,0.0683,20150207,516.93,45.76
7,0.05927,0.08696,0.05927,0.08696,20150208,29.75,1.76
8,0.05839,0.05839,0.05839,0.05839,20150209,0.0,0.0
9,0.08172,0.08185,0.05821,0.05821,20150210,17.43,1.42
10,0.0814,0.0814,0.0814,0.0814,20150211,0.0,0.0
11,0.0495,0.08251,0.0495,0.08251,20150212,187.1,9.26
12,0.08771,0.08771,0.05271,0.05271,20150213,13.25,1.16
13,0.03595,0.06233,0.03595,0.09606,20150214,3890.49,139.86
14,0.03289,0.05661,0.03242,0.03242,20150215,848.74,27.92
15,0.03325,0.05096,0.03325,0.03325,20150216,902.6,30.01
16,0.03483,0.03573,0.03483,0.03429,20150217,52.27,1.82
17,0.03363,0.03368,0.03363,0.03368,20150218,514.77,17.31
18,0.04896,0.04896,0.03459,0.03459,20150219,12188.01,596.72
19,0.05265,0.05265,0.04949,0.04949,20150220,1353.01,71.24
20,0.05279,0.05279,0.05279,0.05262,20150221,21.97,1.16
21,0.0397,0.05092,0.0397,0.05092,20150222,23.0,0.9131
22,0.04022,0.04022,0.04022,0.04022,20150223,0.0,0.0
23,0.04188,0.04188,0.04023,0.04023,20150224,5.47,0.2291
24,0.05126,0.05126,0.0416,0.0416,20150225,23.54,1.21
25,0.05111,0.05111,0.05107,0.05109,20150226,600.73,30.7
26,0.05447,0.05477,0.05447,0.05477,20150227,19.55,1.06
27,0.0546,0.0546,0.0546,0.0546,20150228,0.0,0.0
28,0.05543,0.05543,0.05543,0.05543,20150301,0.0,0.0
29,0.05916,0.05916,0.05916,0.05883,20150302,3.41,0.2017
30,0.04726,0.06065,0.04726,0.06065,20150303,315.0,14.89
31,0.05166,0.05166,0.04579,0.04579,20150304,80.46,4.16
32,0.03355,0.05229,0.03355,0.05229,20150305,86.79,2.91
33,0.04797,0.04862,0.0308,0.03323,20150306,44.89,2.15
34,0.04352,0.04838,0.02862,0.04838,20150307,40112.59,1745.7
35,0.04345,0.04345,0.04345,0.04345,20150308,0.0,0.0
36,0.04591,0.04591,0.04591,0.04591,20150309,0.0,0.0
37,0.04175,0.04612,0.04175,0.04612,20150310,4.48,0.187
38,0.04236,0.04236,0.04236,0.04236,20150311,0.0,0.0
39,0.04211,0.04211,0.04211,0.04211,20150312,0.0,0.0
40,0.04116,0.04116,0.04116,0.04116,20150313,0.0,0.0
41,0.03847,0.03869,0.03847,0.04035,20150314,7.93,0.3051
42,0.03134,0.03911,0.03134,0.03891,20150315,111.83,3.5
43,0.03343,0.03343,0.03195,0.03195,20150316,16.63,0.5559
44,0.004289,0.03995,0.004289,0.03285,20150317,371.29,1.59
45,0.03478,0.03478,0.003846,0.003846,20150318,124.36,4.33
46,0.01305,0.03546,0.01305,0.03546,20150319,58.22,0.7598
47,0.01678,0.01678,0.008654,0.01309,20150320,50936.48,854.71
48,0.01343,0.01665,0.01343,0.01665,20150321,11.99,0.161
49,0.0188,0.04029,0.008081,0.01389,20150322,2721.23,51.16
50,0.03982,0.03982,0.01858,0.01858,20150323,872.9,34.76
51,0.03701,0.03701,0.03688,0.03701,20150324,34.91,1.29
52,0.03696,0.03696,0.03572,0.03696,20150325,60.0,2.22
53,0.0372,0.0372,0.0372,0.0372,20150326,0.0,0.0
54,0.03708,0.03708,0.03708,0.03708,20150327,0.0,0.0
55,0.0378,0.0378,0.0378,0.0378,20150328,0.0,0.0
56,0.03631,0.03631,0.03631,0.03631,20150329,0.0,0.0
57,0.01728,0.03702,0.01728,0.03702,20150330,257.0,4.44
58,0.03027,0.03027,0.01465,0.01709,20150331,539.8,16.34
59,0.01231,0.03053,0.01231,0.03053,20150401,1984.5,24.43
60,0.0101,0.01263,0.0101,0.01263,20150402,2743.86,27.71
61,0.01019,0.01062,0.01018,0.01018,20150403,92.45,0.9421
62,0.01138,0.01138,0.01013,0.01013,20150404,19.95,0.227
63,0.01168,0.01168,0.01168,0.01168,20150405,126.79,1.48
64,0.01147,0.01147,0.01147,0.01147,20150406,97.48,1.12
65,0.01164,0.01164,0.01138,0.01138,20150407,350.0,4.07
66,0.01125,0.01125,0.01125,0.01125,20150408,0.0,0.0
67,0.01228,0.01228,0.01119,0.01119,20150409,292.36,3.59
68,0.01174,0.01185,0.01174,0.01185,20150410,695.31,8.16
69,0.04935,0.04935,0.01182,0.01182,20150411,2262.68,111.66
70,0.04715,0.04922,0.04715,0.04922,20150412,2.6,0.1226
71,0.0447,0.0447,0.0447,0.0447,20150413,0.0,0.0
72,0.04358,0.04358,0.04358,0.04358,20150414,0.0,0.0
73,0.02072,0.02381,0.02072,0.04457,20150415,664.63,13.77
