,close,high,low,open,time,volumefrom,volumeto
0,0.03278,6.4,0.00666,6.4,20171206,762.96,48.28
1,0.035,0.035,0.00666,0.03278,20171207,2882.95,100.05
2,0.035,0.035,0.035,0.035,20171208,0.0,0.0
3,0.03385,0.035,0.03385,0.035,20171209,15.0,0.5077
4,0.03385,0.03385,0.03385,0.03385,20171210,0.0,0.0
5,0.03375,0.03485,0.03375,0.03385,20171211,710.83,24.04
6,0.03375,0.03375,0.03375,0.03375,20171212,0.0,0.0
7,0.03375,0.03375,0.03375,0.03375,20171213,0.0,0.0
8,0.008,0.03375,0.008,0.03375,20171214,128.04,1.02
9,0.008,0.008,0.008,0.008,20171215,100.0,0.8
10,0.008,0.008,0.008,0.008,20171216,157.59,1.26
11,0.02998,0.02998,0.008,0.008,20171217,136.66,3.29
12,0.02998,0.02998,0.02998,0.02998,20171218,0.0,0.0
13,0.008,0.02998,0.008,0.02998,20171219,19.82,0.1585
14,0.008,0.008,0.008,0.008,20171220,0.0,0.0
15,0.008,0.029,0.008,0.008,20171221,413.23,9.61
16,0.008,0.008,0.008,0.008,20171222,0.0,0.0
17,0.008,0.008,0.008,0.008,20171223,0.0,0.0
18,0.008,0.008,0.008,0.008,20171224,0.0,0.0
19,0.008,0.008,0.008,0.008,20171225,34.42,0.2753
20,0.0266,0.0266,0.008,0.008,20171226,86.16,1.56
21,0.0266,0.0266,0.0266,0.0266,20171227,4.14,0.11
22,0.0266,0.0266,0.0266,0.0266,20171228,0.0,0.0
23,0.0266,0.0266,0.0266,0.0266,20171229,0.0,0.0
24,0.0142,0.0266,0.0142,0.0266,20171230,122.03,1.73
25,0.0142,0.0142,0.0142,0.0142,20171231,0.0,0.0
26,0.0142,0.0142,0.0142,0.0142,20180101,0.0,0.0
27,0.0191,0.0191,0.0142,0.0142,20180102,364.07,6.94
28,0.007,0.0191,0.007,0.0191,20180103,16.31,0.1142
29,0.007,0.007,0.007,0.007,20180104,0.0,0.0
30,0.0266,0.0266,0.007,0.007,20180105,159.48,4.24
31,0.0266,0.0266,0.007,0.0266,20180106,201.28,2.23
32,0.0266,0.0266,0.007,0.0266,20180107,72.27,1.24
33,0.0266,0.0266,0.0266,0.0266,20180108,0.0,0.0
34,0.007,0.0266,0.007,0.0266,20180109,109.79,2.67
35,0.011,0.03485,0.007,0.007,20180110,1039.79,18.77
36,0.011,0.011,0.011,0.011,20180111,0.0,0.0
37,0.011,0.011,0.011,0.011,20180112,0.0,0.0
38,0.011,0.011,0.011,0.011,20180113,0.0,0.0
39,0.011,0.011,0.011,0.011,20180114,0.0,0.0
40,0.011,0.011,0.011,0.011,20180115,0.0,0.0
41,0.011,0.011,0.011,0.011,20180116,0.0,0.0
42,0.011,0.011,0.011,0.011,20180117,0.0,0.0
43,0.011,0.011,0.011,0.011,20180118,0.0,0.0
44,0.011,0.011,0.011,0.011,20180119,0.0,0.0
45,0.011,0.011,0.011,0.011,20180120,0.0,0.0
46,0.011,0.011,0.011,0.011,20180121,0.0,0.0
47,0.011,0.011,0.011,0.011,20180122,0.0,0.0
48,0.011,0.011,0.011,0.011,20180123,0.0,0.0
49,0.011,0.011,0.011,0.011,20180124,0.0,0.0
50,0.011,0.011,0.011,0.011,20180125,0.0,0.0
51,0.011,0.011,0.011,0.011,20180126,0.0,0.0
52,0.011,0.011,0.011,0.011,20180127,0.0,0.0
53,0.011,0.011,0.011,0.011,20180128,0.0,0.0
54,0.011,0.011,0.011,0.011,20180129,0.0,0.0
55,0.011,0.011,0.011,0.011,20180130,0.0,0.0
56,0.011,0.011,0.011,0.011,20180131,0.0,0.0
57,0.011,0.011,0.011,0.011,20180201,0.0,0.0
58,0.011,0.011,0.011,0.011,20180202,0.0,0.0
59,0.011,0.011,0.011,0.011,20180203,0.0,0.0
60,0.011,0.011,0.011,0.011,20180204,0.0,0.0
61,0.011,0.011,0.011,0.011,20180205,0.0,0.0
62,0.011,0.011,0.011,0.011,20180206,0.0,0.0
63,0.011,0.011,0.011,0.011,20180207,0.0,0.0
64,0.011,0.011,0.011,0.011,20180208,0.0,0.0
65,0.011,0.011,0.011,0.011,20180209,0.0,0.0
66,0.011,0.011,0.011,0.011,20180210,0.0,0.0
67,0.011,0.011,0.011,0.011,20180211,0.0,0.0
68,0.011,0.011,0.011,0.011,20180212,0.0,0.0
69,0.011,0.011,0.011,0.011,20180213,0.0,0.0
70,0.011,0.011,0.011,0.011,20180214,0.0,0.0
71,0.011,0.011,0.011,0.011,20180215,0.0,0.0
72,0.011,0.011,0.011,0.011,20180216,0.0,0.0
73,0.011,0.011,0.011,0.011,20180217,0.0,0.0
