,close,high,low,open,time,volumefrom,volumeto
0,0.0005,0.0006,0.0005,0.0006,20180706,1122005.97,605.83
1,0.0005,0.0005,0.0005,0.0005,20180707,67236.62,33.62
2,0.0005,0.0005,0.0004,0.0005,20180708,242151.0,119.67
3,0.0006,0.0006,0.0005,0.0005,20180709,222043.67,113.42
4,0.0005,0.0006,0.0004,0.0006,20180710,883990.65,475.02
5,0.0004,0.0006,0.0004,0.0005,20180711,334.39,0.1807
6,0.0004,0.0005,0.0004,0.0004,20180712,26357.32,12.19
7,0.0005,0.0005,0.0004,0.0004,20180713,164348.71,82.17
8,0.0005,0.0006,0.0005,0.0005,20180714,8947.23,4.56
9,0.0004,0.0005,0.0004,0.0005,20180715,10842.23,5.11
10,0.0006,0.0006,0.0004,0.0004,20180716,86705.8,43.5
11,0.0005,0.0006,0.0004,0.0006,20180717,74983.53,36.38
12,0.0005,0.0006,0.0004,0.0005,20180718,727622.7,363.82
13,0.0006,0.0006,0.0005,0.0005,20180719,14094.45,8.46
14,0.0007,0.0008,0.0006,0.0006,20180720,927227.16,604.44
15,0.0007,0.0007,0.0006,0.0007,20180721,385685.25,263.05
16,0.0007,0.0007,0.0006,0.0007,20180722,10903.98,7.5
17,0.0013,0.0013,0.0006,0.0007,20180723,580343.03,611.06
18,0.001,0.0013,0.0009,0.0013,20180724,287006.18,343.27
19,0.0009,0.0011,0.0009,0.001,20180725,313028.01,325.77
20,0.0009,0.0011,0.0009,0.0009,20180726,234884.46,248.73
21,0.0008,0.0009,0.0008,0.0009,20180727,202632.61,163.91
22,0.0009,0.0009,0.0008,0.0008,20180728,77061.78,61.78
23,0.0008,0.0009,0.0008,0.0009,20180729,69015.97,60.91
24,0.0007,0.0008,0.0007,0.0008,20180730,165639.62,122.71
25,0.0008,0.0008,0.0007,0.0007,20180731,173698.93,138.95
26,0.0009,0.0009,0.0007,0.0008,20180801,111505.82,88.73
27,0.0007,0.0009,0.0007,0.0009,20180802,150098.97,132.31
28,0.0008,0.0009,0.0007,0.0007,20180803,187714.83,143.51
29,0.0007,0.0008,0.0007,0.0008,20180804,49398.85,35.63
30,0.0006,0.0007,0.0006,0.0007,20180805,399.28,0.2396
31,0.0007,0.0007,0.0006,0.0006,20180806,107187.37,67.72
32,0.0007,0.0007,0.0007,0.0007,20180807,34985.0,24.49
33,0.0005,0.0007,0.0005,0.0007,20180808,180842.19,98.45
34,0.0004,0.0007,0.0004,0.0005,20180809,1209658.02,838.72
35,0.0006,0.0006,0.0004,0.0004,20180810,62.76,0.03766
36,0.0005,0.0007,0.0005,0.0006,20180811,844126.72,583.44
37,0.0005,0.0006,0.0005,0.0005,20180812,15019.93,8.01
38,0.0005,0.0006,0.0005,0.0005,20180813,223417.06,117.24
39,0.0005,0.0005,0.0004,0.0005,20180814,297.64,0.1485
40,0.0004,0.0005,0.0004,0.0005,20180815,287296.79,114.94
41,0.0005,0.0005,0.0004,0.0004,20180816,40.22,0.0178
42,0.0005,0.0005,0.0005,0.0005,20180817,1390025.67,695.01
43,0.0005,0.0005,0.0005,0.0005,20180818,76.0,0.038
44,0.0004,0.0005,0.0004,0.0005,20180819,11569.84,4.74
45,0.0005,0.0005,0.0004,0.0004,20180820,16850.63,8.43
46,0.0006,0.0006,0.0004,0.0005,20180821,1729319.07,988.31
47,0.0005,0.0006,0.0004,0.0006,20180822,44270.18,22.04
48,0.0005,0.0005,0.0005,0.0005,20180823,0.0,0.0
49,0.0005,0.0005,0.0004,0.0005,20180824,307146.33,153.57
50,0.0005,0.0005,0.0004,0.0005,20180825,47671.87,23.83
51,0.0005,0.0005,0.0005,0.0005,20180826,51378.72,25.69
52,0.0005,0.0005,0.0005,0.0005,20180827,22.0,0.011
53,0.0005,0.0005,0.0005,0.0005,20180828,138002.0,69.0
54,0.0005,0.0005,0.0004,0.0005,20180829,51515.82,24.81
55,0.0004,0.0005,0.0004,0.0005,20180830,329411.52,161.06
56,0.0005,0.0005,0.0004,0.0004,20180831,91154.88,45.58
57,0.0004,0.0005,0.0004,0.0005,20180901,29888.16,13.98
58,0.0004,0.0005,0.0004,0.0004,20180902,184239.24,76.81
59,0.0004,0.0005,0.0004,0.0004,20180903,7914.6,3.96
60,0.0004,0.0005,0.0004,0.0004,20180904,124434.48,62.16
61,0.0005,0.0005,0.0004,0.0004,20180905,382351.0,191.18
62,0.0005,0.0006,0.0004,0.0005,20180906,893751.91,446.94
63,0.0006,0.0006,0.0004,0.0005,20180907,70980.55,31.54
64,0.0005,0.0006,0.0004,0.0006,20180908,52078.06,26.0
65,0.0005,0.0007,0.0005,0.0005,20180909,529178.51,287.6
66,0.0005,0.0006,0.0005,0.0005,20180910,67438.39,34.15
67,0.0006,0.0006,0.0005,0.0005,20180911,22713.74,11.37
68,0.0005,0.0006,0.0005,0.0006,20180912,645291.38,339.19
69,0.0006,0.0006,0.0005,0.0005,20180913,524914.63,271.27
70,0.0006,0.0006,0.0005,0.0006,20180914,222944.45,122.1
71,0.0005,0.0006,0.0005,0.0006,20180915,149269.87,74.63
72,0.0005,0.0005,0.0005,0.0005,20180916,516.0,0.258
73,0.0005,0.0005,0.0005,0.0005,20180917,0.0,0.0
74,0.0005,0.0006,0.0004,0.0005,20180918,741470.94,312.29
75,0.0004,0.0005,0.0004,0.0005,20180919,13828.97,6.63
76,0.0005,0.0005,0.0004,0.0004,20180920,56.37,0.02818
77,0.0004,0.0005,0.0004,0.0005,20180921,982972.25,481.67
78,0.0004,0.0005,0.0004,0.0004,20180922,13237.82,6.61
79,0.0005,0.0005,0.0004,0.0004,20180923,51138.83,25.57
80,0.0005,0.0005,0.0005,0.0005,20180924,189970.79,94.99
81,0.0005,0.0005,0.0005,0.0005,20180925,64239.25,32.12
82,0.0005,0.0005,0.0004,0.0005,20180926,251877.42,103.62
83,0.0004,0.0005,0.0004,0.0005,20180927,2.5,0.001
84,0.0005,0.0005,0.0004,0.0004,20180928,194747.54,94.51
85,0.0004,0.0005,0.0004,0.0005,20180929,487469.29,243.72
86,0.0005,0.0005,0.0004,0.0004,20180930,83.29,0.04132
87,0.0004,0.0005,0.0004,0.0005,20181001,538989.78,216.63
88,0.0005,0.0005,0.0004,0.0004,20181002,146186.65,66.83
89,0.0005,0.0005,0.0004,0.0005,20181003,708113.23,354.05
90,0.0005,0.0005,0.0004,0.0005,20181004,50164.5,20.08
91,0.0004,0.0005,0.0004,0.0005,20181005,241128.47,118.28
92,0.0005,0.0005,0.0004,0.0004,20181006,249117.7,100.68
93,0.0004,0.0005,0.0004,0.0005,20181007,21985.71,8.82
94,0.0004,0.0004,0.0004,0.0004,20181008,0.0,0.0
95,0.0004,0.0005,0.0004,0.0004,20181009,234859.87,108.22
96,0.0004,0.0005,0.0004,0.0004,20181010,438675.34,199.57
97,0.0005,0.0005,0.0004,0.0004,20181011,153948.11,65.66
98,0.0004,0.0005,0.0004,0.0005,20181012,540770.78,216.31
