,close,high,low,open,time,volumefrom,volumeto
0,2.664e-05,3.045e-05,2.664e-05,2.664e-05,20141202,0,0
1,3.016e-05,3.016e-05,2.639e-05,2.639e-05,20141203,0,0
2,2.589e-05,2.959e-05,2.589e-05,2.959e-05,20141204,0,0
3,2.643e-05,3.399e-05,2.643e-05,2.643e-05,20141205,0,0
4,2.634e-05,3.01e-05,2.634e-05,2.634e-05,20141206,0,0
5,2.635e-05,3.012e-05,2.635e-05,2.635e-05,20141207,0,0
6,2.555e-05,2.92e-05,2.555e-05,2.555e-05,20141208,0,0
7,2.818e-05,2.818e-05,2.465e-05,2.465e-05,20141209,0,0
8,2.088e-05,2.784e-05,2.088e-05,2.784e-05,20141210,0,0
9,2.434e-05,2.781e-05,2.086e-05,2.086e-05,20141211,0,0
10,2.12e-05,2.474e-05,2.12e-05,2.474e-05,20141212,0,0
11,2.089e-05,2.438e-05,1.741e-05,2.089e-05,20141213,0,0
12,2.096e-05,2.096e-05,1.747e-05,2.096e-05,20141214,0,0
13,1.727e-05,2.072e-05,1.727e-05,2.072e-05,20141215,0,0
14,1.651e-05,1.981e-05,1.651e-05,1.651e-05,20141216,0,0
15,1.92e-05,1.92e-05,1.6e-05,1.6e-05,20141217,0,0
16,1.552e-05,1.862e-05,1.552e-05,1.862e-05,20141218,0,0
17,1.907e-05,1.907e-05,1.589e-05,1.589e-05,20141219,0,0
18,1.652e-05,1.982e-05,1.652e-05,1.982e-05,20141220,0,0
19,1.613e-05,1.936e-05,1.291e-05,1.613e-05,20141221,0,0
20,1.985e-05,1.985e-05,1.654e-05,1.654e-05,20141222,0,0
21,2.011e-05,2.011e-05,1.676e-05,2.011e-05,20141223,0,0
22,1.612e-05,1.934e-05,1.612e-05,1.934e-05,20141224,0,0
23,1.595e-05,1.914e-05,1.595e-05,1.595e-05,20141225,0,0
24,1.98e-05,1.98e-05,1.65e-05,1.65e-05,20141226,0,0
25,1.892e-05,1.892e-05,1.577e-05,1.892e-05,20141227,0,0
26,1.583e-05,1.899e-05,1.583e-05,1.899e-05,20141228,0,0
27,1.885e-05,1.885e-05,1.571e-05,1.571e-05,20141229,0,0
28,1.556e-05,1.868e-05,1.245e-05,1.868e-05,20141230,0,0
29,1.591e-05,1.909e-05,1.591e-05,1.591e-05,20141231,0,0
30,1.574e-05,1.889e-05,1.26e-05,1.574e-05,20150101,0,0
31,1.576e-05,1.891e-05,1.261e-05,1.576e-05,20150102,0,0
32,1.436e-05,1.723e-05,1.149e-05,1.436e-05,20150103,0,0
33,1.059e-05,1.588e-05,1.059e-05,1.324e-05,20150104,0,0
34,1.374e-05,1.649e-05,1.099e-05,1.099e-05,20150105,0,0
35,1.411e-05,1.694e-05,1.411e-05,1.411e-05,20150106,0,0
36,1.457e-05,1.748e-05,1.457e-05,1.457e-05,20150107,0,0
37,1.413e-05,1.696e-05,1.413e-05,1.413e-05,20150108,0,0
38,1.152e-05,1.728e-05,1.152e-05,1.44e-05,20150109,0,0
39,1.367e-05,1.64e-05,1.093e-05,1.093e-05,20150110,0,0
40,1.059e-05,1.324e-05,1.059e-05,1.324e-05,20150111,0,0
41,1.077e-05,1.616e-05,1.077e-05,1.077e-05,20150112,0,0
42,1.106e-05,1.106e-05,8.85e-06,8.85e-06,20150113,0,0
43,8.25e-06,8.25e-06,6.6e-06,8.25e-06,20150114,0,0
44,8.39e-06,1.049e-05,8.39e-06,1.049e-05,20150115,0,0
45,1.035e-05,1.242e-05,8.28e-06,8.28e-06,20150116,0,0
46,9.98e-06,1.198e-05,7.99e-06,9.98e-06,20150117,0,0
47,1.264e-05,1.264e-05,1.053e-05,1.053e-05,20150118,0,0
48,1.079e-05,1.295e-05,8.63e-06,1.295e-05,20150119,0,0
49,8.42e-06,1.263e-05,8.42e-06,1.053e-05,20150120,0,0
50,1.369e-05,1.369e-05,9.13e-06,9.13e-06,20150121,0,0
51,1.396e-05,1.396e-05,9.31e-06,1.396e-05,20150122,0,0
52,1.161e-05,1.393e-05,1.161e-05,1.393e-05,20150123,0,0
53,1.489e-05,1.489e-05,9.93e-06,1.241e-05,20150124,0,0
54,1.008e-05,1.513e-05,1.008e-05,1.513e-05,20150125,0,0
55,1.077e-05,1.346e-05,1.077e-05,1.077e-05,20150126,0,0
56,1.053e-05,1.316e-05,1.053e-05,1.053e-05,20150127,0,0
57,1.181e-05,1.181e-05,9.45e-06,9.45e-06,20150128,0,0
58,9.36e-06,1.17e-05,9.36e-06,1.17e-05,20150129,0,0
59,9.27e-06,1.159e-05,9.27e-06,9.27e-06,20150130,0,0
60,1.093e-05,1.093e-05,8.74e-06,8.74e-06,20150131,0,0
61,1.126e-05,1.126e-05,9.01e-06,1.126e-05,20150201,0,0
62,1.194e-05,1.194e-05,9.55e-06,1.194e-05,20150202,0,0
63,1.137e-05,1.364e-05,9.1e-06,1.137e-05,20150203,0,0
64,9.06e-06,1.133e-05,9.06e-06,1.133e-05,20150204,0,0
65,8.66e-06,1.083e-05,8.66e-06,8.66e-06,20150205,0,0
66,1.115e-05,1.115e-05,8.92e-06,8.92e-06,20150206,0,0
67,1.138e-05,1.366e-05,1.138e-05,1.138e-05,20150207,0,0
68,1.342e-05,1.342e-05,1.118e-05,1.118e-05,20150208,0,0
69,1.102e-05,1.322e-05,1.102e-05,1.322e-05,20150209,0,0
70,1.318e-05,1.318e-05,1.098e-05,1.098e-05,20150210,0,0
71,1.313e-05,1.313e-05,1.094e-05,1.313e-05,20150211,0,0
72,1.331e-05,1.553e-05,1.109e-05,1.331e-05,20150212,0,0
73,1.653e-05,1.889e-05,1.417e-05,1.417e-05,20150213,0,0
74,1.81e-05,2.069e-05,1.552e-05,2.069e-05,20150214,0,0
75,1.633e-05,1.866e-05,1.4e-05,1.633e-05,20150215,0,0
76,1.651e-05,1.651e-05,1.415e-05,1.651e-05,20150216,0,0
77,1.702e-05,1.702e-05,1.459e-05,1.702e-05,20150217,0,0
78,1.646e-05,1.646e-05,1.411e-05,1.646e-05,20150218,0,0
79,1.452e-05,1.693e-05,1.452e-05,1.693e-05,20150219,0,0
80,1.223e-05,1.712e-05,1.223e-05,1.467e-05,20150220,0,0
81,1.466e-05,1.711e-05,1.222e-05,1.222e-05,20150221,0,0
82,1.179e-05,1.414e-05,1.179e-05,1.414e-05,20150222,0,0
83,1.433e-05,1.433e-05,1.194e-05,1.194e-05,20150223,0,0
84,1.194e-05,1.433e-05,1.194e-05,1.433e-05,20150224,0,0
85,1.424e-05,1.424e-05,1.187e-05,1.187e-05,20150225,0,0
86,1.183e-05,1.419e-05,9.46e-06,1.419e-05,20150226,0,0
87,1.267e-05,1.521e-05,1.014e-05,1.267e-05,20150227,0,0
88,1.27e-05,1.524e-05,1.016e-05,1.27e-05,20150228,0,0
89,1.032e-05,1.548e-05,1.032e-05,1.29e-05,20150301,0,0
90,1.369e-05,1.642e-05,1.095e-05,1.095e-05,20150302,0,0
91,1.403e-05,1.684e-05,1.403e-05,1.403e-05,20150303,0,0
92,1.36e-05,1.632e-05,1.088e-05,1.36e-05,20150304,0,0
93,1.101e-05,1.376e-05,1.101e-05,1.376e-05,20150305,0,0
94,1.09e-05,1.363e-05,1.09e-05,1.09e-05,20150306,0,0
95,1.375e-05,1.375e-05,1.1e-05,1.1e-05,20150307,0,0
