,close,high,low,open,time,volumefrom,volumeto
0,3.81e-06,7.61e-06,3.81e-06,3.81e-06,20141202,0.0,0.0
1,3.77e-06,7.54e-06,3.77e-06,3.77e-06,20141203,0.0,0.0
2,3.7e-06,7.4e-06,3.7e-06,3.7e-06,20141204,0.0,0.0
3,3.78e-06,7.55e-06,3.78e-06,3.78e-06,20141205,0.0,0.0
4,3.76e-06,7.53e-06,3.76e-06,3.76e-06,20141206,0.0,0.0
5,3.76e-06,7.53e-06,3.76e-06,3.76e-06,20141207,0.0,0.0
6,3.65e-06,7.3e-06,3.65e-06,3.65e-06,20141208,0.0,0.0
7,3.52e-06,7.04e-06,3.52e-06,3.52e-06,20141209,0.0,0.0
8,3.48e-06,6.96e-06,3.48e-06,3.48e-06,20141210,0.0,0.0
9,3.48e-06,6.95e-06,3.48e-06,3.48e-06,20141211,0.0,0.0
10,3.53e-06,7.07e-06,3.53e-06,3.53e-06,20141212,0.0,0.0
11,6.96e-06,1.045e-05,3.48e-06,3.48e-06,20141213,0.0,0.0
12,6.99e-06,1.048e-05,6.99e-06,6.99e-06,20141214,0.0,0.0
13,6.91e-06,1.036e-05,6.91e-06,6.91e-06,20141215,0.0,0.0
14,1.321e-05,1.651e-05,6.6e-06,6.6e-06,20141216,0.0,0.0
15,9.6e-06,1.28e-05,9.6e-06,1.28e-05,20141217,0.0,0.0
16,9.31e-06,1.241e-05,9.31e-06,9.31e-06,20141218,0.0,0.0
17,9.53e-06,1.271e-05,9.53e-06,9.53e-06,20141219,0.0,0.0
18,9.91e-06,1.321e-05,9.91e-06,9.91e-06,20141220,0.0,0.0
19,9.68e-06,1.291e-05,9.68e-06,9.68e-06,20141221,0.0,0.0
20,9.93e-06,1.323e-05,9.93e-06,9.93e-06,20141222,0.0,0.0
21,1.006e-05,1.341e-05,1.006e-05,1.006e-05,20141223,0.0,0.0
22,1.29e-05,1.29e-05,9.67e-06,9.67e-06,20141224,0.0,0.0
23,9.57e-06,1.276e-05,9.57e-06,1.276e-05,20141225,0.0,0.0
24,9.9e-06,1.32e-05,9.9e-06,9.9e-06,20141226,0.0,0.0
25,1.261e-05,1.261e-05,9.46e-06,9.46e-06,20141227,0.0,0.0
26,1.266e-05,1.266e-05,9.5e-06,1.266e-05,20141228,0.0,0.0
27,9.42e-06,1.256e-05,9.42e-06,1.256e-05,20141229,0.0,0.0
28,1.245e-05,1.245e-05,9.34e-06,9.34e-06,20141230,0.0,0.0
29,1.273e-05,1.591e-05,9.55e-06,1.273e-05,20141231,0.0,0.0
30,1.574e-05,1.574e-05,1.26e-05,1.26e-05,20150101,0.0,0.0
31,1.576e-05,1.576e-05,1.261e-05,1.576e-05,20150102,0.0,0.0
32,1.436e-05,1.436e-05,1.149e-05,1.436e-05,20150103,0.0,0.0
33,1.059e-05,1.324e-05,7.94e-06,1.324e-05,20150104,0.0,0.0
34,1.374e-05,1.374e-05,8.25e-06,1.099e-05,20150105,0.0,0.0
35,8.47e-06,1.411e-05,8.47e-06,1.411e-05,20150106,0.0,0.0
36,8.74e-06,1.457e-05,8.74e-06,8.74e-06,20150107,0.0,0.0
37,1.131e-05,1.131e-05,8.48e-06,8.48e-06,20150108,0.0,0.0
38,8.64e-06,1.44e-05,8.64e-06,1.152e-05,20150109,0.0,0.0
39,8.2e-06,1.093e-05,8.2e-06,8.2e-06,20150110,0.0,0.0
40,7.94e-06,1.059e-05,7.94e-06,7.94e-06,20150111,0.0,0.0
41,8.08e-06,8.08e-06,8.08e-06,8.08e-06,20150112,0.0,0.0
