,close,high,low,open,time,volumefrom,volumeto
0,0.2996,0.2996,0.2996,0.2996,20140527,30.3,9.08
1,0.3,0.3,0.3,0.3,20140528,0.0,0.0
2,0.2966,0.2966,0.2966,0.2966,20140529,0.0,0.0
3,0.3218,0.3218,0.3218,0.3218,20140530,0.0,0.0
4,0.33,0.33,0.33,0.33,20140531,0.0,0.0
5,0.3415,0.3415,0.3415,0.3415,20140601,0.0,0.0
6,0.3445,0.3445,0.3445,0.3445,20140602,0.0,0.0
7,0.1285,0.3518,0.1285,0.3518,20140603,0.3276,0.0421
8,0.1227,0.1227,0.1227,0.1227,20140604,0.0,0.0
9,0.1268,0.1268,0.1268,0.1268,20140605,0.0,0.0
10,0.1249,0.1249,0.1249,0.1249,20140606,0.0,0.0
11,0.1173,0.1251,0.1173,0.1251,20140607,20.85,2.45
12,0.1172,0.1172,0.1172,0.1172,20140608,39.47,4.63
13,0.116,0.116,0.116,0.116,20140609,185.16,21.48
14,0.118,0.118,0.118,0.118,20140610,36.66,4.33
15,0.1157,0.1157,0.1157,0.1157,20140611,0.0,0.0
16,0.1075,0.1075,0.1075,0.1075,20140612,6.44,0.6923
17,0.1099,0.1099,0.1099,0.1099,20140613,0.0,0.0
18,0.105,0.105,0.105,0.105,20140614,11.53,1.21
19,0.1048,0.1048,0.1048,0.1048,20140615,0.0,0.0
20,0.1078,0.1078,0.1078,0.1078,20140616,116.07,12.51
21,0.1089,0.1089,0.1089,0.1089,20140617,0.0,0.0
22,0.1089,0.1091,0.1089,0.1091,20140618,71.27,7.76
23,0.1079,0.1079,0.1079,0.1079,20140619,0.0,0.0
24,0.09482,0.1066,0.09482,0.1062,20140620,4.23,0.4011
25,0.09582,0.09582,0.09582,0.09582,20140621,0.0,0.0
26,0.09688,0.09688,0.09688,0.09688,20140622,0.0,0.0
27,0.05912,0.09488,0.05912,0.09488,20140623,35.41,2.09
28,0.06141,0.06141,0.05888,0.05888,20140624,1.44,0.08843
29,0.05929,0.05929,0.05929,0.05929,20140625,0.0,0.0
30,0.06078,0.06078,0.06078,0.06078,20140626,0.0,0.0
31,0.06281,0.06281,0.06281,0.06281,20140627,0.0,0.0
32,0.06233,0.06233,0.06233,0.06233,20140628,0.0,0.0
33,0.06269,0.06269,0.06269,0.06269,20140629,0.0,0.0
34,0.06625,0.06625,0.06625,0.06625,20140630,0.0,0.0
35,0.06824,0.06824,0.009648,0.06708,20140701,0.0004546,3.102e-05
36,0.07839,0.07839,0.0226,0.06851,20140702,5.0,0.392
37,0.07746,0.07746,0.07746,0.07746,20140703,0.0,0.0
38,0.07575,0.07575,0.07575,0.07575,20140704,0.0,0.0
39,0.07563,0.07563,0.07563,0.07563,20140705,0.0,0.0
40,0.07608,0.07608,0.07608,0.07608,20140706,0.0,0.0
41,0.07449,0.07449,0.07449,0.07449,20140707,0.0,0.0
42,0.0747,0.0747,0.0747,0.0747,20140708,0.0,0.0
43,0.07563,0.07563,0.07563,0.07563,20140709,0.0,0.0
44,0.07507,0.07507,0.07507,0.07507,20140710,0.0,0.0
45,0.07683,0.07683,0.07683,0.07683,20140711,0.0,0.0
46,0.0772,0.0772,0.0772,0.0772,20140712,0.0,0.0
47,0.07624,0.07624,0.07624,0.07624,20140713,0.0,0.0
48,0.07506,0.07506,0.07506,0.07506,20140714,0.0,0.0
49,0.07522,0.07522,0.07522,0.07522,20140715,0.0,0.0
50,0.02671,0.07464,0.02671,0.07464,20140716,7.29,0.1947
51,0.02722,0.02722,0.02722,0.02722,20140717,0.0,0.0
52,0.02726,0.02726,0.02726,0.02726,20140718,0.0,0.0
53,0.02724,0.02724,0.02724,0.02724,20140719,0.0,0.0
54,0.02698,0.02698,0.02698,0.02698,20140720,0.0,0.0
55,0.02716,0.02716,0.02716,0.02716,20140721,0.0,0.0
56,0.02705,0.02705,0.02705,0.02705,20140722,0.0,0.0
57,0.06876,0.06876,0.004974,0.02701,20140723,114.4,7.87
58,0.06657,0.06657,0.06657,0.06657,20140724,0.0,0.0
59,0.06642,0.06642,0.06642,0.06642,20140725,0.0,0.0
60,0.06592,0.06592,0.06592,0.06592,20140726,0.0,0.0
61,0.06581,0.06581,0.06581,0.06581,20140727,0.0,0.0
62,0.06503,0.06503,0.06503,0.06503,20140728,0.0,0.0
63,0.06479,0.06479,0.06479,0.06479,20140729,0.0,0.0
64,0.06245,0.06245,0.06245,0.06245,20140730,0.0,0.0
65,0.0652,0.0652,0.0652,0.0652,20140731,0.0,0.0
66,0.06623,0.06623,0.06623,0.06623,20140801,0.0,0.0
67,0.06544,0.06544,0.06544,0.06544,20140802,0.0,0.0
68,0.06514,0.06514,0.06514,0.06514,20140803,0.0,0.0
69,0.06556,0.06556,0.06556,0.06556,20140804,0.0,0.0
70,0.06512,0.06512,0.06512,0.06512,20140805,0.0,0.0
71,0.06523,0.06523,0.06523,0.06523,20140806,0.0,0.0
72,0.06556,0.06556,0.06556,0.06556,20140807,0.0,0.0
73,0.0659,0.0659,0.0659,0.0659,20140808,0.0,0.0
74,0.0652,0.0652,0.0652,0.0652,20140809,0.0,0.0
75,0.06548,0.06548,0.06548,0.06548,20140810,0.0,0.0
76,0.06369,0.06369,0.06369,0.06369,20140811,0.0,0.0
77,0.06278,0.06278,0.06278,0.06278,20140812,0.0,0.0
78,0.05996,0.05996,0.05996,0.05996,20140813,0.0,0.0
79,0.05583,0.05583,0.05583,0.05583,20140814,0.0,0.0
80,0.05491,0.05491,0.05491,0.05491,20140815,0.0,0.0
81,0.00783,0.05773,0.00783,0.05773,20140816,4.02,0.03148
82,0.007282,0.007282,0.007282,0.007282,20140817,0.0,0.0
83,0.006933,0.006933,0.006933,0.006933,20140818,0.0,0.0
84,0.007277,0.007277,0.007277,0.007277,20140819,0.0,0.0
85,0.007752,0.007752,0.007752,0.007752,20140820,0.0,0.0
86,0.007769,0.007769,0.007769,0.007769,20140821,0.0,0.0
87,0.007742,0.007742,0.007742,0.007742,20140822,0.0,0.0
88,0.007465,0.007465,0.007465,0.007465,20140823,0.0,0.0
89,0.007646,0.007646,0.007646,0.007646,20140824,0.0,0.0
90,0.007544,0.007544,0.007544,0.007544,20140825,0.0,0.0
91,0.007688,0.007688,0.007688,0.007688,20140826,0.0,0.0
92,0.007728,0.05467,0.007728,0.007728,20140827,1200.0,9.27
93,0.007661,0.007661,0.007661,0.007661,20140828,0.0,0.0
94,0.007688,0.007688,0.007688,0.007688,20140829,0.0,0.0
95,0.007589,0.007589,0.007589,0.007589,20140830,0.0,0.0
96,0.007227,0.007227,0.007227,0.007227,20140831,0.0,0.0
97,0.007158,0.007158,0.007158,0.007158,20140901,0.0,0.0
98,0.007184,0.007184,0.007184,0.007184,20140902,0.0,0.0
99,0.007201,0.007201,0.007201,0.007201,20140903,0.0,0.0
