,close,high,low,open,time,volumefrom,volumeto
0,7.209e-05,7.209e-05,6.984e-05,6.984e-05,20150201,2202085.53,158.75
1,7.644e-05,7.644e-05,7.405e-05,7.644e-05,20150202,1513715.0,115.71
2,7.505e-05,7.505e-05,6.14e-05,7.277e-05,20150203,2234273.52,167.68
3,7.251e-05,0.0001246,7.024e-05,7.477e-05,20150204,2160214.44,156.64
4,7.795e-05,9.527e-05,6.279e-05,6.929e-05,20150205,1165586.04,90.86
5,7.581e-05,8.027e-05,6.466e-05,8.027e-05,20150206,508730.72,38.57
6,6.83e-05,7.741e-05,6.603e-05,7.741e-05,20150207,982193.38,67.08
7,6.934e-05,7.381e-05,6.71e-05,6.71e-05,20150208,860907.37,59.7
8,6.831e-05,6.831e-05,6.17e-05,6.831e-05,20150209,848302.33,57.95
9,8.787e-05,9.885e-05,6.81e-05,6.81e-05,20150210,876756.92,77.04
10,0.0001291,0.0001313,8.753e-05,8.753e-05,20150211,1093488.55,141.17
11,0.000102,0.0001309,9.093e-05,0.0001309,20150212,331059.96,33.77
12,0.000111,0.000111,9.683e-05,0.0001086,20150213,327344.93,36.34
13,9.311e-05,0.0001216,9.311e-05,0.0001216,20150214,568731.38,52.95
14,0.0001073,0.0001073,8.164e-05,8.398e-05,20150215,824525.15,88.47
15,0.0001085,0.0001085,0.0001061,0.0001085,20150216,452540.24,49.1
16,7.296e-05,0.0001119,7.296e-05,0.0001119,20150217,2704314.0,197.31
17,0.0001294,0.0001294,7.056e-05,7.056e-05,20150218,8292055.85,1072.99
18,8.467e-05,0.0001548,8.467e-05,0.0001331,20150219,23252401.16,1968.78
19,8.803e-05,9.781e-05,8.069e-05,8.558e-05,20150220,6520042.69,573.96
20,9.532e-05,9.532e-05,9.288e-05,8.799e-05,20150221,152374.67,14.52
21,8.486e-05,8.486e-05,7.072e-05,9.193e-05,20150222,1334067.39,113.21
22,8.359e-05,8.598e-05,7.881e-05,8.598e-05,20150223,602380.91,50.35
23,8.361e-05,8.361e-05,6.45e-05,8.361e-05,20150224,1965432.45,164.33
24,8.069e-05,8.307e-05,6.883e-05,8.307e-05,20150225,1448570.98,116.89
25,8.042e-05,8.042e-05,7.096e-05,8.042e-05,20150226,724679.84,58.28
26,8.871e-05,8.871e-05,7.351e-05,8.618e-05,20150227,1990280.88,176.56
27,8.892e-05,8.892e-05,7.622e-05,8.892e-05,20150228,988929.57,87.94
28,9.286e-05,9.286e-05,9.028e-05,9.028e-05,20150301,613157.7,56.94
29,0.000104,0.000104,9.034e-05,9.855e-05,20150302,1304439.46,135.66
30,0.0001066,0.0001066,9.261e-05,0.0001066,20150303,741826.1,79.08
31,0.000106,0.000106,8.973e-05,0.0001033,20150304,126218.44,13.38
32,0.0001073,0.0001073,0.0001046,0.0001073,20150305,580405.56,62.28
33,0.0001008,0.0001063,9.267e-05,0.0001063,20150306,612886.69,61.78
34,0.0001017,0.0001017,9.072e-05,0.0001017,20150307,651861.67,66.29
35,9.882e-05,0.0001016,9.058e-05,0.0001016,20150308,645853.08,63.82
36,0.0001044,0.0001044,0.0001015,0.0001044,20150309,592475.47,61.85
37,0.0001049,0.0001049,0.000102,0.0001049,20150310,583507.21,61.21
38,8.572e-05,0.0001064,8.572e-05,0.0001064,20150311,1038797.9,89.05
39,0.0001058,0.0001058,8.522e-05,8.522e-05,20150312,623599.58,65.98
40,9.765e-05,0.0001034,8.616e-05,0.0001034,20150313,1227677.57,119.88
41,9.293e-05,9.574e-05,8.166e-05,9.574e-05,20150314,666886.12,61.97
42,9.401e-05,9.401e-05,9.116e-05,9.401e-05,20150315,658100.0,61.87
43,9.584e-05,9.584e-05,8.712e-05,9.584e-05,20150316,855944.0,82.03
44,9.418e-05,9.418e-05,7.705e-05,9.418e-05,20150317,958062.24,90.23
45,9.213e-05,9.213e-05,8.189e-05,8.445e-05,20150318,711725.0,65.57
46,7.828e-05,9.393e-05,7.828e-05,9.393e-05,20150319,1000450.7,78.32
47,9.162e-05,9.424e-05,7.853e-05,7.853e-05,20150320,528697.55,48.44
48,9.09e-05,9.09e-05,8.83e-05,9.09e-05,20150321,644844.44,58.62
49,9.4e-05,9.4e-05,9.131e-05,9.4e-05,20150322,653377.0,61.42
50,9.026e-05,9.291e-05,7.964e-05,9.291e-05,20150323,716624.72,64.68
51,8.635e-05,8.635e-05,8.142e-05,8.388e-05,20150324,741500.32,64.03
52,8.623e-05,8.623e-05,8.377e-05,8.623e-05,20150325,617031.49,53.21
53,7.441e-05,8.681e-05,7.193e-05,8.681e-05,20150326,635963.7,47.32
54,8.652e-05,8.652e-05,7.416e-05,7.416e-05,20150327,568272.33,49.17
55,8.569e-05,8.821e-05,7.057e-05,8.821e-05,20150328,676807.39,58.0
56,6.778e-05,8.231e-05,6.778e-05,8.231e-05,20150329,629529.42,42.67
57,8.638e-05,8.638e-05,8.391e-05,6.91e-05,20150330,623809.19,53.88
58,8.545e-05,8.545e-05,8.301e-05,8.545e-05,20150331,616757.6,52.7
59,8.618e-05,8.618e-05,8.372e-05,8.618e-05,20150401,956282.9,82.41
60,9.851e-05,9.851e-05,8.841e-05,8.841e-05,20150402,329934.79,32.5
61,9.925e-05,9.925e-05,9.67e-05,9.925e-05,20150403,626569.65,62.19
62,9.863e-05,9.863e-05,9.61e-05,9.863e-05,20150404,547086.33,53.96
63,7.01e-05,9.866e-05,7.01e-05,0.0001013,20150405,864520.17,60.6
64,9.179e-05,9.689e-05,6.884e-05,6.884e-05,20150406,602891.39,55.34
65,9.107e-05,9.107e-05,8.854e-05,9.107e-05,20150407,596702.0,54.34
66,8.805e-05,8.805e-05,6.848e-05,8.805e-05,20150408,880796.61,77.55
67,8.76e-05,8.76e-05,8.516e-05,8.76e-05,20150409,593930.63,52.03
68,8.45e-05,8.45e-05,8.216e-05,8.45e-05,20150410,583950.63,49.34
69,8.04e-05,8.513e-05,4.73e-05,8.513e-05,20150411,1250330.83,100.53
70,8.019e-05,8.019e-05,7.783e-05,8.019e-05,20150412,197939.7,15.87
71,7.602e-05,7.602e-05,7.378e-05,7.602e-05,20150413,621318.45,47.23
72,7.63e-05,7.63e-05,6.758e-05,7.412e-05,20150414,1043045.09,79.58
73,7.358e-05,7.804e-05,6.912e-05,7.804e-05,20150415,649829.52,47.81
74,7.523e-05,7.523e-05,7.295e-05,7.523e-05,20150416,654416.3,49.23
75,8.236e-05,8.236e-05,6.9e-05,7.345e-05,20150417,2421092.01,199.4
76,8.264e-05,8.264e-05,6.924e-05,8.264e-05,20150418,11043.19,0.9126
77,7.583e-05,8.252e-05,5.799e-05,8.252e-05,20150419,1566856.02,118.81
78,7.624e-05,7.624e-05,6.503e-05,7.624e-05,20150420,632072.24,48.19
79,7.947e-05,7.947e-05,7.713e-05,7.947e-05,20150421,647004.09,51.42
80,7.949e-05,7.949e-05,7.013e-05,7.949e-05,20150422,630625.0,50.13
81,8.004e-05,8.004e-05,8.004e-05,8.004e-05,20150423,0.0,0.0
82,7.857e-05,7.857e-05,7.857e-05,7.857e-05,20150424,0.0,0.0
83,7.689e-05,7.689e-05,7.689e-05,7.689e-05,20150425,0.0,0.0
84,7.436e-05,7.436e-05,7.436e-05,7.436e-05,20150426,0.0,0.0
85,8.014e-05,9.845e-05,8.014e-05,7.785e-05,20150427,106176.14,8.51
86,8.581e-05,9.484e-05,4.742e-05,7.903e-05,20150428,2227402.65,191.13
87,7.213e-05,9.017e-05,6.988e-05,8.566e-05,20150429,671937.8,48.47
88,7.073e-05,8.488e-05,7.073e-05,7.545e-05,20150430,2180972.85,154.26
89,8.162e-05,8.162e-05,6.996e-05,6.996e-05,20150501,643729.97,52.54
