,close,high,low,open,time,volumefrom,volumeto
0,0.002036,0.002306,0.001905,0.001905,20150120,0.0,0.0
1,0.001819,0.002542,0.001328,0.002206,20150121,0.0,0.0
2,0.00165,0.002206,0.001527,0.001855,20150122,0.0,0.0
3,0.001623,0.001788,0.001623,0.001646,20150123,0.0,0.0
4,0.00162,0.001812,0.001521,0.001735,20150124,0.0,0.0
5,0.001737,0.001802,0.001591,0.001646,20150125,0.0,0.0
6,0.001685,0.002016,0.001647,0.001855,20150126,0.0,0.0
7,0.00178,0.001914,0.001622,0.001648,20150127,0.0,0.0
8,0.001682,0.001748,0.001597,0.001597,20150128,0.0,0.0
9,0.00168,0.001706,0.001558,0.001666,20150129,0.0,0.0
10,0.001706,0.001706,0.001447,0.001665,20150130,0.0,0.0
11,0.001442,0.001608,0.001414,0.001608,20150131,0.0,0.0
12,0.001399,0.001543,0.001399,0.001487,20150201,0.0,0.0
13,0.001483,0.001758,0.001483,0.001483,20150202,0.0,0.0
14,0.002502,0.002502,0.00156,0.001592,20150203,1103649.1,2761.33
15,0.002261,0.002832,0.001736,0.002492,20150204,1337334.33,3023.71
16,0.002163,0.002468,0.002161,0.002161,20150205,320358.11,692.93
17,0.002357,0.003097,0.002227,0.002227,20150206,431385.57,1016.78
18,0.00263,0.00314,0.002407,0.002407,20150207,30283.81,79.65
19,0.002416,0.002592,0.002416,0.002583,20150208,292185.34,705.92
20,0.002737,0.002823,0.00238,0.00238,20150209,454197.67,1243.14
21,0.003515,0.003598,0.002583,0.002728,20150210,872828.54,3067.99
22,0.003563,0.003587,0.003236,0.003501,20150211,529406.68,1886.28
23,0.003799,0.004569,0.003105,0.003611,20150212,619077.49,2351.88
24,0.003507,0.004046,0.003306,0.004046,20150213,297084.77,1041.88
25,0.003629,0.003867,0.003375,0.003841,20150214,161548.77,586.26
26,0.003044,0.003312,0.003044,0.003273,20150215,65372.35,198.99
27,0.003724,0.003773,0.003078,0.003078,20150216,817531.3,3044.49
28,0.003602,0.004429,0.003417,0.00384,20150217,186739.08,672.63
29,0.003641,0.004234,0.003413,0.003483,20150218,110559.06,402.55
30,0.003479,0.003868,0.003406,0.003745,20150219,60261.45,209.65
31,0.003387,0.003912,0.003387,0.003516,20150220,71943.5,243.67
32,0.003358,0.003527,0.00318,0.003385,20150221,63497.19,213.22
33,0.003069,0.003239,0.003067,0.003239,20150222,22862.78,70.17
34,0.003148,0.003845,0.003105,0.003109,20150223,156316.05,492.08
35,0.003758,0.003849,0.003113,0.003149,20150224,498807.95,1874.52
36,0.003294,0.003823,0.0031,0.003733,20150225,625677.06,2060.98
37,0.004137,0.004196,0.003143,0.003283,20150226,1253616.8,5186.21
38,0.004271,0.004585,0.004076,0.004433,20150227,463111.36,1977.95
39,0.004189,0.004314,0.004093,0.004281,20150228,509745.16,2135.32
40,0.004493,0.004695,0.004189,0.004253,20150301,656948.19,2951.67
41,0.004791,0.004928,0.00438,0.004769,20150302,978855.38,4689.7
42,0.004502,0.005049,0.004488,0.004911,20150303,417795.99,1880.92
43,0.003404,0.004362,0.003404,0.004362,20150304,191289.86,651.15
44,0.002202,0.003614,0.001657,0.003446,20150305,80061.32,176.3
45,0.002164,0.002584,0.001862,0.00218,20150306,37340.27,80.8
46,0.002617,0.0029,0.002224,0.002183,20150307,72556.03,189.88
47,0.002759,0.002849,0.002575,0.002613,20150308,21260.51,58.66
48,0.002691,0.002883,0.002506,0.002915,20150309,9980.27,26.86
49,0.002681,0.002905,0.002622,0.002704,20150310,29350.52,78.69
50,0.002654,0.002897,0.002471,0.00272,20150311,12935.98,34.33
51,0.002442,0.002756,0.002413,0.002639,20150312,4881.93,11.92
52,0.002077,0.002723,0.00201,0.002387,20150313,87785.18,182.33
53,0.00169,0.002275,0.001599,0.002036,20150314,74232.25,125.45
54,0.001578,0.00198,0.001427,0.001709,20150315,57038.61,90.01
55,0.002309,0.002373,0.001371,0.001609,20150316,35202.98,81.28
56,0.001592,0.002109,0.001427,0.002269,20150317,125290.2,199.46
57,0.001418,0.001523,0.001185,0.001428,20150318,54842.09,77.77
58,0.00131,0.001446,0.00131,0.001446,20150319,50339.91,65.95
59,0.001495,0.001495,0.001312,0.001314,20150320,39549.19,59.13
60,0.001369,0.001483,0.001327,0.001483,20150321,138466.54,189.56
61,0.001711,0.001891,0.001423,0.001415,20150322,378540.85,647.68
62,0.00141,0.001858,0.00141,0.001691,20150323,310133.09,437.29
63,0.001411,0.001579,0.001172,0.00131,20150324,289814.35,408.93
64,0.001289,0.00151,0.001289,0.001409,20150325,39652.92,51.11
65,0.001364,0.001386,0.001297,0.001297,20150326,87777.09,119.73
66,0.001362,0.001496,0.001328,0.00136,20150327,35291.25,48.07
67,0.001358,0.001429,0.001353,0.001389,20150328,18951.93,25.74
68,0.001196,0.001356,0.001193,0.001305,20150329,134926.12,161.37
69,0.001256,0.001293,0.001113,0.001219,20150330,144896.71,181.99
70,0.001143,0.001382,0.001116,0.001243,20150331,158426.3,181.08
71,0.001022,0.001192,0.0009579,0.001152,20150401,412266.02,421.34
72,0.00101,0.001109,0.00101,0.001048,20150402,161381.42,163.0
73,0.0009874,0.001143,0.000911,0.001018,20150403,291520.47,287.85
74,0.001075,0.001075,0.0009205,0.0009812,20150404,100627.8,108.17
75,0.001067,0.001293,0.001039,0.001103,20150405,129468.54,138.14
76,0.001099,0.001242,0.001048,0.001048,20150406,88342.57,97.09
77,0.001085,0.00128,0.001075,0.00109,20150407,88732.22,96.27
78,0.001015,0.001162,0.001015,0.001049,20150408,106686.81,108.29
79,0.0009927,0.001102,0.0009854,0.00101,20150409,72233.63,71.71
80,0.0009577,0.001056,0.000953,0.0009577,20150410,67200.27,64.36
81,0.0009696,0.0009814,0.0009648,0.0009648,20150411,13194.16,12.79
82,0.0009646,0.001033,0.0009576,0.000967,20150412,32419.89,31.27
83,0.0009078,0.0009301,0.0009078,0.0009145,20150413,20898.08,18.97
84,0.001083,0.00112,0.000885,0.000885,20150414,113027.27,122.41
85,0.001006,0.001222,0.0009811,0.001108,20150415,35150.79,35.36
86,0.001097,0.001138,0.001026,0.001028,20150416,21849.62,23.97
87,0.00106,0.001102,0.0008236,0.001071,20150417,104852.4,111.14
88,0.0009827,0.001063,0.0009202,0.001063,20150418,52381.74,51.48
89,0.0009679,0.0009924,0.0009679,0.0009813,20150419,98144.96,94.99
90,0.0008297,0.0009732,0.0008297,0.0009732,20150420,90399.6,75.0
91,0.0008438,0.000956,0.0008181,0.0008648,20150421,212229.78,179.08
