,close,high,low,open,time,volumefrom,volumeto
0,0.1725,0.1727,0.1574,0.1727,20141202,0.0,0.0
1,0.1565,0.1709,0.1561,0.1708,20141203,0.0,0.0
2,0.1479,0.1849,0.1183,0.1535,20141204,0.0,0.0
3,0.1643,0.1746,0.1511,0.1511,20141205,0.0,0.0
4,0.1625,0.1689,0.1613,0.1637,20141206,0.0,0.0
5,0.1882,0.1882,0.1626,0.1626,20141207,0.0,0.0
6,0.1602,0.1847,0.1552,0.1825,20141208,0.0,0.0
7,0.1508,0.1787,0.1498,0.1546,20141209,0.0,0.0
8,0.1379,0.155,0.136,0.149,20141210,0.0,0.0
9,0.1044,0.1393,0.06957,0.1378,20141211,0.0,0.0
10,0.1316,0.1414,0.1061,0.1061,20141212,0.0,0.0
11,0.1244,0.1393,0.1114,0.1296,20141213,0.0,0.0
12,0.1216,0.1274,0.1216,0.1248,20141214,0.0,0.0
13,0.1093,0.1202,0.1037,0.1202,20141215,0.0,0.0
14,0.1132,0.1203,0.0919,0.1045,20141216,0.0,0.0
15,0.1211,0.1589,0.09802,0.1097,20141217,0.0,0.0
16,0.1016,0.1175,0.1012,0.1175,20141218,0.0,0.0
17,0.09559,0.1299,0.09533,0.104,20141219,0.0,0.0
18,0.1017,0.1124,0.0991,0.09937,20141220,0.0,0.0
19,0.1128,0.1129,0.09679,0.09937,20141221,0.0,0.0
20,0.09885,0.1156,0.08288,0.1156,20141222,0.0,0.0
21,0.1003,0.1003,0.08388,0.1002,20141223,0.0,0.0
22,0.09672,0.1027,0.08095,0.09646,20141224,0.0,0.0
23,0.09385,0.0957,0.07984,0.0957,20141225,0.0,0.0
24,0.098,0.09814,0.0819,0.09708,20141226,0.0,0.0
25,0.08738,0.0946,0.06953,0.09366,20141227,0.0,0.0
26,0.0842,0.08771,0.07913,0.08771,20141228,0.0,0.0
27,0.08723,0.1,0.07853,0.08356,20141229,0.0,0.0
28,0.0846,0.1027,0.07782,0.08644,20141230,0.0,0.0
29,0.0955,0.105,0.0865,0.0865,20141231,0.0,0.0
30,0.1102,0.1102,0.0945,0.0945,20150101,0.0,0.0
31,0.09806,0.1103,0.09456,0.1103,20150102,0.0,0.0
32,0.09145,0.1005,0.07534,0.08933,20150103,0.0,0.0
33,0.07658,0.08434,0.07147,0.08431,20150104,0.0,0.0
34,0.05917,0.08756,0.05917,0.07951,20150105,0.0,0.0
35,0.0671,0.09879,0.06077,0.06077,20150106,0.0,0.0
36,0.09131,0.102,0.06925,0.06925,20150107,0.0,0.0
37,0.08778,0.09894,0.07087,0.0886,20150108,0.0,0.0
38,0.08069,0.1008,0.07553,0.08941,20150109,0.0,0.0
39,0.08534,0.08534,0.06834,0.07659,20150110,0.0,0.0
40,0.06632,0.08266,0.06619,0.08266,20150111,0.0,0.0
41,0.06733,0.07813,0.06733,0.07813,20150112,0.0,0.0
42,0.06909,0.06909,0.05532,0.05532,20150113,0.0,0.0
43,0.04468,0.0515,0.04453,0.05149,20150114,0.0,0.0
44,0.07342,0.07342,0.05683,0.05683,20150115,0.0,0.0
45,0.06506,0.09932,0.06001,0.07159,20150116,0.0,0.0
46,0.05882,0.06277,0.05444,0.06277,20150117,0.0,0.0
47,0.05253,0.0674,0.001637,0.06205,20150118,0.0,0.0
48,0.03994,0.05474,0.02763,0.05384,20150119,0.0,0.0
49,0.04737,0.04737,0.0379,0.03895,20150120,0.0,0.0
50,0.06847,0.06847,0.05134,0.05134,20150121,0.0,0.0
51,0.04449,0.06983,0.04449,0.06983,20150122,0.0,0.0
52,0.04643,0.04643,0.04411,0.04439,20150123,0.0,0.0
53,0.0509,0.0509,0.04477,0.04963,20150124,0.0,0.0
54,0.04727,0.05175,0.04565,0.0517,20150125,0.0,0.0
55,0.05031,0.05521,0.05031,0.05047,20150126,0.0,0.0
56,0.05344,0.05344,0.04921,0.04921,20150127,0.0,0.0
57,0.04844,0.04844,0.04423,0.04794,20150128,0.0,0.0
58,0.04792,0.04799,0.0438,0.04799,20150129,0.0,0.0
59,0.04171,0.04405,0.03756,0.04405,20150130,269.41,11.24
60,0.04475,0.04488,0.03767,0.04449,20150131,0.0,0.0
61,0.04618,0.05179,0.04506,0.04506,20150201,0.0,0.0
62,0.05745,0.06972,0.05133,0.04297,20150202,2012.59,115.62
63,0.05492,0.05494,0.05469,0.05469,20150203,624.34,34.29
64,0.07115,0.07115,0.05472,0.05472,20150204,3644.68,259.32
65,0.0585,0.06799,0.05623,0.06799,20150205,995.41,58.23
66,0.06421,0.07581,0.05913,0.06024,20150206,10126.14,650.2
67,0.07675,0.07771,0.06598,0.06557,20150207,3052.58,234.29
68,0.07837,0.083,0.07596,0.0754,20150208,1021.46,80.05
69,0.1038,0.1072,0.07677,0.07721,20150209,10759.26,1116.81
70,0.1079,0.1429,0.1048,0.1035,20150210,8998.65,970.95
71,0.0637,0.1269,0.0637,0.1075,20150211,20104.77,1280.67
72,0.06991,0.09149,0.06434,0.06456,20150212,18615.6,1301.42
73,0.1297,0.1536,0.07449,0.07444,20150213,28529.89,3700.33
74,0.1359,0.1707,0.1177,0.142,20150214,14450.52,1963.83
75,0.124,0.1296,0.1153,0.1225,20150215,7334.73,909.51
76,0.1157,0.1297,0.1118,0.1253,20150216,12203.38,1411.93
77,0.1055,0.1211,0.09638,0.1193,20150217,6150.23,648.85
78,0.1292,0.1293,0.07849,0.102,20150218,21173.65,2735.64
79,0.09863,0.133,0.08733,0.1329,20150219,9669.35,953.69
80,0.1131,0.1195,0.09715,0.09969,20150220,1471.11,166.38
81,0.1044,0.1132,0.08554,0.113,20150221,11637.12,1214.92
82,0.09589,0.1007,0.0879,0.1007,20150222,4302.06,412.52
83,0.08602,0.09718,0.08602,0.09715,20150223,859.0,73.89
84,0.1169,0.1169,0.086,0.08605,20150224,3255.48,380.57
85,0.1068,0.1147,0.09493,0.1161,20150225,1327.57,141.78
86,0.09932,0.1064,0.08281,0.1064,20150226,7009.41,696.17
87,0.1102,0.1102,0.09885,0.1064,20150227,2340.04,257.87
88,0.1043,0.1255,0.08925,0.1104,20150228,11415.01,1190.59
89,0.1264,0.1264,0.1084,0.1059,20150301,4927.78,622.87
90,0.134,0.1341,0.1021,0.1341,20150302,5138.64,688.58
91,0.1114,0.1374,0.1114,0.1374,20150303,3935.63,438.43
92,0.1223,0.1276,0.108,0.108,20150304,1258.62,153.93
93,0.134,0.134,0.1145,0.1237,20150305,1851.67,248.12
94,0.1679,0.1771,0.1228,0.1327,20150306,5982.13,1004.4
95,0.1913,0.1927,0.1239,0.1694,20150307,9932.4,1900.07
96,0.2479,0.2995,0.174,0.191,20150308,27560.98,6832.37
97,0.2622,0.3008,0.2446,0.2619,20150309,7597.82,1992.15
98,0.2022,0.2888,0.1583,0.2634,20150310,20735.73,4192.76
99,0.2334,0.2474,0.2016,0.2051,20150311,3484.18,813.21
100,0.2535,0.2839,0.2321,0.2321,20150312,2670.69,677.02
101,0.219,0.2585,0.2012,0.2478,20150313,6661.88,1458.95
102,0.2584,0.2584,0.2113,0.2147,20150314,2796.08,722.51
103,0.2471,0.2722,0.2271,0.2614,20150315,3129.98,773.42
104,0.2324,0.2643,0.2324,0.2519,20150316,438.75,101.97
105,0.2197,0.2568,0.2112,0.2284,20150317,2597.44,570.66
106,0.196,0.2331,0.1751,0.1971,20150318,3780.35,740.95
107,0.222,0.222,0.1968,0.1998,20150319,1466.71,325.61
108,0.2136,0.2343,0.1923,0.2227,20150320,6837.76,1460.55
109,0.1879,0.226,0.1879,0.2119,20150321,4033.56,757.91
110,0.187,0.2119,0.1704,0.1943,20150322,5572.29,1042.02
111,0.1824,0.194,0.1566,0.1848,20150323,4461.19,813.72
112,0.12,0.1695,0.12,0.1695,20150324,6748.21,809.79
113,0.1095,0.1541,0.08901,0.1198,20150325,32194.22,3525.27
114,0.1139,0.1257,0.1004,0.1102,20150326,13812.15,1573.2
115,0.1053,0.1206,0.1052,0.1135,20150327,3061.99,322.43
116,0.1213,0.1224,0.1073,0.1073,20150328,6821.94,827.5
117,0.116,0.1169,0.1065,0.1165,20150329,939.71,109.01
118,0.1173,0.1185,0.1073,0.1182,20150330,1366.29,160.27
119,0.1144,0.1356,0.1061,0.1161,20150331,3995.49,457.08
120,0.1228,0.1242,0.1154,0.1154,20150401,1943.31,238.64
121,0.1263,0.1274,0.1207,0.126,20150402,2847.15,359.6
122,0.1275,0.1382,0.1212,0.1272,20150403,846.81,107.97
123,0.1377,0.1683,0.09777,0.1267,20150404,6500.37,895.1
124,0.12,0.142,0.1198,0.1414,20150405,1306.45,156.77
125,0.1132,0.1244,0.1025,0.1178,20150406,6486.05,734.22
126,0.1158,0.118,0.09889,0.1123,20150407,7767.89,899.52
127,0.116,0.1247,0.1119,0.112,20150408,1856.08,215.31
128,0.1473,0.1532,0.1154,0.1154,20150409,3692.14,543.85
129,0.1661,0.2108,0.1408,0.1421,20150410,14614.27,2427.43
130,0.1658,0.2006,0.1344,0.1674,20150411,4817.43,798.73
131,0.161,0.1677,0.1427,0.1653,20150412,8859.99,1426.46
132,0.1506,0.1825,0.1321,0.1527,20150413,5905.46,889.36
133,0.1708,0.2073,0.1415,0.1469,20150414,9132.29,1559.8
134,0.1548,0.2229,0.134,0.1747,20150415,27699.42,4287.87
135,0.1613,0.1648,0.1409,0.1582,20150416,5299.63,854.83
136,0.1412,0.1715,0.1412,0.1575,20150417,1234.89,174.37
137,0.1617,0.1736,0.1396,0.1417,20150418,4555.5,736.62
138,0.1563,0.164,0.1502,0.1615,20150419,913.49,142.78
139,0.1448,0.1691,0.1436,0.1571,20150420,5916.36,856.69
140,0.1475,0.1674,0.1474,0.1509,20150421,8601.6,1268.74
141,0.1579,0.1693,0.1478,0.1475,20150422,1225.88,193.57
142,0.179,0.179,0.1541,0.159,20150423,148.28,26.54
143,0.1418,0.1757,0.1418,0.1757,20150424,106.17,15.05
144,0.1389,0.1434,0.1231,0.1388,20150425,119.11,16.54
145,0.1186,0.1344,0.1137,0.1344,20150426,63.88,7.58
146,0.1252,0.135,0.1183,0.1242,20150427,862.17,107.94
147,0.1132,0.1297,0.1119,0.1235,20150428,3452.81,390.86
148,0.1309,0.1598,0.1128,0.113,20150429,4946.38,647.48
149,0.1229,0.137,0.1215,0.1369,20150430,2828.49,347.62
150,0.1333,0.1333,0.1204,0.1216,20150501,1113.29,148.4
151,0.1237,0.1355,0.1194,0.1345,20150502,2153.64,266.41
152,0.1235,0.1359,0.1156,0.1262,20150503,6907.98,853.14
153,0.1434,0.1434,0.1195,0.123,20150504,18160.22,2604.18
154,0.1323,0.1415,0.1323,0.1415,20150505,876.35,115.94
155,0.1207,0.1346,0.1207,0.1291,20150506,6263.92,756.06
156,0.1332,0.1355,0.1245,0.1247,20150507,836.22,111.38
157,0.129,0.1371,0.1247,0.1366,20150508,966.19,124.64
158,0.127,0.1272,0.1268,0.1278,20150509,24.28,3.08
159,0.1273,0.1368,0.1262,0.1262,20150510,1585.06,201.78
160,0.1448,0.1448,0.1282,0.1283,20150511,2257.73,326.92
161,0.1334,0.1445,0.1334,0.1447,20150512,1307.64,174.44
162,0.1238,0.1306,0.1238,0.1306,20150513,1217.14,150.68
163,0.1244,0.1303,0.124,0.1241,20150514,405.19,50.41
164,0.1307,0.1307,0.1245,0.1246,20150515,219.75,28.72
165,0.1254,0.1302,0.1254,0.1302,20150516,2.88,0.3612
166,0.1252,0.1255,0.1252,0.1255,20150517,100.39,12.57
167,0.1295,0.1295,0.122,0.1233,20150518,535.89,69.4
168,0.131,0.1343,0.1211,0.1292,20150519,794.61,104.09
169,0.1344,0.1406,0.1287,0.1321,20150520,2451.15,329.43
170,0.1424,0.1659,0.1353,0.1352,20150521,3228.08,459.68
171,0.1711,0.1713,0.1454,0.1454,20150522,5042.56,862.78
172,0.1494,0.1703,0.1494,0.1701,20150523,198.54,29.66
173,0.1498,0.1578,0.1495,0.1507,20150524,239.76,35.92
174,0.1474,0.1692,0.147,0.1476,20150525,2965.41,437.1
175,0.1507,0.1553,0.1429,0.1477,20150526,2069.62,311.89
176,0.1542,0.1542,0.1418,0.1504,20150527,929.51,143.33
177,0.121,0.1543,0.1204,0.1543,20150528,14689.29,1777.4
178,0.1259,0.1465,0.1209,0.1209,20150529,2488.98,313.36
179,0.1633,0.1633,0.1238,0.1239,20150530,806.91,131.77
180,0.1273,0.1349,0.1273,0.1609,20150531,38.98,4.96
181,0.1238,0.1424,0.1231,0.1236,20150601,1546.37,191.44
182,0.1359,0.1379,0.1278,0.1253,20150602,42.09,5.72
183,0.1335,0.1359,0.1335,0.1358,20150603,67.45,9.0
184,0.1259,0.1334,0.1259,0.1327,20150604,296.74,37.36
185,0.1106,0.1264,0.1106,0.1265,20150605,2504.02,276.94
186,0.1148,0.1261,0.1146,0.1103,20150606,1406.29,161.44
187,0.1256,0.1256,0.1185,0.1141,20150607,111.99,14.07
188,0.1189,0.1282,0.1189,0.1284,20150608,834.96,99.28
189,0.1283,0.1283,0.1194,0.1194,20150609,53.35,6.84
190,0.1275,0.1279,0.1196,0.1279,20150610,175.09,22.32
191,0.1333,0.1604,0.128,0.1281,20150611,5466.38,728.67
192,0.1499,0.1642,0.1336,0.1336,20150612,10356.39,1552.42
193,0.1525,0.1582,0.1403,0.1513,20150613,7812.16,1191.35
194,0.1408,0.1613,0.1404,0.1613,20150614,0.0,0.0
195,0.1643,0.1643,0.1643,0.1554,20150615,69.05,11.34
196,0.1653,0.1665,0.1513,0.1732,20150616,1798.7,297.33
197,0.151,0.164,0.1079,0.1637,20150617,5563.54,840.09
198,0.1314,0.1524,0.1314,0.1516,20150618,324.95,42.7
199,0.129,0.1375,0.1288,0.1291,20150619,208.86,26.94
200,0.13,0.1301,0.13,0.1295,20150620,81.74,10.63
201,0.1299,0.1371,0.1058,0.1295,20150621,2597.1,337.36
202,0.1526,0.1529,0.1065,0.1317,20150622,5199.69,793.47
203,0.1461,0.1511,0.1304,0.1504,20150623,1602.7,234.15
204,0.1443,0.1446,0.1426,0.1442,20150624,376.95,54.39
205,0.1438,0.1454,0.1438,0.1455,20150625,381.74,54.89
206,0.1577,0.1577,0.1344,0.144,20150626,697.38,109.98
207,0.1532,0.156,0.148,0.148,20150627,0.0,0.0
208,0.1438,0.1608,0.1432,0.1615,20150628,56.35,8.1
209,0.1602,0.1619,0.1448,0.1484,20150629,290.18,46.49
210,0.1874,0.188,0.1639,0.1647,20150630,3818.35,715.56
211,0.1579,0.183,0.1443,0.1828,20150701,1745.14,275.56
212,0.1483,0.156,0.1161,0.1563,20150702,1552.78,230.28
213,0.1386,0.1486,0.1355,0.1486,20150703,107.2,14.86
214,0.1434,0.151,0.1413,0.1413,20150704,50.9,7.3
215,0.1488,0.1565,0.1486,0.1486,20150705,230.58,34.31
216,0.1543,0.1543,0.1427,0.1482,20150706,333.07,51.39
217,0.1343,0.1526,0.1343,0.1526,20150707,972.24,130.57
218,0.1433,0.1433,0.129,0.1355,20150708,690.48,98.95
