,close,high,low,open,time,volumefrom,volumeto
0,0.25,5.0,0.25,5.0,20171229,766.69,379.48
1,0.25,0.25,0.05,0.25,20171230,32.45,5.42
2,0.25,0.25,0.25,0.25,20171231,0.0,0.0
3,0.7,0.7,0.2333,0.25,20180101,56.1,13.91
4,0.05,0.7,0.05,0.7,20180102,315.73,80.68
5,0.05101,0.5,0.05101,0.5,20180103,89.23,43.49
6,0.0511,0.7,0.05101,0.05101,20180104,98.87,10.42
7,0.4,0.4,0.0511,0.0511,20180105,1.0,0.4
8,0.4,0.4,0.4,0.4,20180106,16.99,6.8
9,0.4,0.4,0.4,0.4,20180107,0.0,0.0
10,0.4,0.4,0.4,0.4,20180108,0.0,0.0
11,0.4,0.4,0.4,0.4,20180109,0.0,0.0
12,0.055,0.4,0.055,0.4,20180110,80.72,4.44
13,0.3999,0.3999,0.055,0.055,20180111,22.46,8.98
14,0.05501,0.3999,0.05501,0.3999,20180112,39.25,2.16
15,0.05501,0.05501,0.05501,0.05501,20180113,0.0,0.0
16,0.3999,0.3999,0.05501,0.05501,20180114,1.0,0.3999
17,0.12,0.3999,0.12,0.3999,20180115,2.48,0.297
18,0.12,0.12,0.12,0.12,20180116,0.0,0.0
19,0.12,0.12,0.12,0.12,20180117,0.0,0.0
20,0.7,0.7,0.12,0.12,20180118,0.2902,0.2031
21,0.65,0.7,0.12,0.7,20180119,7.9,2.38
22,0.126,0.126,0.126,0.126,20180120,102.67,12.94
23,0.126,0.126,0.126,0.126,20180121,0.0,0.0
24,0.126,0.126,0.126,0.126,20180122,0.0,0.0
25,0.7,0.7,0.126,0.126,20180123,21.25,14.88
26,0.7,0.7,0.171,0.7,20180124,291.49,133.96
27,0.171,0.7,0.171,0.7,20180125,7.02,1.2
28,0.171,0.7,0.171,0.171,20180126,2.23,1.03
29,0.7,0.7,0.171,0.171,20180127,99.43,68.84
30,0.2,0.7,0.2,0.7,20180128,28.18,11.27
31,0.2,0.2,0.2,0.2,20180129,2.0,0.4
32,0.6,0.6,0.2,0.2,20180130,3.2,1.52
33,0.6,0.6,0.6,0.6,20180131,0.0,0.0
34,0.2,0.6,0.2,0.6,20180201,69.83,13.97
35,0.2,0.2,0.2,0.2,20180202,0.0,0.0
36,0.2,0.2,0.2,0.2,20180203,0.0,0.0
37,0.21,0.21,0.21,0.21,20180204,12.4,2.6
38,0.21,0.21,0.21,0.21,20180205,4.18,0.8774
39,0.19,0.21,0.19,0.21,20180206,23.35,4.64
40,0.19,0.19,0.19,0.19,20180207,0.0,0.0
41,0.16,0.19,0.16,0.19,20180208,43.71,7.43
42,0.16,0.16,0.16,0.16,20180209,0.0,0.0
43,0.16,0.16,0.16,0.16,20180210,0.0,0.0
44,0.6,0.6,0.16,0.16,20180211,9.9,5.5
45,0.6,0.6,0.6,0.6,20180212,0.0,0.0
46,0.16,0.6,0.16,0.6,20180213,44.63,7.14
47,0.59,0.59,0.16,0.16,20180214,77.82,25.06
48,0.15,0.59,0.15,0.59,20180215,15.42,5.4
49,0.15,0.15,0.15,0.15,20180216,2.04,0.3061
50,0.15,0.15,0.15,0.15,20180217,14.23,2.13
51,0.4,0.4,0.15,0.15,20180218,24.45,9.78
52,0.4,0.4,0.4,0.4,20180219,0.0,0.0
53,0.39,0.4,0.15,0.4,20180220,207.14,43.07
54,0.39,0.39,0.39,0.39,20180221,0.0,0.0
55,0.15,0.39,0.15,0.39,20180222,120.82,18.12
56,0.15,0.15,0.15,0.15,20180223,0.0,0.0
57,0.15,0.15,0.15,0.15,20180224,0.0,0.0
58,0.15,0.15,0.15,0.15,20180225,0.0,0.0
59,0.15,0.15,0.15,0.15,20180226,0.0,0.0
60,0.15,0.15,0.15,0.15,20180227,0.0,0.0
61,0.15,0.15,0.15,0.15,20180228,0.0,0.0
62,0.286,0.286,0.286,0.286,20180301,1.66,0.4748
63,0.2897,0.2897,0.286,0.286,20180302,3.11,0.9012
64,0.2897,0.2897,0.2897,0.2897,20180303,0.0,0.0
65,0.163,0.2897,0.163,0.2897,20180304,98.0,15.97
66,0.216,0.216,0.163,0.163,20180305,25.45,4.2
67,0.163,0.216,0.163,0.216,20180306,1.0,0.163
68,0.163,0.163,0.163,0.163,20180307,0.0,0.0
69,0.163,0.163,0.163,0.163,20180308,5.0,0.815
70,0.14,0.163,0.12,0.163,20180309,175.99,25.28
71,0.12,0.14,0.12,0.14,20180310,1.07,0.1288
72,0.1871,0.1871,0.12,0.12,20180311,58.56,10.21
73,0.1871,0.1871,0.1871,0.1871,20180312,0.0,0.0
74,0.1871,0.1871,0.1871,0.1871,20180313,0.0,0.0
75,0.1871,0.1871,0.1871,0.1871,20180314,0.0,0.0
76,0.4,0.4,0.1871,0.1871,20180315,128.61,44.74
77,0.4,0.4,0.4,0.4,20180316,0.0,0.0
78,0.4,0.4,0.4,0.4,20180317,0.0,0.0
79,0.4,0.4,0.4,0.4,20180318,0.0,0.0
80,0.1807,0.4,0.1807,0.4,20180319,2.14,0.3863
81,0.1801,0.1807,0.1801,0.1807,20180320,0.6106,0.11
82,0.1801,0.1801,0.1801,0.1801,20180321,0.0,0.0
83,0.1801,0.1801,0.1801,0.1801,20180322,0.0,0.0
84,0.1801,0.1801,0.1801,0.1801,20180323,0.0,0.0
85,0.1801,0.1801,0.1801,0.1801,20180324,0.0,0.0
86,0.1713,0.1719,0.1713,0.1719,20180325,8.99,1.54
87,0.1713,0.1713,0.1713,0.1713,20180326,0.0,0.0
88,0.1372,0.1713,0.1372,0.1713,20180327,3.03,0.4153
89,0.1338,0.1342,0.1338,0.1342,20180328,7.15,0.9574
90,0.1311,0.1311,0.12,0.12,20180329,26.16,3.25
91,0.12,0.1311,0.12,0.1311,20180330,26.71,3.2
92,0.12,0.12,0.12,0.12,20180331,0.0,0.0
93,0.12,0.12,0.12,0.12,20180401,0.0,0.0
94,0.12,0.12,0.12,0.12,20180402,0.0,0.0
95,0.12,0.12,0.12,0.12,20180403,0.0,0.0
96,0.1397,0.1397,0.12,0.12,20180404,7.38,0.9838
97,0.12,0.1397,0.12,0.1397,20180405,9.82,1.18
98,0.12,0.12,0.12,0.12,20180406,0.0,0.0
99,0.12,0.12,0.12,0.12,20180407,0.0,0.0
100,0.12,0.12,0.12,0.12,20180408,69.4,8.33
101,0.12,0.12,0.12,0.12,20180409,0.0,0.0
102,0.12,0.12,0.12,0.12,20180410,0.0,0.0
103,0.1049,0.12,0.1049,0.12,20180411,1.0,0.1049
104,0.1049,0.1049,0.1049,0.1049,20180412,0.0,0.0
105,0.1049,0.1049,0.1049,0.1049,20180413,0.0,0.0
106,0.1049,0.1049,0.1049,0.1049,20180414,0.0,0.0
107,0.1049,0.1049,0.1049,0.1049,20180415,0.0,0.0
108,0.1049,0.1049,0.1049,0.1049,20180416,0.0,0.0
109,0.1049,0.1049,0.1049,0.1049,20180417,0.0,0.0
110,0.1049,0.1397,0.1049,0.1049,20180418,89.4,9.53
111,0.1397,0.1397,0.1049,0.1049,20180419,3.39,0.4735
112,0.1397,0.1397,0.1397,0.1397,20180420,4.7,0.6564
113,0.1397,0.1397,0.1397,0.1397,20180421,8.74,1.22
114,0.1397,0.1397,0.1049,0.1397,20180422,13.94,1.9
115,0.1397,0.1397,0.1397,0.1397,20180423,2.42,0.3381
116,0.1397,0.1397,0.1397,0.1397,20180424,15.85,2.21
117,0.1397,0.1397,0.1397,0.1397,20180425,7.4,1.03
118,0.1049,0.1397,0.1049,0.1397,20180426,44.37,5.66
119,0.1397,0.1397,0.1049,0.1049,20180427,10.12,1.41
120,0.1397,0.1397,0.1397,0.1397,20180428,3.17,0.4426
121,0.1049,0.1397,0.1049,0.1397,20180429,16.77,2.11
122,0.1049,0.1049,0.1049,0.1049,20180430,0.0,0.0
123,0.1049,0.1049,0.1049,0.1049,20180501,0.0,0.0
124,0.1049,0.1049,0.1049,0.1049,20180502,53.04,5.56
125,0.1397,0.1397,0.1049,0.1049,20180503,4.53,0.6332
126,0.1397,0.1397,0.1397,0.1397,20180504,8.96,1.25
127,0.1397,0.1397,0.1397,0.1397,20180505,0.0,0.0
128,0.1397,0.1397,0.1397,0.1397,20180506,0.0,0.0
129,0.1397,0.1397,0.1397,0.1397,20180507,0.0,0.0
130,0.1397,0.1397,0.1397,0.1397,20180508,0.0,0.0
131,0.1397,0.1397,0.1397,0.1397,20180509,0.0,0.0
132,0.1397,0.1397,0.1397,0.1397,20180510,18.9,2.64
133,0.1397,0.1397,0.1397,0.1397,20180511,0.0,0.0
134,0.1397,0.1397,0.1397,0.1397,20180512,0.0,0.0
135,0.1397,0.1397,0.1397,0.1397,20180513,21.43,2.99
136,0.1397,0.1397,0.1397,0.1397,20180514,0.0,0.0
137,0.1397,0.1397,0.1397,0.1397,20180515,7.21,1.01
138,0.1397,0.1397,0.1397,0.1397,20180516,0.0,0.0
139,0.1397,0.1397,0.1397,0.1397,20180517,0.0,0.0
140,0.1397,0.1397,0.1397,0.1397,20180518,0.0,0.0
141,0.1397,0.1397,0.1397,0.1397,20180519,0.0,0.0
142,0.1397,0.1397,0.1397,0.1397,20180520,20.08,2.8
143,0.1397,0.1397,0.1397,0.1397,20180521,2.45,0.3415
144,0.1397,0.1397,0.1397,0.1397,20180522,10.29,1.44
145,0.1264,0.239,0.1264,0.1397,20180523,33.86,6.77
146,0.1049,0.1397,0.1049,0.1264,20180524,22.1,2.44
147,0.138,0.138,0.1049,0.1049,20180525,9.39,1.3
148,0.1397,0.1397,0.138,0.138,20180526,11.48,1.6
149,0.1049,0.1397,0.1049,0.1397,20180527,28.62,3.65
150,0.1049,0.1407,0.1049,0.1049,20180528,10.54,1.24
151,0.1407,0.1407,0.1049,0.1049,20180529,6.23,0.8773
152,0.1407,0.1407,0.1407,0.1407,20180530,0.0,0.0
153,0.1407,0.1407,0.1407,0.1407,20180531,0.0,0.0
154,0.1418,0.45,0.1407,0.1407,20180601,103.61,34.55
155,0.1418,0.1418,0.1418,0.1418,20180602,0.0,0.0
156,0.1418,0.1418,0.1418,0.1418,20180603,0.0,0.0
157,0.1418,0.1418,0.1418,0.1418,20180604,0.0,0.0
158,0.1418,0.1418,0.1418,0.1418,20180605,0.0,0.0
159,0.1418,0.1418,0.1418,0.1418,20180606,0.0,0.0
160,0.45,0.45,0.1418,0.1418,20180607,1.86,0.8372
161,0.1049,0.45,0.1049,0.45,20180608,367.29,38.53
162,0.1049,0.1049,0.1049,0.1049,20180609,56.48,5.92
163,0.1049,0.1049,0.1049,0.1049,20180610,165.28,17.34
164,0.1049,0.1049,0.1049,0.1049,20180611,0.0,0.0
165,0.1035,0.1049,0.1035,0.1049,20180612,78.93,8.22
166,0.1035,0.1035,0.1035,0.1035,20180613,0.9891,0.1024
167,0.05503,0.1035,0.05503,0.1035,20180614,117.0,6.44
168,0.1049,0.1049,0.05503,0.05503,20180615,55.42,5.81
169,0.1049,0.1049,0.1049,0.1049,20180616,0.0,0.0
170,0.1049,0.1049,0.1049,0.1049,20180617,0.0,0.0
171,0.1049,0.1049,0.1049,0.1049,20180618,0.0,0.0
172,0.1049,0.1049,0.1049,0.1049,20180619,0.0,0.0
173,0.1049,0.1049,0.1049,0.1049,20180620,0.0,0.0
174,0.1049,0.1049,0.1049,0.1049,20180621,144.44,15.15
175,0.1049,0.1049,0.1049,0.1049,20180622,0.0,0.0
176,0.1049,0.1049,0.1049,0.1049,20180623,0.0,0.0
177,0.1049,0.1049,0.1049,0.1049,20180624,0.0,0.0
178,0.1049,0.1049,0.1049,0.1049,20180625,0.0,0.0
179,0.1049,0.1049,0.1049,0.1049,20180626,0.0,0.0
180,0.1049,0.1049,0.1049,0.1049,20180627,0.0,0.0
181,0.1049,0.1049,0.1049,0.1049,20180628,0.0,0.0
182,0.1049,0.1049,0.1049,0.1049,20180629,0.0,0.0
183,0.1049,0.1049,0.1049,0.1049,20180630,0.0,0.0
184,0.1049,0.1049,0.1049,0.1049,20180701,0.0,0.0
185,0.1049,0.1049,0.1049,0.1049,20180702,0.0,0.0
186,0.1049,0.1049,0.1049,0.1049,20180703,0.0,0.0
187,0.1049,0.1049,0.1049,0.1049,20180704,0.0,0.0
188,0.1049,0.1049,0.1049,0.1049,20180705,0.0,0.0
189,0.1049,0.1049,0.1049,0.1049,20180706,0.0,0.0
