,close,high,low,open,time,volumefrom,volumeto
0,0.03909,0.03909,0.03861,0.03861,20141018,1.92,0.07505
1,0.03873,0.03873,0.03873,0.03873,20141019,0.0,0.0
2,0.03614,0.03804,0.03613,0.03804,20141020,7.56,0.2732
3,0.03632,0.03632,0.03632,0.03632,20141021,0.0,0.0
4,0.036,0.036,0.036,0.036,20141022,0.0,0.0
5,0.0338,0.0338,0.0338,0.0338,20141023,0.0,0.0
6,0.03373,0.03373,0.03373,0.03373,20141024,0.0,0.0
7,0.02867,0.03294,0.02867,0.03294,20141025,49.9,1.43
8,0.02884,0.02884,0.02884,0.02884,20141026,5.4,0.1557
9,0.02895,0.02895,0.02895,0.02895,20141027,0.0,0.0
10,0.02903,0.02903,0.02903,0.02903,20141028,0.0,0.0
11,0.02771,0.02771,0.02771,0.02771,20141029,0.0,0.0
12,0.02845,0.02852,0.02845,0.02852,20141030,0.1,0.002845
13,0.02787,0.02787,0.02787,0.02787,20141031,0.0,0.0
14,0.02685,0.02685,0.02685,0.02685,20141101,0.5644,0.01515
15,0.02661,0.02661,0.02661,0.02661,20141102,0.0,0.0
16,0.02675,0.02675,0.02675,0.02675,20141103,0.0,0.0
17,0.02689,0.05674,0.02689,0.02706,20141104,49.42,1.33
18,0.02772,0.02772,0.02772,0.02772,20141105,0.0,0.0
19,0.02851,0.02851,0.02851,0.02851,20141106,0.0,0.0
20,0.05128,0.05128,0.02803,0.02803,20141107,0.6634,0.03402
21,0.02405,0.05153,0.02405,0.05153,20141108,0.816,0.01962
22,0.02534,0.02534,0.02534,0.02534,20141109,0.4955,0.01256
23,0.0257,0.0257,0.0257,0.0257,20141110,0.0005256,1.351e-05
24,0.02558,0.02558,0.02558,0.02558,20141111,0.0,0.0
25,0.02722,0.03024,0.02722,0.03024,20141112,14.0,0.3811
26,0.02701,0.02701,0.02701,0.02701,20141113,213.0,5.75
27,0.02498,0.02498,0.02498,0.02498,20141114,0.0,0.0
