,close,high,low,open,time,volumefrom,volumeto
0,0.0001016,0.0001016,0.0001016,0.0001016,20140630,149.99,0.01524
1,9.005e-05,0.0001029,9.005e-05,0.0001029,20140701,48231.85,4.34
2,9.04e-05,9.04e-05,9.04e-05,9.04e-05,20140702,123197.57,11.14
3,8.932e-05,8.932e-05,8.932e-05,8.932e-05,20140703,0.0,0.0
4,8.735e-05,8.735e-05,8.735e-05,8.735e-05,20140704,0.0,0.0
5,3.738e-05,8.721e-05,3.738e-05,8.721e-05,20140705,100000.0,3.74
6,3.76e-05,3.76e-05,3.76e-05,3.76e-05,20140706,0.0,0.0
7,3.682e-05,3.682e-05,3.682e-05,3.682e-05,20140707,0.0,0.0
8,3.692e-05,3.692e-05,3.692e-05,3.692e-05,20140708,0.0,0.0
9,8.722e-05,8.722e-05,3.738e-05,3.738e-05,20140709,56.57,0.004934
10,7.421e-05,8.657e-05,7.421e-05,8.657e-05,20140710,968.0,0.07184
11,7.595e-05,7.595e-05,7.595e-05,7.595e-05,20140711,0.0,0.0
12,7.631e-05,7.631e-05,7.631e-05,7.631e-05,20140712,0.0,0.0
13,7.536e-05,7.536e-05,7.536e-05,7.536e-05,20140713,0.0,0.0
14,7.42e-05,7.42e-05,7.42e-05,7.42e-05,20140714,0.0,0.0
15,1.239e-05,7.435e-05,1.239e-05,7.435e-05,20140715,104285.0,1.29
16,5.533e-05,5.533e-05,1.23e-05,1.23e-05,20140716,4278.4,0.2367
17,5.639e-05,5.639e-05,5.639e-05,5.639e-05,20140717,0.0,0.0
18,5.647e-05,5.647e-05,5.647e-05,5.647e-05,20140718,0.0,0.0
19,5.643e-05,5.643e-05,5.643e-05,5.643e-05,20140719,0.0,0.0
20,5.589e-05,5.589e-05,5.589e-05,5.589e-05,20140720,0.0,0.0
21,5.626e-05,5.626e-05,5.626e-05,5.626e-05,20140721,0.0,0.0
22,5.603e-05,5.603e-05,5.603e-05,5.603e-05,20140722,0.0,0.0
23,5.595e-05,5.595e-05,5.595e-05,5.595e-05,20140723,14583.98,0.816
24,5.417e-05,5.417e-05,5.417e-05,5.417e-05,20140724,0.0,0.0
25,5.405e-05,5.405e-05,5.405e-05,5.405e-05,20140725,0.0,0.0
26,5.364e-05,5.364e-05,5.364e-05,5.364e-05,20140726,0.0,0.0
27,5.355e-05,5.355e-05,5.355e-05,5.355e-05,20140727,0.0,0.0
28,5.291e-05,5.291e-05,5.291e-05,5.291e-05,20140728,0.0,0.0
29,5.272e-05,5.272e-05,5.272e-05,5.272e-05,20140729,0.0,0.0
30,5.082e-05,5.082e-05,5.082e-05,5.082e-05,20140730,0.0,0.0
31,5.306e-05,5.306e-05,5.306e-05,5.306e-05,20140731,0.0,0.0
32,5.389e-05,5.389e-05,5.389e-05,5.389e-05,20140801,0.0,0.0
33,5.325e-05,5.325e-05,5.325e-05,5.325e-05,20140802,334.33,0.0178
34,5.3e-05,5.3e-05,5.3e-05,5.3e-05,20140803,0.0,0.0
35,5.335e-05,5.335e-05,5.335e-05,5.335e-05,20140804,0.0,0.0
36,5.299e-05,5.299e-05,5.299e-05,5.299e-05,20140805,0.0,0.0
37,5.308e-05,5.308e-05,5.308e-05,5.308e-05,20140806,0.0,0.0
38,5.335e-05,5.335e-05,5.335e-05,5.335e-05,20140807,0.0,0.0
39,5.363e-05,5.363e-05,5.363e-05,5.363e-05,20140808,0.0,0.0
40,5.306e-05,5.306e-05,5.306e-05,5.306e-05,20140809,0.0,0.0
41,5.329e-05,5.329e-05,5.329e-05,5.329e-05,20140810,0.0,0.0
42,5.183e-05,5.183e-05,5.183e-05,5.183e-05,20140811,1330.63,0.06897
43,5.109e-05,5.109e-05,5.109e-05,5.109e-05,20140812,0.0,0.0
44,4.879e-05,4.879e-05,4.879e-05,4.879e-05,20140813,0.0,0.0
45,4.543e-05,4.543e-05,4.543e-05,4.543e-05,20140814,0.0,0.0
46,4.468e-05,4.468e-05,4.468e-05,4.468e-05,20140815,0.0,0.0
47,2.088e-05,4.698e-05,2.088e-05,4.698e-05,20140816,10151.31,0.212
48,1.942e-05,1.942e-05,1.942e-05,1.942e-05,20140817,0.0,0.0
49,1.849e-05,1.849e-05,1.849e-05,1.849e-05,20140818,0.0,0.0
50,3.396e-05,3.396e-05,1.94e-05,1.94e-05,20140819,5794.89,0.1968
51,3.617e-05,3.617e-05,3.617e-05,3.617e-05,20140820,0.0,0.0
52,3.626e-05,3.626e-05,3.626e-05,3.626e-05,20140821,0.0,0.0
53,3.613e-05,3.613e-05,3.613e-05,3.613e-05,20140822,0.0,0.0
54,3.484e-05,3.484e-05,3.484e-05,3.484e-05,20140823,0.0,0.0
55,2.549e-05,3.568e-05,2.549e-05,3.568e-05,20140824,823.88,0.021
56,2.515e-05,2.515e-05,2.515e-05,2.515e-05,20140825,0.0,0.0
57,2.563e-05,2.563e-05,2.563e-05,2.563e-05,20140826,0.0,0.0
58,2.576e-05,2.576e-05,2.576e-05,2.576e-05,20140827,0.0,0.0
59,2.554e-05,2.554e-05,2.554e-05,2.554e-05,20140828,0.0,0.0
60,2.563e-05,2.563e-05,2.563e-05,2.563e-05,20140829,0.0,0.0
61,2.53e-05,2.53e-05,2.53e-05,2.53e-05,20140830,0.0,0.0
62,2.409e-05,2.409e-05,2.409e-05,2.409e-05,20140831,0.0,0.0
63,2.386e-05,2.386e-05,2.386e-05,2.386e-05,20140901,0.0,0.0
64,0.0001054,0.0001054,2.395e-05,2.395e-05,20140902,3530.05,0.3721
65,0.0001056,0.0001056,0.0001056,0.0001056,20140903,100.0,0.01056
66,0.000108,0.000108,0.000108,0.000108,20140904,0.0,0.0
67,0.0001064,0.0001064,0.0001064,0.0001064,20140905,0.0,0.0
68,0.0001066,0.0001066,0.0001066,0.0001066,20140906,21369.95,2.28
69,0.0001069,0.0001069,0.0001069,0.0001069,20140907,0.0,0.0
70,0.0001047,0.0001047,0.0001047,0.0001047,20140908,0.0,0.0
71,0.0001045,0.0001045,0.0001045,0.0001045,20140909,0.0,0.0
72,0.0001055,0.0001055,0.0001055,0.0001055,20140910,0.0,0.0
73,0.0001053,0.0001053,0.0001053,0.0001053,20140911,0.0,0.0
74,0.0001433,0.0001433,0.0001051,0.0001051,20140912,458.59,0.06572
75,0.0001435,0.0001435,0.0001435,0.0001435,20140913,0.0,0.0
76,0.0001433,0.0001433,0.0001433,0.0001433,20140914,0.0,0.0
77,0.0001433,0.0001433,0.0001433,0.0001433,20140915,0.0,0.0
78,0.00014,0.00014,0.00014,0.00014,20140916,0.0,0.0
79,0.0001383,0.0001383,0.0001383,0.0001383,20140917,0.0,0.0
80,0.0001273,0.0001273,0.0001273,0.0001273,20140918,0.0,0.0
81,0.0001193,0.0001193,0.0001193,0.0001193,20140919,5000.0,0.5965
82,0.0001235,0.0001235,0.0001235,0.0001235,20140920,0.0,0.0
83,0.0001205,0.0001205,0.0001205,0.0001205,20140921,0.0,0.0
84,0.0001212,0.0001212,0.0001212,0.0001212,20140922,0.0,0.0
85,0.0001311,0.0001311,0.0001311,0.0001311,20140923,0.0,0.0
86,0.0001271,0.0001271,0.0001271,0.0001271,20140924,0.0,0.0
87,0.0001237,0.0001237,0.0001237,0.0001237,20140925,0.0,0.0
88,0.0001213,0.0001213,0.0001213,0.0001213,20140926,0.0,0.0
89,0.0001197,0.0001197,0.0001197,0.0001197,20140927,0.0,0.0
90,0.0001137,0.0001137,0.0001137,0.0001137,20140928,0.0,0.0
91,0.000113,0.000113,0.000113,0.000113,20140929,0.0,0.0
92,0.0001165,0.0001165,0.0001165,0.0001165,20140930,0.0,0.0
93,0.0001149,0.0001149,0.0001149,0.0001149,20141001,0.0,0.0
94,0.0001125,0.0001125,0.0001125,0.0001125,20141002,0.0,0.0
95,0.000109,0.000109,0.000109,0.000109,20141003,25669.21,2.8
96,0.0001073,0.0001073,0.0001006,0.0001006,20141004,50000.0,5.37
