,close,high,low,open,time,volumefrom,volumeto
0,0.02464,0.02485,0.0242,0.0242,20150126,11988.13,295.39
1,0.02392,0.0241,0.02317,0.0241,20150127,13002.31,311.02
2,0.02084,0.02146,0.02032,0.02146,20150128,10923.45,227.64
3,0.01974,0.02106,0.0192,0.02043,20150129,64553.37,1274.28
4,0.02028,0.02028,0.01947,0.01956,20150130,13893.28,281.76
5,0.01784,0.01913,0.01639,0.01912,20150131,61042.79,1089.0
6,0.01678,0.01839,0.01678,0.01839,20150201,17905.39,300.45
7,0.01846,0.01926,0.0178,0.0178,20150202,29798.35,550.08
8,0.01694,0.01842,0.01694,0.01757,20150203,12227.97,207.14
9,0.01858,0.01858,0.01664,0.01688,20150204,21824.57,405.5
10,0.01624,0.01785,0.01624,0.01775,20150205,12335.22,200.32
11,0.01637,0.01725,0.01637,0.01673,20150206,38378.46,628.26
12,0.01568,0.01693,0.01568,0.01671,20150207,14283.86,223.97
13,0.01566,0.01742,0.01541,0.01541,20150208,18257.05,285.91
14,0.01575,0.01698,0.01542,0.01542,20150209,5663.3,89.2
15,0.01498,0.01612,0.01494,0.0157,20150210,11152.41,167.06
16,0.01555,0.0167,0.01492,0.01492,20150211,61556.34,957.2
17,0.01556,0.01576,0.01535,0.01576,20150212,49636.86,772.35
18,0.01608,0.0166,0.01607,0.01657,20150213,44725.45,719.19
19,0.01749,0.01888,0.01746,0.01761,20150214,10102.97,176.7
20,0.01663,0.01679,0.01443,0.01578,20150215,5092.01,84.68
21,0.01601,0.01681,0.01582,0.01681,20150216,6926.64,110.9
22,0.01809,0.01918,0.01651,0.01651,20150217,4869.24,88.08
23,0.01835,0.01855,0.01712,0.0175,20150218,31912.31,585.59
24,0.01879,0.01888,0.01781,0.01888,20150219,1270.6,23.87
25,0.0171,0.01899,0.0154,0.01899,20150220,32439.77,554.72
26,0.01606,0.01711,0.01589,0.0171,20150221,26021.15,417.9
27,0.01549,0.01648,0.01549,0.01549,20150222,6336.67,98.16
28,0.01552,0.01592,0.01522,0.01569,20150223,36051.32,559.52
29,0.01513,0.01553,0.01506,0.01552,20150224,766.29,11.59
30,0.01495,0.01542,0.01495,0.01503,20150225,32973.8,492.96
31,0.0156,0.01576,0.01372,0.0149,20150226,65175.47,1016.74
32,0.0165,0.01672,0.01543,0.01672,20150227,34293.65,565.85
33,0.01638,0.01655,0.01551,0.01654,20150228,21038.33,344.61
34,0.01517,0.01664,0.01452,0.01663,20150301,76963.38,1167.53
35,0.01624,0.01643,0.0156,0.0161,20150302,279852.73,4544.81
36,0.01675,0.01696,0.01606,0.01665,20150303,11376.31,190.55
37,0.01572,0.01625,0.01421,0.01623,20150304,87157.21,1370.11
38,0.01392,0.01584,0.01392,0.01591,20150305,77311.76,1076.18
39,0.01337,0.01423,0.01225,0.01379,20150306,30380.4,406.19
40,0.01412,0.01604,0.01315,0.01349,20150307,31593.67,446.1
41,0.015,0.01593,0.01328,0.0141,20150308,24074.61,361.12
42,0.01399,0.01653,0.01256,0.01584,20150309,79672.67,1114.62
43,0.01316,0.01635,0.01241,0.01406,20150310,27813.31,366.02
44,0.01478,0.01664,0.0133,0.01335,20150311,66491.69,982.75
45,0.01616,0.01616,0.01333,0.01469,20150312,22867.32,369.54
46,0.01441,0.01594,0.01429,0.01579,20150313,3868.83,55.75
47,0.01525,0.01579,0.01242,0.01413,20150314,29858.44,455.34
48,0.01484,0.0158,0.01433,0.01543,20150315,9314.07,138.22
49,0.01551,0.01856,0.01348,0.01512,20150316,55881.24,866.72
50,0.01524,0.01711,0.01459,0.01524,20150317,7988.85,121.75
51,0.01251,0.01509,0.01251,0.01366,20150318,3261.96,40.81
52,0.01444,0.01499,0.01275,0.01275,20150319,34440.0,497.31
53,0.01449,0.01545,0.01349,0.01449,20150320,27481.18,398.2
54,0.01477,0.01544,0.0137,0.01437,20150321,6703.41,99.01
55,0.01506,0.01599,0.01416,0.01528,20150322,5678.22,85.51
56,0.01414,0.01489,0.01393,0.01488,20150323,17722.58,250.6
57,0.01308,0.01366,0.01308,0.01314,20150324,8382.44,109.64
58,0.0123,0.01358,0.01099,0.01306,20150325,17626.77,216.81
59,0.01175,0.01442,0.009464,0.01239,20150326,14746.98,173.28
60,0.01276,0.01326,0.01092,0.01171,20150327,7456.24,95.14
