,close,high,low,open,time,volumefrom,volumeto
0,0.003085,0.0143,0.002203,0.002203,20150209,37013.61,114.19
1,0.005055,0.01164,0.00286,0.003075,20150210,8246.05,41.68
2,0.003547,0.01094,0.003547,0.005035,20150211,2519.16,8.94
3,0.003642,0.004436,0.003595,0.003595,20150212,6571.84,23.93
4,0.004015,0.005432,0.003769,0.003878,20150213,8744.99,35.11
5,0.009771,0.009828,0.004397,0.004397,20150214,22668.65,221.5
6,0.007266,0.01236,0.005834,0.008813,20150215,30314.75,220.27
7,0.006382,0.009905,0.006367,0.007346,20150216,8542.72,54.52
8,0.005353,0.006581,0.004876,0.006581,20150217,6243.07,33.42
9,0.01881,0.01881,0.005177,0.005177,20150218,27291.62,513.36
10,0.02298,0.02395,0.01214,0.01935,20150219,35114.2,806.92
11,0.02934,0.1467,0.002445,0.002445,20150220,35161.75,1031.65
12,0.04888,0.08383,0.02689,0.02933,20150221,27461.01,1342.29
13,0.05945,0.0879,0.05151,0.04715,20150222,48878.33,2905.82
14,0.06085,0.0683,0.05249,0.06023,20150223,43214.39,2629.6
15,0.05946,0.07389,0.05492,0.06087,20150224,29858.97,1775.41
16,0.0407,0.05902,0.03541,0.05907,20150225,31381.26,1277.22
17,0.03238,0.04338,0.03193,0.04056,20150226,34932.48,1131.11
18,0.03026,0.0368,0.02778,0.0347,20150227,23365.02,707.03
19,0.02637,0.03143,0.02574,0.03033,20150228,24898.38,656.57
20,0.03175,0.04955,0.02621,0.02677,20150301,24924.36,791.35
21,0.02787,0.04372,0.02784,0.0337,20150302,25014.69,697.16
22,0.02434,0.03637,0.02056,0.02857,20150303,33521.4,815.91
23,0.02123,0.02532,0.01721,0.02358,20150304,27243.04,578.37
24,0.0376,0.04332,0.0193,0.02149,20150305,42166.47,1585.46
25,0.02919,0.04598,0.02856,0.03723,20150306,24525.07,715.89
26,0.03073,0.03967,0.029,0.02944,20150307,14733.51,452.76
27,0.02956,0.03486,0.02956,0.03069,20150308,11389.26,336.67
28,0.02777,0.03437,0.02639,0.03124,20150309,24366.35,676.65
29,0.02295,0.03013,0.02289,0.0279,20150310,21659.4,497.08
30,0.02286,0.02679,0.02086,0.02328,20150311,27405.98,626.5
31,0.02244,0.02923,0.02095,0.02272,20150312,16420.0,368.46
32,0.02197,0.03179,0.02126,0.02194,20150313,14388.0,316.1
33,0.02242,0.02664,0.02042,0.02154,20150314,16130.13,361.64
34,0.02082,0.02307,0.02062,0.02268,20150315,8074.82,168.12
35,0.02363,0.03404,0.02118,0.02122,20150316,31963.74,755.3
36,0.02453,0.02821,0.02241,0.02322,20150317,18275.2,448.29
37,0.02633,0.03839,0.0217,0.022,20150318,50057.17,1318.01
38,0.03298,0.04115,0.02638,0.02685,20150319,28154.99,928.55
39,0.03728,0.03861,0.02759,0.03309,20150320,16952.46,631.99
40,0.02743,0.03688,0.02737,0.03698,20150321,10718.1,294.0
41,0.02831,0.03199,0.02828,0.02836,20150322,14312.36,405.18
42,0.02665,0.03164,0.02261,0.02798,20150323,16265.05,433.46
43,0.02744,0.03698,0.02252,0.02477,20150324,84808.66,2327.15
44,0.02902,0.04693,0.0273,0.0274,20150325,25769.15,747.82
45,0.034,0.03787,0.02756,0.02922,20150326,27833.52,946.34
46,0.03179,0.03733,0.02915,0.03389,20150327,14630.92,465.12
47,0.04317,0.05512,0.02974,0.03241,20150328,88033.14,3800.39
48,0.04829,0.06166,0.0368,0.04147,20150329,91707.94,4428.58
49,0.05782,0.06362,0.04684,0.04923,20150330,44277.07,2560.1
50,0.04883,0.05799,0.04737,0.0572,20150331,24097.16,1176.66
51,0.05161,0.05644,0.04821,0.04925,20150401,21360.13,1102.4
52,0.05065,0.0607,0.04974,0.05294,20150402,21214.03,1074.49
53,0.04838,0.05387,0.04744,0.05102,20150403,19266.19,932.1
54,0.04759,0.05617,0.04732,0.04807,20150404,17056.52,811.72
55,0.05084,0.0532,0.04912,0.04886,20150405,6307.93,320.7
56,0.06122,0.06415,0.04867,0.04992,20150406,92269.84,5648.76
57,0.06868,0.07083,0.05373,0.06074,20150407,62029.89,4260.21
58,0.04855,0.0708,0.0407,0.0664,20150408,140806.67,6836.16
59,0.03338,0.04864,0.03292,0.0483,20150409,95269.12,3180.08
60,0.02364,0.03706,0.02076,0.0322,20150410,72178.43,1706.3
61,0.03982,0.0433,0.02135,0.02381,20150411,46417.62,1848.35
62,0.02887,0.03778,0.02373,0.03972,20150412,26474.8,764.33
63,0.02527,0.03074,0.02513,0.02737,20150413,11313.25,285.89
64,0.02605,0.02867,0.02402,0.02463,20150414,20850.05,543.14
65,0.02123,0.02687,0.02114,0.02664,20150415,26984.1,572.87
