,close,high,low,open,time,volumefrom,volumeto
0,6.32e-06,6.32e-06,6.32e-06,6.32e-06,20150120,111278.56,0.7033
1,6.85e-06,6.85e-06,6.85e-06,6.85e-06,20150121,2653641.37,18.18
2,6.98e-06,6.98e-06,6.98e-06,6.98e-06,20150122,128857.77,0.8994
3,6.97e-06,6.97e-06,6.97e-06,6.97e-06,20150123,0.0,0.0
4,7.44e-06,7.44e-06,7.44e-06,7.44e-06,20150124,0.0,0.0
5,7.56e-06,7.56e-06,7.56e-06,7.56e-06,20150125,0.0,0.0
6,8.08e-06,1.077e-05,8.08e-06,8.08e-06,20150126,161135.01,1.3
7,7.9e-06,7.9e-06,7.9e-06,7.9e-06,20150127,128092.26,1.01
8,7.09e-06,7.09e-06,7.09e-06,7.09e-06,20150128,0.0,0.0
9,7.02e-06,7.02e-06,7.02e-06,7.02e-06,20150129,0.0,0.0
10,4.64e-06,6.96e-06,4.64e-06,6.96e-06,20150130,3533337.64,16.39
11,6.56e-06,6.56e-06,4.37e-06,4.37e-06,20150131,31000.0,0.2034
12,6.76e-06,6.76e-06,6.76e-06,6.76e-06,20150201,17051.24,0.1153
13,4.78e-06,7.17e-06,4.78e-06,7.17e-06,20150202,4787948.76,22.89
14,6.82e-06,6.82e-06,4.55e-06,4.55e-06,20150203,73641.74,0.5022
15,6.8e-06,6.8e-06,6.8e-06,6.8e-06,20150204,1007381.59,6.85
16,8.66e-06,8.66e-06,6.5e-06,6.5e-06,20150205,1266719.56,10.97
17,4.46e-06,8.92e-06,4.46e-06,8.92e-06,20150206,92992.95,0.4147
18,4.55e-06,4.55e-06,4.55e-06,4.55e-06,20150207,0.0,0.0
19,6.71e-06,6.71e-06,4.47e-06,4.47e-06,20150208,38324.28,0.2572
20,6.61e-06,6.61e-06,6.61e-06,6.61e-06,20150209,17004.38,0.1124
21,4.39e-06,6.59e-06,4.39e-06,6.59e-06,20150210,32026.08,0.1406
22,8.75e-06,8.75e-06,4.38e-06,4.38e-06,20150211,1516800.91,13.27
