,close,high,low,open,time,volumefrom,volumeto
0,0.0002094,0.0002094,0.0001561,0.0001561,20141202,0,0
1,0.0002262,0.0002262,0.0001847,0.0002073,20141203,0,0
2,0.0001812,0.0002256,0.0001812,0.0002219,20141204,0,0
3,0.0002039,0.0002039,0.0001813,0.000185,20141205,0,0
4,0.0001881,0.0002069,0.0001881,0.0002032,20141206,0,0
5,0.0002071,0.0002221,0.0002033,0.0002071,20141207,0,0
6,0.000219,0.0002372,0.0002007,0.0002007,20141208,0,0
7,0.0002113,0.0002219,0.0001761,0.0002113,20141209,0,0
8,0.0002018,0.0002088,0.0001566,0.0002088,20141210,0,0
9,0.0001599,0.0002017,0.0001321,0.0002017,20141211,0,0
10,0.0001484,0.0001732,0.0001237,0.0001626,20141212,0,0
11,0.0001184,0.0001463,0.0001149,0.0001463,20141213,0,0
12,0.0001747,0.0001747,0.0001188,0.0001188,20141214,0,0
13,0.0001658,0.0002038,0.0001589,0.0001727,20141215,0,0
14,0.0001387,0.0002014,9.907e-05,0.0001585,20141216,0,0
15,0.0001664,0.0001824,0.000112,0.0001344,20141217,0,0
16,0.0001862,0.0001924,0.0001334,0.0001614,20141218,0,0
17,0.0001176,0.0001907,9.851e-05,0.0001907,20141219,0,0
18,0.0001619,0.0001619,0.0001189,0.0001222,20141220,0,0
19,0.0001871,0.0001904,0.000142,0.0001581,20141221,0,0
20,0.0001621,0.0001919,0.0001489,0.0001919,20141222,0,0
21,0.0001643,0.0001844,0.0001408,0.0001643,20141223,0,0
22,0.0001419,0.0001999,0.0001419,0.000158,20141224,0,0
23,0.0001372,0.0001435,0.0001276,0.0001404,20141225,0,0
24,0.000132,0.0001419,0.0001254,0.0001419,20141226,0,0
25,0.0001293,0.0001293,0.000123,0.0001261,20141227,0,0
26,0.0001266,0.0001298,0.0001234,0.0001298,20141228,0,0
27,0.0001288,0.0001288,0.0001225,0.0001256,20141229,0,0
28,0.0001307,0.0001307,0.0001214,0.0001276,20141230,0,0
29,0.0001241,0.0001337,0.0001241,0.0001337,20141231,0,0
30,0.0001291,0.0001323,0.0001228,0.0001228,20150101,0,0
31,0.0001292,0.0001292,0.0001229,0.0001292,20150102,0,0
32,0.0001177,0.0001177,0.000112,0.0001177,20150103,0,0
33,0.0001641,0.0001641,0.0001032,0.0001085,20150104,0,0
34,0.0001237,0.0001704,0.0001182,0.0001704,20150105,0,0
35,0.0001157,0.000127,0.0001129,0.000127,20150106,0,0
36,0.0001194,0.0001194,0.0001136,0.0001194,20150107,0,0
37,0.0001131,0.0001187,9.894e-05,0.0001159,20150108,0,0
38,0.0001037,0.0001152,0.0001037,0.0001152,20150109,0,0
39,0.0001011,0.0001011,9.567e-05,9.841e-05,20150110,0,0
40,9.002e-05,9.796e-05,9.002e-05,9.796e-05,20150111,0,0
41,9.427e-05,9.427e-05,9.157e-05,9.157e-05,20150112,0,0
42,7.745e-05,7.745e-05,7.524e-05,7.745e-05,20150113,0,0
43,6.432e-05,6.432e-05,5.442e-05,5.772e-05,20150114,0,0
44,3.356e-05,0.0001049,3.356e-05,8.181e-05,20150115,0,0
45,0.0001014,0.0001117,3.311e-05,3.311e-05,20150116,0,0
46,9.583e-05,0.0001138,9.583e-05,9.783e-05,20150117,0,0
47,9.899e-05,0.0001053,8.425e-05,0.0001011,20150118,0,0
48,8.851e-05,0.0001015,8.851e-05,0.0001015,20150119,0,0
