,close,high,low,open,time,volumefrom,volumeto
0,0.0004632,0.0005432,0.0004022,0.0004422,20150120,0.0,0.0
1,0.0004997,0.0005522,0.0004814,0.000502,20150121,0.0,0.0
2,0.0005562,0.0005562,0.0004654,0.0005096,20150122,0.0,0.0
3,0.0006013,0.0006036,0.000527,0.0005549,20150123,0.0,0.0
4,0.0006775,0.000747,0.0005236,0.0006427,20150124,0.0,0.0
5,0.0006655,0.0008117,0.0005798,0.0006882,20150125,0.0,0.0
6,0.0006487,0.0007106,0.0005922,0.0007106,20150126,0.0,0.0
7,0.0006134,0.0006608,0.0005634,0.0006345,20150127,0.0,0.0
8,0.0005007,0.0005503,0.0005007,0.0005503,20150128,0.0,0.0
9,0.000489,0.0005382,0.000482,0.0005054,20150129,212399.42,103.86
10,0.0004938,0.0005634,0.0004706,0.0004845,20150130,190014.48,93.83
11,0.0005157,0.0005201,0.0004523,0.0004654,20150131,146347.94,75.47
12,0.0005475,0.0005497,0.0004889,0.0005317,20150201,4919.55,2.69
13,0.0005231,0.0005828,0.0005207,0.0005804,20150202,73430.49,38.41
14,0.0004594,0.0005367,0.0004525,0.000498,20150203,361848.02,166.23
15,0.0005438,0.0006797,0.0004418,0.0004577,20150204,425553.77,231.42
16,0.0004698,0.00055,0.000433,0.0005196,20150205,55657.66,26.15
17,0.0004838,0.0005217,0.0004593,0.0004838,20150206,34015.88,16.46
18,0.0005123,0.0005669,0.0004759,0.0004941,20150207,78164.53,40.04
19,0.00051,0.0005368,0.0004026,0.0005033,20150208,172268.76,87.86
20,0.0004539,0.000542,0.0004363,0.0005024,20150209,393855.02,178.77
21,0.0004415,0.0004899,0.0004371,0.0004525,20150210,79099.41,34.92
22,0.0004617,0.0004902,0.0004398,0.0004398,20150211,141050.27,65.12
23,0.0004613,0.0005146,0.0004547,0.000468,20150212,258323.36,119.16
24,0.0005172,0.000555,0.0004912,0.0004912,20150213,337988.1,174.81
25,0.0005587,0.0005923,0.0005509,0.0005664,20150214,205260.49,114.68
26,0.0005785,0.0005785,0.0004992,0.0005039,20150215,304158.2,175.96
27,0.0005542,0.0006273,0.0005353,0.0005849,20150216,353929.79,196.15
28,0.0005837,0.0006372,0.0005496,0.0005715,20150217,246479.56,143.87
29,0.0005033,0.0006092,0.0004939,0.0005645,20150218,101200.99,50.93
30,0.0004959,0.0005298,0.0004838,0.0005177,20150219,590234.29,292.7
31,0.0005208,0.0005453,0.0005037,0.0005013,20150220,325704.05,169.63
32,0.0006208,0.0006208,0.0005328,0.0005206,20150221,446209.54,277.01
33,0.0005304,0.0006011,0.0005186,0.0005988,20150222,123041.37,65.26
34,0.0005541,0.0005923,0.0005182,0.0005373,20150223,323279.76,179.13
35,0.0005327,0.0006211,0.0005136,0.0005542,20150224,314260.4,167.41
36,0.0005459,0.0005577,0.000515,0.0005292,20150225,138423.62,75.57
37,0.0005582,0.0005937,0.0005275,0.000544,20150226,166155.25,92.75
38,0.0006489,0.0007275,0.0005931,0.0005982,20150227,489732.65,317.79
39,0.0006377,0.0006936,0.0006148,0.0006504,20150228,425806.3,271.54
40,0.0006577,0.0006629,0.0006242,0.0006474,20150301,193924.02,127.54
41,0.000772,0.002187,0.0006461,0.0006981,20150302,943609.53,728.47
42,0.0006258,0.0008953,0.000609,0.0007914,20150303,824489.92,515.97
43,0.0006118,0.0006417,0.0005873,0.0006064,20150304,240751.75,147.29
44,0.0006303,0.0006495,0.000567,0.0006193,20150305,868470.63,547.4
45,0.0006269,0.0006269,0.0005778,0.0006242,20150306,434460.76,272.36
46,0.0005938,0.0006323,0.0005938,0.0006323,20150307,211665.88,125.69
47,0.0005929,0.0006121,0.0005902,0.0005929,20150308,177814.77,105.43
48,0.0006525,0.0006641,0.000609,0.0006264,20150309,302489.16,197.37
49,0.0006439,0.0006672,0.000606,0.0006556,20150310,425854.47,274.21
50,0.0006355,0.0006533,0.0006148,0.0006533,20150311,357319.12,227.08
51,0.0006259,0.0006406,0.0005906,0.0006318,20150312,420391.52,263.12
52,0.0006089,0.0006204,0.0005859,0.0006118,20150313,132339.56,80.58
53,0.0005688,0.0006139,0.0005688,0.000597,20150314,387725.27,220.54
54,0.000584,0.0006552,0.0005755,0.0005755,20150315,436244.13,254.77
55,0.0006186,0.0006825,0.0005953,0.0005953,20150316,289588.75,179.14
56,0.0005708,0.000625,0.0005708,0.0006079,20150317,531042.39,303.12
57,0.0005221,0.0005451,0.0005042,0.0005118,20150318,226775.01,118.4
58,0.000548,0.000548,0.0004775,0.0005323,20150319,266850.34,146.23
59,0.0005262,0.0005733,0.0005052,0.0005497,20150320,352894.41,185.69
60,0.000522,0.0005454,0.0005038,0.000522,20150321,227265.38,118.63
61,0.0005398,0.0006687,0.0005345,0.0005398,20150322,269740.65,145.61
62,0.0005362,0.0005522,0.000515,0.0005336,20150323,74624.73,40.01
63,0.0004836,0.0005132,0.0004836,0.0004984,20150324,217443.5,105.16
64,0.0004952,0.0005396,0.000478,0.0004829,20150325,80887.14,40.06
65,0.0004787,0.0005283,0.0004787,0.0004985,20150326,88527.9,42.38
66,0.000487,0.0005043,0.0004771,0.0004771,20150327,45592.67,22.2
67,0.0004914,0.0005066,0.0004914,0.0004965,20150328,268702.38,132.04
68,0.0004624,0.0004866,0.0004624,0.0004721,20150329,171326.56,79.22
69,0.0004886,0.0004886,0.0004566,0.0004714,20150330,830851.85,405.95
70,0.0004541,0.0005005,0.0004541,0.0004834,20150331,257086.29,116.74
71,0.0004629,0.0004826,0.000458,0.000458,20150401,311411.3,144.15
72,0.0003435,0.0004951,0.0002779,0.0004749,20150402,805323.57,276.63
73,0.0004453,0.0004606,0.000341,0.0003461,20150403,677516.03,301.7
74,0.0004147,0.0004678,0.0004122,0.0004426,20150404,92908.19,38.53
75,0.0004388,0.0004725,0.0004024,0.0004258,20150405,137314.28,60.25
76,0.0003876,0.0004487,0.0003825,0.0004309,20150406,778509.56,301.75
77,0.0004199,0.000468,0.000382,0.0003845,20150407,344108.81,144.49
78,0.0003938,0.0004084,0.0003669,0.000406,20150408,227155.6,89.45
79,0.0003674,0.0003917,0.0003674,0.0003917,20150409,108409.49,39.83
80,0.000338,0.0003615,0.0003145,0.0003544,20150410,468284.92,158.28
81,0.0002909,0.0003405,0.0002601,0.0003405,20150411,469260.04,136.51
82,0.0002665,0.0003042,0.0002642,0.0002901,20150412,148481.14,39.57
83,0.0002482,0.0002661,0.0002169,0.0002527,20150413,211992.25,52.62
84,0.000255,0.0002943,0.000242,0.000242,20150414,138700.87,35.37
85,0.0002676,0.000272,0.0002564,0.0002609,20150415,103269.17,27.63
86,0.000285,0.000285,0.0002371,0.0002736,20150416,276066.36,78.68
87,0.0002493,0.0002782,0.0002293,0.0002782,20150417,165109.81,41.16
88,0.0002457,0.0002703,0.000239,0.0002502,20150418,133938.74,32.91
89,0.0002542,0.0002654,0.0002342,0.0002453,20150419,200715.53,51.02
90,0.0002668,0.0002938,0.0002534,0.0002556,20150420,148712.55,39.68
91,0.0002992,0.0003225,0.0002735,0.0002781,20150421,228706.73,68.43
92,0.0002899,0.0003203,0.0002829,0.0002992,20150422,51781.25,15.01
