,close,high,low,open,time,volumefrom,volumeto
0,2.79e-06,2.79e-06,2.79e-06,2.79e-06,20130912,25000.1,0.06975
1,2.81e-06,2.81e-06,2.81e-06,2.81e-06,20130913,0.0,0.0
2,4.1e-06,4.1e-06,2.73e-06,2.73e-06,20130914,47840.0,0.1961
3,4.15e-06,4.15e-06,4.15e-06,4.15e-06,20130915,96843.0,0.4019
4,4.18e-06,4.18e-06,4.18e-06,4.18e-06,20130916,0.0,0.0
5,2.78e-06,4.17e-06,2.78e-06,4.17e-06,20130917,620000.0,1.72
6,2.81e-06,2.81e-06,2.81e-06,2.81e-06,20130918,6000.0,0.01686
7,2.7e-06,2.7e-06,2.7e-06,2.7e-06,20130919,0.0,0.0
8,2.68e-06,2.68e-06,2.68e-06,2.68e-06,20130920,0.0,0.0
9,2.69e-06,4.03e-06,2.69e-06,2.69e-06,20130921,2028633.0,5.46
10,2.68e-06,2.68e-06,2.68e-06,2.68e-06,20130922,0.0,0.0
11,2.67e-06,2.67e-06,2.67e-06,2.67e-06,20130923,0.0,0.0
12,2.7e-06,2.7e-06,2.7e-06,2.7e-06,20130924,0.0,0.0
13,2.7e-06,2.7e-06,2.7e-06,2.7e-06,20130925,0.0,0.0
14,2.74e-06,2.74e-06,2.74e-06,2.74e-06,20130926,6521.68,0.01787
15,2.78e-06,2.78e-06,2.78e-06,2.78e-06,20130927,326.0,0.0009063
16,2.85e-06,2.85e-06,2.85e-06,2.85e-06,20130928,165400.0,0.4714
17,2.88e-06,2.88e-06,2.88e-06,2.88e-06,20130929,0.0,0.0
18,2.84e-06,2.84e-06,2.84e-06,2.84e-06,20130930,0.0,0.0
19,2.81e-06,2.81e-06,2.81e-06,2.81e-06,20131001,169711.8,0.4769
20,2.46e-06,2.46e-06,2.46e-06,2.46e-06,20131002,0.0,0.0
21,2.62e-06,2.62e-06,2.62e-06,2.62e-06,20131003,0.0,0.0
22,2.74e-06,2.74e-06,2.74e-06,2.74e-06,20131004,0.0,0.0
23,2.73e-06,2.73e-06,2.73e-06,2.73e-06,20131005,0.0,0.0
24,2.76e-06,2.76e-06,2.76e-06,2.76e-06,20131006,133.0,0.0003671
25,2.72e-06,2.72e-06,2.72e-06,2.72e-06,20131007,0.0,0.0
26,2.73e-06,2.73e-06,2.73e-06,2.73e-06,20131008,0.0,0.0
27,2.79e-06,2.79e-06,2.79e-06,2.79e-06,20131009,0.0,0.0
28,2.81e-06,2.81e-06,2.81e-06,2.81e-06,20131010,0.0,0.0
29,2.8e-06,2.8e-06,2.8e-06,2.8e-06,20131011,0.0,0.0
30,2.86e-06,2.86e-06,2.86e-06,2.86e-06,20131012,0.0,0.0
31,2.95e-06,2.95e-06,2.95e-06,2.95e-06,20131013,0.0,0.0
32,3.03e-06,3.03e-06,3.03e-06,3.03e-06,20131014,0.0,0.0
33,3.16e-06,3.16e-06,3.16e-06,3.16e-06,20131015,0.0,0.0
34,3.06e-06,3.06e-06,3.06e-06,3.06e-06,20131016,0.0,0.0
35,3.15e-06,3.15e-06,3.15e-06,3.15e-06,20131017,0.0,0.0
36,3.37e-06,3.37e-06,3.37e-06,3.37e-06,20131018,0.0,0.0
37,3.66e-06,3.66e-06,3.66e-06,3.66e-06,20131019,0.0,0.0
38,3.72e-06,3.72e-06,3.72e-06,3.72e-06,20131020,0.0,0.0
39,3.86e-06,3.86e-06,3.86e-06,3.86e-06,20131021,10000.0,0.0386
40,4.06e-06,4.06e-06,4.06e-06,4.06e-06,20131022,0.0,0.0
41,4.56e-06,4.56e-06,4.56e-06,4.56e-06,20131023,0.0,0.0
42,4.14e-06,4.14e-06,4.14e-06,4.14e-06,20131024,0.0,0.0
43,3.96e-06,3.96e-06,3.96e-06,3.96e-06,20131025,0.0,0.0
44,3.77e-06,3.77e-06,3.77e-06,3.77e-06,20131026,0.0,0.0
45,4.14e-06,4.14e-06,4.14e-06,4.14e-06,20131027,0.0,0.0
46,4.14e-06,4.14e-06,4.14e-06,4.14e-06,20131028,0.0,0.0
47,4.32e-06,4.32e-06,4.32e-06,4.32e-06,20131029,0.0,0.0
48,4.16e-06,4.16e-06,4.16e-06,4.16e-06,20131030,0.0,0.0
49,4.22e-06,4.22e-06,4.22e-06,4.22e-06,20131031,0.0,0.0
