,close,high,low,open,time,volumefrom,volumeto
0,0.0003525,0.0005486,0.0001653,0.0001653,20150209,238485.7,84.07
1,0.000949,0.001755,0.0004613,0.0007469,20150210,2545703.68,2415.87
2,0.0005733,0.001044,0.0004792,0.0009453,20150211,1430669.53,820.2
3,0.0005944,0.0007408,0.00055,0.0005811,20150212,865584.7,514.5
4,0.0007109,0.001025,0.0006188,0.0006329,20150213,599536.7,426.21
5,0.000807,0.0009751,0.0007785,0.0007785,20150214,923565.98,745.32
6,0.0006462,0.0008164,0.0006462,0.0007278,20150215,1418646.53,916.73
7,0.0006886,0.0008136,0.0006532,0.0006532,20150216,1419529.96,977.49
8,0.0006931,0.0008877,0.0006834,0.0007101,20150217,2088403.02,1447.47
9,0.0007032,0.0007785,0.0006233,0.0006703,20150218,1846516.65,1298.47
10,0.0004572,0.0007112,0.0004113,0.0007233,20150219,1011063.91,462.26
11,0.0002567,0.0005062,0.0002494,0.0004621,20150220,823493.05,211.39
12,0.0004424,0.0004424,0.0001613,0.0002566,20150221,1718190.24,760.13
13,0.0002569,0.0005115,0.0002216,0.0004267,20150222,1728779.5,444.12
14,0.0002675,0.0003582,0.0002412,0.0002603,20150223,1921305.41,513.95
15,0.0002484,0.0003536,0.0002389,0.0002676,20150224,1327529.61,329.76
16,0.0004747,0.0006764,0.0002089,0.0002468,20150225,1252695.1,594.65
17,0.0006032,0.0006363,0.0004731,0.0004731,20150226,1119048.12,675.01
18,0.0004309,0.0006717,0.0003726,0.0006463,20150227,1190894.52,513.16
19,0.0005361,0.0006352,0.0004319,0.0004319,20150228,144738.65,77.59
20,0.0005546,0.0006784,0.0005391,0.0005443,20150301,162362.26,90.05
21,0.0005886,0.0005886,0.0005584,0.0005886,20150302,66407.2,39.09
22,0.0005697,0.0006848,0.0005613,0.0006034,20150303,302763.85,172.48
23,0.0005656,0.0006254,0.0005438,0.000552,20150304,260569.59,147.38
24,0.0005367,0.0005725,0.0004817,0.0005725,20150305,475887.53,255.41
