,close,high,low,open,time,volumefrom,volumeto
0,7.61e-06,1.142e-05,7.61e-06,7.61e-06,20141202,0.0,0.0
1,1.131e-05,1.131e-05,7.54e-06,7.54e-06,20141203,0.0,0.0
2,7.4e-06,1.11e-05,7.4e-06,1.11e-05,20141204,0.0,0.0
3,7.55e-06,1.133e-05,7.55e-06,7.55e-06,20141205,0.0,0.0
4,7.53e-06,1.129e-05,7.53e-06,7.53e-06,20141206,0.0,0.0
5,7.53e-06,1.129e-05,7.53e-06,7.53e-06,20141207,0.0,0.0
6,7.3e-06,1.095e-05,7.3e-06,7.3e-06,20141208,0.0,0.0
7,7.04e-06,7.04e-06,7.04e-06,7.04e-06,20141209,0.0,0.0
8,6.96e-06,1.044e-05,6.96e-06,6.96e-06,20141210,0.0,0.0
9,3.48e-06,6.95e-06,3.48e-06,6.95e-06,20141211,0.0,0.0
10,3.53e-06,7.07e-06,3.53e-06,3.53e-06,20141212,0.0,0.0
11,3.48e-06,6.96e-06,3.48e-06,3.48e-06,20141213,0.0,0.0
12,3.49e-06,6.99e-06,3.49e-06,3.49e-06,20141214,0.0,0.0
13,3.45e-06,6.91e-06,3.45e-06,3.45e-06,20141215,0.0,0.0
14,3.3e-06,3.3e-06,3.3e-06,3.3e-06,20141216,0.0,0.0
15,6.4e-06,6.4e-06,3.2e-06,3.2e-06,20141217,0.0,0.0
16,3.1e-06,6.21e-06,3.1e-06,6.21e-06,20141218,0.0,0.0
17,6.36e-06,6.36e-06,3.18e-06,3.18e-06,20141219,0.0,0.0
18,3.3e-06,6.61e-06,3.3e-06,6.61e-06,20141220,0.0,0.0
19,6.45e-06,6.45e-06,3.23e-06,3.23e-06,20141221,0.0,0.0
20,6.62e-06,6.62e-06,3.31e-06,6.62e-06,20141222,0.0,0.0
21,6.71e-06,6.71e-06,3.35e-06,6.71e-06,20141223,0.0,0.0
22,3.22e-06,6.45e-06,3.22e-06,6.45e-06,20141224,0.0,0.0
23,3.19e-06,6.38e-06,3.19e-06,3.19e-06,20141225,0.0,0.0
24,6.6e-06,6.6e-06,3.3e-06,3.3e-06,20141226,0.0,0.0
25,3.15e-06,6.31e-06,3.15e-06,6.31e-06,20141227,0.0,0.0
26,6.33e-06,6.33e-06,3.17e-06,3.17e-06,20141228,0.0,0.0
27,3.14e-06,6.28e-06,3.14e-06,6.28e-06,20141229,0.0,0.0
28,3.11e-06,6.23e-06,3.11e-06,3.11e-06,20141230,0.0,0.0
29,3.18e-06,6.36e-06,3.18e-06,3.18e-06,20141231,0.0,0.0
30,3.15e-06,6.3e-06,3.15e-06,3.15e-06,20150101,0.0,0.0
31,9.46e-06,9.46e-06,3.15e-06,3.15e-06,20150102,0.0,0.0
32,2.87e-06,8.61e-06,2.87e-06,8.61e-06,20150103,0.0,0.0
33,2.65e-06,5.29e-06,2.65e-06,2.65e-06,20150104,0.0,0.0
34,2.75e-06,5.5e-06,2.75e-06,2.75e-06,20150105,0.0,0.0
35,2.82e-06,5.65e-06,2.82e-06,2.82e-06,20150106,0.0,0.0
36,2.91e-06,5.83e-06,2.91e-06,2.91e-06,20150107,0.0,0.0
37,5.65e-06,5.65e-06,2.83e-06,2.83e-06,20150108,0.0,0.0
38,2.88e-06,5.76e-06,2.88e-06,5.76e-06,20150109,0.0,0.0
39,5.47e-06,5.47e-06,2.73e-06,2.73e-06,20150110,0.0,0.0
40,5.3e-06,5.3e-06,2.65e-06,5.3e-06,20150111,0.0,0.0
41,2.69e-06,5.39e-06,2.69e-06,5.39e-06,20150112,0.0,0.0
42,2.21e-06,4.43e-06,2.21e-06,2.21e-06,20150113,0.0,0.0
43,1.65e-06,1.65e-06,1.65e-06,1.65e-06,20150114,0.0,0.0
44,2.1e-06,4.2e-06,2.1e-06,2.1e-06,20150115,0.0,0.0
45,2.07e-06,4.14e-06,2.07e-06,2.07e-06,20150116,0.0,0.0
46,9.98e-06,3.793e-05,2e-06,2e-06,20150117,0.0,0.0
47,6.32e-06,1.474e-05,4.21e-06,1.053e-05,20150118,0.0,0.0
48,4.32e-06,8.63e-06,4.32e-06,6.48e-06,20150119,0.0,0.0
