,close,high,low,open,time,volumefrom,volumeto
0,0.03042,0.03276,0.03042,0.03276,20150129,17512.66,532.74
1,0.03014,0.0309,0.02863,0.03014,20150130,91152.45,2747.33
2,0.02865,0.02865,0.02747,0.02841,20150131,10567.7,302.76
3,0.02942,0.03021,0.02929,0.02954,20150201,7285.74,214.35
4,0.03256,0.03463,0.03105,0.0312,20150202,304152.8,9903.22
5,0.03184,0.03418,0.02899,0.031,20150203,527957.93,16810.18
6,0.03213,0.03217,0.03036,0.03172,20150204,20681.1,664.48
7,0.02988,0.03075,0.02795,0.0307,20150205,31582.81,943.69
8,0.02907,0.0303,0.02883,0.03077,20150206,1682.54,48.91
9,0.03021,0.03074,0.0296,0.02969,20150207,9032.97,272.89
10,0.02979,0.0302,0.02968,0.02968,20150208,15195.4,452.67
11,0.02975,0.02975,0.02827,0.02935,20150209,23304.16,693.3
12,0.02834,0.02966,0.02823,0.02966,20150210,5720.45,162.12
13,0.02904,0.02954,0.02816,0.02823,20150211,5282.93,153.42
14,0.02994,0.02994,0.02872,0.02943,20150212,4955.39,148.36
15,0.03143,0.03188,0.02999,0.03188,20150213,2839.45,89.24
16,0.03595,0.03595,0.03365,0.03442,20150214,24725.79,888.89
17,0.0314,0.03242,0.03009,0.03242,20150215,7513.61,235.93
18,0.03035,0.03262,0.03035,0.03174,20150216,11360.6,344.79
19,0.02984,0.03244,0.02921,0.0313,20150217,5968.28,178.09
20,0.02989,0.03199,0.02839,0.02886,20150218,14843.59,443.67
21,0.03234,0.03261,0.02988,0.03075,20150219,4228.34,136.74
22,0.03186,0.03277,0.0313,0.03269,20150220,20369.58,648.97
23,0.03055,0.03214,0.03055,0.03185,20150221,10611.26,324.17
24,0.02775,0.03076,0.02593,0.02947,20150222,49829.39,1382.77
25,0.02914,0.02921,0.02412,0.02811,20150223,32344.88,942.53
26,0.03079,0.03237,0.02697,0.02914,20150224,16592.79,510.89
27,0.02706,0.03083,0.02701,0.03059,20150225,11214.74,303.47
28,0.02874,0.02874,0.02696,0.02696,20150226,9781.08,281.11
29,0.03064,0.03168,0.02915,0.0308,20150227,69002.07,2114.22
30,0.03105,0.03303,0.02922,0.03072,20150228,175304.07,5443.19
31,0.03046,0.03397,0.02966,0.03152,20150301,46961.76,1430.46
32,0.03151,0.03444,0.03151,0.03233,20150302,67937.84,2140.72
33,0.0316,0.03396,0.0316,0.0323,20150303,84239.24,2661.96
34,0.03209,0.03271,0.02991,0.03062,20150304,64730.16,2077.19
35,0.03138,0.03248,0.02581,0.03248,20150305,422391.65,13254.65
36,0.02726,0.03107,0.02571,0.03107,20150306,220093.57,5999.75
37,0.02747,0.02782,0.02474,0.02749,20150307,204167.5,5608.48
