,close,high,low,open,time,volumefrom,volumeto
0,0.01101,0.01189,0.0103,0.0116,20180608,7660718.15,84344.51
1,0.01067,0.01097,0.01062,0.01089,20180609,10550022.04,112568.74
2,0.00902,0.009451,0.008475,0.00944,20180610,12551420.23,113213.81
3,0.009125,0.009555,0.00768,0.00913,20180611,14785067.38,134913.74
4,0.008694,0.008887,0.00767,0.008496,20180612,14773240.73,128438.55
5,0.008178,0.008764,0.007978,0.008373,20180613,12449669.04,101813.39
6,0.009045,0.009466,0.008525,0.008946,20180614,13296457.21,120266.46
7,0.009141,0.01099,0.008068,0.008483,20180615,13200767.71,120668.22
8,0.00895,0.009934,0.008662,0.009333,20180616,12357399.77,110598.73
9,0.008718,0.009021,0.008281,0.008976,20180617,8937707.89,77918.94
10,0.008608,0.009183,0.007009,0.009084,20180618,12106212.36,104210.28
11,0.008847,0.009294,0.008346,0.008954,20180619,13780790.42,121918.65
12,0.007512,0.009286,0.007174,0.008809,20180620,12729162.24,95621.47
13,0.006798,0.007555,0.006483,0.007366,20180621,14645823.53,99562.31
14,0.006119,0.007441,0.005024,0.005985,20180622,19683707.99,120444.61
15,0.00578,0.006416,0.005562,0.006278,20180623,18127130.72,104774.82
16,0.006068,0.006337,0.004589,0.005549,20180624,18303982.58,111068.57
17,0.006763,0.006859,0.005955,0.006116,20180625,7496833.18,50701.08
18,0.006195,0.007492,0.005232,0.006332,20180626,15240152.24,94412.74
19,0.005937,0.006463,0.005827,0.00637,20180627,14081979.22,83604.71
20,0.00573,0.00637,0.005162,0.005654,20180628,11707088.45,67081.62
21,0.005715,0.005967,0.005388,0.005928,20180629,15353283.93,87744.02
22,0.0056,0.005985,0.005577,0.005953,20180630,14452136.01,80931.96
23,0.00541,0.005713,0.005306,0.005582,20180701,18480020.21,99976.91
24,0.005457,0.005848,0.005247,0.005681,20180702,19030082.6,103847.16
25,0.005091,0.005437,0.00462,0.005289,20180703,18381051.11,93577.93
26,0.005405,0.005882,0.004891,0.005148,20180704,20167380.84,109004.69
27,0.005419,0.006013,0.005166,0.005433,20180705,16457267.22,89181.93
28,0.005414,0.00547,0.005216,0.005446,20180706,20041841.25,108506.53
29,0.005631,0.00565,0.005456,0.005597,20180707,18569466.4,104564.67
30,0.005382,0.005645,0.005076,0.005635,20180708,17293801.59,93075.24
31,0.005035,0.005469,0.004781,0.005219,20180709,19826669.21,99827.28
32,0.004989,0.005011,0.004621,0.004621,20180710,12227843.58,61004.71
33,0.004817,0.005155,0.004701,0.005138,20180711,17340488.41,83529.13
34,0.004736,0.004809,0.004598,0.004658,20180712,15935557.56,75470.8
35,0.004532,0.004796,0.004299,0.004753,20180713,19184297.91,86943.24
36,0.004346,0.006432,0.004216,0.004541,20180714,15643667.08,67987.38
37,0.004334,0.005382,0.004231,0.004505,20180715,16262787.31,70482.92
38,0.004409,0.004888,0.00429,0.004625,20180716,19138116.39,84379.96
39,0.004666,0.004741,0.004372,0.004596,20180717,21902633.53,102197.69
