,close,high,low,open,time,volumefrom,volumeto
0,7.61e-06,7.61e-06,3.81e-06,3.81e-06,20141202,0.0,0.0
1,1.131e-05,1.131e-05,3.77e-06,7.54e-06,20141203,0.0,0.0
2,7.4e-06,1.11e-05,3.7e-06,1.11e-05,20141204,0.0,0.0
3,3.78e-06,7.55e-06,3.78e-06,7.55e-06,20141205,0.0,0.0
4,3.76e-06,7.53e-06,3.76e-06,3.76e-06,20141206,0.0,0.0
5,3.76e-06,7.53e-06,3.76e-06,3.76e-06,20141207,0.0,0.0
6,7.3e-06,7.3e-06,3.65e-06,3.65e-06,20141208,0.0,0.0
7,3.52e-06,7.04e-06,3.52e-06,7.04e-06,20141209,0.0,0.0
8,6.96e-06,6.96e-06,3.48e-06,3.48e-06,20141210,0.0,0.0
9,3.48e-06,6.95e-06,3.48e-06,6.95e-06,20141211,0.0,0.0
10,1.06e-05,1.06e-05,3.53e-06,3.53e-06,20141212,0.0,0.0
11,6.96e-06,1.045e-05,6.96e-06,1.045e-05,20141213,0.0,0.0
12,1.048e-05,1.048e-05,6.99e-06,6.99e-06,20141214,0.0,0.0
13,1.036e-05,1.036e-05,6.91e-06,1.036e-05,20141215,0.0,0.0
14,9.91e-06,9.91e-06,6.6e-06,9.91e-06,20141216,0.0,0.0
15,9.6e-06,9.6e-06,6.4e-06,9.6e-06,20141217,0.0,0.0
16,9.31e-06,9.31e-06,6.21e-06,9.31e-06,20141218,0.0,0.0
17,9.53e-06,9.53e-06,6.36e-06,9.53e-06,20141219,0.0,0.0
18,9.91e-06,9.91e-06,6.61e-06,9.91e-06,20141220,0.0,0.0
19,6.45e-06,9.68e-06,6.45e-06,9.68e-06,20141221,0.0,0.0
20,9.93e-06,9.93e-06,6.62e-06,6.62e-06,20141222,0.0,0.0
21,1.006e-05,1.006e-05,6.71e-06,1.006e-05,20141223,0.0,0.0
22,9.67e-06,9.67e-06,6.45e-06,9.67e-06,20141224,0.0,0.0
23,6.38e-06,9.57e-06,6.38e-06,9.57e-06,20141225,0.0,0.0
