,close,high,low,open,time,volumefrom,volumeto
0,0.659,0.6738,0.6533,0.6738,20150120,0,0
1,0.7728,0.7986,0.7119,0.7142,20150121,0,0
2,0.7965,0.8028,0.7446,0.7882,20150122,0,0
3,0.8126,0.8242,0.7878,0.7947,20150123,0,0
4,0.8658,0.8723,0.8363,0.8686,20150124,0,0
5,0.9302,0.9302,0.8495,0.8795,20150125,0,0
6,0.9812,0.9933,0.9244,0.9933,20150126,0,0
7,0.9662,0.9688,0.8951,0.9596,20150127,0,0
8,0.8526,0.8667,0.8037,0.8667,20150128,0,0
9,0.8583,0.8583,0.8073,0.8447,20150129,0,0
10,0.8462,0.8509,0.814,0.8504,20150130,0,0
11,0.8566,0.874,0.791,0.7976,20150131,0,0
12,1.12,1.12,0.8831,0.8831,20150201,0,0
13,1.18,1.18,0.9554,1.18,20150202,0,0
14,1.12,1.12,1.02,1.12,20150203,0,0
15,1.11,1.12,0.9063,1.12,20150204,0,0
16,1.05,1.06,0.9759,1.06,20150205,0,0
17,1.07,1.08,0.9208,1.08,20150206,0,0
18,1.07,1.09,1.05,1.09,20150207,0,0
19,0.9392,1.05,0.8723,1.05,20150208,0,0
20,0.9034,0.9915,0.8739,0.9252,20150209,0,0
21,0.9006,0.9006,0.8611,0.9006,20150210,0,0
22,0.9694,0.9736,0.8917,0.8972,20150211,0,0
23,0.9958,0.9958,0.914,0.9825,20150212,0,0
24,1.06,1.06,1.02,1.06,20150213,0,0
25,1.26,1.34,1.13,1.16,20150214,0,0
26,1.15,1.19,0.9821,1.13,20150215,0,0
27,1.18,1.2,0.9811,1.16,20150216,0,0
28,1.22,1.23,1.19,1.22,20150217,0,0
29,1.19,1.22,1.15,1.18,20150218,0,0
30,1.23,1.25,1.19,1.22,20150219,0,0
31,1.25,1.26,1.22,1.24,20150220,0,0
32,1.22,1.25,1.2,1.25,20150221,0,0
33,1.16,1.18,1.15,1.18,20150222,0,0
34,1.18,1.18,1.12,1.17,20150223,0,0
35,1.22,1.27,1.17,1.18,20150224,0,0
36,1.23,1.26,1.19,1.21,20150225,0,0
37,1.22,1.24,1.16,1.23,20150226,0,0
38,1.3,1.32,1.27,1.3,20150227,0,0
39,1.32,1.32,1.28,1.3,20150228,0,0
40,1.32,1.34,1.3,1.34,20150301,0,0
41,1.38,1.4,1.37,1.4,20150302,0,0
42,1.43,1.43,1.39,1.41,20150303,0,0
43,1.4,1.4,1.38,1.38,20150304,0,0
44,1.58,1.79,1.41,1.41,20150305,0,0
45,1.53,1.58,1.42,1.56,20150306,0,0
46,1.51,1.54,1.42,1.54,20150307,0,0
47,1.55,1.65,1.51,1.51,20150308,0,0
48,1.8,1.81,1.74,1.8,20150309,0,0
49,2.09,2.33,1.79,1.81,20150310,0,0
50,2.01,2.34,1.87,2.13,20150311,0,0
51,1.91,2.06,1.63,2.0,20150312,0,0
52,1.98,2.06,1.7,1.87,20150313,0,0
53,1.93,1.94,1.77,1.94,20150314,0,0
54,1.99,2.0,1.91,1.95,20150315,0,0
55,2.03,2.03,1.96,2.03,20150316,0,0
56,2.04,2.05,1.99,2.0,20150317,0,0
57,1.82,1.84,1.79,1.83,20150318,0,0
58,1.81,1.89,1.79,1.85,20150319,0,0
59,1.83,1.84,1.73,1.82,20150320,0,0
60,1.83,1.83,1.8,1.81,20150321,0,0
61,1.91,1.93,1.86,1.89,20150322,0,0
62,1.88,1.88,1.83,1.88,20150323,0,0
63,1.72,1.75,1.7,1.75,20150324,0,0
64,1.72,1.73,1.71,1.72,20150325,0,0
65,1.74,1.74,1.7,1.74,20150326,0,0
66,1.73,1.73,1.69,1.73,20150327,0,0
67,1.68,1.76,1.64,1.76,20150328,0,0
68,1.61,1.65,1.53,1.61,20150329,0,0
69,1.65,1.68,1.61,1.63,20150330,0,0
70,1.64,1.64,1.61,1.64,20150331,0,0
71,1.67,1.67,1.62,1.65,20150401,0,0
72,1.73,1.74,1.67,1.72,20150402,0,0
73,1.76,1.76,1.72,1.74,20150403,0,0
74,1.74,1.74,1.72,1.74,20150404,0,0
75,1.77,1.79,1.77,1.79,20150405,0,0
76,1.67,1.74,1.62,1.74,20150406,0,0
77,1.69,1.72,1.64,1.66,20150407,0,0
78,1.66,1.66,1.61,1.63,20150408,0,0
79,1.65,1.65,1.61,1.65,20150409,0,0
80,1.57,1.59,1.55,1.59,20150410,0,0
81,1.56,1.59,1.56,1.58,20150411,0,0
82,1.58,1.58,1.54,1.56,20150412,0,0
83,1.45,1.5,1.45,1.5,20150413,0,0
84,1.42,1.42,1.42,1.42,20150414,0,0
85,1.45,1.45,1.45,1.45,20150415,0,0
86,1.48,1.48,1.48,1.48,20150416,0,0
87,1.45,1.45,1.45,1.45,20150417,0,0
88,1.45,1.45,1.45,1.45,20150418,0,0
89,1.45,1.45,1.45,1.45,20150419,0,0
90,1.46,1.46,1.46,1.46,20150420,0,0
91,1.52,1.52,1.52,1.52,20150421,0,0
92,1.52,1.52,1.52,1.52,20150422,0,0
93,1.17,1.18,1.16,1.18,20150423,0,0
94,0.9569,1.14,0.9569,1.14,20150424,0,0
95,1.06,1.06,0.9161,0.9364,20150425,0,0
96,1.12,1.14,0.9209,1.03,20150426,0,0
97,1.19,1.2,1.13,1.17,20150427,0,0
98,1.13,1.18,1.11,1.17,20150428,0,0
99,1.12,1.13,1.08,1.13,20150429,0,0
100,1.16,1.18,1.08,1.18,20150430,0,0
101,1.14,1.15,1.11,1.14,20150501,0,0
102,1.17,1.17,1.08,1.15,20150502,0,0
103,1.12,1.2,1.1,1.2,20150503,0,0
104,1.12,1.13,1.1,1.12,20150504,0,0
105,1.12,1.12,1.08,1.1,20150505,0,0
106,1.05,1.09,1.05,1.09,20150506,0,0
107,1.09,1.09,1.08,1.09,20150507,0,0
108,1.12,1.13,1.11,1.12,20150508,0,0
109,1.11,1.12,1.1,1.11,20150509,0,0
110,1.13,1.13,1.09,1.1,20150510,0,0
111,1.14,1.14,1.11,1.14,20150511,0,0
112,1.14,1.14,1.1,1.13,20150512,0,0
113,1.14,1.14,1.09,1.12,20150513,0,0
114,1.15,1.18,1.14,1.14,20150514,0,0
115,1.21,1.24,1.15,1.15,20150515,0,0
116,1.2,1.23,1.18,1.2,20150516,0,0
117,1.23,1.23,1.21,1.21,20150517,0,0
118,1.21,1.21,1.2,1.21,20150518,0,0
119,1.23,1.29,1.18,1.21,20150519,0,0
120,1.29,1.29,1.23,1.24,20150520,0,0
121,1.25,1.29,1.18,1.29,20150521,0,0
122,1.32,1.32,1.21,1.28,20150522,0,0
123,1.31,1.31,1.24,1.31,20150523,0,0
124,1.3,1.32,1.22,1.32,20150524,0,0
125,1.24,1.28,1.2,1.28,20150525,0,0
126,1.22,1.25,1.19,1.25,20150526,0,0
127,1.21,1.21,1.16,1.21,20150527,0,0
128,1.2,1.21,1.19,1.21,20150528,0,0
129,1.19,1.21,1.19,1.19,20150529,0,0
