,close,high,low,open,time,volumefrom,volumeto
0,0.04562,0.05095,0.04424,0.04971,20150202,761.79,34.75
1,0.04344,0.04344,0.03805,0.04344,20150203,973.41,42.28
2,0.04513,0.04874,0.04312,0.04328,20150204,407.34,18.38
3,0.0495,0.0506,0.04313,0.04313,20150205,414.54,20.52
4,0.0538,0.06011,0.04718,0.05097,20150206,2286.72,123.03
5,0.05653,0.0683,0.05494,0.05494,20150207,1113.23,62.93
6,0.06428,0.06652,0.05554,0.05554,20150208,1518.1,97.58
7,0.06985,0.07414,0.06333,0.06333,20150209,1417.66,99.02
8,0.07471,0.09079,0.06812,0.06964,20150210,1513.22,113.05
9,0.04841,0.07442,0.04841,0.07442,20150211,1999.48,96.79
10,0.07099,0.07541,0.04906,0.04906,20150212,8688.86,616.82
11,0.06726,0.07605,0.0662,0.0756,20150213,1309.26,88.06
12,0.06751,0.0763,0.06751,0.07366,20150214,1894.49,127.9
13,0.06448,0.06448,0.05983,0.06088,20150215,1910.24,123.17
14,0.06415,0.06768,0.06415,0.06518,20150216,3763.72,241.44
15,0.06272,0.07311,0.05876,0.06615,20150217,7672.32,481.21
16,0.06421,0.06539,0.06066,0.06066,20150218,1848.37,118.68
17,0.06604,0.0675,0.06534,0.06604,20150219,1989.46,131.38
18,0.07005,0.07336,0.06675,0.06675,20150220,5609.42,392.94
19,0.06521,0.0699,0.06355,0.07002,20150221,2096.78,136.73
20,0.05799,0.06483,0.04715,0.06289,20150222,10090.38,585.14
21,0.06066,0.07403,0.03998,0.05875,20150223,9338.15,566.45
22,0.07114,0.07114,0.05592,0.06068,20150224,2660.48,189.27
23,0.07832,0.08591,0.07068,0.07068,20150225,3063.37,239.92
24,0.08281,0.09776,0.07805,0.07805,20150226,5052.66,418.41
25,0.09759,0.1115,0.08874,0.08874,20150227,4882.69,476.5
26,0.09527,0.1067,0.09527,0.09781,20150228,3055.83,291.13
27,0.1019,0.1081,0.09286,0.09673,20150301,8117.74,827.2
28,0.1341,0.1587,0.1041,0.1081,20150302,5039.9,675.85
29,0.1634,0.2098,0.1198,0.1375,20150303,8473.45,1384.56
30,0.2069,0.2447,0.1496,0.1583,20150304,7542.09,1560.46
