,close,high,low,open,time,volumefrom,volumeto
0,0.0005498,0.0008898,0.000111,0.0008898,20170605,332377.37,38.76
1,0.00015,0.0005498,0.000141,0.0005498,20170606,2298166.15,357.5
2,0.0002897,0.001033,0.00015,0.00015,20170607,2322161.23,1312.88
3,0.00021,0.0002897,0.00021,0.0002897,20170608,2445647.88,513.72
4,0.00016,0.00021,0.00016,0.00021,20170609,52685.19,8.76
5,0.000201,0.0002099,0.0001587,0.00016,20170610,512809.54,99.31
6,0.0001798,0.000201,9e-05,0.000201,20170611,1525372.21,239.19
7,0.00012,0.0001798,0.00012,0.0001798,20170612,64949.03,7.79
8,0.0001,0.00014,0.0001,0.00012,20170613,298625.37,33.76
9,0.000121,0.0001589,0.0001,0.0001,20170614,348548.22,43.84
10,0.000125,0.000137,0.000121,0.000121,20170615,1900717.45,230.56
11,0.000129,0.0001587,0.000125,0.000125,20170616,2041031.34,269.81
12,0.0001,0.00016,0.0001,0.000129,20170617,871819.24,110.29
13,0.0001,0.00012,0.0001,0.0001,20170618,947289.88,107.63
14,0.0001,0.0001,0.0001,0.0001,20170619,100000.0,10.0
15,8.689e-05,0.0001,8.689e-05,0.0001,20170620,835255.66,74.27
16,7.352e-05,0.0001,7.352e-05,8.689e-05,20170621,409679.63,30.53
17,7.22e-05,9.9e-05,7.22e-05,7.352e-05,20170622,56289.77,4.15
18,0.00016,0.00016,7.1e-05,7.22e-05,20170623,43274.51,6.92
19,7.2e-05,0.00016,7.2e-05,0.00016,20170624,32298.67,4.2
20,7.2e-05,7.203e-05,7.2e-05,7.2e-05,20170625,756.23,0.05446
21,7.121e-05,0.00013,7.121e-05,7.2e-05,20170626,945461.19,119.13
22,7.4e-05,0.00013,7.121e-05,7.121e-05,20170627,35820.11,3.94
23,8.5e-05,0.00011,7.4e-05,7.4e-05,20170628,209331.05,19.65
24,8.49e-05,9e-05,8.49e-05,8.5e-05,20170629,388347.2,34.69
25,8.2e-05,9.01e-05,8.1e-05,8.49e-05,20170630,988530.0,80.9
26,8.102e-05,8.9e-05,8.101e-05,8.2e-05,20170701,707028.34,57.94
27,7.501e-05,8.102e-05,7.501e-05,8.102e-05,20170702,646564.22,52.26
28,7.108e-05,8e-05,7.108e-05,7.501e-05,20170703,77089.19,5.64
29,7.991e-05,7.991e-05,7e-05,7.108e-05,20170704,5388.74,0.4305
30,7.099e-05,7.994e-05,7.099e-05,7.991e-05,20170705,26.2,0.002023
31,7.099e-05,7.1e-05,7.099e-05,7.099e-05,20170706,14077.55,0.9994
32,8e-05,9.001e-05,2.596e-05,7.099e-05,20170707,887251.59,74.06
33,5.5e-05,8.5e-05,5.5e-05,8e-05,20170708,162556.32,12.32
34,6.01e-05,8.5e-05,5.5e-05,5.5e-05,20170709,6092.39,0.4365
35,6.011e-05,6.011e-05,6.01e-05,6.01e-05,20170710,812.91,0.04886
36,8.499e-05,8.499e-05,5.5e-05,6.011e-05,20170711,386511.93,26.49
37,8.499e-05,8.499e-05,8.499e-05,8.499e-05,20170712,0.0,0.0
38,5.5e-05,8.499e-05,5.5e-05,8.499e-05,20170713,325599.38,18.18
39,6.3e-05,6.9e-05,4.5e-05,5.5e-05,20170714,6600.0,0.3625
40,6.2e-05,6.3e-05,5.7e-05,6.3e-05,20170715,60332.46,3.74
41,5.001e-05,6.2e-05,5.001e-05,6.2e-05,20170716,470988.31,28.35
42,5.3e-05,5.3e-05,5e-05,5.001e-05,20170717,160.95,0.008383
43,5.3e-05,5.3e-05,5.3e-05,5.3e-05,20170718,0.0,0.0
44,3.9e-05,5.899e-05,3.9e-05,5.3e-05,20170719,110428.53,5.54
45,6.3e-05,7.2e-05,3.9e-05,3.9e-05,20170720,900.0,0.0612
46,6.301e-05,6.301e-05,6.3e-05,6.3e-05,20170721,13155.67,0.8289
47,6.3e-05,6.301e-05,6.3e-05,6.301e-05,20170722,98236.31,6.19
48,5.8e-05,6.4e-05,5.6e-05,6.3e-05,20170723,81722.57,5.06
49,5.1e-05,6.4e-05,5.1e-05,5.8e-05,20170724,1366971.91,80.66
50,3.9e-05,6e-05,3.9e-05,5.1e-05,20170725,247787.34,14.26
51,5.191e-05,5.994e-05,3.5e-05,3.9e-05,20170726,784916.04,44.83
52,4.8e-05,5.191e-05,4.8e-05,5.191e-05,20170727,200.0,0.0097
53,4.8e-05,4.8e-05,4.8e-05,4.8e-05,20170728,0.0,0.0
54,4.4e-05,6.4e-05,4.4e-05,5.9e-05,20170729,19799.16,1.15
55,4.357e-05,5.3e-05,4.357e-05,4.4e-05,20170730,73811.8,3.81
56,4.5e-05,6.2e-05,4.357e-05,4.357e-05,20170731,1927943.49,107.55
57,4.6e-05,5.7e-05,4.5e-05,4.5e-05,20170801,554679.1,27.38
58,4.5e-05,5.7e-05,4.5e-05,4.6e-05,20170802,1706754.21,85.36
59,5.5e-05,5.5e-05,4.5e-05,4.5e-05,20170803,2753.64,0.1515
60,5.2e-05,5.5e-05,4.7e-05,5.5e-05,20170804,172836.39,8.49
61,4.7e-05,5.2e-05,4.7e-05,5.2e-05,20170805,999998.0,47.98
62,4.7e-05,5.5e-05,4.7e-05,4.7e-05,20170806,91989.0,4.33
63,4.9e-05,7.4e-05,4.5e-05,4.7e-05,20170807,1195128.32,76.21
64,5.295e-05,7.5e-05,4.7e-05,4.9e-05,20170808,1243844.29,68.36
65,4.1e-05,5.3e-05,2.1e-05,5.295e-05,20170809,373962.75,16.01
66,4.8e-05,5e-05,4.1e-05,4.1e-05,20170810,902960.23,45.13
67,4.9e-05,5.2e-05,4.8e-05,4.8e-05,20170811,812682.65,39.82
68,4.701e-05,4.9e-05,4.701e-05,4.9e-05,20170812,28822.76,1.36
69,4.701e-05,4.701e-05,4.701e-05,4.701e-05,20170813,127015.76,5.97
70,4.4e-05,5.7e-05,4.4e-05,4.701e-05,20170814,160135.15,7.43
71,4.5e-05,4.5e-05,4.4e-05,4.4e-05,20170815,150.0,0.00675
72,4.401e-05,4.5e-05,4.401e-05,4.5e-05,20170816,22754.38,1.0
73,3.3e-05,4.401e-05,3.3e-05,4.401e-05,20170817,174251.11,6.37
74,3.3e-05,3.3e-05,3.3e-05,3.3e-05,20170818,0.0,0.0
75,5.2e-05,5.2e-05,3.3e-05,3.3e-05,20170819,1718778.79,79.56
76,4.6e-05,5.2e-05,4.6e-05,5.2e-05,20170820,57124.73,2.89
77,4.6e-05,4.6e-05,4.6e-05,4.6e-05,20170821,0.0,0.0
78,3.2e-05,5.1e-05,3.2e-05,4.8e-05,20170822,345526.78,15.42
79,4.399e-05,4.399e-05,3.2e-05,3.2e-05,20170823,98275.08,4.32
80,3.1e-05,6.3e-05,3.1e-05,4.399e-05,20170824,51874.61,1.75
81,5.2e-05,5.2e-05,3.1e-05,3.1e-05,20170825,751538.46,39.08
82,5.2e-05,5.2e-05,5.2e-05,5.2e-05,20170826,0.0,0.0
83,5.2e-05,5.2e-05,5.2e-05,5.2e-05,20170827,0.0,0.0
84,4.551e-05,5.2e-05,4.551e-05,5.2e-05,20170828,19953.82,0.9081
85,4.551e-05,4.551e-05,4.551e-05,4.551e-05,20170829,0.0,0.0
86,4.551e-05,4.551e-05,4.551e-05,4.551e-05,20170830,0.0,0.0
87,4.552e-05,6.1e-05,4.551e-05,6.1e-05,20170831,122881.09,5.59
88,6.4e-05,6.4e-05,4.552e-05,4.552e-05,20170901,24998.85,1.6
89,7.499e-05,7.499e-05,6.4e-05,6.4e-05,20170902,893646.83,67.01
90,6.997e-05,7.499e-05,5.052e-05,7.499e-05,20170903,2231.77,0.1127
91,5.052e-05,6.997e-05,5.052e-05,6.997e-05,20170904,225463.72,11.39
92,5.052e-05,5.052e-05,5.052e-05,5.052e-05,20170905,0.0,0.0
93,4.122e-05,4.568e-05,3.051e-05,4.568e-05,20170906,1622192.79,59.74
94,5.999e-05,6.047e-05,4.299e-05,4.3e-05,20170907,96865.66,5.72
95,6.02e-05,6.02e-05,5.1e-05,5.1e-05,20170908,1004561.3,51.49
96,6.01e-05,8e-05,6.01e-05,6.01e-05,20170909,192444.88,12.33
97,5.103e-05,6.262e-05,5.103e-05,6.01e-05,20170910,1125109.37,65.05
98,5.534e-05,6.994e-05,4.31e-05,5.103e-05,20170911,2520055.67,153.79
99,4.301e-05,5.535e-05,4.301e-05,5.534e-05,20170912,271932.33,14.64
100,4.55e-05,4.55e-05,4.5e-05,4.5e-05,20170913,333664.12,15.02
101,4.55e-05,6.969e-05,4.55e-05,6.969e-05,20170914,3257223.32,150.99
102,4.01e-05,5.34e-05,4.001e-05,4.551e-05,20170915,4216951.26,186.08
103,4.698e-05,5.246e-05,3.903e-05,4.01e-05,20170916,2621954.16,105.32
104,3.906e-05,4.698e-05,3.906e-05,4.698e-05,20170917,672882.69,26.71
105,4.27e-05,4.27e-05,3.906e-05,3.906e-05,20170918,368899.76,15.67
106,4.1e-05,4.27e-05,4.1e-05,4.27e-05,20170919,10000.0,0.41
107,4.672e-05,5e-05,4e-05,4.1e-05,20170920,411039.78,19.67
108,4.37e-05,4.8e-05,4.37e-05,4.672e-05,20170921,214206.93,9.69
109,3.905e-05,4.37e-05,3.905e-05,4.37e-05,20170922,858254.63,33.75
110,3.907e-05,3.907e-05,3.905e-05,3.905e-05,20170923,171727.91,6.71
111,3.502e-05,4.5e-05,3.502e-05,3.907e-05,20170924,1893241.33,83.32
112,3.503e-05,3.503e-05,3.502e-05,3.502e-05,20170925,11237.89,0.3937
113,3.503e-05,3.503e-05,3.503e-05,3.503e-05,20170926,0.0,0.0
114,3.612e-05,3.612e-05,3.503e-05,3.503e-05,20170927,493490.05,17.82
115,3.617e-05,4.937e-05,3.612e-05,3.612e-05,20170928,779091.98,38.21
116,3.617e-05,3.617e-05,3.617e-05,3.617e-05,20170929,0.0,0.0
117,3.617e-05,3.617e-05,3.617e-05,3.617e-05,20170930,0.0,0.0
118,3.617e-05,3.617e-05,3.617e-05,3.617e-05,20171001,0.0,0.0
119,3.617e-05,3.617e-05,3.617e-05,3.617e-05,20171002,0.0,0.0
120,3.816e-05,4.941e-05,3.617e-05,3.617e-05,20171003,1247989.31,55.53
121,3.913e-05,3.913e-05,3.816e-05,3.816e-05,20171004,140000.0,5.48
122,4.008e-05,4.008e-05,3.913e-05,3.913e-05,20171005,222993.9,8.94
123,4.008e-05,4.008e-05,4.008e-05,4.008e-05,20171006,0.0,0.0
124,3.959e-05,4.088e-05,3.959e-05,4.008e-05,20171007,1935370.54,79.09
125,3.501e-05,4.478e-05,3.501e-05,3.959e-05,20171008,553005.77,22.13
126,3.501e-05,3.501e-05,3.501e-05,3.501e-05,20171009,0.0,0.0
127,3.501e-05,3.501e-05,3.501e-05,3.501e-05,20171010,0.0,0.0
128,3.581e-05,4.006e-05,3.581e-05,3.664e-05,20171011,797915.06,31.96
129,3.798e-05,3.798e-05,3.74e-05,3.74e-05,20171012,225451.94,8.55
130,4.139e-05,4.14e-05,3.798e-05,3.798e-05,20171013,270768.32,11.2
131,5e-05,5e-05,4.139e-05,4.139e-05,20171014,1162501.61,50.42
132,4.88e-05,5e-05,4.476e-05,5e-05,20171015,1355383.41,60.67
133,4.472e-05,4.696e-05,4.472e-05,4.696e-05,20171016,1083493.35,49.52
134,4e-05,4.101e-05,4e-05,4.101e-05,20171017,659544.66,27.05
135,3.999e-05,3.999e-05,3.999e-05,3.999e-05,20171018,89202.46,3.57
136,3.5e-05,3.999e-05,3.5e-05,3.999e-05,20171019,442986.3,15.82
137,3.39e-05,4e-05,3.388e-05,3.5e-05,20171020,1459865.73,52.31
138,3.388e-05,3.451e-05,3.388e-05,3.39e-05,20171021,147126.41,5.02
139,4e-05,4e-05,3.388e-05,3.388e-05,20171022,14959927.35,598.4
140,3.999e-05,4.2e-05,3.5e-05,4e-05,20171023,2283771.32,91.02
141,2.999e-05,3.999e-05,1e-06,3.999e-05,20171024,1505012.63,31.63
142,2.2e-05,2.999e-05,2e-05,2.999e-05,20171025,750576.94,16.49
143,2.222e-05,2.222e-05,2.2e-05,2.2e-05,20171026,8182910.52,180.7
144,2.223e-05,2.223e-05,2.222e-05,2.222e-05,20171027,833929.72,18.53
145,2.224e-05,2.351e-05,2.223e-05,2.223e-05,20171028,6947454.82,162.61
146,2.201e-05,2.301e-05,1.299e-05,2.224e-05,20171029,8820691.83,196.31
147,1.19e-05,2.349e-05,1.19e-05,2.201e-05,20171030,7731933.19,174.12
148,2.139e-05,2.139e-05,1.19e-05,1.19e-05,20171031,231621.71,4.95
149,1.377e-05,2.139e-05,1.377e-05,2.139e-05,20171101,14970.0,0.2061
150,2.5e-05,2.5e-05,1.377e-05,1.377e-05,20171102,1234510.35,18.3
151,2.5e-05,2.5e-05,2.5e-05,2.5e-05,20171103,0.0,0.0
152,1.28e-06,2.796e-05,1.2e-06,2.5e-05,20171104,3156808.72,59.11
153,1.302e-05,1.303e-05,1.28e-06,1.28e-06,20171105,111245.02,0.4742
154,1.35e-05,1.97e-05,1.302e-05,1.302e-05,20171106,1828225.84,30.22
155,8.13e-06,2.531e-05,5.07e-06,1.35e-05,20171107,1493221.2,18.59
156,8.13e-06,8.13e-06,8.13e-06,8.13e-06,20171108,0.0,0.0
157,8.13e-06,8.13e-06,8.13e-06,8.13e-06,20171109,0.0,0.0
158,8.13e-06,8.13e-06,8.13e-06,8.13e-06,20171110,0.0,0.0
159,8.13e-06,8.13e-06,8.13e-06,8.13e-06,20171111,0.0,0.0
160,8.13e-06,8.13e-06,8.13e-06,8.13e-06,20171112,0.0,0.0
161,8.13e-06,8.13e-06,8.13e-06,8.13e-06,20171113,0.0,0.0
162,8.13e-06,8.13e-06,8.13e-06,8.13e-06,20171114,0.0,0.0
163,8.13e-06,8.13e-06,8.13e-06,8.13e-06,20171115,0.0,0.0
164,8.13e-06,8.13e-06,8.13e-06,8.13e-06,20171116,0.0,0.0
165,8.13e-06,8.13e-06,8.13e-06,8.13e-06,20171117,0.0,0.0
166,8.13e-06,8.13e-06,8.13e-06,8.13e-06,20171118,0.0,0.0
167,8.13e-06,8.13e-06,8.13e-06,8.13e-06,20171119,0.0,0.0
168,8.13e-06,8.13e-06,8.13e-06,8.13e-06,20171120,0.0,0.0
169,8.13e-06,8.13e-06,8.13e-06,8.13e-06,20171121,0.0,0.0
170,8.13e-06,8.13e-06,8.13e-06,8.13e-06,20171122,0.0,0.0
