,close,high,low,open,time,volumefrom,volumeto
0,0.9563,43.69,0.9231,43.69,20140923,25234.99,24132.22
1,0.9425,0.9759,0.8954,0.9276,20140924,25695.22,24217.74
2,1.04,1.04,0.9169,0.9169,20140925,7007.23,7287.52
3,0.9958,1.29,0.9679,1.02,20140926,10416.73,10372.98
4,1.0,1.0,0.9776,0.9824,20140927,1524.35,1524.35
5,0.9879,1.21,0.9519,0.9522,20140928,13135.22,12976.28
6,1.01,1.02,0.9792,0.9819,20140929,19382.03,19575.85
7,0.998,1.04,0.998,1.04,20140930,21516.17,21473.14
8,1.0,1.0,0.9843,0.9843,20141001,2.0,2.0
9,1.0,1.01,0.9795,0.9847,20141002,18305.19,18305.19
10,1.01,1.02,0.9661,0.9715,20141003,23060.42,23291.02
11,1.01,1.02,0.9355,0.9355,20141004,29821.63,30119.85
12,1.01,1.16,0.9718,0.9718,20141005,7447.94,7522.42
13,1.01,1.1,0.9701,1.04,20141006,389177.24,393069.01
14,1.0,1.03,0.9903,1.01,20141007,204543.57,204543.57
15,0.9982,1.07,0.9982,1.06,20141008,457007.29,456184.68
16,0.9849,1.03,0.9423,1.03,20141009,350632.78,345338.23
17,0.9911,1.02,0.9763,0.9871,20141010,85284.59,84525.56
18,1.01,1.02,0.9879,0.9897,20141011,82371.87,83195.59
19,0.9967,1.04,0.9967,1.04,20141012,51325.42,51156.05
20,0.9788,1.05,0.9702,1.03,20141013,128944.54,126210.92
21,0.9582,1.0,0.9582,1.0,20141014,6145.97,5889.07
22,0.9935,1.01,0.9487,0.9487,20141015,72481.21,72010.08
23,0.9828,0.9828,0.9597,0.9597,20141016,40685.81,39986.01
24,1.0,1.0,0.9847,0.9847,20141017,41328.94,41328.94
25,1.0,1.03,0.9991,1.03,20141018,122071.22,122071.22
26,0.9907,0.9945,0.9907,0.9945,20141019,6986.0,6921.03
27,0.9894,1.0,0.973,0.973,20141020,11195.49,11076.82
28,0.983,1.0,0.9735,0.9945,20141021,61681.08,60632.5
29,0.9845,0.992,0.9742,0.9742,20141022,1172.73,1154.55
30,0.9827,0.9862,0.9243,0.9243,20141023,80816.28,79418.16
31,0.9829,1.0,0.9801,0.9808,20141024,62126.28,61063.92
32,0.9725,0.9725,0.9597,0.9597,20141025,21.64,21.04
33,0.9819,0.9948,0.978,0.978,20141026,14164.86,13908.48
34,0.9939,0.9939,0.9775,0.9859,20141027,7786.85,7739.35
35,0.9865,0.9967,0.9833,0.9967,20141028,14139.6,13948.72
36,0.9899,0.995,0.9417,0.9417,20141029,57637.3,57055.16
37,0.9991,1.03,0.9991,1.02,20141030,112643.53,112542.15
38,0.9876,1.0,0.9778,0.9788,20141031,519598.95,513155.92
39,0.9903,1.0,0.9512,0.9512,20141101,4113.88,4073.98
40,0.9909,0.9909,0.9815,0.9815,20141102,101.19,100.27
41,0.9928,0.9961,0.9847,0.9961,20141103,4545.71,4512.98
42,0.9793,1.01,0.9767,1.0,20141104,77720.53,76111.72
43,0.9971,1.01,0.9812,1.01,20141105,107116.15,106805.51
44,1.0,1.03,0.9943,1.03,20141106,41984.86,41984.86
45,0.9955,0.9993,0.9856,0.9856,20141107,41396.19,41209.91
46,1.0,1.0,0.9966,1.0,20141108,1031.96,1031.96
47,1.01,1.06,0.9938,1.06,20141109,88288.86,89171.75
48,0.9796,1.02,0.977,1.02,20141110,46591.59,45641.12
49,0.972,1.01,0.972,0.9749,20141111,56017.04,54448.56
50,1.04,1.15,1.0,1.15,20141112,208296.6,216628.46
51,1.07,1.11,0.9428,1.03,20141113,322182.57,344735.35
52,1.0,1.03,0.9691,0.9941,20141114,346017.39,346017.39
53,0.9911,1.01,0.9484,0.9484,20141115,99262.25,98378.82
54,0.9629,1.02,0.9629,1.02,20141116,133104.25,128166.08
55,0.9844,1.02,0.9379,0.9606,20141117,273187.3,268925.58
56,1.01,1.02,0.9703,0.9703,20141118,69996.92,70696.89
57,1.01,1.02,0.9887,1.01,20141119,42671.52,43098.24
58,1.01,1.01,0.9483,0.9508,20141120,39824.46,40222.7
59,0.9864,1.02,0.9846,0.9913,20141121,77505.34,76451.27
60,0.9927,0.9927,0.9663,0.987,20141122,110361.14,109555.5
61,0.9841,1.03,0.9841,1.03,20141123,40415.79,39773.18
62,0.9843,1.02,0.9808,1.02,20141124,55051.37,54187.06
63,1.0,1.01,0.955,0.978,20141125,134640.74,134640.74
64,0.9901,0.9901,0.9696,0.9751,20141126,58798.06,58215.96
65,0.9984,0.9995,0.9877,0.9995,20141127,3156.07,3151.02
66,0.9972,1.04,0.9972,1.02,20141128,23230.24,23165.2
67,0.9892,0.9949,0.9892,0.9938,20141129,2267.79,2243.3
68,1.0,1.0,0.9857,0.9857,20141130,2488.06,2488.06
69,0.9988,1.01,0.9946,1.01,20141201,178977.55,178762.78
70,0.995,1.0,0.995,1.0,20141202,326.75,325.12
71,0.9944,0.9982,0.9854,0.9854,20141203,741.1,736.95
