,close,high,low,open,time,volumefrom,volumeto
0,2.84,2.84,0.5584,0.5584,20131108,2.5,7.1
1,2.94,2.94,2.94,2.94,20131109,0.0,0.0
2,2.69,2.69,2.69,2.69,20131110,0.0,0.0
3,2.9,2.9,2.9,2.9,20131111,0.0,0.0
4,3.04,3.04,3.04,3.04,20131112,0.0,0.0
5,3.48,3.48,3.48,3.48,20131113,0.0,0.0
6,1.44,3.47,1.44,3.47,20131114,27.0,38.88
7,1.45,1.45,1.45,1.45,20131115,0.0,0.0
8,1.54,1.54,1.54,1.54,20131116,0.0,0.0
9,1.76,1.76,1.76,1.76,20131117,0.0,0.0
10,0.4364,2.62,0.4364,2.62,20131118,379.24,165.5
11,3.23,3.23,0.3587,0.3587,20131119,27.17,87.76
12,2.54,3.19,2.54,3.19,20131120,5.02,12.75
13,3.06,3.06,3.05,3.05,20131121,7.5,22.95
14,4.18,4.18,3.21,3.21,20131122,174.83,730.79
15,3.78,4.34,3.78,4.34,20131123,9.9,37.42
16,3.79,3.79,1.99,3.61,20131124,13.87,52.57
17,3.46,3.95,3.46,3.95,20131125,100.74,348.56
18,7.76,9.7,4.04,4.04,20131126,802.77,6229.5
19,10.8,12.0,6.75,8.64,20131127,665.75,7190.1
20,20.78,44.23,8.16,11.01,20131128,806.5,16759.07
21,14.19,22.77,6.33,22.77,20131129,496.53,7045.76
22,13.39,14.71,8.43,14.18,20131130,186.14,2492.41
23,9.85,11.16,7.73,11.16,20131201,352.45,3471.63
24,8.12,10.75,8.12,10.75,20131202,311.4,2528.57
25,10.5,11.51,8.55,8.55,20131203,59.99,629.9
26,11.79,12.34,9.67,11.25,20131204,507.38,5982.01
27,10.64,10.85,8.84,10.54,20131205,231.83,2466.67
28,6.61,8.12,6.6,8.12,20131206,968.04,6398.74
29,5.24,13.94,5.17,5.46,20131207,701.1,3673.76
30,6.18,6.18,5.74,6.04,20131208,45.56,281.56
31,7.21,7.89,6.56,7.07,20131209,2527.75,18225.08
32,7.77,8.61,7.77,8.11,20131210,6442.73,50060.01
33,6.92,7.96,6.92,6.92,20131211,51688.37,357683.52
34,6.82,7.26,6.72,6.77,20131212,161760.78,1103208.52
35,6.69,7.49,6.69,7.1,20131213,67070.91,448704.39
36,6.06,6.73,6.06,6.49,20131214,24039.34,145678.4
37,6.57,6.71,6.13,6.13,20131215,3245.1,21320.31
38,4.75,5.43,4.75,5.43,20131216,11006.43,52280.54
39,4.9,4.93,3.57,4.47,20131217,4702.68,23043.13
40,3.72,3.72,2.53,3.71,20131218,98961.52,368136.85
41,6.59,6.59,4.22,5.03,20131219,88225.48,581405.91
42,4.6,5.85,4.24,5.85,20131220,13850.5,63712.3
43,4.27,4.53,4.27,4.53,20131221,14036.82,59937.22
44,4.26,4.47,4.1,4.26,20131222,14789.63,63003.82
45,4.6,4.76,4.6,4.76,20131223,590.08,2714.37
46,4.57,4.59,4.45,4.53,20131224,172.08,786.41
47,4.31,4.88,4.19,4.6,20131225,6282.78,27078.78
48,5.38,5.61,4.89,4.89,20131226,34469.67,185446.82
49,5.95,5.95,5.02,5.39,20131227,106649.62,634565.24
50,4.95,5.64,4.83,5.64,20131228,3177.82,15730.21
51,5.4,5.4,5.1,5.1,20131229,483.63,2611.6
52,5.7,5.7,5.54,5.54,20131230,38878.4,221606.88
53,5.77,5.97,5.26,5.71,20131231,31876.63,183928.16
54,6.04,6.04,5.36,5.84,20140101,2422.35,14630.99
55,8.32,9.64,5.71,6.35,20140102,22935.25,190821.28
56,7.76,10.52,7.45,8.58,20140103,355.49,2758.6
57,8.6,12.33,8.11,8.11,20140104,37.12,319.23
58,8.46,9.43,8.46,9.43,20140105,186.23,1575.51
59,8.5,8.88,8.21,8.44,20140106,355.45,3021.33
60,6.87,7.86,6.35,7.39,20140107,471.9,3241.95
61,7.15,8.46,7.15,7.34,20140108,57.26,409.41
62,7.5,7.71,7.14,7.14,20140109,104.35,782.63
63,7.42,8.33,7.3,7.66,20140110,214.78,1593.67
64,7.66,7.94,7.66,7.79,20140111,70.33,538.73
65,7.16,7.36,6.9,7.16,20140112,45.31,324.42
66,6.75,7.28,6.75,7.03,20140113,43.83,295.85
67,6.96,7.15,6.57,6.72,20140114,105.06,731.22
68,6.76,7.13,6.76,7.13,20140115,104.61,707.16
69,7.02,7.02,6.56,6.56,20140116,1.82,12.78
70,6.31,6.87,6.27,6.87,20140117,302.4,1908.14
71,6.79,6.79,6.39,6.39,20140118,2.94,19.96
72,7.18,7.18,6.82,7.16,20140119,24.07,172.82
73,7.15,7.47,6.8,7.19,20140120,744.74,5324.89
74,6.95,7.2,6.95,7.2,20140121,73.04,507.63
75,7.04,7.04,6.34,6.87,20140122,192.82,1357.45
76,6.13,6.99,6.13,6.99,20140123,56.81,348.25
77,5.75,6.28,5.46,5.95,20140124,474.43,2727.97
78,5.82,6.75,5.82,6.03,20140125,145.73,848.15
79,6.71,7.42,6.1,6.1,20140126,44.88,301.14
