,close,high,low,open,time,volumefrom,volumeto
0,4.568e-05,4.948e-05,4.568e-05,4.568e-05,20141202,0.0,0.0
1,5.277e-05,5.277e-05,4.524e-05,4.524e-05,20141203,0.0,0.0
2,5.178e-05,5.548e-05,4.808e-05,5.178e-05,20141204,0.0,0.0
3,4.532e-05,5.287e-05,4.154e-05,5.287e-05,20141205,0.0,0.0
4,4.139e-05,4.891e-05,4.139e-05,4.515e-05,20141206,0.0,0.0
5,4.141e-05,4.141e-05,4.141e-05,4.141e-05,20141207,0.0,0.0
6,4.379e-05,4.744e-05,4.014e-05,4.014e-05,20141208,0.0,0.0
7,3.522e-05,4.226e-05,3.522e-05,4.226e-05,20141209,0.0,0.0
8,3.479e-05,4.175e-05,3.479e-05,3.479e-05,20141210,0.0,0.0
9,3.824e-05,3.824e-05,3.477e-05,3.477e-05,20141211,0.0,0.0
10,3.887e-05,4.241e-05,3.534e-05,3.887e-05,20141212,0.0,0.0
11,3.831e-05,4.179e-05,3.482e-05,3.831e-05,20141213,0.0,0.0
12,3.843e-05,4.192e-05,3.843e-05,3.843e-05,20141214,0.0,0.0
13,3.799e-05,3.799e-05,3.454e-05,3.799e-05,20141215,0.0,0.0
14,3.302e-05,3.963e-05,3.302e-05,3.632e-05,20141216,0.0,0.0
15,3.2e-05,3.52e-05,3.2e-05,3.2e-05,20141217,0.0,0.0
16,3.103e-05,3.414e-05,3.103e-05,3.103e-05,20141218,0.0,0.0
17,3.496e-05,3.813e-05,2.86e-05,3.178e-05,20141219,0.0,0.0
18,3.303e-05,3.964e-05,3.303e-05,3.634e-05,20141220,0.0,0.0
19,3.872e-05,3.872e-05,3.226e-05,3.226e-05,20141221,0.0,0.0
20,4.632e-05,4.963e-05,3.639e-05,3.97e-05,20141222,0.0,0.0
21,4.694e-05,4.694e-05,4.358e-05,4.694e-05,20141223,0.0,0.0
22,4.191e-05,4.836e-05,4.191e-05,4.514e-05,20141224,0.0,0.0
