,close,high,low,open,time,volumefrom,volumeto
0,0.1919,2.65,0.09928,0.3309,20140304,13568.98,2603.89
1,0.1448,0.1909,0.09216,0.1909,20140305,2331.34,337.58
2,0.06489,0.1426,0.06489,0.1426,20140306,3670.63,238.19
3,0.05551,0.09245,0.04996,0.06173,20140307,9878.29,548.34
4,0.06701,0.06701,0.04996,0.05483,20140308,7916.02,530.45
5,0.06898,0.06898,0.0439,0.06898,20140309,5831.06,402.23
6,0.05578,0.1134,0.0552,0.06743,20140310,13330.57,743.58
7,0.06087,0.0913,0.05539,0.05539,20140311,6270.52,381.69
8,0.08053,0.1115,0.05761,0.06194,20140312,3123.57,251.54
9,0.04865,0.1131,0.04862,0.08126,20140313,2904.07,141.28
10,0.07381,0.07565,0.03824,0.04779,20140314,4724.56,348.72
11,0.0936,0.09984,0.05618,0.07501,20140315,4160.35,389.41
12,0.06965,0.09287,0.05202,0.09287,20140316,9523.24,663.29
13,0.0909,0.09702,0.06185,0.06822,20140317,17314.5,1573.89
14,0.06588,0.08984,0.06109,0.08978,20140318,13619.66,897.26
15,0.05412,0.0708,0.05411,0.06545,20140319,19799.97,1071.57
16,0.03453,0.06339,0.03453,0.05149,20140320,6193.2,213.85
17,0.05495,0.05496,0.03353,0.03353,20140321,16869.63,926.99
18,0.04399,0.05643,0.04078,0.05643,20140322,19151.3,842.47
19,0.04295,0.04387,0.04295,0.04296,20140323,7315.51,314.2
20,0.03814,0.04768,0.03809,0.04422,20140324,7922.06,302.15
21,0.03028,0.03783,0.02956,0.03783,20140325,9106.87,275.76
22,0.03937,0.045,0.02115,0.03026,20140326,11007.46,433.36
23,0.03592,0.04075,0.01612,0.03223,20140327,11460.43,411.66
24,0.04247,0.04286,0.02896,0.03764,20140328,30503.02,1295.46
25,0.03352,0.04241,0.0334,0.04199,20140329,20472.38,686.23
26,0.02659,0.03798,0.02659,0.0314,20140330,5908.26,157.1
27,0.02632,0.02668,0.02468,0.02646,20140331,2261.36,59.52
28,0.02333,0.02873,0.02332,0.02744,20140401,2937.7,68.54
29,0.03017,0.03183,0.01702,0.02136,20140402,29015.01,875.38
30,0.03316,0.03709,0.02544,0.03102,20140403,14972.07,496.47
31,0.02666,0.04345,0.02666,0.03378,20140404,9215.16,245.68
32,0.0232,0.02854,0.02306,0.0274,20140405,6156.43,142.83
33,0.03463,0.03646,0.02315,0.02315,20140406,4342.36,150.38
34,0.02404,0.03514,0.0218,0.03514,20140407,10788.79,259.36
35,0.0201,0.02645,0.02009,0.02426,20140408,8635.97,173.58
36,0.02332,0.02332,0.0197,0.01971,20140409,3344.21,77.99
37,0.01619,0.01962,0.003873,0.01962,20140410,48837.88,790.69
38,0.02466,0.02466,0.01305,0.01832,20140411,18493.35,456.05
39,0.02407,0.02831,0.01843,0.0248,20140412,13261.05,319.19
40,0.0256,0.02566,0.01967,0.02352,20140413,5388.54,137.95
41,0.02869,0.02869,0.01626,0.02864,20140414,9924.05,284.72
42,0.02588,0.03211,0.01797,0.03158,20140415,10558.68,273.26
43,0.01908,0.0264,0.01906,0.0264,20140416,1479.82,28.23
44,0.01766,0.01807,0.01766,0.01784,20140417,6516.31,115.08
45,0.01706,0.02087,0.01699,0.01708,20140418,18454.36,314.83
46,0.01973,0.02482,0.01771,0.01778,20140419,38930.9,768.11
47,0.02717,0.03237,0.01805,0.01944,20140420,14962.32,406.53
48,0.04962,0.2493,0.02674,0.02699,20140421,174831.55,8675.14
49,0.08782,0.1952,0.04889,0.04889,20140422,99440.46,8732.86
50,0.0804,0.116,0.06871,0.08771,20140423,40593.88,3263.75
51,0.08115,0.09506,0.05008,0.08255,20140424,38417.75,3117.6
52,0.06967,0.08124,0.05815,0.07534,20140425,14868.77,1035.91
53,0.05861,0.07326,0.05586,0.06868,20140426,7687.7,450.58
54,0.03412,0.06643,0.03412,0.05673,20140427,7186.86,245.22
55,0.06381,0.06629,0.03403,0.03403,20140428,13698.37,874.09
56,0.05969,0.06442,0.02902,0.06442,20140429,24319.04,1451.6
57,0.05125,0.05963,0.04233,0.05963,20140430,7365.27,377.47
58,0.09617,0.1145,0.04601,0.05291,20140501,36003.69,3462.47
59,0.07762,0.1084,0.06578,0.09482,20140502,23026.03,1787.28
60,0.07505,0.07505,0.07505,0.07505,20140503,0.0,0.0
61,0.06589,0.07461,0.06589,0.07461,20140504,834.55,54.99
62,0.08187,0.09346,0.0651,0.0651,20140505,16697.57,1367.03
63,0.08212,0.1119,0.07563,0.08212,20140506,33649.68,2763.31
64,0.1259,0.13,0.07815,0.08484,20140507,45567.97,5737.01
65,0.15,0.172,0.1059,0.1244,20140508,71140.03,10671.0
66,0.147,0.1675,0.1158,0.1515,20140509,36762.98,5404.16
67,0.1604,0.1631,0.1198,0.1491,20140510,24219.48,3884.8
68,0.1781,0.2552,0.1308,0.1538,20140511,34334.96,6115.06
69,0.211,0.2537,0.1801,0.1801,20140512,33620.13,7093.85
70,0.2039,0.2256,0.1822,0.209,20140513,13607.59,2774.59
71,0.1859,0.2284,0.1638,0.208,20140514,20848.12,3875.67
72,0.179,0.1918,0.1524,0.1882,20140515,48915.12,8755.81
73,0.2199,0.2268,0.1683,0.1812,20140516,19189.47,4219.76
74,0.1938,0.2217,0.1685,0.2195,20140517,12623.35,2446.41
75,0.2005,0.2205,0.1726,0.1927,20140518,14096.63,2826.37
76,0.1975,0.2219,0.1776,0.1978,20140519,20590.25,4066.57
77,0.2108,0.2305,0.1648,0.2156,20140520,13012.22,2742.98
78,0.1858,0.2126,0.1812,0.2126,20140521,6280.89,1166.99
79,0.1937,0.2056,0.1546,0.1958,20140522,17241.42,3339.66
80,0.1554,0.1948,0.1156,0.1948,20140523,14926.63,2319.6
81,0.1665,0.1862,0.1457,0.1561,20140524,4726.13,786.9
82,0.09697,0.1825,0.09213,0.1825,20140525,22160.81,2148.93
83,0.1571,0.2077,0.09894,0.09894,20140526,14326.31,2250.66
84,0.1773,0.2548,0.1343,0.1539,20140527,13602.05,2411.64
85,0.1627,0.2169,0.1373,0.1775,20140528,18733.23,3047.9
86,0.1242,0.1609,0.1175,0.1609,20140529,5028.03,624.48
87,0.129,0.1586,0.1225,0.1347,20140530,7708.06,994.34
88,0.1551,0.1633,0.1322,0.1322,20140531,8863.31,1374.7
89,0.1559,0.1882,0.1482,0.1605,20140601,3003.25,468.21
90,0.2138,0.2491,0.1489,0.1573,20140602,9825.42,2100.67
91,0.1888,0.2545,0.1831,0.2184,20140603,5335.07,1007.26
92,0.1804,0.2077,0.1758,0.1802,20140604,5545.12,1000.34
93,0.1922,0.2113,0.1863,0.1864,20140605,16561.61,3183.14
94,0.188,0.2081,0.1854,0.1893,20140606,10788.62,2028.26
95,0.189,0.2098,0.1877,0.1883,20140607,2754.74,520.65
96,0.1953,0.2201,0.1878,0.1888,20140608,8704.92,1700.07
97,0.1836,0.1997,0.1836,0.1933,20140609,25211.7,4628.87
98,0.2046,0.2046,0.1707,0.1869,20140610,10405.1,2128.88
99,0.1929,0.2315,0.1736,0.2006,20140611,9477.43,1828.2
100,0.1648,0.1851,0.1648,0.1791,20140612,4453.49,733.94
101,0.1703,0.1794,0.1616,0.1685,20140613,4342.44,739.52
102,0.1575,0.1721,0.1575,0.1628,20140614,7806.33,1229.5
103,0.1399,0.1587,0.1397,0.1572,20140615,7001.08,979.45
104,0.1438,0.1614,0.1362,0.1439,20140616,5724.64,823.2
105,0.1157,0.1616,0.109,0.1452,20140617,23179.07,2681.82
106,0.1212,0.1455,0.1097,0.1159,20140618,25325.06,3069.4
107,0.12,0.1284,0.1039,0.12,20140619,27322.73,3278.73
108,0.1087,0.1182,0.1087,0.1182,20140620,10537.0,1145.37
109,0.2001,0.4179,0.1033,0.1099,20140621,62307.28,12467.69
110,0.159,0.2113,0.1147,0.2023,20140622,55555.01,8833.25
111,0.1477,0.1876,0.1316,0.1557,20140623,28369.31,4190.15
112,0.1623,0.1766,0.1421,0.1471,20140624,6058.28,983.26
113,0.1629,0.1785,0.149,0.1567,20140625,8226.95,1340.17
114,0.1505,0.1803,0.1476,0.1669,20140626,5716.6,860.35
115,0.1506,0.1855,0.1506,0.1555,20140627,11672.28,1757.85
