,close,high,low,open,time,volumefrom,volumeto
0,1.9,1.9,1.88,1.88,20140618,0.02789,0.05299
1,1.88,1.88,1.88,1.88,20140619,0.0,0.0
2,1.64,1.85,1.64,1.85,20140620,0.000143,0.0002345
3,1.65,1.65,1.65,1.65,20140621,0.0,0.0
4,1.42,1.67,1.42,1.67,20140622,0.1,0.142
5,0.2365,1.45,0.2365,1.39,20140623,320.25,75.74
6,1.52,1.52,0.2355,0.2355,20140624,0.144,0.2189
7,1.47,1.47,1.47,1.47,20140625,0.0,0.0
8,1.51,1.51,1.51,1.51,20140626,0.0,0.0
9,1.51,1.56,1.51,1.56,20140627,0.028,0.04228
10,1.5,1.5,1.5,1.5,20140628,0.0,0.0
11,1.51,1.51,1.51,1.51,20140629,0.0,0.0
12,1.59,1.59,1.59,1.59,20140630,0.0,0.0
13,0.9648,1.61,0.9648,1.61,20140701,0.0004216,0.0004068
14,0.904,0.9686,0.904,0.9686,20140702,0.0004208,0.0003804
15,0.8932,0.8932,0.8932,0.8932,20140703,0.0,0.0
16,0.9353,0.9353,0.8735,0.8735,20140704,0.03979,0.03722
17,1.82,1.82,0.9338,0.9338,20140705,0.0002339,0.0004257
18,1.83,1.83,1.83,1.83,20140706,0.0,0.0
19,1.79,1.79,1.79,1.79,20140707,0.0,0.0
20,1.38,1.79,1.38,1.79,20140708,0.04187,0.05778
21,1.41,1.42,1.4,1.4,20140709,0.01358,0.01915
22,1.4,1.4,1.4,1.4,20140710,0.0,0.0
23,1.43,1.43,1.43,1.43,20140711,0.0,0.0
24,1.14,1.44,1.14,1.44,20140712,0.7936,0.9047
25,1.13,1.13,1.13,1.13,20140713,0.0,0.0
26,1.11,1.11,1.11,1.11,20140714,0.0,0.0
27,1.12,1.12,1.12,1.12,20140715,0.0,0.0
28,1.11,1.11,1.11,1.11,20140716,0.7919,0.879
29,1.13,1.13,1.13,1.13,20140717,0.0,0.0
30,1.13,1.13,1.13,1.13,20140718,0.0,0.0
31,1.13,1.13,1.13,1.13,20140719,0.0,0.0
32,1.12,1.12,1.12,1.12,20140720,0.0,0.0
33,1.13,1.13,1.13,1.13,20140721,0.0,0.0
34,1.12,1.12,1.12,1.12,20140722,0.0,0.0
35,1.12,1.12,1.12,1.12,20140723,1.22,1.37
36,1.08,1.08,1.08,1.08,20140724,0.0,0.0
37,1.08,1.08,1.08,1.08,20140725,0.0,0.0
38,1.07,1.07,1.07,1.07,20140726,0.0,0.0
39,1.07,1.07,1.07,1.07,20140727,0.0,0.0
40,1.06,1.06,1.06,1.06,20140728,1.53,1.62
41,1.05,1.05,1.05,1.05,20140729,6.45,6.77
42,1.02,1.02,1.02,1.02,20140730,0.0,0.0
43,1.06,1.06,1.06,1.06,20140731,0.0,0.0
44,1.08,1.08,1.08,1.08,20140801,0.0,0.0
45,1.07,1.07,1.07,1.07,20140802,0.0,0.0
46,0.8245,1.06,0.8245,1.06,20140803,0.2371,0.1955
47,0.8299,0.8299,0.8299,0.8299,20140804,0.0,0.0
48,0.8243,0.8243,0.8243,0.8243,20140805,0.0,0.0
49,0.8257,0.8257,0.8257,0.8257,20140806,0.0,0.0
50,0.8299,0.8299,0.8299,0.8299,20140807,0.0,0.0
51,0.8342,0.8342,0.8342,0.8342,20140808,0.0,0.0
52,0.8253,0.8253,0.8253,0.8253,20140809,0.0,0.0
53,0.8289,0.8289,0.8289,0.8289,20140810,0.0,0.0
54,0.8062,0.8062,0.8062,0.8062,20140811,0.0,0.0
55,0.7947,0.7947,0.7947,0.7947,20140812,0.0,0.0
56,0.7589,0.7589,0.7589,0.7589,20140813,0.0,0.0
57,0.7067,0.7067,0.7067,0.7067,20140814,0.0,0.0
58,0.695,0.695,0.695,0.695,20140815,0.0,0.0
59,0.7308,0.7308,0.7308,0.7308,20140816,0.0,0.0
60,0.6797,0.6797,0.6797,0.6797,20140817,0.0002339,0.000159
61,0.6471,0.6471,0.6471,0.6471,20140818,0.0,0.0
62,0.6792,0.6792,0.6792,0.6792,20140819,0.0,0.0
63,0.7235,0.7235,0.7235,0.7235,20140820,0.0,0.0
64,0.7251,0.7251,0.7251,0.7251,20140821,0.0,0.0
65,0.7225,0.7225,0.7225,0.7225,20140822,0.0,0.0
66,0.6968,0.6968,0.6968,0.6968,20140823,0.0,0.0
67,0.7136,0.7136,0.7136,0.7136,20140824,0.0,0.0
68,0.7041,0.7041,0.7041,0.7041,20140825,6.0,4.22
69,0.7176,0.7176,0.7176,0.7176,20140826,0.0,0.0
70,0.7213,0.7213,0.7213,0.7213,20140827,0.0,0.0
71,0.715,0.715,0.715,0.715,20140828,0.0,0.0
72,0.7176,0.7176,0.7176,0.7176,20140829,0.0,0.0
73,0.7083,0.7083,0.7083,0.7083,20140830,0.0,0.0
74,0.6745,0.6745,0.6745,0.6745,20140831,0.0,0.0
75,0.6681,0.6681,0.6681,0.6681,20140901,0.0,0.0
76,0.6705,0.6705,0.6705,0.6705,20140902,0.0,0.0
77,0.6721,0.6721,0.6721,0.6721,20140903,0.0,0.0
78,0.6874,0.6874,0.6874,0.6874,20140904,0.0,0.0
79,0.1935,0.6771,0.1935,0.6771,20140905,9.98,1.93
80,0.1938,0.1938,0.1938,0.1938,20140906,0.0,0.0
81,0.1943,0.1943,0.1943,0.1943,20140907,0.0,0.0
82,0.1903,0.1903,0.1903,0.1903,20140908,0.0,0.0
83,0.19,0.19,0.19,0.19,20140909,0.0,0.0
