,close,high,low,open,time,volumefrom,volumeto
0,0.55,0.55,0.55,0.55,20171123,0.4808,0.2644
1,0.55,0.55,0.55,0.55,20171124,0.0,0.0
2,0.55,0.55,0.55,0.55,20171125,0.0,0.0
3,0.55,0.55,0.55,0.55,20171126,0.0,0.0
4,0.55,0.55,0.55,0.55,20171127,0.0,0.0
5,0.55,0.55,0.55,0.55,20171128,0.0,0.0
6,0.2,0.55,0.2,0.55,20171129,11.91,2.38
7,0.2,0.2,0.2,0.2,20171130,2.2,0.4408
8,0.2,0.2,0.2,0.2,20171201,0.0,0.0
9,0.2,0.2,0.2,0.2,20171202,0.0,0.0
10,0.2,0.2,0.01,0.2,20171203,42.2,3.94
11,0.2,0.2,0.2,0.2,20171204,0.0,0.0
12,0.2,0.2,0.2,0.2,20171205,0.0,0.0
13,0.016,0.2,0.016,0.2,20171206,6.4,0.1024
14,0.016,0.016,0.016,0.016,20171207,0.0,0.0
15,0.016,0.016,0.016,0.016,20171208,0.0,0.0
16,0.016,0.016,0.016,0.016,20171209,0.0,0.0
17,0.016,0.016,0.016,0.016,20171210,0.0,0.0
18,0.016,0.016,0.016,0.016,20171211,0.0,0.0
19,0.016,0.016,0.016,0.016,20171212,0.0,0.0
20,0.016,0.016,0.016,0.016,20171213,0.0,0.0
21,0.06965,0.19,0.016,0.016,20171214,268.85,15.13
22,0.19,0.19,0.06965,0.06965,20171215,10.0,1.9
23,0.19,0.19,0.19,0.19,20171216,0.0,0.0
24,0.19,0.19,0.19,0.19,20171217,10.53,2.0
25,0.19,0.19,0.19,0.19,20171218,0.0,0.0
26,0.19,0.19,0.19,0.19,20171219,0.0,0.0
27,0.19,0.19,0.19,0.19,20171220,0.0,0.0
28,0.19,0.19,0.19,0.19,20171221,48.85,9.28
29,0.19,0.19,0.19,0.19,20171222,0.0,0.0
30,0.19,0.19,0.19,0.19,20171223,0.0,0.0
31,0.19,0.19,0.19,0.19,20171224,0.0,0.0
32,0.19,0.19,0.19,0.19,20171225,0.0,0.0
33,0.19,0.19,0.19,0.19,20171226,0.0,0.0
34,0.019,0.19,0.019,0.19,20171227,7.48,0.4841
35,0.019,0.019,0.019,0.019,20171228,0.0,0.0
36,0.019,0.019,0.019,0.019,20171229,0.0,0.0
37,0.019,0.019,0.019,0.019,20171230,0.0,0.0
38,0.019,0.019,0.019,0.019,20171231,0.0,0.0
39,0.019,0.019,0.019,0.019,20180101,0.0,0.0
40,0.019,0.019,0.019,0.019,20180102,0.0,0.0
41,0.019,0.019,0.019,0.019,20180103,0.0,0.0
42,0.1019,0.1019,0.019,0.019,20180104,10.0,1.02
43,0.1019,0.1019,0.1019,0.1019,20180105,10.0,1.02
44,0.1019,0.1019,0.1019,0.1019,20180106,0.0,0.0
45,0.1019,0.1019,0.1019,0.1019,20180107,10.0,1.02
46,0.1019,0.1019,0.1019,0.1019,20180108,0.0,0.0
47,0.19,0.19,0.1019,0.1019,20180109,286.64,31.01
48,0.19,0.19,0.19,0.19,20180110,20.97,3.98
49,0.023,0.19,0.021,0.19,20180111,3157.2,188.72
50,0.023,0.023,0.023,0.023,20180112,0.0,0.0
