,close,high,low,open,time,volumefrom,volumeto
0,0.259,0.2611,0.259,0.259,20141202,0,0
1,0.2565,0.2583,0.2565,0.2565,20141203,0,0
2,0.2517,0.2553,0.2517,0.2517,20141204,0,0
3,0.2588,0.2593,0.257,0.257,20141205,0,0
4,0.2547,0.2579,0.254,0.2579,20141206,0,0
5,0.2548,0.2635,0.2546,0.2548,20141207,0,0
6,0.2485,0.2555,0.2469,0.247,20141208,0,0
7,0.2399,0.2436,0.2395,0.2398,20141209,0,0
8,0.2466,0.285,0.237,0.237,20141210,0,0
9,0.2813,0.3025,0.2448,0.2464,20141211,0,0
10,0.2651,0.2898,0.258,0.286,20141212,0,0
11,0.2647,0.289,0.2612,0.2612,20141213,0,0
12,0.262,0.2739,0.255,0.2655,20141214,0,0
13,0.2521,0.259,0.2487,0.259,20141215,0,0
14,0.2378,0.2444,0.2378,0.2411,20141216,0,0
15,0.2255,0.24,0.2255,0.2304,20141217,0,0
16,0.2154,0.2312,0.2148,0.2186,20141218,0,0
17,0.2224,0.2352,0.2197,0.2206,20141219,0,0
18,0.2309,0.2379,0.2309,0.2312,20141220,0,0
19,0.2258,0.2387,0.2242,0.2255,20141221,0,0
20,0.2316,0.2382,0.2299,0.2316,20141222,0,0
21,0.2565,0.2815,0.2318,0.2347,20141223,0,0
22,0.2365,0.2676,0.2257,0.2466,20141224,0,0
23,0.2278,0.2392,0.2233,0.234,20141225,0,0
24,0.2277,0.2376,0.2277,0.2356,20141226,0,0
25,0.222,0.2224,0.2176,0.2176,20141227,0,0
26,0.2187,0.2501,0.2184,0.2228,20141228,0,0
27,0.2167,0.2214,0.2167,0.2171,20141229,0,0
28,0.212,0.221,0.2116,0.2148,20141230,0,0
29,0.2147,0.2182,0.2147,0.2167,20141231,0,0
30,0.2126,0.2173,0.2125,0.2125,20150101,0,0
31,0.2143,0.2175,0.2112,0.2128,20150102,0,0
32,0.1895,0.1971,0.1895,0.1952,20150103,0,0
33,0.1723,0.1795,0.1723,0.1747,20150104,0,0
34,0.1788,0.1817,0.1788,0.1789,20150105,0,0
35,0.1835,0.1871,0.1835,0.1836,20150106,0,0
36,0.1929,0.1981,0.1894,0.1894,20150107,0,0
37,0.1894,0.1894,0.1869,0.1871,20150108,0,0
38,0.1904,0.1937,0.1904,0.1929,20150109,0,0
39,0.1808,0.1832,0.1808,0.1808,20150110,0,0
40,0.1768,0.1774,0.1752,0.1752,20150111,0,0
41,0.1778,0.1831,0.1774,0.1799,20150112,0,0
42,0.1431,0.1483,0.135,0.1461,20150113,0,0
43,0.1023,0.1105,0.1006,0.1067,20150114,0,0
44,0.1301,0.1343,0.1288,0.1301,20150115,0,0
45,0.1271,0.1306,0.1271,0.1283,20150116,0,0
46,0.1227,0.1248,0.1226,0.1226,20150117,0,0
47,0.1304,0.1329,0.1294,0.1294,20150118,0,0
48,0.1338,0.1379,0.1336,0.1336,20150119,0,0
49,0.1293,0.1348,0.1293,0.1305,20150120,0,0
50,0.1411,0.1437,0.1399,0.1402,20150121,0,0
51,0.142,0.1453,0.1419,0.1439,20150122,0,0
52,0.1405,0.1416,0.1402,0.1416,20150123,0,0
53,0.1491,0.1514,0.1491,0.1501,20150124,0,0
54,0.1513,0.1538,0.1513,0.1515,20150125,0,0
55,0.1618,0.1642,0.1615,0.1615,20150126,0,0
56,0.1584,0.1632,0.158,0.1582,20150127,0,0
57,0.1417,0.1447,0.1417,0.1421,20150128,0,0
58,0.1404,0.1422,0.1404,0.1404,20150129,0,0
59,0.1405,0.1405,0.1391,0.1391,20150130,0,0
60,0.1331,0.1333,0.1324,0.1324,20150131,0,0
61,0.1377,0.1555,0.1365,0.1372,20150201,0,0
62,0.145,0.1533,0.1448,0.1459,20150202,0,0
63,0.1391,0.1391,0.1379,0.138,20150203,0,0
64,0.1375,0.1391,0.1375,0.1386,20150204,0,0
65,0.1315,0.139,0.1313,0.1314,20150205,0,0
66,0.1354,0.1404,0.1354,0.1354,20150206,0,0
67,0.1321,0.1434,0.1275,0.1382,20150207,0,0
68,0.1298,0.1342,0.1298,0.1298,20150208,0,0
69,0.1278,0.13,0.1278,0.1278,20150209,0,0
70,0.1231,0.1274,0.1231,0.1274,20150210,0,0
71,0.122,0.1291,0.122,0.1226,20150211,0,0
72,0.1233,0.1263,0.1232,0.1237,20150212,0,0
73,0.1315,0.1346,0.1312,0.1313,20150213,0,0
74,0.1448,0.1487,0.1435,0.144,20150214,0,0
75,0.129,0.133,0.1283,0.1306,20150215,0,0
76,0.1297,0.1344,0.1297,0.1304,20150216,0,0
77,0.1289,0.1351,0.1277,0.1338,20150217,0,0
78,0.1247,0.127,0.1247,0.1247,20150218,0,0
79,0.1282,0.1297,0.1282,0.1282,20150219,0,0
80,0.1289,0.132,0.1289,0.1296,20150220,0,0
81,0.1296,0.1321,0.1286,0.1288,20150221,0,0
82,0.1249,0.1257,0.1249,0.125,20150222,0,0
83,0.1256,0.1302,0.1256,0.1266,20150223,0,0
84,0.1266,0.1314,0.1257,0.1257,20150224,0,0
85,0.1258,0.1305,0.1251,0.1258,20150225,0,0
86,0.1301,0.1372,0.1254,0.1254,20150226,0,0
87,0.1369,0.147,0.1369,0.1395,20150227,0,0
88,0.1499,0.1499,0.1359,0.1372,20150228,0,0
89,0.1548,0.1651,0.1393,0.1522,20150301,0,0
90,0.1506,0.167,0.1506,0.1642,20150302,0,0
91,0.1656,0.1768,0.1544,0.1544,20150303,0,0
92,0.1525,0.1604,0.1523,0.1604,20150304,0,0
93,0.1545,0.1596,0.1544,0.1544,20150305,0,0
94,0.1484,0.1689,0.1484,0.153,20150306,0,0
95,0.1496,0.1512,0.1494,0.1497,20150307,0,0
96,0.1494,0.151,0.1494,0.1494,20150308,0,0
97,0.1717,0.172,0.1566,0.1566,20150309,0,0
98,0.1777,0.1894,0.1719,0.1725,20150310,0,0
99,0.1774,0.1895,0.1774,0.1803,20150311,0,0
100,0.1715,0.1778,0.1704,0.1763,20150312,0,0
101,0.167,0.1723,0.1608,0.1676,20150313,0,0
102,0.1622,0.1712,0.1584,0.1637,20150314,0,0
103,0.1533,0.1709,0.1514,0.1641,20150315,0,0
104,0.1544,0.1609,0.1544,0.1563,20150316,0,0
105,0.1541,0.1541,0.1499,0.1517,20150317,0,0
106,0.132,0.1382,0.132,0.1382,20150318,0,0
107,0.1322,0.1409,0.1321,0.1345,20150319,0,0
108,0.1335,0.1398,0.1326,0.1326,20150320,0,0
109,0.1347,0.1369,0.1325,0.1325,20150321,0,0
110,0.136,0.1423,0.136,0.1393,20150322,0,0
111,0.1274,0.138,0.1234,0.1344,20150323,0,0
112,0.1206,0.1231,0.1184,0.1184,20150324,0,0
113,0.1207,0.1281,0.1184,0.1205,20150325,0,0
114,0.1193,0.124,0.1191,0.1215,20150326,0,0
115,0.1211,0.122,0.1181,0.1189,20150327,0,0
116,0.1204,0.1235,0.1204,0.1235,20150328,0,0
117,0.1157,0.1186,0.1157,0.1157,20150329,0,0
118,0.1154,0.1185,0.1113,0.1181,20150330,0,0
119,0.1108,0.1194,0.1101,0.1141,20150331,0,0
120,0.1133,0.1206,0.1117,0.1117,20150401,0,0
121,0.1163,0.1212,0.1162,0.1162,20150402,0,0
122,0.1172,0.1213,0.1171,0.1171,20150403,0,0
123,0.1167,0.1214,0.1164,0.1164,20150404,0,0
124,0.1194,0.1246,0.1168,0.1198,20150405,0,0
125,0.1186,0.1249,0.1159,0.1173,20150406,0,0
126,0.1184,0.1214,0.1177,0.1177,20150407,0,0
127,0.1162,0.1198,0.1141,0.1145,20150408,0,0
128,0.1175,0.1201,0.1156,0.1156,20150409,0,0
129,0.1134,0.1171,0.1127,0.1134,20150410,0,0
130,0.1131,0.1159,0.1131,0.1142,20150411,0,0
131,0.1108,0.1156,0.11,0.1128,20150412,0,0
132,0.1051,0.1077,0.1006,0.1051,20150413,0,0
133,0.1025,0.1025,0.1025,0.1025,20150414,0,0
134,0.1048,0.1048,0.1048,0.1048,20150415,0,0
135,0.1072,0.1072,0.1072,0.1072,20150416,0,0
136,0.1046,0.1046,0.1046,0.1046,20150417,0,0
137,0.105,0.105,0.105,0.105,20150418,0,0
138,0.1048,0.1048,0.1048,0.1048,20150419,0,0
139,0.1054,0.1054,0.1054,0.1054,20150420,0,0
140,0.1099,0.1099,0.1099,0.1099,20150421,0,0
141,0.1099,0.1099,0.1099,0.1099,20150422,0,0
142,0.1071,0.1071,0.1062,0.1062,20150423,0,0
143,0.1023,0.1051,0.1017,0.1051,20150424,0,0
144,0.09765,0.1028,0.09765,0.1001,20150425,0,0
145,0.09437,0.09841,0.09437,0.09443,20150426,0,0
146,0.1031,0.1122,0.0988,0.0988,20150427,0,0
147,0.1016,0.1059,0.09936,0.1016,20150428,0,0
148,0.1037,0.115,0.09727,0.1014,20150429,0,0
149,0.0804,0.116,0.002421,0.1085,20150430,0,0
150,0.06996,0.08162,0.04739,0.07952,20150501,0,0
151,0.06825,0.07766,0.05884,0.0706,20150502,0,0
152,0.0672,0.078,0.0624,0.0696,20150503,0,0
153,0.07408,0.08603,0.06691,0.06691,20150504,0,0
154,0.08018,0.0803,0.06839,0.0731,20150505,0,0
155,0.07591,0.07821,0.07131,0.07821,20150506,0,0
156,0.07393,0.07933,0.07132,0.07845,20150507,0,0
157,0.078,0.08531,0.0758,0.0758,20150508,0,0
158,0.06276,0.08447,0.06276,0.07725,20150509,0,0
159,0.06959,0.07436,0.06239,0.06239,20150510,0,0
160,0.06771,0.07201,0.06771,0.07012,20150511,0,0
161,0.07489,0.07489,0.07006,0.07006,20150512,0,0
162,0.07087,0.07328,0.06855,0.07328,20150513,0,0
163,0.06681,0.07311,0.06657,0.07102,20150514,0,0
164,0.06879,0.07351,0.06642,0.06689,20150515,0,0
165,0.0665,0.07323,0.06614,0.06851,20150516,0,0
166,0.06642,0.07061,0.06642,0.06652,20150517,0,0
167,0.06516,0.06723,0.06516,0.0654,20150518,0,0
168,0.06325,0.06499,0.05302,0.06499,20150519,0,0
169,0.05868,0.06378,0.05383,0.06378,20150520,0,0
170,0.0725,0.0765,0.05484,0.05903,20150521,0,0
171,0.0673,0.07663,0.0625,0.07403,20150522,0,0
172,0.07706,0.08602,0.06588,0.0669,20150523,0,0
173,0.07952,0.08916,0.06832,0.07772,20150524,0,0
174,0.07597,0.0807,0.07597,0.07835,20150525,0,0
