,close,high,low,open,time,volumefrom,volumeto
0,1.96,1.96,0.8897,0.8897,20140707,3.06,6.0
1,1.97,1.97,1.97,1.97,20140708,0.0,0.0
2,1.99,1.99,1.99,1.99,20140709,0.0,0.0
3,1.98,1.98,1.98,1.98,20140710,0.0,0.0
4,2.03,2.03,2.03,2.03,20140711,0.0,0.0
5,2.03,2.03,2.03,2.03,20140712,0.0,0.0
6,2.01,2.01,2.01,2.01,20140713,0.0,0.0
7,1.98,1.98,1.98,1.98,20140714,0.0,0.0
8,1.98,1.98,1.98,1.98,20140715,0.0,0.0
9,1.97,1.97,1.97,1.97,20140716,0.0,0.0
10,2.01,2.01,2.01,2.01,20140717,0.0,0.0
11,2.01,2.01,2.01,2.01,20140718,0.0,0.0
12,2.01,2.01,2.01,2.01,20140719,0.0,0.0
13,1.99,1.99,1.99,1.99,20140720,0.0,0.0
14,2.0,2.0,2.0,2.0,20140721,0.0,0.0
15,1.99,1.99,1.99,1.99,20140722,0.0,0.0
16,1.99,1.99,1.99,1.99,20140723,0.0,0.0
17,1.93,1.93,1.93,1.93,20140724,0.0,0.0
18,1.92,1.92,1.92,1.92,20140725,0.0,0.0
19,1.91,1.91,1.91,1.91,20140726,0.0,0.0
20,1.9,1.9,1.9,1.9,20140727,0.0,0.0
21,1.88,1.88,1.88,1.88,20140728,0.0,0.0
22,1.87,1.87,1.87,1.87,20140729,0.0,0.0
23,1.81,1.81,1.81,1.81,20140730,0.0,0.0
24,1.89,1.89,1.89,1.89,20140731,0.0,0.0
25,1.92,1.92,1.92,1.92,20140801,0.0,0.0
26,1.89,1.89,1.89,1.89,20140802,0.0,0.0
27,1.88,1.88,1.88,1.88,20140803,0.0,0.0
28,1.9,1.9,1.9,1.9,20140804,0.0,0.0
29,1.88,1.88,1.88,1.88,20140805,0.0,0.0
30,1.89,1.89,1.89,1.89,20140806,0.0,0.0
31,1.9,1.9,1.9,1.9,20140807,0.0,0.0
32,1.91,1.91,1.91,1.91,20140808,0.0,0.0
33,1.89,1.89,1.89,1.89,20140809,0.0,0.0
34,0.6039,0.6039,0.6039,1.89,20140810,0.0001997,0.0001206
35,1.15,1.15,0.5874,0.5874,20140811,1.55,1.78
36,0.5847,1.14,0.5847,1.14,20140812,0.0001994,0.0001166
37,0.5584,0.5584,0.5584,0.5584,20140813,0.0,0.0
38,0.5199,0.5199,0.5199,0.5199,20140814,0.0,0.0
39,0.5113,0.5113,0.5113,0.5113,20140815,0.0,0.0
40,0.4176,0.5377,0.4176,0.5377,20140816,0.24,0.1002
41,0.3884,0.3884,0.3884,0.3884,20140817,0.0,0.0
42,1.11,1.48,1.11,0.3697,20140818,26.84,29.79
43,1.07,1.07,1.06,1.16,20140819,1.82,1.95
44,1.14,1.14,1.14,1.14,20140820,0.0,0.0
45,0.9349,0.9349,0.5179,1.15,20140821,0.09634,0.09007
46,0.9316,0.9316,0.9316,0.9316,20140822,0.0,0.0
47,0.4977,0.8983,0.4977,0.8983,20140823,1.48,0.7366
48,0.5097,0.5097,0.5097,0.5097,20140824,0.0,0.0
49,0.5029,0.5029,0.5029,0.5029,20140825,0.0,0.0
50,0.5126,0.5126,0.5126,0.5126,20140826,0.0,0.0
51,0.5152,0.5152,0.5152,0.5152,20140827,0.0,0.0
52,0.5108,0.5108,0.5108,0.5108,20140828,0.0,0.0
53,0.5126,0.5126,0.5126,0.5126,20140829,0.0,0.0
54,0.506,0.506,0.506,0.506,20140830,0.0,0.0
55,0.4818,0.4818,0.4818,0.4818,20140831,0.0,0.0
56,0.4772,0.4772,0.4772,0.4772,20140901,0.0,0.0
57,2.87,2.87,0.4789,0.4789,20140902,3.32,9.53
58,0.48,2.88,0.48,2.88,20140903,1.86,0.8928
59,0.491,0.491,0.491,0.491,20140904,0.0,0.0
60,0.4836,0.4836,0.4836,0.4836,20140905,0.0,0.0
61,2.9,2.9,0.4845,0.4845,20140906,2.0,5.8
62,0.5829,2.91,0.5829,2.91,20140907,0.00297,0.001731
63,0.5708,0.5708,0.5708,0.5708,20140908,0.0,0.0
64,0.5699,0.5699,0.5699,0.5699,20140909,0.0,0.0
65,0.5756,0.5756,0.5756,0.5756,20140910,0.0,0.0
66,0.5742,0.5742,0.5742,0.5742,20140911,0.0,0.0
67,0.5733,0.5733,0.5733,0.5733,20140912,0.0,0.0
68,0.5738,0.5738,0.5738,0.5738,20140913,0.0,0.0
69,0.5733,0.5733,0.5733,0.5733,20140914,0.0,0.0
70,0.5733,0.5733,0.5733,0.5733,20140915,0.0,0.0
71,0.5601,0.5601,0.5601,0.5601,20140916,0.0,0.0
72,0.5533,0.5533,0.5533,0.5533,20140917,0.0,0.0
73,1.7,1.7,0.5091,0.5091,20140918,0.002966,0.005042
74,1.59,1.59,1.59,1.59,20140919,0.0,0.0
75,1.65,1.65,1.65,1.65,20140920,0.0,0.0
76,1.61,1.61,1.61,1.61,20140921,0.0,0.0
77,1.62,1.62,1.62,1.62,20140922,0.0,0.0
