,close,high,low,open,time,volumefrom,volumeto
0,0.3541,0.3541,0.3541,0.3541,20140706,0.4273,0.1513
1,0.3467,0.3467,0.3467,0.3467,20140707,0.0,0.0
2,0.3077,0.3477,0.3077,0.3477,20140708,1.0,0.3077
3,0.2137,0.3115,0.2137,0.3115,20140709,4.97,1.06
4,0.4947,0.4947,0.2121,0.2121,20140710,8.86,4.38
5,0.5063,0.5063,0.5063,0.5063,20140711,0.0,0.0
6,0.2226,0.5087,0.2226,0.5087,20140712,0.0554,0.01233
7,0.2198,0.2198,0.2198,0.2198,20140713,0.0,0.0
8,0.2164,0.2164,0.2164,0.2164,20140714,0.0,0.0
9,0.4337,0.4337,0.2169,0.2169,20140715,10.18,4.42
10,0.2213,0.4304,0.2213,0.4304,20140716,0.002179,0.0004822
11,0.2256,0.2256,0.2256,0.2256,20140717,0.0,0.0
12,0.2152,0.2259,0.2152,0.2259,20140718,0.03761,0.008094
13,0.2151,0.2151,0.2151,0.2151,20140719,0.002176,0.0004681
14,0.213,0.213,0.213,0.213,20140720,0.0,0.0
15,0.2144,0.2144,0.2144,0.2144,20140721,0.9602,0.2059
16,0.2135,0.2135,0.2135,0.2135,20140722,0.0,0.0
17,0.2132,0.2132,0.2132,0.2132,20140723,0.0,0.0
18,0.204,0.2064,0.204,0.2064,20140724,1.18,0.2407
19,0.1807,0.2036,0.1807,0.2036,20140725,79.0,14.28
20,0.1793,0.1793,0.1793,0.1793,20140726,0.7607,0.1364
21,0.179,0.179,0.179,0.179,20140727,0.5106,0.0914
22,0.1769,0.1769,0.1769,0.1769,20140728,0.0,0.0
23,0.1763,0.1763,0.1763,0.1763,20140729,0.0,0.0
24,0.1699,0.1699,0.1699,0.1699,20140730,0.0,0.0
25,0.1774,0.1774,0.1774,0.1774,20140731,0.0,0.0
26,0.1802,0.1802,0.1802,0.1802,20140801,0.0,0.0
27,0.178,0.178,0.178,0.178,20140802,0.0,0.0
28,0.1355,0.1772,0.1355,0.1772,20140803,0.2019,0.02736
29,0.1363,0.1363,0.1363,0.1363,20140804,0.0,0.0
30,0.1354,0.1354,0.1354,0.1354,20140805,0.5098,0.06903
31,0.1356,0.1356,0.1356,0.1356,20140806,0.0,0.0
32,0.1363,0.1363,0.1363,0.1363,20140807,0.0,0.0
33,0.1966,0.1966,0.137,0.137,20140808,89.59,17.61
34,0.2358,0.2358,0.1945,0.1945,20140809,1.18,0.2782
35,0.2368,0.2368,0.2368,0.2368,20140810,0.0,0.0
36,0.2304,0.2304,0.2304,0.2304,20140811,0.0,0.0
37,0.4541,0.4541,0.2271,0.2271,20140812,0.095,0.04314
38,0.4337,0.4337,0.4337,0.4337,20140813,0.0,0.0
39,0.4038,0.4038,0.4038,0.4038,20140814,0.0,0.0
40,0.3972,0.3972,0.3972,0.3972,20140815,0.0,0.0
41,0.4176,0.4176,0.4176,0.4176,20140816,0.0,0.0
42,0.3884,0.3884,0.3884,0.3884,20140817,0.0,0.0
43,0.3697,0.3697,0.3697,0.3697,20140818,0.0,0.0
