,close,high,low,open,time,volumefrom,volumeto
0,3.9,3.9,3.9,3.9,20171129,0.05127,0.2
1,3.9,3.9,3.9,3.9,20171130,0.0,0.0
2,3.9,3.9,3.9,3.9,20171201,0.0,0.0
3,3.9,3.9,3.9,3.9,20171202,0.0,0.0
4,3.9,3.9,3.9,3.9,20171203,0.0,0.0
5,3.9,3.9,3.9,3.9,20171204,0.0,0.0
6,3.9,3.9,3.9,3.9,20171205,0.0,0.0
7,3.9,3.9,3.9,3.9,20171206,0.0,0.0
8,3.9,3.9,3.9,3.9,20171207,0.0,0.0
9,3.9,3.9,3.9,3.9,20171208,0.0,0.0
10,3.9,3.9,3.9,3.9,20171209,0.0,0.0
11,3.9,3.9,3.9,3.9,20171210,0.0,0.0
12,3.9,3.9,3.9,3.9,20171211,0.0,0.0
13,3.9,3.9,3.9,3.9,20171212,0.0,0.0
14,3.9,3.9,3.9,3.9,20171213,0.0,0.0
15,2.0,3.9,2.0,3.9,20171214,0.05,0.1
16,2.0,2.0,2.0,2.0,20171215,0.0,0.0
17,2.0,2.0,2.0,2.0,20171216,0.0,0.0
18,2.0,2.0,2.0,2.0,20171217,3.0,6.0
19,0.1676,2.0,0.1676,2.0,20171218,10.55,1.77
20,0.1676,0.1676,0.1676,0.1676,20171219,0.0,0.0
21,0.1676,0.1676,0.1676,0.1676,20171220,0.0,0.0
22,0.1676,0.1676,0.1676,0.1676,20171221,0.0,0.0
23,0.1676,0.1676,0.1676,0.1676,20171222,0.0,0.0
24,0.1676,0.1676,0.1676,0.1676,20171223,0.0,0.0
25,0.1676,0.1676,0.1676,0.1676,20171224,0.0,0.0
26,0.1676,0.1676,0.1676,0.1676,20171225,0.0,0.0
27,0.1676,0.1676,0.1676,0.1676,20171226,0.0,0.0
28,0.17,0.44,0.1676,0.1676,20171227,3321.3,820.86
29,0.42,0.42,0.17,0.17,20171228,57.14,11.5
30,0.17,0.42,0.17,0.42,20171229,2485.18,422.74
31,0.41,0.41,0.17,0.17,20171230,1.0,0.41
32,0.8812,0.8812,0.41,0.41,20171231,182.92,101.91
33,0.17,0.8812,0.17,0.8812,20180101,41.24,8.11
34,0.17,0.17,0.17,0.17,20180102,1.02,0.1742
35,0.17,0.5,0.17,0.17,20180103,11.44,2.42
36,0.01,0.49,0.01,0.17,20180104,81.84,5.73
37,0.01,0.01,0.01,0.01,20180105,0.0,0.0
38,0.01,0.01,0.01,0.01,20180106,0.0,0.0
39,0.37,0.37,0.01,0.01,20180107,28.53,10.4
40,0.15,0.37,0.15,0.37,20180108,69.32,20.83
41,0.15,0.15,0.15,0.15,20180109,0.0,0.0
42,0.21,0.365,0.15,0.15,20180110,743.55,156.61
43,0.36,0.36,0.21,0.21,20180111,4.0,1.44
44,0.36,0.36,0.36,0.36,20180112,13.89,5.0
45,0.21,0.99,0.21,0.36,20180113,203.32,120.69
46,0.25,0.25,0.21,0.21,20180114,311.37,66.15
47,0.605,0.605,0.25,0.25,20180115,0.3,0.1815
48,0.24,0.605,0.24,0.605,20180116,10.14,2.43
49,0.21,0.21,0.21,0.21,20180117,1.0,0.21
50,0.21,0.21,0.21,0.21,20180118,5.66,1.19
51,0.21,0.21,0.21,0.21,20180119,0.0,0.0
52,0.604,0.604,0.21,0.21,20180120,10.0,6.04
53,0.604,0.604,0.604,0.604,20180121,0.0,0.0
54,0.604,0.604,0.604,0.604,20180122,0.0,0.0
55,0.604,0.604,0.604,0.604,20180123,0.0,0.0
56,0.221,0.604,0.221,0.604,20180124,10.0,2.21
57,0.221,0.221,0.221,0.221,20180125,2.23,0.493
58,0.226,0.604,0.221,0.221,20180126,17.93,5.81
59,0.226,0.226,0.226,0.226,20180127,2.03,0.4594
60,0.226,0.226,0.226,0.226,20180128,0.0,0.0
61,0.4214,0.4214,0.4214,0.4214,20180129,0.2967,0.1251
62,0.4214,0.4214,0.4214,0.4214,20180130,1.11,0.467
63,0.4214,0.4214,0.4214,0.4214,20180131,0.0,0.0
64,0.2259,0.4214,0.2259,0.4214,20180201,3.58,0.8091
65,0.2259,0.2259,0.2259,0.2259,20180202,0.0,0.0
66,0.2259,0.2259,0.2259,0.2259,20180203,0.73,0.1649
67,0.2259,0.2259,0.2259,0.2259,20180204,7.21,1.63
68,0.2259,0.2259,0.2259,0.2259,20180205,42.13,9.52
69,0.2259,0.2259,0.2259,0.2259,20180206,0.0,0.0
70,0.2259,0.2259,0.2259,0.2259,20180207,0.0,0.0
71,0.2259,0.2259,0.2259,0.2259,20180208,0.0,0.0
72,0.2259,0.2259,0.2259,0.2259,20180209,0.0,0.0
