,close,high,low,open,time,volumefrom,volumeto
0,0.02457,0.02663,0.02457,0.02536,20150129,12914.47,317.31
1,0.0259,0.02622,0.02365,0.02434,20150130,37032.68,959.15
2,0.02366,0.02443,0.02321,0.02441,20150131,5985.83,141.62
3,0.02465,0.02476,0.0244,0.0244,20150201,2596.54,64.0
4,0.02391,0.02613,0.02389,0.02613,20150202,33659.71,804.8
5,0.02376,0.0257,0.02274,0.02276,20150203,208525.16,4954.56
6,0.0252,0.02567,0.02327,0.02368,20150204,12721.06,320.57
7,0.02382,0.02598,0.02211,0.02408,20150205,20108.28,478.98
8,0.02653,0.02653,0.0237,0.02453,20150206,3839.24,101.86
9,0.02334,0.02709,0.02277,0.02709,20150207,25182.38,587.76
10,0.0246,0.02527,0.02293,0.02293,20150208,14951.81,367.81
11,0.02316,0.02468,0.023,0.02424,20150209,30692.25,710.83
12,0.02392,0.02399,0.02232,0.02309,20150210,5755.74,137.68
13,0.02326,0.02385,0.02232,0.02383,20150211,23529.78,547.3
14,0.0232,0.02437,0.02287,0.02358,20150212,13200.17,306.24
15,0.02296,0.02593,0.02288,0.0247,20150213,18609.38,427.27
16,0.02641,0.0278,0.02514,0.02514,20150214,32963.06,870.55
17,0.02449,0.04598,0.02386,0.02382,20150215,32102.75,786.2
18,0.02571,0.02571,0.02408,0.02476,20150216,23443.96,602.74
19,0.02517,0.02675,0.02483,0.02651,20150217,29196.96,734.89
20,0.02411,0.02491,0.02399,0.02434,20150218,22151.32,534.07
21,0.02499,0.02547,0.02468,0.0248,20150219,13953.07,348.69
22,0.02611,0.7719,0.02523,0.02526,20150220,59310.17,1548.59
23,0.02527,0.0262,0.02469,0.0261,20150221,63037.67,1592.96
24,0.02301,0.02558,0.02301,0.02437,20150222,154889.15,3564.0
25,0.0233,0.02479,0.02324,0.02331,20150223,31517.15,734.35
26,0.02296,0.02441,0.02265,0.0233,20150224,18939.56,434.85
27,0.02204,0.02334,0.02104,0.02281,20150225,18007.39,396.88
28,0.02155,0.02208,0.02155,0.02197,20150226,12898.84,277.97
29,0.02368,0.02545,0.02307,0.02309,20150227,108679.78,2573.54
30,0.02354,0.02413,0.02323,0.02373,20150228,54118.43,1273.95
31,0.02401,0.02416,0.02304,0.0239,20150301,33256.99,798.5
32,0.02434,0.02465,0.02433,0.02548,20150302,37449.78,911.53
33,0.02729,0.02729,0.02499,0.02495,20150303,89971.73,2455.33
34,0.02286,0.02661,0.01585,0.02644,20150304,416635.76,9524.29
35,0.02073,0.02338,0.01954,0.02314,20150305,92044.69,1908.09
36,0.02116,0.02219,0.0195,0.02053,20150306,43119.19,912.4
37,0.01985,0.02128,0.01817,0.02135,20150307,41243.07,818.67
38,0.01847,0.02241,0.01647,0.01982,20150308,177018.35,3269.53
39,0.0174,0.02043,0.01612,0.01951,20150309,244716.48,4258.07
40,0.01776,0.01839,0.01705,0.01748,20150310,51106.66,907.65
41,0.01845,0.01905,0.01741,0.01802,20150311,41046.56,757.31
42,0.02221,0.02381,0.01721,0.01834,20150312,444007.97,9861.42
43,0.0215,0.02261,0.01994,0.02171,20150313,165376.36,3555.59
44,0.02354,0.02421,0.0205,0.02108,20150314,27203.11,640.36
45,0.02117,0.02202,0.02038,0.02381,20150315,104545.89,2213.24
46,0.0205,0.0218,0.0177,0.02158,20150316,82347.18,1688.12
47,0.018,0.02068,0.01777,0.02014,20150317,16897.42,304.15
48,0.01867,0.0188,0.01572,0.01614,20150318,42005.23,784.24
49,0.01789,0.01901,0.01788,0.01904,20150319,3785.44,67.72
50,0.01783,0.01887,0.01626,0.01795,20150320,29362.03,523.52
51,0.01724,0.01808,0.01643,0.01769,20150321,7699.81,132.74
52,0.01762,0.01847,0.01647,0.01783,20150322,5560.34,97.97
53,0.01631,0.01744,0.0163,0.01742,20150323,2718.9,44.35
54,0.01599,0.0167,0.01496,0.01516,20150324,36083.98,576.98
55,0.0146,0.01588,0.01451,0.01597,20150325,44814.27,654.29
56,0.01441,0.01606,0.01407,0.0147,20150326,6722.73,96.87
57,0.01474,0.0153,0.01426,0.01436,20150327,14918.87,219.9
58,0.01699,0.01699,0.01488,0.01503,20150328,3791.33,64.41
59,0.01712,0.01798,0.01543,0.01632,20150329,10501.93,179.79
60,0.01824,0.0186,0.0175,0.01745,20150330,2479.39,45.22
61,0.01779,0.01872,0.01711,0.01804,20150331,45079.91,801.97
62,0.01851,0.01887,0.0172,0.01794,20150401,26584.11,492.07
63,0.01791,0.01896,0.01682,0.01899,20150402,12126.05,217.18
64,0.01713,0.018,0.01705,0.01805,20150403,7512.81,128.69
65,0.0163,0.01711,0.0163,0.01702,20150404,6861.79,111.85
66,0.01647,0.01726,0.015,0.01673,20150405,91582.16,1508.36
67,0.01774,0.01837,0.01619,0.01617,20150406,35883.18,636.57
68,0.01664,0.01823,0.01543,0.0176,20150407,25322.12,421.36
69,0.01702,0.01863,0.01498,0.01609,20150408,24316.36,413.86
70,0.01658,0.01823,0.01603,0.01693,20150409,9008.27,149.36
71,0.01542,0.01639,0.01524,0.016,20150410,4531.36,69.87
72,0.01551,0.01627,0.01548,0.01554,20150411,8820.39,136.8
73,0.01681,0.017,0.01547,0.01547,20150412,446.76,7.51
74,0.01697,0.01778,0.01536,0.01594,20150413,16491.41,279.86
75,0.01615,0.01616,0.01532,0.01654,20150414,16176.21,261.25
76,0.01584,0.01721,0.01579,0.01652,20150415,73664.99,1166.85
77,0.01703,0.01824,0.01613,0.0162,20150416,14271.95,243.05
78,0.01789,0.01795,0.01579,0.01663,20150417,20914.75,374.16
79,0.01679,0.01799,0.01598,0.01795,20150418,12183.12,204.55
80,0.01597,0.01672,0.01595,0.01677,20150419,7731.15,123.47
81,0.01582,0.01643,0.01582,0.01606,20150420,9662.57,152.86
82,0.01646,0.01651,0.01615,0.01649,20150421,19066.3,313.83
83,0.01699,0.01821,0.01587,0.01646,20150422,31715.94,538.85
84,0.01685,0.01713,0.01624,0.01711,20150423,4767.99,80.34
85,0.01588,0.01654,0.01586,0.01654,20150424,3360.98,53.37
86,0.01559,0.01617,0.01554,0.01554,20150425,2100.81,32.75
87,0.01542,0.01549,0.01506,0.01507,20150426,3359.02,51.8
88,0.01661,0.02058,0.01578,0.01614,20150427,21649.45,359.6
89,0.01622,0.01647,0.01581,0.01638,20150428,23404.93,379.63
90,0.01687,0.01688,0.01598,0.0162,20150429,18711.71,315.67
91,0.01746,0.0192,0.01713,0.01765,20150430,13477.62,235.32
92,0.01788,0.01799,0.01726,0.01727,20150501,9257.92,165.53
93,0.01786,0.02039,0.01723,0.01804,20150502,9396.16,167.82
94,0.01875,0.01945,0.01707,0.01822,20150503,27763.86,520.57
95,0.01865,0.01958,0.01795,0.01867,20150504,8771.87,163.6
96,0.01773,0.0184,0.0169,0.0184,20150505,5346.71,94.8
97,0.01758,0.01758,0.01652,0.01729,20150506,11260.59,197.96
98,0.01732,0.01818,0.01724,0.01817,20150507,11206.95,194.1
99,0.01849,0.02338,0.01776,0.01776,20150508,18944.21,350.28
100,0.0211,0.02392,0.01826,0.01832,20150509,10686.1,225.48
101,0.02021,0.02228,0.02019,0.02097,20150510,10793.68,218.14
102,0.02302,0.02415,0.02003,0.02037,20150511,32156.73,740.25
103,0.02382,0.02566,0.02119,0.023,20150512,38980.27,928.51
104,0.02598,0.026,0.02295,0.02331,20150513,7104.63,184.58
105,0.02708,0.02829,0.02466,0.02604,20150514,41313.5,1118.77
106,0.02431,0.02839,0.02374,0.02711,20150515,22672.54,551.17
107,0.02353,0.02594,0.02333,0.02421,20150516,5802.25,136.53
108,0.022,0.02415,0.02147,0.02354,20150517,15185.55,334.08
109,0.02012,0.02202,0.02012,0.02166,20150518,7247.88,145.83
110,0.01778,0.02072,0.01692,0.02007,20150519,52775.46,938.35
111,0.01859,0.01975,0.0179,0.01793,20150520,44741.39,831.74
112,0.01881,0.01916,0.01807,0.01871,20150521,12746.76,239.77
113,0.01872,0.01928,0.01836,0.01921,20150522,8121.82,152.04
114,0.01864,0.01959,0.01838,0.01861,20150523,10144.57,189.09
115,0.01878,0.01968,0.01874,0.0188,20150524,9848.36,184.95
116,0.01858,0.0191,0.0185,0.0185,20150525,26075.74,484.49
117,0.01978,0.02263,0.01938,0.01862,20150526,31449.14,622.06
