,close,high,low,open,time,volumefrom,volumeto
0,0.03765,0.06776,0.03012,0.03012,20141207,12914.81,486.24
1,0.03832,0.05109,0.03066,0.03649,20141208,10172.76,389.82
2,0.05209,0.05276,0.02994,0.03698,20141209,15595.18,812.35
3,0.03479,0.05146,0.03479,0.05146,20141210,1752.86,60.98
4,0.02469,0.04026,0.02469,0.03477,20141211,6481.15,160.02
5,0.03887,0.04241,0.01963,0.02509,20141212,5226.64,203.16
6,0.05224,0.0592,0.03831,0.03831,20141213,6423.17,335.55
7,0.0559,0.06987,0.03843,0.0524,20141214,13536.83,756.71
8,0.07944,0.08634,0.05526,0.05526,20141215,20801.95,1652.51
9,0.071,0.08256,0.05614,0.07595,20141216,8422.28,597.98
10,0.09757,0.09921,0.0688,0.0688,20141217,9174.64,895.17
11,0.06207,0.09462,0.05741,0.09462,20141218,5775.5,358.49
12,0.0783,0.0783,0.05898,0.06356,20141219,4927.5,385.82
13,0.09217,0.0958,0.07268,0.0814,20141220,3985.2,367.32
14,0.07424,0.09001,0.0742,0.09001,20141221,942.87,70.0
15,0.07576,0.07894,0.05293,0.07613,20141222,4831.84,366.06
16,0.08381,0.1006,0.05766,0.07677,20141223,14280.06,1196.81
17,0.06932,0.09672,0.06932,0.0806,20141224,4495.69,311.64
18,0.1155,0.1314,0.06858,0.06858,20141225,19144.28,2211.16
19,0.1056,0.1617,0.1056,0.1195,20141226,18989.76,2005.32
20,0.0883,0.1261,0.07253,0.1009,20141227,4241.91,374.56
21,0.09812,0.1424,0.08863,0.08863,20141228,1168.5,114.65
22,0.09424,0.1225,0.09424,0.09738,20141229,692.82,65.29
23,0.0968,0.09743,0.09338,0.09338,20141230,153.02,14.81
24,0.07638,0.09897,0.07638,0.09897,20141231,1105.41,84.43
25,0.09286,0.09444,0.07557,0.07557,20150101,149.3,13.86
26,0.0788,0.09296,0.05012,0.09296,20150102,18702.09,1473.72
27,0.05025,0.07178,0.05025,0.07178,20150103,4167.69,209.43
28,0.05956,0.08736,0.04633,0.04633,20150104,3855.69,229.64
29,0.07698,0.1072,0.06184,0.06184,20150105,5578.07,429.4
30,0.08468,0.08471,0.07906,0.07906,20150106,749.4,63.46
31,0.134,0.134,0.0874,0.0874,20150107,14301.97,1916.46
32,0.1272,0.1693,0.09897,0.13,20150108,9258.84,1177.72
33,0.1011,0.1495,0.1011,0.1296,20150109,4027.88,407.22
34,0.1148,0.1495,0.09595,0.09595,20150110,48.51,5.57
35,0.135,0.1535,0.1112,0.1112,20150111,1618.98,218.56
36,0.114,0.1561,0.114,0.1374,20150112,111.16,12.67
37,0.1106,0.1106,0.09363,0.09363,20150113,432.2,47.8
38,0.08246,0.08906,0.0823,0.08246,20150114,867.89,71.57
39,0.1154,0.1154,0.0944,0.1049,20150115,1762.15,203.35
40,0.1231,0.1231,0.09109,0.1138,20150116,1910.36,235.17
41,0.1198,0.1298,0.1168,0.1188,20150117,8598.1,1030.05
42,0.1368,0.1369,0.1117,0.1264,20150118,441.06,60.34
43,0.1382,0.1403,0.1209,0.1403,20150119,749.43,103.57
44,0.1325,0.1348,0.1221,0.1348,20150120,174.35,23.1
45,0.1597,0.1597,0.1324,0.1436,20150121,1067.05,170.41
46,0.1652,0.1652,0.1408,0.1629,20150122,339.29,56.05
47,0.1648,0.1648,0.1556,0.1648,20150123,172.77,28.47
48,0.1737,0.1762,0.1241,0.1762,20150124,1511.46,262.54
49,0.1764,0.1764,0.1764,0.1764,20150125,0.0,0.0
50,0.1211,0.1884,0.04845,0.1884,20150126,2925.88,354.32
51,0.1185,0.1185,0.1185,0.1185,20150127,0.0,0.0
52,0.09447,0.1323,0.09447,0.1063,20150128,756.54,71.47
53,0.1287,0.1287,0.0936,0.0936,20150129,3.62,0.4659
54,0.09505,0.1275,0.09042,0.1275,20150130,301.02,28.61
55,0.03935,0.08985,0.03935,0.08959,20150131,1222.38,48.1
56,0.1081,0.1081,0.04057,0.04057,20150201,12.92,1.4
57,0.04904,0.1147,0.04901,0.1147,20150202,89.74,4.4
58,0.06231,0.07063,0.0523,0.07054,20150203,28131.97,1752.9
59,0.06013,0.07241,0.05665,0.06208,20150204,12936.63,777.88
60,0.06063,0.07145,0.05716,0.05746,20150205,56791.8,3443.29
61,0.06294,0.0713,0.06243,0.06243,20150206,13084.0,823.51
62,0.06694,0.0711,0.06427,0.06427,20150207,11866.28,794.33
63,0.06934,0.0718,0.06307,0.06576,20150208,9380.94,650.47
64,0.05332,0.07057,0.05074,0.06831,20150209,44283.8,2361.21
65,0.05274,0.06346,0.05096,0.05316,20150210,23722.46,1251.12
66,0.06792,0.08753,0.05254,0.05254,20150211,57926.05,3934.34
67,0.06321,0.07763,0.05988,0.06884,20150212,24802.52,1567.77
68,0.07321,0.08195,0.06731,0.06731,20150213,25657.2,1878.36
69,0.07837,0.08794,0.07477,0.08018,20150214,27505.33,2155.59
70,0.06998,0.07931,0.06298,0.07068,20150215,45548.21,3187.46
71,0.06815,0.07266,0.05898,0.07075,20150216,24159.61,1646.48
72,0.06114,0.07065,0.04614,0.07028,20150217,54077.5,3306.3
73,0.04756,0.06045,0.04476,0.05913,20150218,48345.36,2299.31
74,0.05876,0.05973,0.0508,0.04892,20150219,17779.79,1044.74
75,0.04401,0.05939,0.03915,0.05939,20150220,50575.66,2225.83
76,0.02933,0.04783,0.02713,0.04399,20150221,69052.93,2025.32
77,0.04288,0.04696,0.0268,0.02829,20150222,119354.74,5117.93
78,0.03203,0.04344,0.03203,0.04344,20150223,12508.62,400.65
79,0.0178,0.03249,0.01481,0.03204,20150224,37812.79,673.07
80,0.01542,0.02722,0.007649,0.01769,20150225,55626.8,857.77
81,0.01182,0.01845,0.009343,0.01536,20150226,50169.06,593.0
82,0.01774,0.01774,0.01054,0.01267,20150227,20813.36,369.23
83,0.01959,0.02541,0.01436,0.01778,20150228,29867.5,585.1
84,0.01986,0.02907,0.01548,0.01989,20150301,65440.54,1299.65
85,0.01698,0.02108,0.01673,0.02108,20150302,12348.13,209.67
86,0.0181,0.01849,0.01348,0.01741,20150303,64289.04,1163.63
87,0.01143,0.01754,0.01143,0.01754,20150304,30068.4,343.68
88,0.01008,0.01373,0.01008,0.01157,20150305,50613.08,510.18
89,0.008785,0.01177,0.008722,0.009984,20150306,15920.62,139.86
90,0.008797,0.01273,0.008797,0.00886,20150307,19892.96,175.0
91,0.01098,0.01106,0.008235,0.008784,20150308,29653.41,325.59
92,0.009545,0.01164,0.009527,0.0116,20150309,11332.35,108.17
93,0.009586,0.01101,0.009586,0.009589,20150310,13035.69,124.96
94,0.008572,0.01033,0.008572,0.009725,20150311,7703.58,66.04
95,0.008757,0.008757,0.007367,0.008522,20150312,14481.69,126.82
96,0.008613,0.009406,0.008045,0.008559,20150313,7857.62,67.68
97,0.007905,0.009293,0.007893,0.008445,20150314,14484.79,114.5
98,0.01139,0.01613,0.007997,0.007997,20150315,14404.65,164.07
99,0.01597,0.01772,0.0122,0.01161,20150316,23821.94,380.44
100,0.01427,0.01721,0.01427,0.0157,20150317,11682.83,166.71
101,0.01076,0.01455,0.01075,0.0128,20150318,10669.03,114.8
102,0.0121,0.01461,0.01013,0.01097,20150319,28500.19,344.85
103,0.01347,0.01659,0.01214,0.01214,20150320,13056.33,175.87
104,0.0124,0.01341,0.0124,0.01336,20150321,10210.73,126.61
105,0.01282,0.01531,0.01282,0.01282,20150322,6452.49,82.72
106,0.009294,0.01321,0.009052,0.01268,20150323,13302.35,123.63
