,close,high,low,open,time,volumefrom,volumeto
0,0.0449,0.1,0.0449,0.1,20171216,64516.61,3230.23
1,0.00295,0.0449,0.0005,0.0449,20171217,40723.41,271.13
2,0.0139,0.02,0.00295,0.00295,20171218,2394.67,40.32
3,0.01249,0.0139,0.01249,0.0139,20171219,1010.0,12.61
4,0.01249,0.01249,0.01249,0.01249,20171220,0.0,0.0
5,0.01249,0.01249,0.01249,0.01249,20171221,0.0,0.0
6,0.01249,0.01249,0.01249,0.01249,20171222,0.0,0.0
7,0.00351,0.01249,0.00351,0.01249,20171223,775.0,2.72
8,0.04,0.04,0.0025,0.00351,20171224,18646.02,128.62
9,0.0122,0.04,0.0122,0.04,20171225,2145.41,29.59
10,0.012,0.0122,0.012,0.0122,20171226,38.87,0.4665
11,0.012,0.012,0.012,0.012,20171227,0.0,0.0
12,0.009,0.009,0.009,0.009,20171228,341.44,3.07
13,0.009,0.009,0.009,0.009,20171229,0.0,0.0
14,0.007,0.009,0.007,0.009,20171230,500.1,3.67
15,0.007,0.007,0.007,0.007,20171231,6026.39,42.18
16,0.007,0.007,0.007,0.007,20180101,130.11,0.9108
17,0.0025,0.007,0.0025,0.007,20180102,200.0,0.5
18,0.0025,0.0025,0.0025,0.0025,20180103,0.0,0.0
19,0.0025,0.018,0.0025,0.0025,20180104,62336.41,494.34
20,0.008211,0.01474,0.0025,0.0025,20180105,49025.7,593.57
21,0.0079,0.012,0.003333,0.008211,20180106,9918.13,71.78
22,0.014,0.014,0.005,0.0079,20180107,19121.06,182.34
23,0.0053,0.014,0.0053,0.014,20180108,7388.47,86.41
24,0.0133,0.0135,0.0052,0.0053,20180109,666.51,6.29
25,0.0133,0.0133,0.007,0.0133,20180110,1104.38,10.14
26,0.007004,0.0133,0.007,0.0133,20180111,1316.56,11.77
27,0.0131,0.0131,0.007004,0.007004,20180112,381.68,5.0
28,0.01999,0.01999,0.0071,0.0131,20180113,10150.96,80.68
29,0.017,0.01999,0.017,0.01999,20180114,261.99,5.2
30,0.01499,0.017,0.007102,0.017,20180115,1953.24,22.82
31,0.01599,0.01599,0.01499,0.01499,20180116,263.95,4.11
32,0.0159,0.0159,0.0159,0.0159,20180117,252.59,4.02
33,0.01,0.01,0.01,0.01,20180118,400.0,4.0
34,0.01,0.01,0.01,0.01,20180119,0.0,0.0
35,0.015,0.015,0.015,0.015,20180120,111.0,1.66
36,0.015,0.015,0.015,0.015,20180121,0.0,0.0
37,0.015,0.015,0.015,0.015,20180122,0.0,0.0
38,0.015,0.015,0.015,0.015,20180123,0.0,0.0
39,0.0039,0.01999,0.0036,0.015,20180124,5492.52,68.61
40,0.0039,0.0039,0.0039,0.0039,20180125,0.0,0.0
41,0.004,0.004,0.0039,0.0039,20180126,26.0,0.104
42,0.004,0.004,0.004,0.004,20180127,0.0,0.0
43,0.0129,0.0129,0.0129,0.0129,20180128,213.0,2.75
44,0.011,0.0129,0.011,0.0129,20180129,18.18,0.2
45,0.0042,0.011,0.0042,0.011,20180130,426.93,1.79
46,0.013,0.01999,0.001001,0.0042,20180131,38562.69,499.58
47,0.015,0.015,0.013,0.013,20180201,4130.98,54.61
48,0.015,0.015,0.015,0.015,20180202,47.14,0.7071
49,0.015,0.015,0.015,0.015,20180203,0.0,0.0
50,0.004108,0.015,0.004108,0.015,20180204,87.61,0.3599
51,0.004108,0.004108,0.004108,0.004108,20180205,0.0,0.0
52,0.004108,0.004108,0.004108,0.004108,20180206,0.0,0.0
53,0.004108,0.004108,0.004108,0.004108,20180207,0.0,0.0
54,0.004108,0.004108,0.004108,0.004108,20180208,0.0,0.0
55,0.007661,0.007661,0.004108,0.004108,20180209,140.0,1.07
56,0.007661,0.007661,0.007661,0.007661,20180210,0.0,0.0
57,0.007661,0.007661,0.007661,0.007661,20180211,0.0,0.0
58,0.014,0.014,0.007661,0.007661,20180212,100.0,1.4
59,0.014,0.014,0.014,0.014,20180213,0.0,0.0
60,0.0045,0.014,0.0045,0.014,20180214,100.0,0.45
61,0.01399,0.01399,0.0045,0.0045,20180215,7.86,0.11
62,0.01399,0.01399,0.01399,0.01399,20180216,0.0,0.0
63,0.01399,0.01399,0.01399,0.01399,20180217,0.0,0.0
64,0.004108,0.01399,0.004108,0.01399,20180218,2194.79,10.36
65,0.009898,0.009898,0.0035,0.004108,20180219,1143.34,10.4
66,0.0035,0.0035,0.0035,0.0035,20180220,144.74,0.5066
67,0.0035,0.0035,0.0035,0.0035,20180221,0.0,0.0
68,0.0035,0.0035,0.0035,0.0035,20180222,0.0,0.0
69,0.0095,0.0095,0.0035,0.0035,20180223,26.85,0.255
70,0.005003,0.0095,0.005003,0.0095,20180224,1562.18,7.82
71,0.005004,0.005004,0.005003,0.005003,20180225,27.07,0.1354
72,0.0084,0.0084,0.005004,0.005004,20180226,116.98,0.9826
73,0.0084,0.0084,0.00839,0.0084,20180227,50.0,0.4197
74,0.0084,0.0084,0.0051,0.0084,20180228,723.42,5.98
75,0.0084,0.0084,0.0084,0.0084,20180301,0.0,0.0
76,0.0084,0.0084,0.0084,0.0084,20180302,0.0,0.0
77,0.0037,0.0084,0.0037,0.0084,20180303,40.92,0.1514
78,0.003702,0.003702,0.0037,0.0037,20180304,674.46,2.5
79,0.009,0.009,0.003702,0.003702,20180305,104.17,0.9375
80,0.0039,0.0039,0.0039,0.0039,20180306,54.15,0.2112
81,0.004,0.004,0.0039,0.0039,20180307,104.17,0.4167
82,0.004,0.004,0.004,0.004,20180308,0.0,0.0
83,0.004,0.004,0.004,0.004,20180309,0.0,0.0
84,0.004,0.004,0.004,0.004,20180310,0.0,0.0
85,0.004,0.004,0.004,0.004,20180311,0.0,0.0
86,0.004,0.004,0.004,0.004,20180312,0.0,0.0
87,0.004,0.004,0.004,0.004,20180313,0.0,0.0
88,0.004,0.004,0.004,0.004,20180314,0.0,0.0
89,0.00404,0.00404,0.004,0.004,20180315,1273.36,5.14
90,0.00404,0.00404,0.00404,0.00404,20180316,0.0,0.0
91,0.00404,0.00404,0.00404,0.00404,20180317,0.0,0.0
92,0.0035,0.00404,0.0035,0.00404,20180318,1808.43,7.29
