,close,high,low,open,time,volumefrom,volumeto
0,0.02387,0.02387,0.02387,0.02387,20171101,93.29,2.23
1,0.02387,0.02387,0.02387,0.02387,20171102,0.0,0.0
2,0.02387,0.02387,0.02387,0.02387,20171103,0.0,0.0
3,0.02387,0.02387,0.02387,0.02387,20171104,0.0,0.0
4,0.02387,0.02387,0.02387,0.02387,20171105,0.0,0.0
5,0.0231,0.02387,0.02303,0.02387,20171106,1510.48,34.79
6,0.02123,0.0231,0.02123,0.0231,20171107,8.56,0.1818
7,0.02123,0.02123,0.02123,0.02123,20171108,0.0,0.0
8,0.02123,0.02123,0.02123,0.02123,20171109,0.0,0.0
9,0.02123,0.02123,0.02123,0.02123,20171110,0.0,0.0
10,0.02123,0.02123,0.02123,0.02123,20171111,0.0,0.0
11,0.02123,0.02123,0.02123,0.02123,20171112,0.0,0.0
12,0.02123,0.02123,0.02123,0.02123,20171113,0.0,0.0
13,0.02123,0.02123,0.02123,0.02123,20171114,0.0,0.0
14,0.02123,0.02123,0.02123,0.02123,20171115,0.0,0.0
15,0.02123,0.02123,0.02123,0.02123,20171116,0.0,0.0
16,0.02123,0.02123,0.02123,0.02123,20171117,0.0,0.0
17,0.02123,0.02123,0.02123,0.02123,20171118,0.0,0.0
18,0.02,0.025,0.02,0.02123,20171119,135.9,3.15
19,0.03,0.03,0.02,0.02,20171120,20.0,0.6
20,0.03,0.03,0.03,0.03,20171121,45.32,1.36
21,0.03,0.03,0.03,0.03,20171122,0.0,0.0
22,0.03,0.03,0.03,0.03,20171123,0.0,0.0
23,0.03,0.03,0.03,0.03,20171124,0.0,0.0
24,0.025,0.03,0.025,0.03,20171125,45.0,1.13
25,0.0395,0.04,0.025,0.025,20171126,5006.39,187.29
26,0.04,0.04,0.0395,0.0395,20171127,40.0,1.6
27,0.03,0.04,0.03,0.04,20171128,1499.0,44.97
28,0.025,0.03,0.025,0.03,20171129,5.6,0.14
29,0.025,0.025,0.025,0.025,20171130,0.0,0.0
30,0.025,0.025,0.025,0.025,20171201,0.0,0.0
31,0.19,0.19,0.025,0.025,20171202,425.28,39.27
32,0.19,0.19,0.19,0.19,20171203,0.0,0.0
33,0.023,0.19,0.023,0.19,20171204,130.0,2.99
34,0.023,0.023,0.023,0.023,20171205,0.0,0.0
35,0.023,0.023,0.023,0.023,20171206,0.0,0.0
36,0.023,0.023,0.023,0.023,20171207,0.0,0.0
37,0.023,0.023,0.023,0.023,20171208,0.0,0.0
38,0.023,0.023,0.023,0.023,20171209,0.0,0.0
39,0.03111,0.09,0.023,0.023,20171210,146.29,12.51
40,0.03111,0.03111,0.03111,0.03111,20171211,5.6,0.1742
41,0.03111,0.03111,0.03111,0.03111,20171212,0.0,0.0
42,0.03111,0.08,0.03111,0.03111,20171213,269.76,8.83
43,0.0235,0.03111,0.0235,0.03111,20171214,69.73,1.96
44,0.079,0.079,0.0235,0.0235,20171215,645.19,50.49
45,0.06,0.079,0.06,0.079,20171216,10.0,0.6
46,0.04,0.06,0.04,0.06,20171217,17212.67,1002.7
47,0.04,0.04,0.04,0.04,20171218,10.33,0.4132
48,0.0735,0.0735,0.04,0.04,20171219,2157.7,99.66
49,0.0235,0.0735,0.0235,0.0735,20171220,208.42,11.18
50,0.06989,0.07,0.0235,0.0235,20171221,111.91,7.83
51,0.06989,0.06989,0.06989,0.06989,20171222,217.44,15.2
52,0.06,0.06989,0.06,0.06989,20171223,92.39,5.54
53,0.0439,0.177,0.0235,0.06,20171224,13733.27,459.25
54,0.05,0.05,0.0439,0.0439,20171225,337.77,16.45
55,0.0235,0.05,0.0235,0.05,20171226,25.0,0.5875
56,0.0935,0.1,0.0235,0.0235,20171227,723.5,71.55
57,0.1,0.11,0.0935,0.0935,20171228,195.26,20.05
58,0.025,0.11,0.0236,0.0236,20171229,1194.37,124.14
59,0.09,0.1353,0.025,0.025,20171230,3041.48,354.26
60,0.09,0.177,0.09,0.09,20171231,3839.66,621.77
61,0.09,0.17,0.09,0.09,20180101,1443.01,134.05
62,0.1629,0.168,0.049,0.09,20180102,1263.85,172.03
63,0.145,0.1629,0.049,0.1629,20180103,2905.2,298.7
64,0.1659,0.166,0.06,0.145,20180104,4022.38,564.27
65,0.1655,0.166,0.1088,0.1659,20180105,2418.78,352.35
66,0.166,0.166,0.062,0.1655,20180106,499.62,64.52
67,0.166,0.166,0.06,0.166,20180107,684.26,79.1
68,0.07654,0.166,0.06,0.166,20180108,694.75,110.18
69,0.14,0.14,0.064,0.07654,20180109,594.3,55.67
70,0.14,0.14,0.0756,0.14,20180110,161.1,12.89
71,0.076,0.14,0.0756,0.14,20180111,416.83,56.11
72,0.125,0.125,0.076,0.076,20180112,287.97,36.0
73,0.09,0.125,0.09,0.125,20180113,475.42,43.13
74,0.04004,0.09,0.04004,0.09,20180114,528.84,46.7
75,0.04004,0.09,0.04004,0.04004,20180115,95.71,6.33
76,0.11,0.11,0.04004,0.04004,20180116,1.0,0.11
77,0.08,0.11,0.08,0.11,20180117,558.0,46.44
78,0.08,0.08,0.08,0.08,20180118,5297.87,330.58
79,0.09,0.09,0.09,0.09,20180119,596.7,53.7
80,0.07401,0.075,0.04004,0.04004,20180120,288.41,17.86
81,0.075,0.075,0.07401,0.07401,20180121,11.88,0.8907
82,0.075,0.075,0.075,0.075,20180122,0.0,0.0
83,0.075,0.075,0.075,0.075,20180123,0.0,0.0
84,0.048,0.048,0.048,0.048,20180124,83.33,4.0
85,0.048,0.0749,0.048,0.0749,20180125,285.36,20.88
86,0.048,0.07499,0.048,0.048,20180126,234.82,15.35
87,0.048,0.048,0.048,0.048,20180127,750.98,36.05
88,0.048,0.07444,0.048,0.048,20180128,110.09,5.4
89,0.048,0.048,0.048,0.048,20180129,144.27,7.26
90,0.04201,0.07,0.04201,0.048,20180130,69.67,3.0
91,0.04004,0.04201,0.04004,0.04201,20180131,247.75,10.0
92,0.0252,0.04004,0.0252,0.04004,20180201,44.85,1.49
93,0.0252,0.0252,0.0252,0.0252,20180202,0.0,0.0
94,0.025,0.026,0.025,0.0252,20180203,1877.5,48.75
95,0.021,0.07,0.021,0.025,20180204,2240.72,50.4
96,0.012,0.0388,0.012,0.021,20180205,933.0,13.88
97,0.012,0.012,0.012,0.012,20180206,0.0,0.0
98,0.012,0.012,0.012,0.012,20180207,0.0,0.0
99,0.0388,0.0388,0.012,0.012,20180208,508.7,5.99
100,0.013,0.04944,0.013,0.04944,20180209,79.92,1.15
101,0.02,0.04934,0.013,0.013,20180210,108.11,2.4
102,0.01,0.02,0.01,0.02,20180211,203.2,2.33
103,0.01,0.01,0.01,0.01,20180212,0.0,0.0
