,close,high,low,open,time,volumefrom,volumeto
0,110.39,110.39,106.58,106.58,20141202,0.0,0.0
1,109.32,124.4,105.55,109.32,20141203,0.0,0.0
2,103.56,125.3,103.56,107.25,20141204,0.0,0.0
3,113.29,139.72,105.74,105.74,20141205,0.0,0.0
4,116.64,116.64,105.35,112.88,20141206,0.0,0.0
5,109.18,139.52,105.41,116.71,20141207,0.0,0.0
6,124.08,145.98,102.19,105.84,20141208,0.0,0.0
7,98.61,119.74,98.61,119.74,20141209,0.0,0.0
8,97.42,97.42,97.42,97.42,20141210,0.0,0.0
9,97.35,97.35,97.35,97.35,20141211,0.0,0.0
10,128.85,144.89,98.95,98.95,20141212,0.0,0.0
11,97.51,126.97,97.51,126.97,20141213,0.0,0.0
12,100.89,104.42,97.82,97.82,20141214,0.0,0.0
13,96.7,103.33,96.7,99.74,20141215,0.0,0.0
14,92.46,99.07,92.46,92.46,20141216,0.0,0.0
15,96.01,96.01,89.61,89.61,20141217,0.0,0.0
16,102.41,105.52,80.69,93.1,20141218,0.0,0.0
17,101.44,104.87,76.58,104.87,20141219,0.0,0.0
18,105.71,105.71,105.45,105.45,20141220,0.0,0.0
19,106.47,106.47,92.27,103.24,20141221,0.0,0.0
20,82.71,109.18,75.76,109.18,20141222,0.0,0.0
21,133.8,134.1,83.81,83.81,20141223,0.0,0.0
22,105.04,128.67,95.46,128.67,20141224,0.0,0.0
23,103.93,103.93,103.93,103.93,20141225,0.0,0.0
24,105.59,107.51,89.09,107.51,20141226,0.0,0.0
25,100.66,110.37,81.99,100.91,20141227,0.0,0.0
26,99.96,101.04,83.88,101.04,20141228,0.0,0.0
27,99.2,99.2,99.2,99.2,20141229,0.0,0.0
28,96.71,98.3,87.16,98.3,20141230,0.0,0.0
29,112.69,112.69,97.1,98.88,20141231,0.0,0.0
30,111.5,111.5,111.5,111.5,20150101,0.0,0.0
31,102.19,111.62,83.53,111.62,20150102,0.0,0.0
32,87.0,87.0,76.38,82.03,20150103,0.0,0.0
33,79.42,80.21,71.47,80.21,20150104,0.0,0.0
34,74.48,82.45,74.48,82.45,20150105,0.0,0.0
35,95.07,95.07,76.5,76.5,20150106,0.0,0.0
36,99.06,119.45,72.83,98.12,20150107,0.0,0.0
37,93.29,96.11,77.85,96.11,20150108,0.0,0.0
38,95.03,97.59,83.51,95.03,20150109,0.0,0.0
39,82.83,95.67,71.07,90.21,20150110,0.0,0.0
40,80.23,80.23,68.84,80.23,20150111,0.0,0.0
41,72.72,80.8,70.03,80.8,20150112,0.0,0.0
42,66.39,66.39,59.75,59.75,20150113,0.0,0.0
43,44.53,49.48,43.7,49.48,20150114,0.0,0.0
44,59.79,62.93,56.64,56.64,20150115,0.0,0.0
45,58.97,58.97,55.87,58.97,20150116,0.0,0.0
46,53.37,56.9,52.91,56.9,20150117,0.0,0.0
47,48.42,60.03,42.12,56.3,20150118,0.0,0.0
48,49.65,49.65,39.94,49.63,20150119,0.0,0.0
49,47.37,48.43,38.95,48.43,20150120,0.0,0.0
50,57.27,68.45,45.13,51.34,20150121,0.0,0.0
