,close,high,low,open,time,volumefrom,volumeto
0,0.08907,0.08907,0.08907,0.08907,20140511,1.99,0.1772
1,0.0901,0.0901,0.0901,0.0901,20140512,0.0,0.0
2,0.08921,0.08921,0.08921,0.08921,20140513,9.96,0.8885
3,0.091,0.091,0.091,0.091,20140514,0.0,0.0
4,0.09213,0.09213,0.09213,0.09213,20140515,0.0,0.0
5,0.09327,0.09327,0.09327,0.09327,20140516,0.0,0.0
6,0.09309,0.09309,0.09309,0.09309,20140517,0.0,0.0
7,0.09255,0.09255,0.09255,0.09255,20140518,0.0,0.0
8,0.09127,0.09127,0.09127,0.09127,20140519,0.0,0.0
9,0.09963,0.09963,0.09963,0.09963,20140520,0.0,0.0
10,0.1005,0.1005,0.1005,0.1005,20140521,0.0,0.0
11,0.106,0.106,0.106,0.106,20140522,0.0,0.0
12,0.2208,0.2208,0.1065,0.1065,20140523,1.0,0.2208
13,0.2218,0.2218,0.2218,0.2218,20140524,0.0,0.0
14,0.1173,0.2431,0.1173,0.2431,20140525,2.67,0.3132
15,0.1197,0.1197,0.1197,0.1197,20140526,0.0,0.0
16,0.1172,0.1172,0.1172,0.1172,20140527,0.0,0.0
17,0.1174,0.1174,0.1174,0.1174,20140528,0.0,0.0
18,0.116,0.116,0.116,0.116,20140529,0.0,0.0
19,0.1259,0.1259,0.1259,0.1259,20140530,0.0,0.0
20,0.1291,0.1842,0.1291,0.1291,20140531,1.0,0.1291
21,0.1365,0.1365,0.1336,0.1336,20140601,0.01064,0.001452
22,0.1348,0.1381,0.1348,0.1377,20140602,22.34,3.01
23,0.1376,0.1376,0.1376,0.1376,20140603,0.0,0.0
24,0.1282,0.1314,0.1282,0.1314,20140604,93.99,12.05
25,0.1267,0.1324,0.1267,0.1324,20140605,65.52,8.3
26,0.1248,0.1248,0.1248,0.1248,20140606,0.0,0.0
27,0.1251,0.1251,0.1251,0.1251,20140607,0.0,0.0
28,0.1249,0.1249,0.1249,0.1249,20140608,0.0,0.0
29,0.1237,0.1237,0.1237,0.1237,20140609,0.0,0.0
30,0.1275,0.1275,0.1258,0.1258,20140610,0.0002829,3.607e-05
31,0.125,0.125,0.125,0.125,20140611,0.0,0.0
32,0.1161,0.1161,0.1161,0.1161,20140612,0.0,0.0
33,0.1187,0.1187,0.1187,0.1187,20140613,0.0,0.0
34,0.1134,0.1134,0.1134,0.1134,20140614,0.0,0.0
35,0.1132,0.1132,0.1132,0.1132,20140615,0.0,0.0
36,0.1165,0.1165,0.1165,0.1165,20140616,0.0,0.0
37,0.1176,0.1176,0.1176,0.1176,20140617,0.0,0.0
38,0.1178,0.1178,0.1178,0.1178,20140618,0.0,0.0
39,0.1167,0.1167,0.1167,0.1167,20140619,0.0,0.0
40,0.1148,0.1148,0.1148,0.1148,20140620,0.0,0.0
41,0.1161,0.1161,0.1161,0.1161,20140621,0.0,0.0
42,0.1173,0.1173,0.1173,0.1173,20140622,0.0,0.0
43,0.1149,0.1149,0.1149,0.1149,20140623,0.0,0.0
44,0.1145,0.1145,0.1145,0.1145,20140624,0.0,0.0
45,0.1105,0.1105,0.1105,0.1105,20140625,0.0,0.0
46,0.1133,0.1133,0.1133,0.1133,20140626,0.0,0.0
47,0.1171,0.1171,0.1171,0.1171,20140627,0.0,0.0
48,0.1162,0.1162,0.1162,0.1162,20140628,0.0,0.0
49,0.1168,0.1168,0.1168,0.1168,20140629,0.0,0.0
50,0.1235,0.1235,0.1235,0.1235,20140630,0.0,0.0
51,0.125,0.125,0.125,0.125,20140701,0.0,0.0
52,0.04802,0.04802,0.04802,0.1255,20140702,0.3119,0.01498
53,0.04745,0.04745,0.04745,0.04745,20140703,0.0,0.0
54,0.0464,0.0464,0.0464,0.0464,20140704,0.0,0.0
55,0.04633,0.04633,0.04633,0.04633,20140705,0.0,0.0
56,0.0466,0.0466,0.0466,0.0466,20140706,0.0,0.0
57,0.04563,0.04563,0.04563,0.04563,20140707,0.0,0.0
58,0.04576,0.04576,0.04576,0.04576,20140708,0.0,0.0
59,0.04633,0.04633,0.04633,0.04633,20140709,0.0,0.0
60,0.04599,0.04599,0.04599,0.04599,20140710,0.0,0.0
61,0.04707,0.04707,0.04707,0.04707,20140711,0.0,0.0
62,0.04729,0.04729,0.04729,0.04729,20140712,0.0,0.0
63,0.04671,0.04671,0.04671,0.04671,20140713,0.0,0.0
64,0.04598,0.04598,0.04598,0.04598,20140714,0.0,0.0
65,0.04608,0.04608,0.04608,0.04608,20140715,0.0,0.0
66,0.04572,0.04572,0.04572,0.04572,20140716,0.0,0.0
67,0.0466,0.0466,0.0466,0.0466,20140717,0.0,0.0
68,0.04666,0.04666,0.04666,0.04666,20140718,0.0,0.0
69,0.04663,0.04663,0.04663,0.04663,20140719,0.0,0.0
70,0.04618,0.04618,0.04618,0.04618,20140720,0.0,0.0
71,0.04649,0.04649,0.04649,0.04649,20140721,0.0,0.0
72,0.0463,0.0463,0.0463,0.0463,20140722,0.0,0.0
73,0.04624,0.04624,0.04624,0.04624,20140723,0.0,0.0
74,0.04476,0.04476,0.04476,0.04476,20140724,0.0,0.0
75,0.04466,0.04466,0.04466,0.04466,20140725,0.0,0.0
76,0.04432,0.04432,0.04432,0.04432,20140726,0.0,0.0
77,0.04425,0.04425,0.04425,0.04425,20140727,0.0,0.0
78,0.04372,0.04372,0.04372,0.04372,20140728,0.0,0.0
79,0.04356,0.04356,0.04356,0.04356,20140729,0.0,0.0
80,0.04199,0.04199,0.04199,0.04199,20140730,0.0,0.0
81,0.04384,0.04384,0.04384,0.04384,20140731,0.0,0.0
82,0.04453,0.04453,0.04453,0.04453,20140801,0.0,0.0
83,0.04401,0.04401,0.04401,0.04401,20140802,0.0,0.0
84,0.0438,0.0438,0.0438,0.0438,20140803,0.0,0.0
85,0.04408,0.04408,0.04408,0.04408,20140804,0.0,0.0
86,0.04379,0.04379,0.04379,0.04379,20140805,0.0,0.0
87,0.04386,0.04386,0.04386,0.04386,20140806,0.0,0.0
88,0.04409,0.04409,0.04409,0.04409,20140807,0.0,0.0
89,0.04431,0.04431,0.04431,0.04431,20140808,0.0,0.0
90,0.04384,0.04384,0.04384,0.04384,20140809,0.0,0.0
91,0.04403,0.04403,0.04403,0.04403,20140810,0.0,0.0
92,0.04283,0.04283,0.04283,0.04283,20140811,0.0,0.0
93,0.04222,0.04222,0.04222,0.04222,20140812,0.0,0.0
94,0.04032,0.04032,0.04032,0.04032,20140813,0.0,0.0
95,0.03754,0.03754,0.03754,0.03754,20140814,0.0,0.0
96,0.03692,0.03692,0.03692,0.03692,20140815,0.0,0.0
97,0.03882,0.03882,0.03882,0.03882,20140816,0.0,0.0
98,0.03611,0.03611,0.03611,0.03611,20140817,0.0,0.0
99,0.03437,0.03437,0.03437,0.03437,20140818,0.0,0.0
100,0.03608,0.03608,0.03608,0.03608,20140819,0.0,0.0
101,0.03843,0.03843,0.03843,0.03843,20140820,0.0,0.0
102,0.03852,0.03852,0.03852,0.03852,20140821,0.0,0.0
103,0.03838,0.03838,0.03838,0.03838,20140822,0.0,0.0
104,0.03701,0.03701,0.03701,0.03701,20140823,0.0,0.0
105,0.03791,0.03791,0.03791,0.03791,20140824,0.0,0.0
106,0.0374,0.0374,0.0374,0.0374,20140825,0.0,0.0
107,0.03812,0.03812,0.03812,0.03812,20140826,0.0,0.0
108,0.03832,0.03832,0.03832,0.03832,20140827,0.0,0.0
109,0.03798,0.03798,0.03798,0.03798,20140828,0.0,0.0
110,0.03812,0.03812,0.03812,0.03812,20140829,0.0,0.0
111,0.03763,0.03763,0.03763,0.03763,20140830,0.0,0.0
112,0.03583,0.03583,0.03583,0.03583,20140831,0.0,0.0
113,0.03549,0.03549,0.03549,0.03549,20140901,0.0,0.0
114,0.03562,0.03562,0.03562,0.03562,20140902,0.0,0.0
115,0.0357,0.0357,0.0357,0.0357,20140903,0.0,0.0
116,0.03651,0.03651,0.03651,0.03651,20140904,0.0,0.0
117,0.03597,0.03597,0.03597,0.03597,20140905,0.0,0.0
118,0.03603,0.03603,0.03603,0.03603,20140906,0.0,0.0
119,0.03613,0.03613,0.03613,0.03613,20140907,0.0,0.0
120,0.03538,0.03538,0.03538,0.03538,20140908,0.0,0.0
121,0.03532,0.03532,0.03532,0.03532,20140909,0.0,0.0
122,0.03568,0.03568,0.03568,0.03568,20140910,0.0,0.0
123,0.03559,0.03559,0.03559,0.03559,20140911,0.0,0.0
124,0.03553,0.03553,0.03553,0.03553,20140912,0.0,0.0
125,0.03556,0.03556,0.03556,0.03556,20140913,0.0,0.0
126,0.03553,0.03553,0.03553,0.03553,20140914,0.0,0.0
127,0.03553,0.03553,0.03553,0.03553,20140915,0.0,0.0
128,0.03471,0.03471,0.03471,0.03471,20140916,0.0,0.0
129,0.03429,0.03429,0.03429,0.03429,20140917,0.0,0.0
130,0.03155,0.03155,0.03155,0.03155,20140918,0.0,0.0
131,0.02957,0.02957,0.02957,0.02957,20140919,0.0,0.0
132,0.03061,0.03061,0.03061,0.03061,20140920,0.0,0.0
133,0.02987,0.02987,0.02987,0.02987,20140921,0.0,0.0
134,0.03005,0.03005,0.03005,0.03005,20140922,0.0,0.0
135,0.03249,0.03249,0.03249,0.03249,20140923,0.0,0.0
136,0.03152,0.03152,0.03152,0.03152,20140924,0.0,0.0
137,0.03066,0.03066,0.03066,0.03066,20140925,0.0,0.0
