,close,high,low,open,time,volumefrom,volumeto
0,1.66,1.98,1.26,1.79,20170526,968534.41,1607767.12
1,1.53,1.58,1.03,1.51,20170527,1074932.76,1644647.12
2,1.46,1.85,1.42,1.63,20170528,665852.74,972145.0
3,1.58,1.62,1.46,1.52,20170529,479637.31,757826.95
4,1.46,1.64,1.42,1.52,20170530,523539.26,764367.32
5,1.54,1.55,1.46,1.53,20170531,305238.74,470067.66
6,1.71,1.77,1.53,1.61,20170601,492172.85,841615.57
7,1.82,1.82,1.7,1.76,20170602,399143.75,726441.63
8,1.83,1.86,1.75,1.86,20170603,214331.66,392226.94
9,1.87,1.89,1.8,1.81,20170604,193914.82,362620.71
10,1.94,2.04,1.84,2.0,20170605,322918.62,626462.12
11,1.87,2.06,1.83,2.06,20170606,245751.93,459556.11
12,1.7,1.88,1.59,1.76,20170607,337993.35,574588.69
13,1.75,1.9,1.57,1.76,20170608,389487.0,681602.25
14,1.74,1.81,1.67,1.76,20170609,504898.53,878523.44
15,1.9,1.93,1.75,1.8,20170610,350540.86,666027.63
16,1.95,1.95,1.95,1.95,20170611,0.0,0.0
17,2.0,2.17,1.81,1.82,20170612,652708.66,1305417.32
18,2.18,2.27,2.0,2.04,20170613,333259.45,726505.6
19,2.28,2.44,1.92,1.98,20170614,1124913.52,2564802.83
20,2.35,2.44,2.15,2.25,20170615,798372.69,1876175.82
21,2.29,2.48,2.25,2.42,20170616,405414.73,928399.73
22,2.39,2.47,2.32,2.42,20170617,226412.67,541126.28
23,2.36,2.39,2.26,2.29,20170618,195328.91,460976.23
24,3.24,3.53,2.41,2.43,20170619,884145.93,2864632.81
25,3.21,3.7,3.15,3.42,20170620,552444.17,1773345.79
26,3.27,3.45,2.68,3.12,20170621,356761.68,1166610.69
27,3.29,3.43,3.04,3.32,20170622,355671.24,1170158.38
28,2.78,3.27,2.74,3.27,20170623,448550.93,1246971.59
29,2.77,2.82,2.6,2.66,20170624,248545.7,688471.59
30,2.71,2.71,2.71,2.71,20170625,0.0,0.0
31,2.45,2.76,2.22,2.67,20170626,493085.37,1208059.16
32,2.62,2.77,2.56,2.58,20170627,162171.63,424889.67
33,2.61,2.61,2.61,2.61,20170628,0.0,0.0
34,2.59,2.59,2.59,2.59,20170629,0.0,0.0
35,2.52,2.52,2.52,2.52,20170630,0.0,0.0
36,2.46,2.46,2.46,2.46,20170701,0.0,0.0
37,2.57,2.57,2.57,2.57,20170702,0.0,0.0
38,2.61,2.61,2.61,2.61,20170703,0.0,0.0
39,2.65,2.65,2.65,2.65,20170704,0.0,0.0
40,2.66,2.66,2.66,2.66,20170705,0.0,0.0
41,2.65,2.65,2.65,2.65,20170706,0.0,0.0
42,2.55,2.55,2.55,2.55,20170707,0.0,0.0
43,2.6,2.6,2.6,2.6,20170708,0.0,0.0
44,2.55,2.55,2.55,2.55,20170709,0.0,0.0
45,2.38,2.38,2.38,2.38,20170710,0.0,0.0
46,2.36,2.36,2.36,2.36,20170711,0.0,0.0
47,2.44,2.44,2.44,2.44,20170712,0.0,0.0
48,2.4,2.4,2.4,2.4,20170713,0.0,0.0
49,2.27,2.27,2.27,2.27,20170714,0.0,0.0
50,2.0,2.0,2.0,2.0,20170715,0.0,0.0
51,1.94,1.94,1.94,1.94,20170716,0.0,0.0
52,2.26,2.26,2.26,2.26,20170717,0.0,0.0
53,2.35,2.35,2.35,2.35,20170718,0.0,0.0
54,2.31,2.31,2.31,2.31,20170719,0.0,0.0
55,2.91,2.91,2.91,2.91,20170720,0.0,0.0
56,2.71,2.71,2.71,2.71,20170721,0.0,0.0
57,2.88,2.88,2.88,2.88,20170722,0.0,0.0
58,2.8,2.8,2.8,2.8,20170723,0.0,0.0
59,2.8,2.8,2.8,2.8,20170724,0.0,0.0
60,2.62,2.62,2.62,2.62,20170725,0.0,0.0
61,2.6,2.6,2.6,2.6,20170726,0.0,0.0
62,2.73,2.73,2.73,2.73,20170727,0.0,0.0
63,2.85,2.85,2.85,2.85,20170728,0.0,0.0
64,2.77,2.77,2.77,2.77,20170729,0.0,0.0
65,2.81,2.81,2.81,2.81,20170730,0.0,0.0
66,2.92,2.92,2.92,2.92,20170731,0.0,0.0
67,2.79,2.79,2.79,2.79,20170801,0.0,0.0
68,2.76,2.76,2.76,2.76,20170802,0.0,0.0
69,2.85,2.85,2.85,2.85,20170803,0.0,0.0
70,2.92,2.92,2.92,2.92,20170804,0.0,0.0
71,3.31,3.31,3.31,3.31,20170805,0.0,0.0
72,3.28,3.28,3.28,3.28,20170806,0.0,0.0
73,3.45,3.45,3.45,3.45,20170807,0.0,0.0
74,3.48,3.48,3.48,3.48,20170808,0.0,0.0
75,3.4,3.4,3.4,3.4,20170809,0.0,0.0
76,3.47,3.47,3.47,3.47,20170810,0.0,0.0
77,3.71,3.71,3.71,3.71,20170811,0.0,0.0
78,3.93,3.93,3.93,3.93,20170812,0.0,0.0
79,4.12,4.12,4.12,4.12,20170813,0.0,0.0
80,4.39,4.39,4.39,4.39,20170814,0.0,0.0
81,4.22,4.22,4.22,4.22,20170815,0.0,0.0
82,4.45,4.45,4.45,4.45,20170816,0.0,0.0
83,4.34,4.34,4.34,4.34,20170817,0.0,0.0
84,4.16,4.16,4.16,4.16,20170818,0.0,0.0
85,4.21,4.21,4.21,4.21,20170819,0.0,0.0
86,4.12,4.12,4.12,4.12,20170820,0.0,0.0
87,4.06,4.06,4.06,4.06,20170821,0.0,0.0
88,4.15,4.15,4.15,4.15,20170822,0.0,0.0
89,4.2,4.2,4.2,4.2,20170823,0.0,0.0
90,4.38,4.38,4.38,4.38,20170824,0.0,0.0
91,4.43,4.43,4.43,4.43,20170825,0.0,0.0
92,4.41,4.41,4.41,4.41,20170826,0.0,0.0
93,4.41,4.41,4.41,4.41,20170827,0.0,0.0
94,4.45,4.45,4.45,4.45,20170828,0.0,0.0
95,4.66,4.66,4.66,4.66,20170829,0.0,0.0
96,4.65,4.65,4.65,4.65,20170830,0.0,0.0
97,4.8,4.8,4.8,4.8,20170831,0.0,0.0
98,4.99,4.99,4.99,4.99,20170901,0.0,0.0
99,4.64,4.64,4.64,4.64,20170902,0.0,0.0
100,4.68,4.68,4.68,4.68,20170903,0.0,0.0
101,4.33,4.33,4.33,4.33,20170904,0.0,0.0
102,4.47,4.47,4.47,4.47,20170905,0.0,0.0
103,4.68,4.68,4.68,4.68,20170906,0.0,0.0
104,4.7,4.7,4.7,4.7,20170907,0.0,0.0
105,4.39,4.39,4.39,4.39,20170908,0.0,0.0
106,4.4,4.4,4.4,4.4,20170909,0.0,0.0
107,4.31,4.31,4.31,4.31,20170910,0.0,0.0
108,4.28,4.28,4.28,4.28,20170911,0.0,0.0
109,4.22,4.22,4.22,4.22,20170912,0.0,0.0
110,3.92,3.92,3.92,3.92,20170913,0.0,0.0
111,3.29,3.29,3.29,3.29,20170914,0.0,0.0
112,3.77,3.77,3.77,3.77,20170915,0.0,0.0
113,3.75,3.75,3.75,3.75,20170916,0.0,0.0
114,3.74,3.74,3.74,3.74,20170917,0.0,0.0
115,4.16,4.16,4.16,4.16,20170918,0.0,0.0
116,3.96,3.96,3.96,3.96,20170919,0.0,0.0
117,3.94,3.94,3.94,3.94,20170920,0.0,0.0
118,3.67,3.67,3.67,3.67,20170921,0.0,0.0
119,3.65,3.65,3.65,3.65,20170922,0.0,0.0
120,3.84,3.84,3.84,3.84,20170923,0.0,0.0
121,3.72,3.72,3.72,3.72,20170924,0.0,0.0
122,3.99,3.99,3.99,3.99,20170925,0.0,0.0
123,3.95,3.95,3.95,3.95,20170926,0.0,0.0
124,4.27,4.27,4.27,4.27,20170927,0.0,0.0
125,4.25,4.25,4.25,4.25,20170928,0.0,0.0
126,4.23,4.23,4.23,4.23,20170929,0.0,0.0
127,4.42,4.42,4.42,4.42,20170930,0.0,0.0
128,4.46,4.46,4.46,4.46,20171001,0.0,0.0
129,4.46,4.46,4.46,4.46,20171002,0.0,0.0
130,4.37,4.37,4.37,4.37,20171003,0.0,0.0
131,4.28,4.28,4.28,4.28,20171004,0.0,0.0
132,4.38,4.38,4.38,4.38,20171005,0.0,0.0
133,4.43,4.43,4.43,4.43,20171006,0.0,0.0
134,4.5,4.5,4.5,4.5,20171007,0.0,0.0
135,4.68,4.68,4.68,4.68,20171008,0.0,0.0
136,4.84,4.84,4.84,4.84,20171009,0.0,0.0
137,4.83,4.83,4.83,4.83,20171010,0.0,0.0
138,4.89,4.89,4.89,4.89,20171011,0.0,0.0
139,5.51,5.51,5.51,5.51,20171012,0.0,0.0
140,5.72,5.72,5.72,5.72,20171013,0.0,0.0
141,5.91,5.91,5.91,5.91,20171014,0.0,0.0
142,5.77,5.77,5.77,5.77,20171015,49.42,285.15
143,5.84,5.84,5.84,5.84,20171016,0.0,0.0
144,5.68,5.68,5.68,5.68,20171017,0.0,0.0
145,5.65,5.65,5.65,5.65,20171018,0.0,0.0
146,5.78,5.78,5.78,5.78,20171019,0.0,0.0
147,6.08,6.08,6.08,6.08,20171020,0.0,0.0
148,6.09,6.09,6.09,6.09,20171021,0.0,0.0
149,6.07,6.07,6.07,6.07,20171022,0.0,0.0
150,5.99,5.99,5.99,5.99,20171023,0.0,0.0
151,5.59,5.59,5.59,5.59,20171024,0.0,0.0
152,5.81,5.81,5.81,5.81,20171025,0.0,0.0
153,5.97,5.97,5.97,5.97,20171026,0.0,0.0
154,5.85,5.85,5.85,5.85,20171027,0.0,0.0
155,5.81,5.81,5.81,5.81,20171028,0.0,0.0
156,6.23,6.23,6.23,6.23,20171029,0.0,0.0
157,6.21,6.21,6.21,6.21,20171030,0.0,0.0
158,6.54,6.54,6.54,6.54,20171031,0.0,0.0
159,6.83,6.83,6.83,6.83,20171101,0.0,0.0
160,7.12,7.12,7.12,7.12,20171102,0.0,0.0
161,7.25,7.25,7.25,7.25,20171103,0.0,0.0
162,7.47,7.47,7.47,7.47,20171104,0.0,0.0
163,7.49,7.49,7.49,7.49,20171105,0.0,0.0
164,7.06,7.06,7.06,7.06,20171106,0.0,0.0
165,7.2,7.2,7.2,7.2,20171107,0.0,0.0
166,7.55,7.55,7.55,7.55,20171108,0.0,0.0
167,7.23,7.23,7.23,7.23,20171109,0.0,0.0
168,6.66,6.66,6.66,6.66,20171110,0.0,0.0
169,6.43,6.43,6.43,6.43,20171111,0.0,0.0
170,5.96,5.96,5.96,5.96,20171112,0.0,0.0
171,6.61,6.61,6.61,6.61,20171113,0.0,0.0
172,6.69,6.69,6.69,6.69,20171114,0.0,0.0
173,7.39,7.39,7.39,7.39,20171115,0.0,0.0
174,7.96,7.96,7.96,7.96,20171116,0.0,0.0
175,7.81,7.81,7.81,7.81,20171117,0.0,0.0
176,7.89,7.89,7.89,7.89,20171118,0.0,0.0
177,8.16,8.16,8.16,8.16,20171119,0.0,0.0
178,8.36,8.36,8.36,8.36,20171120,0.0,0.0
179,8.21,8.21,8.21,8.21,20171121,0.0,0.0
180,8.35,8.35,8.35,8.35,20171122,0.0,0.0
181,8.13,8.13,8.13,8.13,20171123,0.0,0.0
182,8.32,8.32,8.32,8.32,20171124,0.0,0.0
183,8.88,8.88,8.88,8.88,20171125,0.0,0.0
184,9.45,9.45,9.45,9.45,20171126,0.0,0.0
185,9.87,9.87,9.87,9.87,20171127,0.0,0.0
186,10.04,10.04,10.04,10.04,20171128,0.0,0.0
187,9.98,9.98,9.98,9.98,20171129,0.0,0.0
188,10.09,10.09,10.09,10.09,20171130,0.0,0.0
189,11.01,11.01,11.01,11.01,20171201,0.0,0.0
