,close,high,low,open,time,volumefrom,volumeto
0,0.31,0.31,0.31,0.31,20170415,19.21,5.96
1,0.05,0.5,0.05,0.31,20170416,154.98,39.1
2,0.05,0.05,0.05,0.05,20170417,0.0,0.0
3,0.05,0.05,0.05,0.05,20170418,0.0,0.0
4,0.05,0.05,0.05,0.05,20170419,0.0,0.0
5,0.758,20.0,0.05,0.05,20170420,149.46,135.52
6,0.758,0.758,0.758,0.758,20170421,0.0,0.0
7,0.758,0.758,0.758,0.758,20170422,0.0,0.0
8,0.6,1.0,0.6,0.758,20170423,19.61,17.05
9,0.6,0.6,0.6,0.6,20170424,1.63,0.9763
10,1.0,1.0,0.6,0.6,20170425,0.001998,0.001998
11,3.0,3.1,1.0,1.0,20170426,4.7,14.17
12,2.5,3.0,1.3,3.0,20170427,23.83,59.51
13,2.5,2.5,2.5,2.5,20170428,0.0,0.0
14,2.5,2.5,2.5,2.5,20170429,0.0,0.0
15,2.5,2.5,2.5,2.5,20170430,0.0,0.0
16,2.5,2.5,2.5,2.5,20170501,0.0,0.0
17,2.5,2.5,2.5,2.5,20170502,0.0,0.0
18,2.5,2.5,2.5,2.5,20170503,0.0,0.0
19,2.5,2.5,2.5,2.5,20170504,0.0,0.0
20,0.55,0.6,0.55,0.6,20170505,3.69,2.22
21,0.55,0.55,0.55,0.55,20170506,2.87,1.58
22,0.55,0.55,0.55,0.55,20170507,0.0,0.0
23,0.55,0.55,0.55,0.55,20170508,0.0,0.0
24,0.55,0.55,0.55,0.55,20170509,0.0,0.0
25,0.55,0.55,0.55,0.55,20170510,0.0,0.0
26,0.55,0.55,0.55,0.55,20170511,0.0,0.0
27,0.7,1.9,0.55,0.55,20170512,18.97,34.39
28,0.7,0.7,0.7,0.7,20170513,0.09292,0.06505
29,0.7,0.7,0.7,0.7,20170514,0.0,0.0
30,0.7,0.7,0.7,0.7,20170515,0.0,0.0
31,0.7,0.7,0.7,0.7,20170516,0.0,0.0
32,0.55,0.7,0.55,0.7,20170517,0.0466,0.02563
33,0.55,0.55,0.55,0.55,20170518,0.0,0.0
34,0.55,0.55,0.55,0.55,20170519,0.0,0.0
35,0.55,0.55,0.55,0.55,20170520,0.0,0.0
36,0.55,0.55,0.55,0.55,20170521,0.0,0.0
37,0.55,0.55,0.55,0.55,20170522,0.0,0.0
38,0.55,0.55,0.55,0.55,20170523,0.0,0.0
39,0.55,0.55,0.55,0.55,20170524,0.0,0.0
40,0.55,0.55,0.55,0.55,20170525,0.0,0.0
41,0.55,0.55,0.55,0.55,20170526,0.0,0.0
42,0.55,0.55,0.55,0.55,20170527,0.0,0.0
43,1.8,1.8,0.55,0.55,20170528,105.62,190.12
44,0.588,1.8,0.588,1.8,20170529,46.71,35.37
45,0.55,0.588,0.55,0.588,20170530,13.82,7.62
