,close,high,low,open,time,volumefrom,volumeto
0,0.03,0.03,0.03,0.03,20150303,5.74,0.1721
1,0.03,0.03,0.03,0.03,20150304,0.0,0.0
2,0.03,0.03,0.03,0.03,20150305,0.0,0.0
3,0.03,0.03,0.03,0.03,20150306,0.0,0.0
4,0.03,0.03,0.03,0.03,20150307,0.0,0.0
5,0.03,0.03,0.03,0.03,20150308,0.0,0.0
6,0.03,0.03,0.03,0.03,20150309,2.25,0.06754
7,0.03,0.03,0.03,0.03,20150310,0.0,0.0
8,0.03,0.03,0.03,0.03,20150311,0.0,0.0
9,0.04,0.04,0.03,0.03,20150312,0.04287,0.001715
10,0.04,0.04,0.04,0.04,20150313,0.0,0.0
11,0.04,0.04,0.04,0.04,20150314,0.0,0.0
12,0.04,0.04,0.04,0.04,20150315,0.0,0.0
13,0.04,0.04,0.04,0.04,20150316,0.0,0.0
14,0.04,0.04,0.04,0.04,20150317,0.0,0.0
15,0.04,0.04,0.04,0.04,20150318,0.0,0.0
16,0.04,0.04,0.04,0.04,20150319,0.0,0.0
17,0.04,0.04,0.04,0.04,20150320,0.0,0.0
18,0.04,0.04,0.04,0.04,20150321,0.0,0.0
19,0.04,0.04,0.04,0.04,20150322,0.0,0.0
20,0.04,0.04,0.04,0.04,20150323,0.0,0.0
21,0.04,0.04,0.04,0.04,20150324,0.0,0.0
22,0.04,0.04,0.04,0.04,20150325,0.0,0.0
23,0.04,0.04,0.04,0.04,20150326,0.0,0.0
24,0.04,0.04,0.04,0.04,20150327,0.0,0.0
25,0.04,0.04,0.04,0.04,20150328,0.0,0.0
26,0.04,0.04,0.04,0.04,20150329,0.0,0.0
27,0.04,0.04,0.04,0.04,20150330,0.0,0.0
28,0.04,0.04,0.04,0.04,20150331,0.0,0.0
29,0.04,0.04,0.04,0.04,20150401,0.0,0.0
30,0.04,0.04,0.04,0.04,20150402,0.0,0.0
31,0.04,0.04,0.04,0.04,20150403,0.0,0.0
32,0.04,0.04,0.04,0.04,20150404,0.0,0.0
33,0.04,0.04,0.04,0.04,20150405,0.0,0.0
34,0.04,0.04,0.04,0.04,20150406,0.0,0.0
35,0.04,0.04,0.04,0.04,20150407,0.0,0.0
36,0.04,0.04,0.04,0.04,20150408,0.0,0.0
37,0.04,0.04,0.04,0.04,20150409,0.0,0.0
38,0.04,0.04,0.04,0.04,20150410,0.0,0.0
39,0.04,0.04,0.04,0.04,20150411,0.0,0.0
40,0.04,0.04,0.04,0.04,20150412,0.0,0.0
41,0.04,0.04,0.04,0.04,20150413,0.0,0.0
42,0.04,0.04,0.04,0.04,20150414,0.0,0.0
43,0.04,0.04,0.04,0.04,20150415,0.0,0.0
44,0.024,0.04,0.01,0.04,20150416,78.81,1.87
45,0.024,0.024,0.024,0.024,20150417,0.0,0.0
46,0.024,0.024,0.024,0.024,20150418,0.0,0.0
47,0.024,0.024,0.024,0.024,20150419,0.0,0.0
48,0.024,0.024,0.024,0.024,20150420,0.0,0.0
49,0.024,0.024,0.024,0.024,20150421,0.0,0.0
50,0.024,0.024,0.024,0.024,20150422,0.0,0.0
51,0.024,0.024,0.024,0.024,20150423,0.0,0.0
52,0.024,0.024,0.024,0.024,20150424,0.0,0.0
53,0.024,0.024,0.024,0.024,20150425,0.0,0.0
54,0.024,0.024,0.024,0.024,20150426,0.0,0.0
55,0.024,0.024,0.024,0.024,20150427,0.0,0.0
56,0.024,0.024,0.024,0.024,20150428,0.0,0.0
57,0.024,0.024,0.024,0.024,20150429,0.0,0.0
58,0.024,0.024,0.024,0.024,20150430,0.0,0.0
59,0.024,0.024,0.024,0.024,20150501,0.0,0.0
60,0.024,0.024,0.024,0.024,20150502,0.0,0.0
61,0.024,0.024,0.024,0.024,20150503,0.0,0.0
62,0.024,0.024,0.024,0.024,20150504,0.0,0.0
63,0.024,0.024,0.024,0.024,20150505,0.0,0.0
64,0.024,0.024,0.024,0.024,20150506,0.0,0.0
65,0.024,0.024,0.024,0.024,20150507,0.0,0.0
66,0.024,0.024,0.024,0.024,20150508,0.0,0.0
67,0.024,0.024,0.024,0.024,20150509,0.0,0.0
68,0.024,0.024,0.024,0.024,20150510,0.0,0.0
69,0.024,0.024,0.024,0.024,20150511,1.1,0.0264
70,0.024,0.024,0.024,0.024,20150512,0.0,0.0
71,0.024,0.024,0.024,0.024,20150513,0.0,0.0
72,0.024,0.024,0.024,0.024,20150514,0.0,0.0
73,0.024,0.024,0.024,0.024,20150515,0.0,0.0
74,0.024,0.024,0.024,0.024,20150516,0.0,0.0
75,0.024,0.024,0.024,0.024,20150517,0.0,0.0
76,0.024,0.024,0.024,0.024,20150518,0.0,0.0
77,0.024,0.024,0.024,0.024,20150519,0.0,0.0
78,0.024,0.024,0.024,0.024,20150520,0.0,0.0
79,0.024,0.024,0.024,0.024,20150521,0.0,0.0
80,0.024,0.024,0.024,0.024,20150522,0.0,0.0
81,0.024,0.024,0.024,0.024,20150523,0.0,0.0
82,0.024,0.024,0.024,0.024,20150524,0.0,0.0
83,0.024,0.024,0.024,0.024,20150525,0.0,0.0
84,0.026,0.026,0.024,0.024,20150526,1.12,0.0282
85,0.026,0.026,0.026,0.026,20150527,0.0,0.0
86,0.026,0.026,0.026,0.026,20150528,0.0,0.0
87,0.026,0.026,0.026,0.026,20150529,0.0,0.0
88,0.026,0.026,0.026,0.026,20150530,0.0,0.0
89,0.026,0.026,0.026,0.026,20150531,0.0,0.0
