,close,high,low,open,time,volumefrom,volumeto
0,2.06,2.06,2.06,2.06,20140728,3.86,7.95
1,2.05,2.05,2.05,2.05,20140729,0.0,0.0
2,2.65,2.65,1.98,1.98,20140730,7.41,19.64
3,2.77,2.77,2.77,2.77,20140731,0.0,0.0
4,2.81,2.81,2.81,2.81,20140801,0.0,0.0
5,2.78,2.78,2.78,2.78,20140802,0.0,0.0
6,2.77,2.77,2.77,2.77,20140803,0.0,0.0
7,2.79,2.79,2.79,2.79,20140804,0.0,0.0
8,2.36,2.77,2.36,2.77,20140805,0.005331,0.01258
9,2.36,2.36,2.36,2.36,20140806,0.0,0.0
10,2.37,2.37,2.37,2.37,20140807,0.0,0.0
11,2.38,2.38,2.38,2.38,20140808,0.0,0.0
12,2.36,2.36,2.36,2.36,20140809,0.0,0.0
13,2.37,2.37,2.37,2.37,20140810,0.0,0.0
14,2.3,2.3,2.3,2.3,20140811,0.0,0.0
15,2.27,2.27,2.27,2.27,20140812,0.0,0.0
16,2.17,2.17,2.17,2.17,20140813,0.0,0.0
17,2.02,2.02,2.02,2.02,20140814,0.0,0.0
18,1.99,1.99,1.99,1.99,20140815,0.0,0.0
19,2.09,2.09,2.09,2.09,20140816,0.0,0.0
20,1.94,1.94,1.94,1.94,20140817,0.0,0.0
21,1.85,1.85,1.85,1.85,20140818,0.0,0.0
22,1.94,1.94,1.94,1.94,20140819,0.0,0.0
23,2.07,2.07,2.07,2.07,20140820,0.0,0.0
24,2.07,2.07,2.07,2.07,20140821,0.0,0.0
25,2.06,2.06,2.06,2.06,20140822,0.0,0.0
26,1.99,1.99,1.99,1.99,20140823,0.0,0.0
27,2.04,2.04,2.04,2.04,20140824,0.0,0.0
28,2.01,2.01,2.01,2.01,20140825,0.0,0.0
29,2.05,2.05,2.05,2.05,20140826,0.0,0.0
30,2.06,2.06,2.06,2.06,20140827,0.0,0.0
31,2.04,2.04,2.04,2.04,20140828,0.0,0.0
32,2.05,2.05,2.05,2.05,20140829,0.0,0.0
33,2.02,2.02,2.02,2.02,20140830,0.0,0.0
34,1.93,1.93,1.93,1.93,20140831,0.0,0.0
35,1.91,1.91,1.91,1.91,20140901,0.0,0.0
36,1.92,1.92,1.92,1.92,20140902,0.0,0.0
37,1.92,1.92,1.92,1.92,20140903,0.0,0.0
38,1.96,1.96,1.96,1.96,20140904,0.0,0.0
39,1.93,1.93,1.93,1.93,20140905,0.0,0.0
40,1.94,1.94,1.94,1.94,20140906,0.0,0.0
41,1.94,1.94,1.94,1.94,20140907,0.0,0.0
42,1.9,1.9,1.9,1.9,20140908,0.0,0.0
43,1.9,1.9,1.9,1.9,20140909,0.0,0.0
44,1.92,1.92,1.92,1.92,20140910,0.0,0.0
45,1.91,1.91,1.91,1.91,20140911,0.0,0.0
46,1.91,1.91,1.91,1.91,20140912,0.0,0.0
47,1.91,1.91,1.91,1.91,20140913,0.0,0.0
48,1.91,1.91,1.91,1.91,20140914,0.0,0.0
49,1.91,1.91,1.91,1.91,20140915,0.0,0.0
50,1.87,1.87,1.87,1.87,20140916,0.0,0.0
51,1.84,1.84,1.84,1.84,20140917,0.01021,0.01879
52,1.7,1.7,1.7,1.7,20140918,0.0,0.0
53,1.59,1.59,1.59,1.59,20140919,0.0,0.0
54,1.65,1.65,1.65,1.65,20140920,0.0,0.0
55,1.61,1.61,1.61,1.61,20140921,0.0,0.0
56,1.62,1.62,1.62,1.62,20140922,0.0,0.0
57,1.75,1.75,1.75,1.75,20140923,0.0,0.0
58,1.7,1.7,1.7,1.7,20140924,0.0,0.0
59,1.65,1.65,1.65,1.65,20140925,0.0,0.0
60,1.62,1.62,1.62,1.62,20140926,0.0,0.0
61,1.6,1.6,1.6,1.6,20140927,0.0,0.0
62,1.52,1.52,1.52,1.52,20140928,0.0,0.0
63,1.51,1.51,1.51,1.51,20140929,0.0,0.0
64,1.55,1.55,1.55,1.55,20140930,0.0,0.0
65,1.93,1.93,1.53,1.53,20141001,11.0,21.23
66,1.89,1.89,1.89,1.89,20141002,0.0,0.0
67,1.84,1.84,1.84,1.84,20141003,0.0,0.0
68,1.69,1.69,1.69,1.69,20141004,0.0,0.0
69,1.63,1.63,1.63,1.63,20141005,0.0,0.0
70,1.67,1.67,1.67,1.67,20141006,0.0,0.0
71,1.67,1.67,1.67,1.67,20141007,0.0,0.0
72,1.77,1.77,1.77,1.77,20141008,0.0,0.0
73,1.82,1.82,1.82,1.82,20141009,0.0,0.0
74,1.99,1.99,1.83,1.83,20141010,3.3,6.57
75,2.89,2.89,1.99,1.99,20141011,1.91,5.52
76,2.99,2.99,2.99,2.99,20141012,0.0,0.0
77,3.1,3.1,3.1,3.1,20141013,0.0,0.0
78,3.18,3.18,3.18,3.18,20141014,0.0,0.0
79,3.15,3.15,3.15,3.15,20141015,0.0,0.0
80,3.04,3.04,3.04,3.04,20141016,0.0,0.0
81,3.04,3.04,3.04,3.04,20141017,0.0,0.0
82,3.13,3.13,3.13,3.13,20141018,0.0,0.0
83,3.1,3.1,3.1,3.1,20141019,0.0,0.0
84,3.04,3.04,3.04,3.04,20141020,0.0,0.0
85,3.06,3.06,3.06,3.06,20141021,0.0,0.0
86,3.03,3.03,3.03,3.03,20141022,0.0,0.0
87,2.85,2.85,2.85,2.85,20141023,0.0,0.0
88,2.84,2.84,2.84,2.84,20141024,0.0,0.0
89,2.77,2.77,2.77,2.77,20141025,0.0,0.0
90,2.79,2.79,2.79,2.79,20141026,0.0,0.0
91,2.8,2.8,2.8,2.8,20141027,0.0,0.0
92,2.81,2.81,2.81,2.81,20141028,0.0,0.0
93,2.68,2.68,2.68,2.68,20141029,0.0,0.0
94,2.76,2.76,2.76,2.76,20141030,0.0,0.0
95,2.7,2.7,2.7,2.7,20141031,0.0,0.0
96,2.6,2.6,2.6,2.6,20141101,0.0,0.0
97,2.58,2.58,2.58,2.58,20141102,0.0,0.0
98,2.59,2.59,2.59,2.59,20141103,0.0,0.0
99,2.62,2.62,2.62,2.62,20141104,0.0,0.0
100,2.7,2.7,2.7,2.7,20141105,0.0,0.0
101,2.78,2.78,2.78,2.78,20141106,0.0,0.0
102,2.73,2.73,2.73,2.73,20141107,0.0,0.0
103,2.75,2.75,2.75,2.75,20141108,0.0,0.0
104,2.9,2.9,2.9,2.9,20141109,0.0,0.0
105,2.94,2.94,2.94,2.94,20141110,0.0,0.0
106,2.92,2.92,2.92,2.92,20141111,0.0,0.0
107,3.46,3.46,3.46,3.46,20141112,0.0,0.0
108,3.43,3.43,3.43,3.43,20141113,0.0,0.0
109,3.17,3.17,3.17,3.17,20141114,0.0,0.0
110,3.0,3.0,3.0,3.0,20141115,0.0,0.0
111,3.08,3.08,3.08,3.08,20141116,0.0,0.0
112,3.08,3.08,3.08,3.08,20141117,0.0,0.0
113,3.03,3.03,3.03,3.03,20141118,0.0,0.0
114,3.05,3.05,3.05,3.05,20141119,0.0,0.0
115,2.86,2.86,2.86,2.86,20141120,0.0,0.0
116,2.81,2.81,2.81,2.81,20141121,0.0,0.0
117,2.82,2.82,2.82,2.82,20141122,0.0,0.0
118,2.93,2.93,2.93,2.93,20141123,0.0,0.0
119,0.8335,3.03,0.8335,3.03,20141124,4.42,3.68
120,0.8281,0.8281,0.8281,0.8281,20141125,0.0,0.0
121,0.8038,0.8038,0.8038,0.8038,20141126,0.0,0.0
122,0.8114,0.8114,0.8114,0.8114,20141127,0.0,0.0
