,close,high,low,open,time,volumefrom,volumeto
0,0.397,0.4016,0.386,0.4016,20141202,0.0,0.0
1,0.3917,0.406,0.3849,0.3932,20141203,0.0,0.0
2,0.3835,0.4808,0.3787,0.3843,20141204,0.0,0.0
3,0.3916,0.5098,0.3916,0.3916,20141205,0.0,0.0
4,0.4173,0.4692,0.3902,0.3902,20141206,0.0,0.0
5,0.4627,0.4627,0.3991,0.4175,20141207,0.0,0.0
6,0.3388,0.4485,0.3141,0.4485,20141208,0.0,0.0
7,0.3571,0.3585,0.3046,0.3269,20141209,0.0,0.0
8,0.301,0.3528,0.301,0.3528,20141210,0.0,0.0
9,0.3008,0.331,0.3008,0.3008,20141211,0.0,0.0
10,0.3059,0.3287,0.3057,0.3057,20141212,0.0,0.0
11,0.2786,0.3035,0.2786,0.3014,20141213,0.0,0.0
12,0.262,0.3039,0.262,0.2795,20141214,0.0,0.0
13,0.2576,0.2901,0.2561,0.2591,20141215,0.0,0.0
14,0.1983,0.2757,0.1803,0.2463,20141216,0.0,0.0
15,0.2614,0.2813,0.1922,0.1922,20141217,0.0,0.0
16,0.2762,0.2954,0.217,0.2535,20141218,0.0,0.0
17,0.3496,0.4004,0.2828,0.2828,20141219,0.0,0.0
18,0.3964,0.4129,0.2941,0.3634,20141220,0.0,0.0
19,0.2904,0.3872,0.2871,0.3872,20141221,0.0,0.0
20,0.2875,0.397,0.2164,0.2978,20141222,0.0,0.0
21,0.3406,0.3406,0.2382,0.2914,20141223,0.0,0.0
22,0.3145,0.3276,0.3091,0.3276,20141224,0.0,0.0
23,0.3105,0.3241,0.3104,0.3112,20141225,0.0,0.0
24,0.3349,0.3353,0.321,0.3212,20141226,0.0,0.0
25,0.3469,0.4115,0.3075,0.3201,20141227,0.0,0.0
26,0.364,0.3798,0.3238,0.3482,20141228,0.0,0.0
27,0.3452,0.3923,0.3339,0.3612,20141229,0.0,0.0
28,0.3318,0.3558,0.3309,0.3421,20141230,0.0,0.0
29,0.3545,0.4774,0.3383,0.3392,20141231,0.0,0.0
30,0.5772,0.5983,0.3347,0.3508,20150101,0.0,0.0
31,0.4892,0.6021,0.4429,0.5778,20150102,0.0,0.0
32,0.3942,0.5025,0.323,0.4456,20150103,0.0,0.0
33,0.3574,0.4238,0.2917,0.3635,20150104,0.0,0.0
34,0.3999,0.481,0.3655,0.371,20150105,0.0,0.0
35,0.3983,0.494,0.3904,0.4107,20150106,0.0,0.0
36,0.3406,0.5332,0.3208,0.4111,20150107,0.0,0.0
37,0.3144,0.4238,0.3141,0.3305,20150108,0.0,0.0
38,0.3061,0.3885,0.3061,0.3202,20150109,0.0,0.0
39,0.2919,0.3195,0.2906,0.2906,20150110,0.0,0.0
40,0.2815,0.3442,0.2682,0.2828,20150111,0.0,0.0
41,0.2693,0.3232,0.2693,0.2863,20150112,0.0,0.0
42,0.237,0.2545,0.1992,0.2213,20150113,0.0,0.0
43,0.1964,0.1964,0.1492,0.1766,20150114,0.0,0.0
44,0.2517,0.2622,0.2412,0.2498,20150115,0.0,0.0
45,0.238,0.2586,0.209,0.2483,20150116,0.0,0.0
46,0.2356,0.2486,0.202,0.2296,20150117,0.0,0.0
47,0.2317,0.2544,0.2106,0.2485,20150118,0.0,0.0
48,0.2159,0.2375,0.2159,0.2375,20150119,0.0,0.0
49,0.2196,0.2329,0.2106,0.2106,20150120,0.0,0.0
50,0.2268,0.238,0.207,0.238,20150121,0.0,0.0
51,0.2198,0.2401,0.2118,0.2313,20150122,0.0,0.0
52,0.2191,0.2535,0.2191,0.2193,20150123,0.0,0.0
53,0.2332,0.2725,0.2233,0.2341,20150124,0.0,0.0
54,0.2297,0.2386,0.2269,0.2369,20150125,0.0,0.0
55,0.2476,0.2502,0.245,0.2453,20150126,0.0,0.0
56,0.2334,0.2528,0.2137,0.2422,20150127,0.0,0.0
57,0.2018,0.2196,0.2008,0.2094,20150128,0.0,0.0
58,0.2078,0.2176,0.1997,0.1999,20150129,0.0,0.0
59,0.1824,0.1824,0.1804,0.1804,20150130,23.35,4.26
60,0.1681,0.1922,0.1681,0.1719,20150131,110.39,18.56
61,0.2196,0.2196,0.1734,0.1734,20150201,6.47,1.42
62,0.2038,0.2329,0.2038,0.2329,20150202,0.133,0.02711
63,0.1991,0.2027,0.1991,0.1941,20150203,1186.59,236.25
64,0.2266,0.2511,0.1983,0.1984,20150204,12745.9,2888.22
65,0.2315,0.2668,0.2165,0.2165,20150205,8269.62,1914.42
66,0.2141,0.2392,0.2006,0.2383,20150206,9306.79,1992.58
67,0.2056,0.2275,0.2014,0.2186,20150207,254.47,52.32
68,0.2058,0.2281,0.1988,0.202,20150208,8903.0,1832.24
69,0.2106,0.2247,0.2027,0.2027,20150209,3381.4,712.12
70,0.2049,0.2203,0.2043,0.21,20150210,1673.79,342.96
71,0.2123,0.2193,0.2041,0.2041,20150211,5652.2,1199.96
72,0.2429,0.2595,0.2151,0.2152,20150212,7201.84,1749.33
73,0.2794,0.3264,0.2506,0.2586,20150213,6664.95,1862.19
74,0.2925,0.3194,0.2845,0.306,20150214,2548.3,745.38
75,0.2426,0.2662,0.2426,0.2638,20150215,846.41,205.34
76,0.2358,0.2677,0.2358,0.2453,20150216,4275.92,1008.26
77,0.2447,0.2556,0.2432,0.2432,20150217,546.44,133.71
78,0.2334,0.255,0.2171,0.2366,20150218,9786.85,2284.25
79,0.2223,0.2419,0.2222,0.2401,20150219,2800.42,622.53
80,0.2185,0.2416,0.2177,0.2246,20150220,3761.9,821.98
81,0.2192,0.2317,0.2147,0.2184,20150221,1355.97,297.23
82,0.2121,0.2199,0.211,0.2114,20150222,520.63,110.43
83,0.2125,0.2269,0.2125,0.2149,20150223,2239.93,475.99
84,0.2176,0.2366,0.2126,0.2126,20150224,559.18,121.68
85,0.2089,0.2373,0.2065,0.2161,20150225,4624.36,966.03
86,0.2176,0.2247,0.1893,0.2081,20150226,28112.61,6117.3
87,0.2116,0.2332,0.2115,0.2332,20150227,6400.83,1354.42
88,0.2151,0.2364,0.212,0.2121,20150228,3833.69,824.63
89,0.2126,0.2493,0.2117,0.2184,20150301,2649.5,563.28
90,0.2608,0.2608,0.2081,0.2256,20150302,8028.19,2093.75
91,0.2416,0.2671,0.24,0.2673,20150303,528.41,127.66
92,0.2237,0.257,0.2233,0.234,20150304,2529.16,565.77
93,0.2337,0.2519,0.2202,0.2264,20150305,1289.61,301.38
94,0.2387,0.255,0.2246,0.2314,20150306,1482.32,353.83
95,0.233,0.2474,0.2304,0.2407,20150307,918.23,213.95
96,0.2245,0.2332,0.2242,0.2327,20150308,525.48,117.97
97,0.2403,0.2449,0.2303,0.2372,20150309,530.59,127.5
98,0.2333,0.2629,0.2218,0.2414,20150310,3159.32,737.07
99,0.2605,0.2664,0.2235,0.2367,20150311,3636.95,947.43
100,0.2519,0.2689,0.2264,0.2589,20150312,4889.38,1231.63
101,0.2309,0.2564,0.2186,0.2462,20150313,6497.76,1500.33
102,0.2401,0.245,0.2196,0.2264,20150314,1389.19,333.54
