,close,high,low,open,time,volumefrom,volumeto
0,0.0363,0.04196,0.0164,0.0164,20141119,17763.99,644.83
1,0.0355,0.0355,0.0319,0.03401,20141120,15778.68,560.14
2,0.03535,0.03535,0.03443,0.03496,20141121,67556.52,2388.12
3,0.0284,0.03538,0.02706,0.03538,20141122,131610.27,3737.73
4,0.03114,0.03134,0.02938,0.02951,20141123,257350.67,8013.9
5,0.03246,0.0331,0.03193,0.03225,20141124,41881.81,1359.48
6,0.03099,0.03225,0.03087,0.03225,20141125,188779.73,5850.28
7,0.03044,0.03067,0.02997,0.03008,20141126,183765.04,5593.81
8,0.03073,0.03083,0.02994,0.03073,20141127,37055.95,1138.73
9,0.03696,0.03893,0.03056,0.03146,20141128,29479.6,1089.57
10,0.03476,0.03683,0.03462,0.03683,20141129,49153.88,1708.59
11,0.04124,0.04124,0.03392,0.03463,20141130,63163.9,2604.88
12,0.04165,0.04165,0.03945,0.04165,20141201,2162.68,90.08
13,0.04206,0.04206,0.0375,0.04187,20141202,15270.89,642.29
14,0.04131,0.04165,0.04015,0.04165,20141203,2865.83,118.39
15,0.0315,0.04053,0.03114,0.04053,20141204,14491.89,456.49
16,0.03672,0.03716,0.03323,0.03566,20141205,0.0,0.0
17,0.03231,0.03231,0.03142,0.03204,20141206,4303.66,139.05
18,0.03136,0.03381,0.03136,0.03232,20141207,3459.23,108.48
19,0.03063,0.03063,0.02839,0.0304,20141208,9384.59,287.45
20,0.0282,0.03204,0.02784,0.03204,20141209,0.0,0.0
21,0.02923,0.02923,0.0292,0.0292,20141210,119.11,3.48
22,0.02724,0.02921,0.02724,0.02921,20141211,4115.42,112.1
23,0.03051,0.03051,0.02738,0.02769,20141212,10737.78,327.61
24,0.02846,0.03143,0.02846,0.03006,20141213,4978.88,141.7
25,0.02906,0.0303,0.02837,0.02847,20141214,0.0,0.0
26,0.02628,0.02822,0.02628,0.02822,20141215,3921.43,103.06
27,0.02113,0.02513,0.0211,0.02513,20141216,3730.39,78.82
28,0.02204,0.02204,0.02037,0.02048,20141217,6212.75,136.93
29,0.02522,0.02522,0.02138,0.02138,20141218,12714.26,320.65
30,0.01956,0.02582,0.01956,0.02582,20141219,7415.23,145.04
31,0.02155,0.0224,0.02008,0.02034,20141220,2707.82,58.35
32,0.01965,0.02221,0.01965,0.02105,20141221,93.46,1.84
33,0.02265,0.02382,0.02094,0.02249,20141222,0.0,0.0
34,0.02298,0.02298,0.02042,0.02042,20141223,501.5,11.52
35,0.02166,0.02224,0.02124,0.02135,20141224,0.0,0.0
36,0.02115,0.022,0.01978,0.02143,20141225,0.0,0.0
37,0.02079,0.02205,0.02049,0.02187,20141226,0.0,0.0
38,0.0197,0.01994,0.01955,0.01987,20141227,0.0,0.0
39,0.01804,0.0217,0.01803,0.0217,20141228,4150.59,74.88
40,0.01725,0.01794,0.01725,0.0179,20141229,3346.27,57.72
41,0.01556,0.01712,0.01554,0.01709,20141230,8745.58,136.08
42,0.01568,0.01595,0.01568,0.01591,20141231,3021.71,47.38
43,0.01617,0.01617,0.01543,0.01552,20150101,3229.73,52.22
44,0.01545,0.01618,0.01545,0.01618,20150102,95.01,1.47
45,0.01246,0.01465,0.01246,0.01407,20150103,37693.77,469.66
46,0.009795,0.01151,0.009768,0.01149,20150104,15856.23,155.31
47,0.008657,0.01017,0.008657,0.01017,20150105,15319.7,132.62
48,0.007204,0.00892,0.007204,0.008892,20150106,16749.91,120.67
49,0.01489,0.01489,0.007167,0.007435,20150107,21632.02,322.1
50,0.01207,0.01446,0.01018,0.0136,20150108,0.0,0.0
51,0.01175,0.01238,0.01069,0.01229,20150109,0.0,0.0
52,0.01007,0.01163,0.009647,0.01116,20150110,0.0,0.0
53,0.009532,0.01077,0.009415,0.009754,20150111,0.0,0.0
54,0.00969,0.01077,0.009427,0.009696,20150112,0.0,0.0
55,0.007825,0.008852,0.007745,0.007962,20150113,0.0,0.0
56,0.004618,0.008429,0.004618,0.008429,20150114,5002.0,23.1
57,0.008391,0.008444,0.007416,0.007424,20150115,0.0,0.0
58,0.007859,0.008691,0.007449,0.008277,20150116,0.0,0.0
59,0.007028,0.007884,0.006998,0.007583,20150117,0.0,0.0
60,0.006944,0.007926,0.006262,0.007414,20150118,0.0,0.0
