,close,high,low,open,time,volumefrom,volumeto
0,0.04111,0.04111,0.03822,0.03829,20141202,0.0,0.0
1,0.0383,0.04071,0.03777,0.04071,20141203,0.0,0.0
2,0.03589,0.03758,0.03292,0.03758,20141204,0.0,0.0
3,0.03331,0.03697,0.03081,0.03664,20141205,0.0,0.0
4,0.03558,0.04252,0.03284,0.03319,20141206,0.0,0.0
5,0.04104,0.04939,0.0356,0.0356,20141207,0.0,0.0
6,0.03985,0.04087,0.03974,0.03978,20141208,0.0,0.0
7,0.03522,0.03945,0.03291,0.03846,20141209,0.0,0.0
8,0.03427,0.03514,0.03373,0.03479,20141210,0.0,0.0
9,0.03425,0.03446,0.03379,0.03424,20141211,0.0,0.0
10,0.0326,0.04329,0.03181,0.03481,20141212,0.0,0.0
11,0.03228,0.03319,0.03201,0.03212,20141213,0.0,0.0
12,0.03286,0.03319,0.03179,0.03238,20141214,0.0,0.0
13,0.03281,0.03293,0.03188,0.03248,20141215,0.0,0.0
14,0.03246,0.03268,0.03048,0.03137,20141216,0.0,0.0
15,0.03045,0.03296,0.03042,0.03146,20141217,0.0,0.0
16,0.02961,0.03061,0.02885,0.02953,20141218,0.0,0.0
17,0.03034,0.03273,0.02948,0.03032,20141219,0.0,0.0
18,0.03201,0.0335,0.03116,0.03155,20141220,0.0,0.0
19,0.03067,0.03207,0.02938,0.03126,20141221,0.0,0.0
20,0.03011,0.03204,0.03011,0.03145,20141222,0.0,0.0
21,0.03187,0.03352,0.03051,0.03051,20141223,0.0,0.0
22,0.03084,0.03627,0.03034,0.03064,20141224,0.0,0.0
23,0.03349,0.03506,0.03051,0.03051,20141225,0.0,0.0
24,0.03382,0.04062,0.03241,0.03465,20141226,0.0,0.0
25,0.03838,0.04226,0.03232,0.03232,20141227,0.0,0.0
26,0.05368,0.05368,0.03798,0.03852,20141228,0.0,0.0
27,0.04489,0.05456,0.03769,0.05327,20141229,0.0,0.0
28,0.04492,0.05307,0.04327,0.04448,20141230,0.0,0.0
29,0.03822,0.05092,0.03819,0.04592,20141231,0.0,0.0
30,0.03807,0.0409,0.03779,0.03782,20150101,0.0,0.0
31,0.03783,0.04448,0.03688,0.03811,20150102,0.0,0.0
32,0.03382,0.03721,0.03158,0.03446,20150103,0.0,0.0
33,0.03243,0.0373,0.02833,0.03118,20150104,0.0,0.0
34,0.03273,0.03776,0.03092,0.03367,20150105,0.0,0.0
35,0.03952,0.03983,0.03362,0.03362,20150106,0.0,0.0
36,0.03659,0.04329,0.03659,0.04079,20150107,0.0,0.0
37,0.04014,0.04483,0.03551,0.03551,20150108,0.0,0.0
38,0.03631,0.04377,0.03628,0.04089,20150109,0.0,0.0
39,0.0328,0.03687,0.03264,0.03447,20150110,0.0,0.0
40,0.03095,0.03281,0.02648,0.03177,20150111,0.0,0.0
41,0.02742,0.03232,0.02731,0.03148,20150112,0.0,0.0
42,0.02658,0.03191,0.02029,0.02253,20150113,0.0,0.0
43,0.01941,0.02144,0.01676,0.01981,20150114,0.0,0.0
44,0.02203,0.02807,0.02203,0.02469,20150115,0.0,0.0
45,0.02173,0.02711,0.02173,0.02173,20150116,0.0,0.0
46,0.02096,0.02496,0.02096,0.02096,20150117,0.0,0.0
47,0.0218,0.02264,0.0214,0.02212,20150118,0.0,0.0
48,0.02459,0.02588,0.02193,0.02234,20150119,0.0,0.0
49,0.02758,0.02826,0.02211,0.02398,20150120,0.0,0.0
50,0.02624,0.0329,0.0251,0.02989,20150121,0.0,0.0
51,0.02727,0.03255,0.02364,0.02676,20150122,0.0,0.0
52,0.02391,0.02747,0.02345,0.02721,20150123,0.0,0.0
53,0.0275,0.03288,0.02524,0.02556,20150124,0.0,0.0
54,0.02823,0.03338,0.02564,0.02793,20150125,0.0,0.0
55,0.02872,0.0344,0.02805,0.03015,20150126,814.12,23.38
56,0.02914,0.02914,0.02791,0.02809,20150127,5121.26,149.23
57,0.02459,0.02629,0.02281,0.02614,20150128,203.0,4.99
58,0.0233,0.02396,0.01427,0.02396,20150129,478.02,11.14
59,0.02446,0.02525,0.02263,0.02308,20150130,1363.27,33.35
60,0.02125,0.02399,0.02087,0.02305,20150131,1658.27,35.24
61,0.02212,0.02323,0.02093,0.02191,20150201,3559.96,78.75
62,0.0222,0.02376,0.02205,0.02345,20150202,672.85,14.94
63,0.02105,0.02248,0.02104,0.02114,20150203,16749.05,352.57
64,0.0213,0.02265,0.02097,0.02097,20150204,20626.49,439.34
65,0.02141,0.02172,0.02036,0.02035,20150205,21561.15,461.62
66,0.02133,0.02239,0.02123,0.02205,20150206,12068.72,257.43
67,0.02195,0.02286,0.02176,0.02178,20150207,10610.58,232.9
