,close,high,low,open,time,volumefrom,volumeto
0,1.93,2.19,1.93,2.19,20171031,0.8169,1.67
1,1.94,2.13,1.72,1.93,20171101,2.87,5.86
2,1.05,1.94,1.05,1.94,20171102,0.776,0.8128
3,0.9,1.05,0.9,1.05,20171103,0.8847,0.7963
4,0.9,0.9,0.9,0.9,20171104,0.0,0.0
5,0.9,0.9,0.9,0.9,20171105,0.0,0.0
6,0.9,0.9,0.9,0.9,20171106,0.0,0.0
7,0.9,0.9,0.9,0.9,20171107,0.0,0.0
8,0.9,0.9,0.9,0.9,20171108,0.0,0.0
9,0.9,0.9,0.9,0.9,20171109,0.0,0.0
10,0.182,0.9,0.182,0.9,20171110,30.24,5.5
11,0.17,1.1,0.17,0.182,20171111,105.4,25.28
12,0.17,0.17,0.17,0.17,20171112,0.0,0.0
13,0.15,0.17,0.15,0.17,20171113,13.33,2.0
14,0.1,0.15,0.1,0.15,20171114,5.83,0.7167
15,0.1,0.1,0.1,0.1,20171115,0.0,0.0
16,0.1,0.1,0.1,0.1,20171116,0.0,0.0
17,0.1,0.1,0.1,0.1,20171117,0.0,0.0
18,0.1,0.1,0.1,0.1,20171118,0.0,0.0
19,0.1,0.1,0.1,0.1,20171119,0.0,0.0
20,0.1,0.1,0.1,0.1,20171120,0.0,0.0
21,0.1,0.1,0.1,0.1,20171121,0.0,0.0
22,0.1,0.1,0.1,0.1,20171122,0.0,0.0
23,0.3,0.3,0.1,0.1,20171123,200.0,60.0
24,0.28,0.3,0.28,0.3,20171124,71.86,20.12
25,0.28,0.28,0.28,0.28,20171125,0.0,0.0
26,0.28,0.28,0.28,0.28,20171126,0.0,0.0
27,0.28,0.28,0.28,0.28,20171127,0.0,0.0
28,0.28,0.28,0.28,0.28,20171128,0.0,0.0
29,0.28,0.28,0.28,0.28,20171129,0.7143,0.2
30,0.28,0.28,0.28,0.28,20171130,0.0,0.0
31,0.28,0.28,0.28,0.28,20171201,0.0,0.0
32,0.28,0.28,0.28,0.28,20171202,0.0,0.0
33,0.28,0.28,0.28,0.28,20171203,0.0,0.0
34,0.28,0.28,0.28,0.28,20171204,0.0,0.0
35,0.2,0.3,0.2,0.28,20171205,323.51,65.2
36,0.2,0.2,0.2,0.2,20171206,18.73,3.75
37,0.2,0.2,0.2,0.2,20171207,0.0,0.0
38,0.2,0.2,0.2,0.2,20171208,0.0,0.0
39,0.2,0.2,0.2,0.2,20171209,0.0,0.0
40,0.2,0.2,0.2,0.2,20171210,0.0,0.0
41,0.1,0.2,0.1,0.2,20171211,1.33,0.1333
42,0.1,0.1,0.1,0.1,20171212,0.0,0.0
43,0.1,0.1,0.1,0.1,20171213,0.0,0.0
44,0.1,0.1,0.1,0.1,20171214,15.41,1.54
45,0.1,0.1,0.1,0.1,20171215,0.0,0.0
46,0.1,0.1,0.1,0.1,20171216,1000.0,100.0
47,0.35,0.35,0.1,0.1,20171217,12.9,4.06
48,0.1,0.35,0.1,0.35,20171218,10.72,1.07
49,0.12,0.12,0.1,0.1,20171219,21.69,2.6
50,0.12,0.12,0.12,0.12,20171220,35.48,4.26
51,0.13,0.35,0.12,0.12,20171221,204.97,29.58
52,0.13,0.13,0.13,0.13,20171222,0.0,0.0
53,0.12,2.41,0.12,0.13,20171223,372.54,363.84
54,0.25,0.25,0.12,0.12,20171224,10.69,2.67
55,0.25,0.25,0.25,0.25,20171225,4.65,1.16
56,0.25,0.25,0.25,0.25,20171226,0.0,0.0
57,0.26,0.26,0.25,0.25,20171227,58.46,15.2
58,0.26,0.26,0.26,0.26,20171228,25.95,6.75
59,0.26,0.26,0.26,0.26,20171229,1.34,0.3482
60,0.26,0.26,0.26,0.26,20171230,0.0,0.0
61,0.26,0.26,0.26,0.26,20171231,0.0,0.0
62,0.26,0.26,0.26,0.26,20180101,0.0,0.0
63,0.26,0.26,0.26,0.26,20180102,0.0,0.0
64,0.2,0.26,0.2,0.26,20180103,30.49,6.1
65,0.348,0.348,0.2,0.2,20180104,180.12,62.67
66,0.389,0.389,0.348,0.348,20180105,0.6,0.2334
67,0.389,0.389,0.389,0.389,20180106,0.0,0.0
68,0.729,2.41,0.389,0.389,20180107,402.88,336.2
69,1.85,2.0,0.729,0.729,20180108,60.11,115.61
70,0.75,1.85,0.75,1.85,20180109,3.0,2.25
