,close,high,low,open,time,volumefrom,volumeto
0,0.2869,3.92,0.2615,0.2877,20140219,8954.79,2569.13
1,0.1119,0.1259,0.1119,0.1228,20140220,3939.71,440.85
2,0.1143,0.117,0.1116,0.1116,20140221,730.74,83.52
3,0.2681,0.2722,0.2556,0.262,20140222,5342.57,1432.34
4,0.3226,0.5791,0.3102,0.3254,20140223,37735.78,12173.56
5,0.1801,0.181,0.174,0.181,20140224,3207.52,577.67
6,0.1358,0.1412,0.1358,0.1405,20140225,3839.32,521.38
7,0.5546,0.6097,0.5546,0.5931,20140226,2951.36,1636.82
8,0.5846,0.6054,0.5577,0.5577,20140227,121.95,71.29
9,0.5797,0.5969,0.5613,0.5625,20140228,2138.37,1239.61
10,0.5847,0.6103,0.5574,0.563,20140301,6251.22,3655.09
11,0.5282,0.7885,0.5201,0.5712,20140302,25356.21,13393.15
12,0.6297,0.6622,0.6291,0.6423,20140303,6716.97,4229.68
13,0.6288,0.6625,0.6254,0.6294,20140304,1099.53,691.38
14,0.6583,0.6649,0.6254,0.6254,20140305,2189.0,1441.02
15,0.645,0.6547,0.6418,0.6483,20140306,2618.66,1689.04
16,0.6118,0.6284,0.5951,0.6136,20140307,1783.54,1091.17
17,0.6506,0.7152,0.6043,0.6043,20140308,10115.4,6581.08
18,0.6233,0.7393,0.6233,0.6697,20140309,197610.62,123170.7
19,0.6124,0.6252,0.6093,0.6093,20140310,4841.13,2964.71
20,0.6081,0.6148,0.608,0.6081,20140311,2859.06,1738.59
21,0.6194,0.6256,0.6188,0.6188,20140312,2090.57,1294.9
22,0.625,0.6313,0.625,0.625,20140313,1006.33,628.96
23,0.614,0.6263,0.614,0.614,20140314,2461.94,1511.63
24,0.6296,0.6365,0.624,0.624,20140315,4396.26,2767.89
25,0.6433,0.6811,0.5634,0.6247,20140316,260458.71,167553.09
26,0.6052,0.6282,0.6052,0.63,20140317,50040.05,30284.24
27,0.5978,0.5995,0.5977,0.5977,20140318,1118.91,668.88
28,0.5912,0.5961,0.5902,0.5938,20140319,1504.09,889.22
29,0.566,0.5711,0.5624,0.5624,20140320,720.39,407.74
30,0.5496,0.56,0.548,0.5496,20140321,331.03,181.93
31,0.5643,0.5745,0.5638,0.5643,20140322,1241.29,700.46
32,0.5429,0.6063,0.05677,0.5512,20140323,410529.02,222876.2
33,0.5676,0.5732,0.5562,0.559,20140324,41126.09,23343.17
34,0.5522,0.5629,0.5516,0.5629,20140325,579.61,320.06
35,0.554,0.5569,0.5518,0.5518,20140326,4440.7,2460.15
36,0.4591,0.4591,0.4522,0.4535,20140327,6712.49,3081.7
37,0.4783,0.4845,0.4778,0.4812,20140328,4467.85,2136.97
38,0.4771,0.4814,0.4728,0.4728,20140329,8766.95,4182.71
39,0.4259,0.4742,0.4022,0.4469,20140330,624748.79,266080.51
40,0.4162,0.4379,0.3957,0.4238,20140331,10251.49,4266.67
41,0.4171,0.4491,0.4171,0.4338,20140401,1211.56,505.34
42,0.3911,0.4115,0.3819,0.3819,20140402,1039.33,406.48
43,0.4232,0.4297,0.4021,0.4021,20140403,1763.7,746.4
44,0.4444,0.4444,0.431,0.431,20140404,4350.03,1933.15
45,0.4156,0.4566,0.4156,0.4566,20140405,1977.6,821.89
46,0.4101,0.4488,0.3494,0.4147,20140406,5261.88,2157.9
47,0.4069,0.4231,0.3238,0.4161,20140407,4661.47,1896.75
48,0.3779,0.419,0.3737,0.4106,20140408,194.78,73.61
49,0.4107,0.4107,0.3206,0.3704,20140409,2088.12,857.59
50,0.2692,0.3454,0.2308,0.3454,20140410,718.07,193.3
51,0.3477,0.3477,0.3046,0.3046,20140411,7.12,2.48
52,0.05689,0.3497,0.05689,0.3497,20140412,317.0,18.03
53,0.133,0.2775,0.05559,0.05559,20140413,6372.72,847.57
54,0.2248,0.2865,0.1488,0.1488,20140414,46.0,10.34
55,0.379,0.5212,0.2474,0.2474,20140415,5827.05,2208.45
56,0.4564,0.4564,0.2529,0.3866,20140416,1234.61,563.48
57,0.4468,0.4468,0.2711,0.4267,20140417,1677.25,749.4
58,0.437,0.4806,0.3617,0.4321,20140418,2344.55,1024.57
59,0.4655,0.4984,0.4306,0.4554,20140419,1127.52,524.86
60,0.4237,0.4835,0.4237,0.4586,20140420,1019.46,431.95
61,0.3471,0.4704,0.3466,0.4209,20140421,6.49,2.25
62,0.244,0.342,0.2342,0.342,20140422,1316.4,321.2
63,0.1998,0.2461,0.1998,0.2437,20140423,3521.15,703.53
64,0.3252,0.4002,0.2051,0.2051,20140424,472.87,153.78
65,0.261,0.3019,0.2606,0.3019,20140425,1413.82,369.01
66,0.3658,0.3658,0.2573,0.2573,20140426,100.38,36.72
67,0.3541,0.3541,0.3541,0.3541,20140427,0.0,0.0
68,0.2629,0.3531,0.2629,0.3531,20140428,184.0,48.37
