,close,high,low,open,time,volumefrom,volumeto
0,0.05042,0.05042,0.04832,0.04832,20150202,9685.68,488.35
1,0.06095,0.06311,0.04173,0.04801,20150203,12164.96,741.45
2,0.0597,0.06072,0.04758,0.06072,20150204,4385.99,261.84
3,0.08338,0.08449,0.05419,0.05705,20150205,16513.15,1376.87
4,0.08938,0.08938,0.07601,0.08586,20150206,4691.51,419.33
5,0.1667,0.1708,0.09128,0.09128,20150207,6459.71,1076.83
6,0.1377,0.181,0.1377,0.1637,20150208,11260.44,1550.56
7,0.238,0.24,0.1331,0.1357,20150209,12555.35,2988.17
8,0.174,0.2372,0.1498,0.2372,20150210,15764.97,2743.1
9,0.281,0.3598,0.1423,0.1733,20150211,35869.19,10079.24
10,0.3422,0.4258,0.2761,0.2848,20150212,10086.39,3451.56
11,0.2862,0.3654,0.2862,0.3644,20150213,3191.17,913.31
12,0.3311,0.4712,0.2884,0.3135,20150214,4020.4,1331.15
13,0.5267,0.5885,0.2799,0.2986,20150215,26655.19,14039.29
14,0.4521,0.5886,0.4009,0.5325,20150216,18617.59,8417.01
15,0.4864,0.5837,0.4621,0.4662,20150217,13487.24,6560.19
16,0.401,0.4904,0.401,0.4704,20150218,6970.33,2795.1
17,0.3104,0.4405,0.268,0.4125,20150219,9085.22,2820.05
18,0.3184,0.3572,0.2477,0.3137,20150220,3694.87,1176.45
19,0.2874,0.4346,0.2425,0.3182,20150221,21053.01,6050.64
20,0.2991,0.3531,0.2593,0.2772,20150222,11617.71,3474.86
21,0.1863,0.3035,0.1481,0.3031,20150223,9667.0,1800.96
22,0.2057,0.234,0.167,0.1864,20150224,5433.36,1117.64
23,0.2124,0.286,0.2009,0.2043,20150225,11626.27,2469.42
24,0.1609,0.2128,0.142,0.2116,20150226,8271.7,1330.92
25,0.1793,0.2114,0.1246,0.1724,20150227,26865.34,4816.96
26,0.1789,0.1799,0.1527,0.1797,20150228,6819.01,1219.92
27,0.1817,0.1817,0.151,0.1816,20150301,3796.48,689.82
28,0.186,0.1929,0.1586,0.1928,20150302,4169.43,775.51
29,0.224,0.229,0.1685,0.1907,20150303,5494.85,1230.85
30,0.2049,0.2171,0.1772,0.2171,20150304,6603.08,1352.97
31,0.2063,0.2064,0.1652,0.2074,20150305,4474.64,923.12
32,0.2017,0.2044,0.1537,0.2043,20150306,5551.84,1119.81
33,0.1601,0.204,0.1569,0.2034,20150307,1364.26,218.42
34,0.1736,0.1918,0.141,0.1599,20150308,28456.63,4940.07
35,0.2849,0.317,0.1999,0.1834,20150309,4857.61,1383.93
36,0.2753,0.2943,0.2334,0.2862,20150310,8171.18,2249.53
37,0.2365,0.2792,0.2055,0.2793,20150311,6628.85,1567.72
38,0.188,0.2321,0.1837,0.2351,20150312,8897.78,1672.78
39,0.1801,0.2244,0.1632,0.1838,20150313,6156.41,1108.77
