,close,high,low,open,time,volumefrom,volumeto
0,42.71,42.71,42.71,42.71,20150313,66.71,2849.18
1,41.87,41.87,41.87,41.87,20150314,13.54,566.92
2,42.36,42.36,42.36,42.36,20150315,14.51,614.64
3,43.18,43.18,43.18,43.18,20150316,3.63,156.74
4,42.44,42.44,42.44,42.44,20150317,0.0415,1.76
5,38.06,38.06,38.06,38.06,20150318,0.0,0.0
6,38.8,38.8,38.8,38.8,20150319,1.14,44.23
7,38.93,38.93,38.93,38.93,20150320,0.0,0.0
8,38.62,38.62,38.62,38.62,20150321,0.0,0.0
9,39.94,39.94,39.94,39.94,20150322,0.0,0.0
10,39.47,39.47,39.47,39.47,20150323,0.0,0.0
11,36.69,36.69,36.69,36.69,20150324,0.0,0.0
12,36.64,36.64,36.64,36.64,20150325,0.0,0.0
13,36.88,36.88,36.88,36.88,20150326,0.0,0.0
14,36.76,36.76,36.76,36.76,20150327,0.7379,27.13
15,37.48,37.48,37.48,37.48,20150328,0.1534,5.75
16,36.0,36.0,36.0,36.0,20150329,0.0,0.0
17,36.7,36.7,36.7,36.7,20150330,0.0,0.0
18,36.31,36.31,36.31,36.31,20150331,0.0,0.0
19,36.62,36.62,36.62,36.62,20150401,0.7197,26.36
20,37.56,37.56,37.56,37.56,20150402,0.0,0.0
21,37.84,37.84,37.84,37.84,20150403,0.0,0.0
22,37.6,37.6,37.6,37.6,20150404,0.0,0.0
23,38.61,38.61,38.61,38.61,20150405,0.0,0.0
24,37.91,37.91,37.91,37.91,20150406,0.0,0.0
25,37.62,37.62,37.62,37.62,20150407,0.0,0.0
26,36.37,36.37,36.37,36.37,20150408,3.82,138.93
27,36.18,36.18,36.18,36.18,20150409,0.0,0.0
28,34.9,34.9,34.9,34.9,20150410,0.0,0.0
29,35.16,35.16,35.16,35.16,20150411,0.0,0.0
30,35.07,35.07,35.07,35.07,20150412,0.0,0.0
31,33.25,33.25,33.25,33.25,20150413,6.72,223.44
32,32.42,32.42,32.42,32.42,20150414,8.56,277.52
33,35.68,35.68,33.16,33.16,20150415,0.1001,3.57
34,38.76,38.76,36.73,36.73,20150416,0.103,3.99
35,37.84,40.07,37.84,37.84,20150417,0.08901,3.37
36,37.97,37.97,37.97,37.97,20150418,0.00998,0.3789
37,38.16,38.36,37.91,37.91,20150419,0.1958,7.47
38,65.03,67.27,38.37,38.37,20150420,125.39,8154.11
39,56.1,67.78,56.1,67.78,20150421,3.88,217.67
40,54.94,67.8,51.55,53.75,20150422,81.31,4467.17
41,112.99,112.99,112.99,112.99,20150423,75.23,8500.24
42,55.46,110.92,55.28,110.92,20150424,56.29,3121.84
43,61.06,76.89,54.27,54.27,20150425,81.88,4999.59
44,84.02,84.86,59.05,59.05,20150426,18.88,1586.3
45,84.44,87.97,80.14,87.97,20150427,12.56,1060.57
46,85.58,86.76,79.03,83.28,20150428,11.97,1024.39
