,close,high,low,open,time,volumefrom,volumeto
0,0.1282,0.1307,0.1206,0.1253,20141203,0.0,0.0
1,0.1256,0.1257,0.1244,0.1257,20141204,0.0,0.0
2,0.1206,0.1283,0.1133,0.1283,20141205,0.0,0.0
3,0.1143,0.1201,0.1143,0.1201,20141206,0.0,0.0
4,0.113,0.1161,0.1129,0.1143,20141207,0.0,0.0
5,0.1095,0.1155,0.1095,0.1095,20141208,0.0,0.0
6,0.1073,0.1085,0.1057,0.1057,20141209,0.0,0.0
7,0.1044,0.1067,0.1044,0.1061,20141210,0.0,0.0
8,0.09248,0.1045,0.09248,0.1043,20141211,0.0,0.0
9,0.1046,0.1046,0.094,0.094,20141212,0.0,0.0
10,0.09016,0.103,0.08365,0.103,20141213,0.0,0.0
11,0.08901,0.09743,0.08391,0.09045,20141214,0.0,0.0
12,0.07232,0.08845,0.07232,0.088,20141215,0.0,0.0
13,0.07522,0.07585,0.06915,0.06915,20141216,0.0,0.0
14,0.07629,0.07754,0.06541,0.0729,20141217,0.0,0.0
15,0.07535,0.07535,0.0657,0.07399,20141218,0.0,0.0
16,0.07668,0.07716,0.06727,0.07716,20141219,0.0,0.0
17,0.07793,0.07971,0.07106,0.07971,20141220,0.0,0.0
18,0.07001,0.07611,0.0694,0.07611,20141221,0.0,0.0
19,0.06928,0.08056,0.06617,0.07179,20141222,0.0,0.0
20,0.07905,0.0814,0.06705,0.0702,20141223,0.0,0.0
21,0.0648,0.07602,0.0648,0.07602,20141224,0.0,0.0
22,0.07177,0.07177,0.06412,0.06412,20141225,0.0,0.0
23,0.07784,0.0792,0.066,0.07425,20141226,0.0,0.0
24,0.07537,0.07653,0.06666,0.07439,20141227,0.0,0.0
25,0.07268,0.07597,0.06815,0.07565,20141228,0.0,0.0
26,0.06763,0.07212,0.06625,0.07212,20141229,0.0,0.0
27,0.06845,0.07159,0.06537,0.06702,20141230,0.0,0.0
28,0.07956,0.07956,0.06849,0.06998,20141231,0.0,0.0
29,0.0717,0.08162,0.0711,0.07872,20150101,0.0,0.0
30,0.06966,0.07177,0.06336,0.07177,20150102,0.0,0.0
31,0.06311,0.06478,0.05921,0.06346,20150103,0.0,0.0
32,0.0553,0.05819,0.05294,0.05819,20150104,0.0,0.0
33,0.05555,0.05879,0.05502,0.05741,20150105,0.0,0.0
34,0.0566,0.05705,0.05651,0.05705,20150106,0.0,0.0
35,0.07313,0.07313,0.05841,0.05841,20150107,0.0,0.0
36,0.07011,0.07011,0.05795,0.05852,20150108,0.0,0.0
37,0.05903,0.07142,0.05903,0.07142,20150109,0.0,0.0
38,0.05729,0.05757,0.05467,0.05604,20150110,0.0,0.0
39,0.05295,0.0555,0.05295,0.0555,20150111,0.0,0.0
40,0.05575,0.05575,0.05387,0.05387,20150112,0.0,0.0
41,0.04488,0.04581,0.04426,0.04581,20150113,0.0,0.0
42,0.03955,0.03955,0.03298,0.03345,20150114,0.0,0.0
43,0.04196,0.05035,0.04196,0.05031,20150115,0.0,0.0
44,0.04138,0.04368,0.04138,0.04368,20150116,0.0,0.0
45,0.03999,0.04788,0.03993,0.03993,20150117,0.0,0.0
46,0.04219,0.04219,0.04219,0.04219,20150118,0.0,0.0
47,0.04322,0.04322,0.04322,0.04322,20150119,0.0,0.0
48,0.04215,0.05045,0.04215,0.04215,20150120,0.0,0.0
49,0.04976,0.04986,0.04568,0.04568,20150121,0.0,0.0
50,0.05529,0.05538,0.04701,0.05075,20150122,0.0,0.0
51,0.0469,0.05516,0.0469,0.05516,20150123,0.0,0.0
52,0.05355,0.05708,0.04963,0.05013,20150124,0.0,0.0
53,0.06,0.06,0.0544,0.0544,20150125,0.0,0.0
54,0.06191,0.06406,0.05787,0.06406,20150126,94.31,5.84
55,0.05297,0.053,0.05297,0.053,20150127,0.0,0.0
56,0.0496,0.04962,0.04752,0.04752,20150128,22.79,1.13
57,0.0351,0.03512,0.0351,0.0351,20150129,65.19,2.29
58,0.03246,0.03478,0.03246,0.03478,20150130,644.88,20.93
59,0.02841,0.03461,0.02841,0.03059,20150131,634.74,18.03
60,0.04956,0.05362,0.04506,0.04506,20150201,14.07,0.6973
61,0.03934,0.03941,0.03655,0.03105,20150202,2237.78,88.03
62,0.03125,0.03755,0.02297,0.03745,20150203,41390.12,1293.44
63,0.03109,0.03718,0.02141,0.03113,20150204,8265.67,256.98
64,0.03319,0.03332,0.02882,0.02971,20150205,4540.83,150.71
65,0.03295,0.03496,0.02725,0.03418,20150206,1200.81,39.57
66,0.03117,0.03727,0.02643,0.03365,20150207,1797.13,56.02
67,0.02639,0.03219,0.02483,0.03062,20150208,7265.32,191.73
68,0.0232,0.03523,0.0232,0.026,20150209,19648.56,455.85
69,0.0342,0.0342,0.02313,0.02313,20150210,8501.05,290.74
70,0.02648,0.03611,0.02626,0.03407,20150211,35585.44,942.3
71,0.03118,0.03546,0.02679,0.02684,20150212,7742.22,241.4
72,0.02995,0.03781,0.02839,0.03321,20150213,24178.23,724.14
73,0.04963,0.06854,0.03292,0.0328,20150214,8935.77,443.48
74,0.03863,0.05183,0.03863,0.04476,20150215,5085.85,196.47
75,0.04368,0.04368,0.03903,0.03905,20150216,10131.01,442.52
76,0.04348,0.04828,0.04346,0.04504,20150217,3989.29,173.45
77,0.03834,0.04528,0.02825,0.04205,20150218,107439.2,4119.22
78,0.03266,0.03943,0.03266,0.03943,20150219,5144.51,168.02
79,0.03939,0.03939,0.03301,0.03301,20150220,3175.18,125.07
80,0.04888,0.04888,0.03937,0.03937,20150221,24191.57,1182.48
81,0.04217,0.04708,0.04073,0.04715,20150222,532.43,22.45
82,0.04263,0.04308,0.03933,0.04272,20150223,6835.61,291.4
83,0.04644,0.0585,0.04228,0.04264,20150224,43789.0,2033.56
84,0.04616,0.05371,0.04165,0.04614,20150225,11812.04,545.24
85,0.0491,0.04943,0.04539,0.04601,20150226,4225.98,207.5
86,0.05011,0.0529,0.04816,0.05262,20150227,1769.07,88.65
87,0.04827,0.05079,0.04822,0.05023,20150228,6167.48,297.7
88,0.04805,0.04903,0.04805,0.04901,20150301,4123.83,198.15
89,0.05341,0.05341,0.04626,0.051,20150302,1301.21,69.5
90,0.05481,0.05577,0.052,0.05475,20150303,7268.82,398.4
91,0.0506,0.05438,0.05058,0.05311,20150304,2743.11,138.8
92,0.0518,0.05218,0.05034,0.05122,20150305,1264.64,65.51
93,0.05042,0.0507,0.05042,0.0513,20150306,7726.94,389.59
94,0.04781,0.05089,0.04778,0.05086,20150307,879.69,42.06
95,0.05097,0.05712,0.04779,0.04773,20150308,11303.06,576.12
96,0.058,0.058,0.05368,0.05386,20150309,1906.38,110.57
97,0.05262,0.05993,0.05105,0.05827,20150310,4280.45,225.24
98,0.05087,0.0535,0.05087,0.05339,20150311,1736.46,88.33
99,0.05613,0.0573,0.05107,0.05057,20150312,936.74,52.58
100,0.05006,0.05595,0.04986,0.05486,20150313,3813.09,190.88
101,0.04894,0.04905,0.04894,0.04908,20150314,1674.2,81.94
102,0.04672,0.05436,0.04638,0.04951,20150315,5483.26,256.18
103,0.044,0.05227,0.04388,0.04763,20150316,4834.3,212.71
104,0.04615,0.04615,0.04572,0.04324,20150317,122.8,5.67
105,0.04607,0.04607,0.03951,0.04138,20150318,981.3,45.21
106,0.04175,0.04697,0.04175,0.04697,20150319,1444.13,60.29
107,0.04136,0.04209,0.04136,0.04188,20150320,1349.22,55.8
108,0.03948,0.04438,0.03501,0.04103,20150321,30456.83,1202.44
109,0.0477,0.04786,0.03897,0.04082,20150322,2287.71,109.12
110,0.04144,0.0472,0.04144,0.04715,20150323,30.02,1.24
111,0.03577,0.03972,0.03577,0.03851,20150324,1642.55,58.75
112,0.03804,0.04255,0.03572,0.03572,20150325,6382.01,242.77
113,0.0444,0.0444,0.03829,0.03829,20150326,29138.31,1293.74
114,0.03288,0.04425,0.03238,0.04425,20150327,22452.41,738.24
115,0.03841,0.03957,0.03352,0.03352,20150328,8916.73,342.49
116,0.04009,0.04009,0.03389,0.03689,20150329,3061.13,122.72
117,0.03208,0.04089,0.03208,0.04087,20150330,6827.15,219.01
118,0.03276,0.03296,0.03052,0.03174,20150331,9575.45,313.69
119,0.03044,0.03327,0.03044,0.03305,20150401,1463.69,44.55
120,0.03193,0.03193,0.03145,0.03122,20150402,330.6,10.56
121,0.03257,0.03257,0.03232,0.03217,20150403,140.3,4.57
122,0.03242,0.03242,0.03242,0.03237,20150404,100.82,3.27
123,0.03287,0.03474,0.03287,0.03329,20150405,2688.77,88.38
124,0.03644,0.03644,0.02406,0.03228,20150406,314.09,11.45
125,0.02542,0.03248,0.0252,0.03615,20150407,44903.54,1141.45
126,0.02998,0.02998,0.02451,0.02458,20150408,2841.35,85.18
127,0.02759,0.02986,0.02759,0.02983,20150409,18.39,0.5074
128,0.02817,0.02817,0.02662,0.02662,20150410,465.47,13.11
129,0.02535,0.02999,0.02528,0.02838,20150411,2344.04,59.42
130,0.02557,0.02559,0.02557,0.02528,20150412,233.36,5.97
131,0.0284,0.02907,0.02421,0.02424,20150413,5976.27,169.73
132,0.03486,0.03486,0.0242,0.02768,20150414,19381.33,675.63
133,0.02664,0.03565,0.02459,0.03565,20150415,7195.37,191.68
134,0.02713,0.02977,0.02713,0.02724,20150416,1409.12,38.23
135,0.02914,0.0294,0.02451,0.02649,20150417,3763.22,109.66
136,0.02924,0.02924,0.02924,0.02924,20150418,0.0,0.0
137,0.0308,0.0308,0.0267,0.02919,20150419,274.2,8.45
138,0.03137,0.03142,0.02969,0.03097,20150420,1913.03,60.01
139,0.03095,0.03268,0.03095,0.0327,20150421,771.26,23.87
140,0.03098,0.03098,0.03098,0.03095,20150422,5957.31,184.56
141,0.03119,0.03119,0.03119,0.03119,20150423,0.0,0.0
142,0.02658,0.02658,0.02658,0.03062,20150424,11.0,0.2924
143,0.02603,0.03175,0.02601,0.02601,20150425,84.02,2.19
144,0.02406,0.02406,0.02406,0.02406,20150426,0.0,0.0
145,0.0359,0.03659,0.03586,0.02635,20150427,152.44,5.47
146,0.04085,0.04085,0.03161,0.03541,20150428,7548.27,308.35
147,0.04209,0.04209,0.03415,0.04078,20150429,6736.88,283.56
148,0.04732,0.05831,0.03999,0.04402,20150430,35590.13,1684.12
149,0.04662,0.0518,0.0445,0.04681,20150501,4774.84,222.6
150,0.05201,0.05731,0.0365,0.04704,20150502,22698.42,1180.54
151,0.05201,0.05304,0.04351,0.05304,20150503,3172.8,165.02
152,0.05972,0.05972,0.05076,0.05178,20150504,22116.32,1320.79
153,0.05094,0.05896,0.05094,0.05893,20150505,7420.17,377.98
154,0.05751,0.05751,0.05748,0.04969,20150506,2233.52,128.45
155,0.063,0.063,0.05943,0.05943,20150507,12612.41,794.58
156,0.06347,0.06515,0.0546,0.06459,20150508,4051.69,257.16
157,0.05422,0.06385,0.05422,0.06286,20150509,5282.13,286.4
158,0.06189,0.06357,0.0539,0.0539,20150510,6537.52,404.61
159,0.06684,0.06766,0.062,0.06236,20150511,5148.21,344.11
160,0.0652,0.07226,0.0624,0.06677,20150512,13201.76,860.75
161,0.05912,0.07091,0.05912,0.0638,20150513,19141.33,1131.64
162,0.05418,0.0611,0.05361,0.05925,20150514,12107.35,655.98
163,0.05928,0.05928,0.05242,0.05425,20150515,3026.46,179.41
164,0.05223,0.05887,0.05223,0.05903,20150516,2250.98,117.57
165,0.04813,0.05307,0.04813,0.05225,20150517,28.81,1.39
166,0.04611,0.05139,0.04611,0.04739,20150518,5258.44,242.47
167,0.05035,0.05035,0.04606,0.04599,20150519,50.0,2.52
168,0.04139,0.04988,0.03914,0.05077,20150520,3079.37,127.46
169,0.04677,0.04712,0.04653,0.04164,20150521,5471.0,255.88
170,0.03944,0.04771,0.03942,0.04776,20150522,4759.47,187.71
171,0.04444,0.04514,0.03596,0.03921,20150523,5153.34,229.01
172,0.04497,0.04497,0.04494,0.04482,20150524,1233.76,55.48
173,0.04235,0.0452,0.03875,0.0443,20150525,976.13,41.34
174,0.04226,0.04674,0.04226,0.04243,20150526,1585.68,67.01
175,0.042,0.04509,0.04198,0.04217,20150527,2311.45,97.08
176,0.05069,0.05691,0.04205,0.04201,20150528,9781.56,495.83
177,0.05568,0.05684,0.03563,0.05063,20150529,19047.35,1060.56
178,0.0435,0.05474,0.0435,0.05478,20150530,1045.85,45.49
179,0.02783,0.04293,0.02783,0.04287,20150531,32014.86,890.97
180,0.03365,0.04199,0.02704,0.02702,20150601,10003.02,336.6
181,0.03953,0.04077,0.03634,0.03404,20150602,2144.61,84.78
182,0.03438,0.04171,0.03438,0.0395,20150603,467.28,16.07
183,0.03924,0.04139,0.03419,0.03417,20150604,177.89,6.98
184,0.03605,0.03943,0.03469,0.03943,20150605,424.92,15.32
185,0.04068,0.04106,0.04063,0.03596,20150606,106.63,4.34
186,0.04119,0.04119,0.03446,0.04045,20150607,1304.22,53.72
187,0.03547,0.04213,0.03547,0.04213,20150608,100.0,3.55
188,0.04217,0.04217,0.04212,0.03563,20150609,118.0,4.98
189,0.04198,0.04203,0.04198,0.04203,20150610,8.33,0.3497
190,0.04214,0.04227,0.03586,0.04218,20150611,1906.49,80.34
191,0.03591,0.0422,0.03591,0.04224,20150612,1915.19,68.77
192,0.04243,0.04243,0.0362,0.03622,20150613,680.32,28.87
193,0.04091,0.04633,0.04091,0.04633,20150614,5.35,0.2189
194,0.03813,0.04446,0.03813,0.04325,20150615,365.26,13.93
195,0.03925,0.0415,0.03485,0.0402,20150616,3928.36,154.19
196,0.0373,0.03956,0.03414,0.03886,20150617,3580.07,133.54
197,0.03831,0.0438,0.03513,0.03746,20150618,3969.91,152.09
198,0.03979,0.04201,0.03581,0.03764,20150619,1937.69,77.1
199,0.04415,0.04527,0.03819,0.03993,20150620,5510.94,243.31
200,0.04577,0.04587,0.04264,0.04399,20150621,2636.15,120.66
201,0.04234,0.04234,0.03902,0.0464,20150622,86.45,3.66
202,0.03656,0.04595,0.02445,0.04171,20150623,43537.54,1591.73
203,0.03625,0.03719,0.03539,0.03608,20150624,265.03,9.61
204,0.03638,0.03638,0.03168,0.03655,20150625,5299.62,192.8
205,0.03163,0.03277,0.03163,0.03644,20150626,1421.38,44.96
206,0.03495,0.03661,0.03495,0.03265,20150627,65.75,2.3
207,0.03609,0.03738,0.03469,0.03469,20150628,22.38,0.8077
208,0.03855,0.03855,0.03585,0.03726,20150629,67.69,2.61
209,0.03212,0.03962,0.03212,0.03962,20150630,10157.07,326.25
210,0.03303,0.03864,0.02592,0.03133,20150701,16151.67,533.49
211,0.03426,0.03617,0.03234,0.03268,20150702,2016.74,69.09
212,0.03622,0.0391,0.03473,0.03433,20150703,1976.6,71.59
213,0.03682,0.03697,0.03663,0.03695,20150704,116.81,4.3
214,0.03793,0.03936,0.03531,0.03817,20150705,1965.2,74.54
215,0.03511,0.03689,0.0335,0.03778,20150706,101.41,3.56
216,0.03229,0.03461,0.03229,0.03474,20150707,1522.82,49.17
217,0.03334,0.03337,0.03323,0.03259,20150708,49.23,1.64
218,0.03811,0.03991,0.03321,0.0334,20150709,1484.57,56.58
219,0.03247,0.04169,0.02865,0.04016,20150710,19175.38,622.62
220,0.02734,0.03346,0.02397,0.03343,20150711,25529.12,697.97
221,0.02889,0.03244,0.02487,0.02907,20150712,16149.09,466.55
222,0.03023,0.03046,0.02325,0.02702,20150713,32023.47,968.07
223,0.02647,0.02993,0.02645,0.02987,20150714,133.3,3.53
224,0.0273,0.02933,0.02616,0.02615,20150715,1671.03,45.62
225,0.02295,0.02719,0.02204,0.02665,20150716,28542.26,655.04
226,0.02241,0.02654,0.02227,0.0232,20150717,11064.05,247.95
227,0.02185,0.02571,0.02185,0.02197,20150718,4576.94,100.01
228,0.02847,0.03344,0.02182,0.02178,20150719,13383.57,381.03
229,0.02916,0.02918,0.02913,0.02893,20150720,4976.86,145.13
230,0.02661,0.02938,0.02661,0.02888,20150721,187.62,4.99
231,0.02354,0.02648,0.02331,0.02674,20150722,1963.18,46.21
232,0.02646,0.02646,0.02646,0.02646,20150723,0.0,0.0
233,0.03091,0.03091,0.02367,0.02456,20150724,15977.9,493.88
234,0.03075,0.03101,0.02899,0.03095,20150725,658.0,20.23
235,0.02812,0.03099,0.02342,0.03107,20150726,15710.01,441.77
236,0.0252,0.0277,0.02345,0.02824,20150727,8340.43,210.18
237,0.02774,0.0279,0.02357,0.02526,20150728,1506.82,41.8
238,0.02445,0.02716,0.02445,0.02724,20150729,13.1,0.3203
239,0.02609,0.02627,0.02441,0.02433,20150730,1638.23,42.74
240,0.02288,0.02635,0.02232,0.02579,20150731,3170.18,72.53
241,0.02342,0.02344,0.02284,0.02262,20150801,309.11,7.24
242,0.02345,0.02369,0.02343,0.0235,20150802,117.26,2.75
243,0.02411,0.02415,0.02308,0.02347,20150803,865.24,20.86
244,0.02365,0.02415,0.02357,0.02435,20150804,507.46,12.0
245,0.02419,0.02419,0.02326,0.02343,20150805,653.62,15.81
246,0.02173,0.02419,0.02173,0.02387,20150806,2263.69,49.19
247,0.0222,0.02224,0.01918,0.02172,20150807,52313.89,1161.37
248,0.0181,0.02059,0.0181,0.02066,20150808,4841.29,87.63
249,0.01849,0.01902,0.01807,0.01847,20150809,633.76,11.72
250,0.01786,0.01857,0.01376,0.01845,20150810,7324.89,130.82
251,0.01614,0.01799,0.01614,0.01825,20150811,1536.74,24.8
252,0.01384,0.01703,0.01117,0.01606,20150812,8069.44,111.68
253,0.01318,0.01606,0.01082,0.01362,20150813,11483.67,151.35
254,0.01513,0.01685,0.01298,0.01326,20150814,4817.01,72.88
255,0.01523,0.01592,0.01165,0.01488,20150815,11400.6,173.63
256,0.01405,0.01596,0.01356,0.01503,20150816,1939.1,27.24
257,0.01381,0.01419,0.01374,0.01405,20150817,8464.82,116.9
258,0.01382,0.01494,0.01298,0.01325,20150818,765.21,10.58
259,0.01292,0.01295,0.01252,0.01266,20150819,257.94,3.33
260,0.01291,0.01408,0.01291,0.01341,20150820,7355.26,94.96
261,0.01481,0.01497,0.01203,0.01278,20150821,43905.71,650.24
262,0.01119,0.01389,0.01119,0.01463,20150822,5501.52,61.56
263,0.01154,0.01154,0.01044,0.01105,20150823,5054.2,58.33
264,0.01083,0.01083,0.01076,0.01076,20150824,249.86,2.71
265,0.0108,0.01279,0.0108,0.0113,20150825,892.73,9.64
266,0.01117,0.01131,0.01057,0.01102,20150826,1147.7,12.82
267,0.01213,0.01213,0.01042,0.01106,20150827,5520.35,66.96
268,0.01173,0.01382,0.01115,0.01262,20150828,36099.13,423.44
269,0.01181,0.01245,0.01181,0.01157,20150829,900.57,10.64
270,0.01181,0.01181,0.01181,0.01181,20150830,0.0,0.0
271,0.01336,0.01336,0.01155,0.01186,20150831,3582.32,47.86
272,0.01285,0.01351,0.01285,0.01322,20150901,263.92,3.39
273,0.01182,0.0132,0.01172,0.01293,20150902,397.05,4.69
274,0.01259,0.01306,0.01176,0.01169,20150903,662.82,8.34
275,0.01379,0.01379,0.01324,0.01281,20150904,4214.95,58.12
276,0.01353,0.01399,0.01238,0.01399,20150905,687.16,9.3
277,0.01389,0.0139,0.01299,0.01389,20150906,829.1,11.52
278,0.01542,0.01542,0.01405,0.01387,20150907,1156.95,17.84
279,0.0136,0.01569,0.0136,0.01566,20150908,202.66,2.76
280,0.01482,0.01482,0.01447,0.01328,20150909,13.03,0.1931
281,0.01547,0.01588,0.01492,0.01486,20150910,865.08,13.38
282,0.01441,0.01559,0.01336,0.01559,20150911,2129.45,30.69
283,0.01356,0.01579,0.01262,0.01415,20150912,2072.73,28.11
284,0.01496,0.01496,0.01252,0.01325,20150913,1055.84,15.8
285,0.0129,0.01494,0.01262,0.01494,20150914,1730.29,22.32
286,0.01377,0.0149,0.01262,0.01288,20150915,8041.9,110.74
287,0.01267,0.01486,0.01263,0.01372,20150916,1022.73,12.96
288,0.01386,0.01492,0.01366,0.0129,20150917,6911.35,95.79
289,0.01257,0.01442,0.01257,0.01383,20150918,10893.69,136.93
