,close,high,low,open,time,volumefrom,volumeto
0,2.26,2.31,2.19,2.3,20150126,626.34,1415.53
1,2.29,2.29,2.14,2.21,20150127,727.66,1666.34
2,2.09,2.09,1.91,2.05,20150128,1088.64,2275.26
3,2.15,2.37,1.97,2.06,20150129,3477.21,7476.0
4,1.99,2.13,1.99,2.13,20150130,718.24,1429.3
5,1.9,2.01,1.88,1.88,20150131,785.15,1491.79
6,1.94,2.07,1.94,1.96,20150201,1102.9,2139.63
7,2.01,2.1,1.95,2.05,20150202,1365.53,2744.72
8,1.92,1.92,1.82,1.92,20150203,1722.81,3307.8
9,1.65,1.91,1.65,1.91,20150204,1927.2,3179.88
10,1.17,1.54,1.04,1.58,20150205,25606.13,29959.17
11,1.16,1.27,1.14,1.2,20150206,2338.89,2713.11
12,1.23,1.25,1.17,1.18,20150207,5502.41,6767.96
13,1.26,1.28,1.2,1.21,20150208,3640.08,4586.5
14,1.21,1.32,1.19,1.24,20150209,1727.71,2090.53
15,1.17,1.27,1.17,1.21,20150210,5088.96,5954.08
16,1.22,1.24,1.16,1.16,20150211,22399.92,27327.9
17,1.25,1.29,1.23,1.23,20150212,3651.08,4563.85
18,1.43,1.51,1.33,1.33,20150213,3418.27,4888.13
19,1.58,1.69,1.47,1.57,20150214,2487.29,3929.92
20,1.37,1.48,1.34,1.42,20150215,765.02,1048.08
21,1.27,1.4,1.25,1.39,20150216,718.22,912.14
22,1.33,1.38,1.29,1.31,20150217,353.54,470.21
23,1.22,1.33,1.19,1.28,20150218,657.62,802.3
24,1.27,1.31,1.22,1.25,20150219,1202.58,1527.28
25,1.23,1.31,1.22,1.28,20150220,4353.61,5354.94
26,1.15,1.27,1.12,1.23,20150221,1152.19,1325.02
27,1.25,1.25,1.11,1.11,20150222,2276.95,2846.19
28,1.21,1.26,1.17,1.27,20150223,315.39,381.62
29,1.23,1.23,1.18,1.21,20150224,381.45,469.18
30,1.15,1.27,1.11,1.22,20150225,428.06,492.27
31,1.15,1.19,1.1,1.14,20150226,178.54,205.32
32,1.21,1.25,1.04,1.24,20150227,2958.05,3579.24
33,1.09,1.22,0.89,1.22,20150228,1763.4,1922.11
34,1.15,1.26,1.04,1.11,20150301,2788.61,3206.9
35,1.16,1.33,1.16,1.22,20150302,941.01,1091.57
36,1.34,1.49,1.15,1.19,20150303,2316.68,3104.35
37,1.3,1.47,1.22,1.3,20150304,2765.12,3594.66
38,1.34,1.37,1.28,1.32,20150305,278.65,373.39
39,1.36,1.39,1.29,1.33,20150306,271.11,368.71
40,1.44,1.5,1.33,1.37,20150307,1301.76,1874.53
41,1.41,1.51,1.33,1.44,20150308,648.36,914.19
42,1.49,1.6,1.43,1.49,20150309,641.58,955.95
43,1.68,1.68,1.47,1.5,20150310,2664.72,4476.73
44,1.39,1.79,1.39,1.71,20150311,3026.64,4207.03
45,1.44,1.67,1.35,1.39,20150312,4391.69,6324.03
46,1.39,1.45,1.35,1.41,20150313,2773.23,3854.79
47,1.25,1.4,1.22,1.37,20150314,2688.72,3360.9
48,1.27,1.31,1.24,1.26,20150315,1158.6,1471.42
49,1.42,1.42,1.17,1.29,20150316,3513.4,4989.03
50,1.25,1.39,1.25,1.39,20150317,2266.64,2833.3
51,1.2,1.2,1.12,1.12,20150318,2389.83,2867.8
52,1.28,1.29,1.18,1.22,20150319,2880.76,3687.37
53,1.34,1.46,1.24,1.28,20150320,594.96,797.25
54,1.21,1.44,1.12,1.32,20150321,1338.72,1619.85
55,1.27,1.36,1.24,1.26,20150322,1538.74,1954.2
56,1.3,1.34,1.21,1.26,20150323,793.29,1031.28
57,1.14,1.29,1.12,1.21,20150324,726.56,828.28
58,1.18,1.22,1.16,1.13,20150325,524.05,618.38
59,1.19,1.22,1.15,1.19,20150326,1342.2,1597.22
60,1.18,1.23,1.14,1.19,20150327,377.36,445.28
61,1.16,1.23,1.13,1.2,20150328,431.61,500.67
62,1.14,1.17,1.09,1.11,20150329,278.72,317.74
63,1.16,1.22,1.14,1.16,20150330,6788.11,7874.21
64,1.05,1.15,1.05,1.15,20150331,3156.79,3314.63
65,1.03,1.14,1.03,1.06,20150401,5983.76,6163.27
66,1.14,1.23,1.06,1.06,20150402,3732.34,4254.87
67,1.19,1.25,1.14,1.14,20150403,1683.14,2002.94
68,1.15,1.2,1.15,1.18,20150404,1286.15,1479.07
69,1.14,1.24,1.13,1.18,20150405,1751.02,1996.16
70,1.18,1.23,1.13,1.12,20150406,1530.68,1806.2
71,1.21,1.22,1.13,1.17,20150407,983.37,1189.88
72,1.09,1.19,1.09,1.17,20150408,532.86,580.82
73,1.09,1.13,1.07,1.09,20150409,562.62,613.26
74,1.02,1.07,1.01,1.06,20150410,1134.79,1157.49
75,1.06,1.12,1.0,1.03,20150411,1303.01,1381.19
76,0.9684,1.09,0.9083,1.05,20150412,1262.92,1223.01
77,0.9789,0.9865,0.9386,0.9181,20150413,405.19,396.64
78,0.9284,0.9716,0.9108,0.9544,20150414,659.49,612.27
79,0.9791,0.9793,0.9387,0.9496,20150415,4476.96,4383.39
80,0.9664,1.02,0.9641,1.0,20150416,725.98,701.59
81,0.9558,0.9825,0.9271,0.9436,20150417,223.74,213.85
