,close,high,low,open,time,volumefrom,volumeto
0,0.03744,0.03744,0.03603,0.03603,20150129,625.0,23.4
1,0.03941,0.03941,0.02342,0.03709,20150130,2797.06,110.23
2,0.03938,0.03938,0.03101,0.03715,20150131,2443.99,96.24
3,0.0406,0.0406,0.0406,0.0406,20150201,0.0,0.0
4,0.05016,0.05016,0.04304,0.04304,20150202,52.12,2.61
5,0.03914,0.04776,0.03914,0.04776,20150203,4.0,0.1566
6,0.03852,0.0397,0.03852,0.03899,20150204,19.2,0.7396
7,0.03681,0.03681,0.03681,0.03681,20150205,33.0,1.21
8,0.03788,0.03904,0.03788,0.0379,20150206,23.49,0.8898
9,0.02277,0.03868,0.02277,0.03868,20150207,1310.96,29.85
10,0.02237,0.02237,0.02237,0.02237,20150208,6.0,0.1342
11,0.02644,0.02644,0.02203,0.02203,20150209,1440.25,38.08
12,0.02636,0.03069,0.02636,0.02636,20150210,583.16,15.37
13,0.02232,0.02626,0.02232,0.02626,20150211,109.19,2.44
14,0.02852,0.02852,0.0222,0.02262,20150212,375.06,10.7
15,0.03184,0.03432,0.02366,0.03037,20150213,1409.14,44.87
16,0.03106,0.03486,0.03106,0.03486,20150214,148.29,4.61
17,0.02347,0.03126,0.02335,0.02802,20150215,997.45,23.41
18,0.01963,0.02401,0.01962,0.02372,20150216,992.76,19.49
19,0.01912,0.02025,0.01722,0.02025,20150217,241.71,4.62
20,0.01849,0.01849,0.01849,0.01849,20150218,0.0,0.0
21,0.0233,0.0233,0.01901,0.01901,20150219,1.06,0.0247
22,0.02051,0.02355,0.02051,0.02355,20150220,249.59,5.12
23,0.02394,0.02394,0.01711,0.0205,20150221,14290.44,342.11
24,0.0235,0.0235,0.02228,0.02309,20150222,2944.5,69.2
25,0.0374,0.05201,0.02221,0.02381,20150223,407.19,15.23
26,0.02388,0.03741,0.02388,0.03741,20150224,424.5,10.14
27,0.0131,0.02373,0.01309,0.02373,20150225,287.42,3.77
28,0.01994,0.02363,0.009509,0.01305,20150226,14234.73,283.84
29,0.02031,0.05521,0.02031,0.02136,20150227,2788.48,56.63
30,0.02462,0.03933,0.01699,0.02036,20150228,732.3,18.03
31,0.06706,0.06706,0.0195,0.02499,20150301,9331.95,625.8
32,0.04027,0.07117,0.04027,0.07117,20150302,6552.71,263.88
33,0.05332,0.087,0.02806,0.04128,20150303,9360.08,499.08
34,0.07633,0.07633,0.05161,0.05166,20150304,1287.88,98.3
35,0.07395,0.07726,0.06055,0.07726,20150305,1920.81,142.04
36,0.03838,0.07324,0.03838,0.07324,20150306,1429.67,54.87
37,0.0359,0.05828,0.0359,0.03871,20150307,1154.79,41.46
38,0.03585,0.03585,0.03585,0.03585,20150308,0.0,0.0
39,0.03788,0.03788,0.03788,0.03788,20150309,0.0,0.0
40,0.04432,0.06174,0.04432,0.03805,20150310,65.0,2.88
41,0.05616,0.05616,0.04138,0.04496,20150311,535.99,30.1
42,0.04261,0.05583,0.04261,0.05583,20150312,104.0,4.43
43,0.04021,0.04584,0.04021,0.04165,20150313,128.3,5.16
44,0.03942,0.03942,0.03942,0.03942,20150314,37.0,1.46
45,0.04544,0.04544,0.03988,0.03988,20150315,20.0,0.9088
46,0.04632,0.04632,0.04632,0.04632,20150316,0.0,0.0
47,0.05756,0.05756,0.04078,0.04552,20150317,139.74,8.04
48,0.03342,0.05162,0.03342,0.05162,20150318,1070.17,35.77
49,0.03408,0.03408,0.03408,0.03408,20150319,28.68,0.9774
50,0.04319,0.04319,0.03419,0.03419,20150320,71.0,3.07
51,0.0273,0.04285,0.0273,0.04285,20150321,127.62,3.48
52,0.03091,0.03091,0.02823,0.02823,20150322,7132.94,220.48
53,0.04826,0.04826,0.03055,0.03055,20150323,81.0,3.91
54,0.04438,0.04485,0.03153,0.04485,20150324,112.05,4.97
55,0.0271,0.04432,0.0271,0.04432,20150325,106.65,2.89
56,0.04092,0.04092,0.02728,0.02728,20150326,100.0,4.09
57,0.04079,0.04079,0.04079,0.04079,20150327,0.0,0.0
58,0.04158,0.04158,0.04158,0.04158,20150328,0.0,0.0
59,0.04115,0.04115,0.03994,0.03994,20150329,20.0,0.823
60,0.04195,0.04195,0.03702,0.04195,20150330,66.0,2.77
61,0.02442,0.04151,0.02442,0.04151,20150331,3316.72,80.99
62,0.02462,0.04063,0.02462,0.02462,20150401,878.19,21.62
63,0.02526,0.02526,0.02526,0.02526,20150402,0.0,0.0
64,0.04199,0.04199,0.02545,0.02545,20150403,9.6,0.4031
65,0.02529,0.04173,0.02529,0.04173,20150404,528.49,13.37
66,0.02596,0.02596,0.02596,0.02596,20150405,0.0,0.0
67,0.04156,0.04156,0.04156,0.0255,20150406,1.11,0.04613
68,0.04123,0.04123,0.04123,0.04123,20150407,0.0,0.0
69,0.02446,0.02446,0.02446,0.03986,20150408,500.0,12.23
70,0.02433,0.02433,0.02433,0.02433,20150409,0.0,0.0
71,0.02347,0.02347,0.02347,0.02347,20150410,0.0,0.0
72,0.02365,0.02365,0.02365,0.02365,20150411,327.3,7.74
73,0.03297,0.033,0.02123,0.02359,20150412,280.93,9.26
74,0.03126,0.03126,0.03126,0.03126,20150413,349.23,10.92
75,0.01744,0.03048,0.01744,0.03048,20150414,133.38,2.33
76,0.01784,0.01784,0.01784,0.01784,20150415,0.0,0.0
77,0.01824,0.01824,0.01824,0.01824,20150416,0.0,0.0
78,0.02226,0.02226,0.01781,0.01781,20150417,85.08,1.89
79,0.02234,0.02234,0.02234,0.02234,20150418,5.0,0.1117
80,0.0223,0.0223,0.0223,0.0223,20150419,0.0,0.0
81,0.02242,0.02242,0.02242,0.02242,20150420,0.0,0.0
82,0.01636,0.02337,0.01636,0.02337,20150421,231.16,3.78
83,0.0187,0.0187,0.01637,0.01637,20150422,42.5,0.7948
84,0.01649,0.01883,0.01649,0.01883,20150423,163.0,2.69
85,0.01424,0.01619,0.01424,0.01618,20150424,4368.57,62.21
86,0.01685,0.01685,0.01393,0.01393,20150425,148.0,2.49
87,0.01629,0.01629,0.01629,0.01629,20150426,0.0,0.0
88,0.0206,0.0206,0.01667,0.01706,20150427,415.34,8.56
89,0.02258,0.02258,0.02032,0.02032,20150428,1.0,0.02258
90,0.01804,0.02254,0.01804,0.02254,20150429,151.58,2.73
91,0.01886,0.02358,0.01886,0.01887,20150430,189.08,3.57
92,0.02331,0.02331,0.01866,0.01866,20150501,251.04,5.85
93,0.02285,0.02352,0.02285,0.02352,20150502,2.06,0.04707
94,0.0233,0.0233,0.0233,0.0233,20150503,0.0,0.0
95,0.01912,0.02366,0.01912,0.0232,20150504,462.16,8.84
96,0.01887,0.02308,0.01887,0.01887,20150505,116.36,2.2
97,0.0184,0.0184,0.0184,0.0184,20150506,0.0,0.0
98,0.01902,0.01902,0.01902,0.01902,20150507,0.0,0.0
99,0.0195,0.0195,0.0195,0.0195,20150508,0.0,0.0
100,0.01931,0.01931,0.01931,0.01931,20150509,0.0,0.0
101,0.01466,0.0192,0.01466,0.0192,20150510,532.32,7.8
102,0.01628,0.02297,0.01477,0.01477,20150511,62.48,1.02
103,0.01479,0.01626,0.01479,0.01626,20150512,2.49,0.03683
104,0.02228,0.02228,0.01447,0.01447,20150513,2.12,0.04723
105,0.01451,0.02233,0.0145,0.02233,20150514,124.82,1.81
106,0.01452,0.01452,0.01452,0.01452,20150515,114.41,1.66
107,0.01446,0.01446,0.01446,0.01446,20150516,0.0,0.0
108,0.01447,0.01447,0.01447,0.01447,20150517,0.0,0.0
109,0.01881,0.01881,0.01424,0.01424,20150518,24.63,0.4633
110,0.01422,0.01876,0.0142,0.01876,20150519,777.45,11.06
111,0.01433,0.01434,0.01433,0.01434,20150520,299.58,4.29
112,0.01438,0.01442,0.01438,0.01441,20150521,6927.75,99.62
113,0.01922,0.01922,0.01469,0.01469,20150522,7.58,0.1457
114,0.01911,0.01911,0.01911,0.01911,20150523,0.0,0.0
115,0.01927,0.01927,0.01927,0.01927,20150524,0.0,0.0
116,0.01899,0.01899,0.01899,0.01899,20150525,2.5,0.04748
117,0.01427,0.01902,0.01427,0.01902,20150526,48.45,0.6914
118,0.01898,0.01898,0.01424,0.01424,20150527,40.9,0.7763
119,0.02373,0.02373,0.01467,0.01898,20150528,149.92,3.56
120,0.01561,0.0237,0.01561,0.0237,20150529,152.71,2.38
121,0.02687,0.02703,0.01536,0.01536,20150530,104.52,2.81
122,0.02648,0.02648,0.02648,0.02648,20150531,0.0,0.0
123,0.02571,0.02571,0.02571,0.02571,20150601,0.0,0.0
124,0.03657,0.03657,0.02515,0.02601,20150602,719.14,26.3
125,0.03632,0.03655,0.03632,0.03655,20150603,1.24,0.04504
126,0.03386,0.0361,0.03363,0.0361,20150604,3954.84,133.91
127,0.03627,0.03627,0.03402,0.03402,20150605,18.76,0.6804
128,0.03618,0.03618,0.03618,0.03618,20150606,0.0,0.0
129,0.03598,0.03598,0.03598,0.03598,20150607,0.0,0.0
130,0.03657,0.0368,0.03657,0.0368,20150608,24.54,0.8974
131,0.03673,0.03673,0.03673,0.03673,20150609,0.0,0.0
132,0.03661,0.03661,0.02974,0.03661,20150610,1033.02,37.82
133,0.0369,0.0369,0.03678,0.03678,20150611,73.46,2.71
134,0.03699,0.03699,0.03699,0.03699,20150612,0.0,0.0
135,0.03487,0.03731,0.03487,0.03731,20150613,50.0,1.74
136,0.04168,0.04874,0.03506,0.03506,20150614,4693.29,195.62
137,0.04477,0.04477,0.04226,0.04226,20150615,2.12,0.09491
138,0.04022,0.04719,0.04022,0.04719,20150616,378.57,15.23
139,0.03983,0.04025,0.03983,0.03983,20150617,1084.51,43.2
140,0.03269,0.04,0.03138,0.04,20150618,9091.01,297.19
141,0.02197,0.03213,0.02197,0.03213,20150619,60.57,1.33
142,0.02695,0.02807,0.02095,0.02205,20150620,1552.64,41.84
143,0.0198,0.02766,0.01959,0.02685,20150621,985.3,19.51
144,0.02475,0.02777,0.01646,0.02007,20150622,2477.98,61.33
145,0.02246,0.02438,0.02246,0.02438,20150623,108.57,2.44
