body,published_on,source,tags,title
"Cryptocurrency exchange Coinbase announced on Monday that has added support for Ethereum Classic (ETC) on its Coinbase Wallet. With this addition, Coinbase Wallet now supports Ethereum (ETH), Ethereum Classic (ETC) and over 100,000 ERC20 tokens developed on the Ethereum blockchain. Coinbase Wallet Will Update Shortly According to Coinbase’s Siddharth Coelho-Prabhu, the Wallet app will be updated [&#8230;]Ethereum Classic Is Now Supported on the Coinbase Wallet was originally found on [blokt] - Blockchain, Bitcoin &amp; Cryptocurrency News.",2018-11-27 12:59:08,blokt,News|Ethereum,Ethereum Classic Is Now Supported on the Coinbase Wallet
Key Highlights Ethereum classic price is under pressure below the $5.00 resistance against the US dollar. There is a major bearish trend line formed with resistance at $4.50 on the hourly chart of the ETC/USD pair (Data feed via Kraken). The pair is likely to struggle above $4.50 and it could even break the $4.10...The post Ethereum Classic Price Analysis: ETC/USD At Risk Of Break Below $4.00 appeared first on NewsBTC.,2018-11-27 08:28:43,newsbtc,Analysis|Technical|ETC|Ethereum Classic,Ethereum Classic Price Analysis: ETC/USD At Risk Of Break Below $4.00
Key Highlights Ethereum classic price declined towards the $5.00 support and recovered against the US dollar. There was a break above a key contracting triangle with resistance at $5.55 on the hourly chart of the ETC/USD pair (Data feed via Kraken). The pair is currently placed nicely above $5.40 and it could correct higher towards...The post Ethereum Classic Price Analysis: ETC/USD Could Recover Above $6.00 appeared first on NewsBTC.,2018-11-22 07:30:22,newsbtc,Analysis|Technical|ETC|Ethereum Classic,Ethereum Classic Price Analysis: ETC/USD Could Recover Above $6.00
Key Highlights Ethereum classic price tumbled recently below the $7.00 and $6.00 supports against the US dollar. There is a short term bearish trend line formed with resistance at $6.00 on the hourly chart of the ETC/USD pair (Data feed via Kraken). The pair is likely to extend the current decline towards the $5.20 and...The post Ethereum Classic Price Analysis: ETC/USD Sellers Next Target $5.00 appeared first on NewsBTC.,2018-11-20 08:28:40,newsbtc,Analysis|Technical|ETC|Ethereum Classic,Ethereum Classic Price Analysis: ETC/USD Sellers Next Target $5.00
"                        Amun AG, a startup in Zug, Switzerland, has received a license from Swiss authorities to offer a new cryptocurrency exchange-traded product (ETP).An ETP is a blanket term to denote a security that derives its price from an underlying asset (e.g. a currency, commodity, stock) and is traded on a regulated stock exchange. It could refer to a number of exchange-traded investment options, including exchange-traded funds (ETF), exchange-traded commodities (ETC) and exchange-traded notes (ETN).Anum has referred to the instrument only as an ETP, and it’s unclear at this time whether or not it is characteristically an ETF, ETC or an ETN. Amun AG has stated that its ETP will be based on a collection of the top five most liquid crypto assets, which it refers to as “HODL5.” The currencies contained within the ETP will be bitcoin, ether, Ripple’s XRP, litecoin and bitcoin cash. The company will purchase cryptocurrency using cash from its customers. The assets will then be transferred into custodial hands, for which the company will charge management fees of roughly 2.5 percent.The fund also sources its pricing from the MVIS, an index for institutional-grade price tracking that was developed by VanEck.Amun’s CEO Hany Rashwan explains, “The Amun ETP will give institutional investors that are restricted to investing only in securities or do not want to set up custody for digital assets exposure to cryptocurrencies. It ...",2018-11-19 23:50:27,bitcoinmagazine,Bitcoin|Regulation|Investing,New Cryptocurrency-Based ETP Arrives in Switzerland
"During his 50-minute Crypto Insider interview, ETC DEV Team&#8217;s Donald McIntyre has been candid and open about his views on immutability. In the first part, he revealed that his advocacy within the original Ethereum crew has always been for a permissionless, immutable, and truly decentralized blockchain. When he made the switch to the Classic side, [&#8230;]The post Interview: Donald McIntyre (ETC DEV Team) on the Ethereum Classic roadmap, Orbita sidechains, and Vitalik appeared first on Crypto Insider.",2018-11-16 17:30:39,cryptoinsider,Altcoins|Ethereum|Industry Leaders|Video|Casper|Donald McIntyre|Emerald|ETC|Ethereum Classic|Geth|Interview|Nick Szabo|Orbita|Proof of Stake|Proof of Work|Vitalik Buterin,"Interview: Donald McIntyre (ETC DEV Team) on the Ethereum Classic roadmap, Orbita sidechains, and Vitalik"
"In spite of adhering to the values of true non-interventionist decentralization, Ethereum Classic is an underdog. The battle of Turing-complete blockchains features more resourceful warriors who, despite choosing governance over immutability, seem to get more traction. This happens, in part, due to the scaling debates and the constant need for decentralized applications to run smoothly. [&#8230;]The post Interview: Anthony Lusardi (ETC Cooperative) on the uniqueness of Ethereum Classic appeared first on Crypto Insider.",2018-11-15 19:50:56,cryptoinsider,Altcoins|Ethereum|Industry Leaders|Video|Anthony Lusardi|Dapp|ETC|ETC Cooperative|Ethereum Classic|Interview|Smart Contract|Turing Complete,Interview: Anthony Lusardi (ETC Cooperative) on the uniqueness of Ethereum Classic
"CoinSpeakerOKCoin Launches in Latin America with Fiat-to-Crypto Trading for the Argentine PesoLicensed exchange now offers Argentine peso funding to trade with several major cryptocurrencies, other Latin American fiat currencies coming soon.OKCoin Launches in Latin America with Fiat-to-Crypto Trading for the Argentine Peso",2018-11-15 14:00:08,coinspeaker,Press Release|ada|argentine peso|ars|bch|btc|c20 conference|digital asset exchange|etc|eth|exchange platform|fiat-to-crypto trading|latin america|latin america crypto market|ltc|okcoin|tim byun|xlm|xrp,OKCoin Launches in Latin America with Fiat-to-Crypto Trading for the Argentine Peso
"Published on CoinnounceThe Cryptocurrency market faced huge bearish momentum in the last 24 hours with the upcoming bitcoin cash hardfork on the head. All major cryptocurrencies fell at least 15% to 20% in just a few hours. Bitcoin Cash Price Analysis Bitcoin Cash Price fell down from $534 to a sliding price of $421 falling more than 23% [&#8230;]The post Cryptocurrency Market losers of the day: BCH, XLM, IOTA, ETC and ADA appeared first on Coinnounce.",2018-11-15 07:35:50,coinnounce,#Daily Price Analysis|Altcoins|Cryptocurrency|News|Opinion|Price Analysis|Trading|Bitcoin Cash|Bitcoin Cash price|cardano|Cardano price|cryptocurrency|Cryptocurrency chart|cryptocurrency market|cryptocurrency price|cryptocurrency price analysis|Cryptocurrency Trading|ethereum classic|Ethereum Classic Price|IOTA|iota price|stellar|stellar price,"Cryptocurrency Market losers of the day: BCH, XLM, IOTA, ETC and ADA"
Key Highlights Ethereum classic price declined sharply and broke the $8.00 and $7.00 supports against the US dollar. There is a short term consolidation pattern forming with resistance at $7.70 on the hourly chart of the ETC/USD pair (Data feed via Kraken). The pair is in a major downtrend and it could decline again towards...The post Ethereum Classic Price Analysis: ETC/USD Tumbles To New 2018 Low appeared first on NewsBTC.,2018-11-15 06:28:30,newsbtc,Analysis|Technical|ETC|Ethereum Classic,Ethereum Classic Price Analysis: ETC/USD Tumbles To New 2018 Low
