body,published_on,source,tags,title
"                        Mexican startup Airtm will launch a campaign to raise donations for Venezuelans, a country whose poor monetary policies have plagued it with hyperinflation.Called the AirdropVenezuela.org, the campaign seeks to raise $1 million in cryptocurrency donations for residents of Venezuela. Once completed, the startup will airdrop the donations to over 100,000 verified Venezuelans who use the AirTM platform. AirTM, founded in 2015, is a registered money service business (MSB) under the U.S. Treasury Department Financial Crimes Enforcement Network (FinCEN) which mandates MSBs to be compliant with anti-money laundering (AML) and know-your-customer (KYC) regulations.Over 200,000 individual and businesses use Airtm to ""access remittance, payments, and donations at a free market rate, and to preserve wealth against the rapid devaluation of the Venezuelan bolivar.""Airtm will be working with Zcash Company, the issuer of privacy-focused cryptocurrency Zcash, along with Venezuelan educators and journalists. Earlier this year, Airtm integrated Zcash as an alternative step when converting bolivars to dollars:“We believe that cryptocurrencies such as Zcash are beneficial for hedging against hyperinflation, day-to-day transactions, and remittances from families abroad. We are proud to support Airtm in this effort to educate and empower Venezuelans,"" Zooko Wilcox, Zcash Company CEO, stated.AirTM CEO, Ruben Galindo, told Bitc...",2018-11-27 16:29:16,bitcoinmagazine,Bitcoin|Adoption & community|Digital assets,Mexican Startup Wants to Support Venezuelans With $1 Million Crypto Airdrop
"FOMO Moments A bounce from another 2018 low has occured; Stellar, Litcoin, Cardano, Zcash and Tezos recovering. A minor bounce has offered a little relief for crypto markets this Monday as they are still reeling from another mass selloff over the weekend. Total market capitalization slid to a new yearly low below $115 billion on...The post Minor Relief as Crypto Markets Bounce From Another Yearly Low appeared first on NewsBTC.",2018-11-26 09:00:09,newsbtc,Crypto|FOMO|2018 low|Asian trading session|Bear market|bounce|crypto markets|Recovery,Minor Relief as Crypto Markets Bounce From Another Yearly Low
"Published on CoinnounceCryptocurrency market has been experiencing waves of crashing. The total market capitalization of cryptocurrencies went below $120 billion which earlier this year had crossed the market cap of Apple which right now lies at around $747 billion. In just the last 24 hours more than $23 billion have been dumped from cryptocurrencies. &#160; Bitcoin Bitcoin [&#8230;]The post BTC, ETH and cryptocurrency market crashing with huge volumes appeared first on Coinnounce.",2018-11-25 10:25:28,coinnounce,#Bitcoin|#Ethereum|Bitcoin|Ethereum|News|Opinion|Price Analysis|Trading|bitcoin blockchain|bitcoin chart|bitcoin forecast|bitcoin future|bitcoin prediction|bitcoin price|bitcoin price 2018|bitcoin price today|bitcoin to usd|bitcoin trade|bitcoin trading|Blockchain|btc|btc analysis|BTC exchange|BTC exchange rate|BTC forecast|BTC future|BTC prediction|btc price|btc price analysis|BTC TO USD|BTC TRADING|BTC USD Chart|btc/usd|btcusd|cryptocurrency|daytrading|eth|ETH analysis|eth exchange|ETH exchange rate|eth forecast|eth future|ETH prediction|ETH price|eth price analysis|ETH TO USD|ETH TRADE|ETH TRADING|ETH USD Chart|ETH/USD|Ethereum Analysis|Ethereum Blockchain|ethereum chart|ETHEREUM FORECAST|ETHEREUM FUTURE|ETHEREUM PREDICTION|ethereum price|ethereum price 2018|Ethereum Price analysis|ethereum price today|ethereum to bitcoin|ethereum to BTC|ethereum to dollar|ethereum to usd|ethereum trade|ethereum trading|ETHUSD|IOTA|NEM|NEO|tether|tezos|Tron|TRX|Zcash,"BTC, ETH and cryptocurrency market crashing with huge volumes"
"Ethereum sheds further value, but some top twenty assets signal recovery; Bitcoin is holding above $4,500",2018-11-22 15:37:00,cointelegraph,Bitcoin|Ethereum|Markets|Cardano|Bitcoin Price Index|Ethereum Price Index|Cryptocurrencies|Altcoin|Bitcoin Cash|Ripple|IOTA|NEM|ZCash,Crypto Markets Shaky but Most Top Coins See Only Mild Losses
"Are the markets turning the corner? Just over a week since the price of pretty much every major cryptocurrency seemed to go into freefall, the past 24 hours finally seem to have seen some signs of steadying. All but ZCash in the top ten coins over at CryptoCompare’s coin tracker is in the green this [&#8230;]The post Finally: Bitcoin price steadies after week-long price collapse appeared first on CryptoNewsReview.",2018-11-22 05:41:05,cryptonewsreview,Crypto|News|bitcoin|EOS|ethereum|LiteCoin,Finally: Bitcoin price steadies after week-long price collapse
Researchers at cybersecurity research lab McAfee Labs have recently revealed a new type of cryptojacking malware dubbed “WebCobra” has been infecting users’ machines to mine Monero (XMR) or Zcash (ZEC) in secret.,2018-11-14 22:00:32,cryptoglobe,,New Russian Cryptojacking Malware Adapts to Users' Machines: Report
"market cap, has depreciated around 17%. The market leader Bitcoin has lost 7% of its value so far today.market cap, has depreciated around 17%. The market leader Bitcoin has lost 7% of its value so far today.Analysts have been speculating that privacy coins such as Monero and Zcash were setting up to outperform as 2018 [&#8230;]Price Analysis: Privacy Coins Monero [XMR] &#038; Zcash [ZEC] Underperforming in Today&#8217;s Drop was originally found on [blokt] - Blockchain, Bitcoin &amp; Cryptocurrency News.",2018-11-14 17:15:50,blokt,Technical Analysis,Price Analysis: Privacy Coins Monero [XMR] & Zcash [ZEC] Underperforming in Today’s Drop
"FOMO Moments Crypto markets still in slow slide; Bitcoin Cash rebounding a little, Stellar, Nem, Zcash falling harder. The slow decline in crypto markets has continued as the week draws on. Falling back below $210 billion total capitalization, cryptocurrency prices keep dropping albeit at a very languid pace. Bitcoin is losing steam and has not...The post Cryptocurrency Trading Update: Midweek Lethargy Drops Markets Lower appeared first on NewsBTC.",2018-11-14 10:00:03,newsbtc,Crypto|FOMO|Asian trading session|bearish|Bitcoin Cash|Etheera|market decline|NEM,Cryptocurrency Trading Update: Midweek Lethargy Drops Markets Lower
"Over the last 24 hours, the crypto market has seen a drop of $3 billion from $212 billion to $209 billion, as major cryptocurrencies including Stellar (XLM) and Cardano (ADA) have fallen by 3 to 6 percent. Peculiarly, Stellar and Cardano are amongst three cryptocurrencies alongside Zcash that are expected to be integrated into Coinbase,The post $3 Billion Deleted From Crypto Market as Major Digital Assets Perform Poorly appeared first on CCN",2018-11-14 07:31:10,ccn,Altcoin Analysis|Bitcoin Analysis|News|Bitcoin|Cardano|Crypto|Stellar,$3 Billion Deleted From Crypto Market as Major Digital Assets Perform Poorly
Researchers at McAfee Labs have discovered a new form of Russian crypto-jacking malware called “WebCobra.” The software silently infects a victim’s computer and installs either a Cryptonight miner or Claymore’s Zcash miner into their system. How Does It All Work? Crypto-jacking is an illegal process in which a hacker takes control of a person’s computer...The post Snake Bite! McAfee Labs Reveals New Crypto-Jacking Software &#8216;WebCobra&#8217; appeared first on Live Bitcoin News.,2018-11-14 06:30:50,livebitcoinnews,Bitcoin Mining|News|Security & Ransomware|crypto-jacking|McAfee Labs|Raj Samani|WebCobra,Snake Bite! McAfee Labs Reveals New Crypto-Jacking Software ‘WebCobra’
"As another day dawns upon the altcoin markets, new arbitrage opportunities become apparent. There are many different ways of trading altcoins for profit even if their individual prices may not necessarily look all that appealing. The following six coins offer some easy profits, although it mainly depends on liquidity associated with the exchanges involved. EOS [&#8230;]The post Crypto Arbitrage Today: XRP, XLM, ETC, EOS, ZEC, XMR appeared first on NullTX.",2018-11-14 06:16:38,themerkle,Coins|Featured|XLM|altcoins|Arbitrage|trading,"Crypto Arbitrage Today: XRP, XLM, ETC, EOS, ZEC, XMR"
"Researchers at computer security firm McAfee Labs discovered a lethal new cryptojacking malware called &#8220;WebCobra,&#8221; which steals victims&#8217; computing power to mine the cryptocurrencies Monero or Zcash secretly. The spike in cryptocurrency prices has inspired a new wave of cybercriminals, who use malware to cannibalize unsuspecting victims&#8217; computers to mine crypto. Infections Spotted In Brazil,The post &#8216;WebCobra&#8217;: McAfee Spots Russian Malware Mining Monero and Zcash appeared first on CCN",2018-11-14 00:30:27,ccn,Bitcoin Security|News|cryptojacking|Cryptomining Malware,‘WebCobra’: McAfee Spots Russian Malware Mining Monero and Zcash
"There is never a shortage of controversy in the world of cryptocurrency. Although there are plenty of positive developments happening too, a recent announcement by the Zcash Foundation sparks some debates. In a tweet last Friday, Monero developer Riccardo Spagni calls out the Zcash Foundation for its funding strategy. The Zcash Funding Debacle One has to [&#8230;]The post Zcash Foundation Responds to Monero Developer&#8217;s Tweet appeared first on NullTX.",2018-11-13 11:21:24,themerkle,Crypto|News|funding|Riccardo Spagni|ZCash Foundation,Zcash Foundation Responds to Monero Developer’s Tweet
"FOMO Moments Markets are still generally flat; Nem, Zcash, XRP, and Iota climbing, Stellar and MOAC sliding. Red is still dominating most cryptocurrencies this morning as the slow selloff continues. Downward pressure has eased somewhat though and total market capitalization has not fallen that much overnight, it remains above $210 billion for now. Over the...The post Cryptocurrency Trading Update: NEM Back Over $1 Billion Market Cap appeared first on NewsBTC.",2018-11-13 09:00:34,newsbtc,Crypto|FOMO|Asian trading session|Coincheck|IOTA|NEM|XEM|xrp|ZCash,Cryptocurrency Trading Update: NEM Back Over $1 Billion Market Cap
"In the world of cryptocurrency, altcoins create some very interesting opportunities for arbitrage trading. Today is no different in this regard, although the opportunities will usually involve using the YoBit exchange first and foremost. That in itself is not necessarily a drawback , but it can be considered somewhat of a hindrance. ZCash (Sistemkoin / [&#8230;]The post Crypto Arbitrage Today: XLM, ZEC, ETC, XEM, BCH, DOGE appeared first on NullTX.",2018-11-12 17:37:54,themerkle,Coins|DOGE|Featured|TRX|altcoins|Arbitrage|trading,"Crypto Arbitrage Today: XLM, ZEC, ETC, XEM, BCH, DOGE"
"Markets are seeing a wave of stability, with most major assets seeing low-level fluctuations both red and green, with strong growth from altcoins Ripple, Monero, NEM",2018-11-12 17:10:00,cointelegraph,Altcoin|Bitcoin Price|Ethereum Price|Markets|Cardano|Cryptocurrencies|Bitcoin Cash|Dash|Ripple|IOTA|NEM|Zcash,"Ripple, Monero, NEM See Solid Growth Amid Calm, Mostly Green Markets"
"CoinSpeaker&#8216;Coinbase Effect&#8217; in Action: Cardano, Zcash and Stellar Prices Get a Boost Prior to ListingIn contemplation of Coinbase to list Cardano, Zcash, and Stellar, the prices of the coins have started to surge.&#8216;Coinbase Effect&#8217; in Action: Cardano, Zcash and Stellar Prices Get a Boost Prior to Listing",2018-11-12 09:53:21,coinspeaker,Altcoins|Cardano (ADA)|Cryptocurrencies|News|Stellar (XLM)|ada|bat|cardano|coinbase|stellar|xlm|zcash,"‘Coinbase Effect’ in Action: Cardano, Zcash and Stellar Prices Get a Boost Prior to Listing"
"As the anticipation towards additional cryptocurrency integrations builds following the listing of Basic Attention Token (BAT) and 0x (ZRX), the prices of Cardano (ADA), Zcash (ZEC), and Stellar (XLM) have started to surge. Since November 2, the day BAT was officially integrated into Coinbase Pro and Coinbase.com, XLM, the native cryptocurrency of the Stellar blockchainThe post Cardano, Zcash, Stellar Surge Prior to Coinbase Listing; XLM up 27% appeared first on CCN",2018-11-12 05:52:22,ccn,Altcoin Analysis|News|Cardano|coinbase|Stellar|Zcash,"Cardano, Zcash, Stellar Surge Prior to Coinbase Listing; XLM up 27%"
"Crypto markets are seeing another mild downturn, with virtually all of the major cryptocurrencies in the red, Bitcoin dipping below the $6,400 mark",2018-11-09 17:30:00,cointelegraph,Altcoin|Markets|Cardano|Bitcoin Price|Ethereum|Cryptocurrencies|Bitcoin Cash|DASH|VeChain|ZCash,"Crypto Markets See Ongoing Mild Losses, Bitcoin Trades Below $6,400"
"FOMO Moments Friday markets are still in decline; Zcash and Stellar opposing the drop, Dogecoin and BAT getting dumped. Yesterday’s decline has continued today though its momentum has slowed a little. Crypto market capitalization has fallen below $215 billion as all hopes of a real recovery have by now evaporated. Bitcoin has dropped almost a...The post Cryptocurrency Market Update: South Koreans Keeping Zcash (ZEC) Climbing appeared first on NewsBTC.",2018-11-09 07:00:19,newsbtc,Crypto|FOMO|Asian trading session|markets|stellar|ZCash|ZEC,Cryptocurrency Market Update: South Koreans Keeping Zcash (ZEC) Climbing
"Most of the top cryptocurrency markets remain in the red, for the time being. That is primarily because Bitcoin is slowly bleeding value In such events, altcoins are often dragged down with this negative momentum. One notable exception in the top 20 is ZCash, as it remains in the green without much effort. ZCash Price [&#8230;]The post ZCash Price Enters an Accumulation Phase between $125 and $130 appeared first on NullTX.",2018-11-08 16:28:16,themerkle,News|Price Analysis|Accumulation|ZCash Price|ZEC,ZCash Price Enters an Accumulation Phase between $125 and $130
"Finding the right arbitrage opportunities to take advantage of can be a big challenge. There are numerous opportunities available every single day, yet most of them rely on individual exchange liquidity. YoBit continues to play a role of importance in this regard, primarily because its prices are higher for most altcoins compared to other exchanges. [&#8230;]The post Daily Arbitrage Trading: TRX, DOGE, BCH, LTC, ETH, ZEC appeared first on NullTX.",2018-11-08 01:24:46,themerkle,Coins|DOGE|ETH|Featured|LTC|TRX|altcoins|Arbitrage|Exchanges,"Daily Arbitrage Trading: TRX, DOGE, BCH, LTC, ETH, ZEC"
"As work on ethereum's Plasma scaling solution proceeds, some developers are hailing a form of cryptography used by zcash as an alternative.",2018-11-07 21:06:10,coindesk,Ethereum|Technology News|Scaling|zk-SNARKs|Plasma|Devcon4|snarks,"As 'Plasma' Stalls, SNARKs Become New Hope for Scaling Ethereum Now"
